entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,CST3,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,CTSB,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,5.64,PIGEAN/EAGGL_weight,,T3 medium,
gene,CTSD,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CTSH,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,4.62,PIGEAN/EAGGL_weight,,T3 medium,
gene,CYCS,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CYP2D6,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,CYP46A1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,DAB1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,DBN1,,protein-coding,associated_with_AD,spoke-okn;prokn,2,curated_link,,source_count,,T3 medium,
gene,DHCR24,,protein-coding,associated_with_AD,rdkg;digcfdekg,2,curated_link;statistical_association,3.92,PIGEAN/EAGGL_weight,,T3 medium,
gene,DLG1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.06,PIGEAN/EAGGL_weight,,T4 low,
gene,DLG4,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,DOC2A,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,DPYSL2,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,DSG2,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,DYRK1A,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,5.02,PIGEAN/EAGGL_weight,,T4 low,
gene,EFNA1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.73,PIGEAN/EAGGL_weight,,T4 low,
gene,EFNA3,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.84,PIGEAN/EAGGL_weight,,T4 low,
gene,EIF2S1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,ENO1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,EPHA1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,EPHA4,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.18,PIGEAN/EAGGL_weight,,T4 low,
gene,ESR1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,F2,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,FAM47E,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,FBXL7,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,FERMT2,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,3.78,PIGEAN/EAGGL_weight,,T3 medium,
gene,FKBP1A,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.19,PIGEAN/EAGGL_weight,,T4 low,
gene,FLOT2,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.8,PIGEAN/EAGGL_weight,,T4 low,
gene,FUS,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,GAPDH,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,GATA1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,GFAP,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,GGA3,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.05,PIGEAN/EAGGL_weight,,T4 low,
gene,GNPNAT1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.41,PIGEAN/EAGGL_weight,,T4 low,
gene,GPR141,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,GRIN2B,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,GRN,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,GSK3A,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,5.08,PIGEAN/EAGGL_weight,,T3 medium,
gene,GSK3B,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,HAP1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.79,PIGEAN/EAGGL_weight,,T4 low,
gene,HFE,,protein-coding,associated_with_AD,spoke-okn;rdkg;prokn,3,curated_link,,source_count,,T2 high,
gene,HLA-DRB1,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,HMOX1,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,HS3ST5,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,HSPG2,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,HTT,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,ICA1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,ICA1L,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,IDE,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,IDUA,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,IFNG,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.68,PIGEAN/EAGGL_weight,,T4 low,
gene,IFNGR1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.19,PIGEAN/EAGGL_weight,,T4 low,
gene,IGF1,,protein-coding,associated_with_AD,rdkg;digcfdekg,2,curated_link;statistical_association,4.04,PIGEAN/EAGGL_weight,,T3 medium,
gene,IGF1R,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,IGF2,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,IGF2R,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,IL10,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,IL1B,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,IL34,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,IL6,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
