hEntrez,humanSymbol,n_studies,n_tissues,n_systems,n_species,max_abs_lfc,min_padj,n_up,n_down,n_strict,studies,n_mouse_studies,mouse_lfc,mouse_tissues,mouse_fanout,n_fly_studies,fly_fanout,fly_lfc,dir_consistency,consensus_dir,in_ocular,in_cns,in_cardio,in_flyhead,systems,xspecies_ok,mouse_systems,score,rank,tier
51168,MYO15A,2,2,2,2,3.0494,0.0131483,0,2,2,OSD-347|OSD-612,1,-3.0494,cerebral hemisphere,1.0,1,1.0,-1.63792,1.0,DOWN,False,True,True,False,CNS+cardio,True,2,30.715,52,B
8292,COLQ,2,2,2,1,2.67912,0.0206279,0,2,2,OSD-100|OSD-612,2,-2.67912,cerebral hemisphere|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,30.631,53,B
65083,NOL6,2,2,2,2,1.11668,7.63049e-05,1,1,1,OSD-255|OSD-347,1,-0.292745,retina,1.0,1,1.0,1.11668,0.5,UP,True,False,True,False,ocular+cardio,True,2,30.151,54,B
768,CA9,3,3,3,2,7.57749,1.97346e-05,2,1,3,OSD-207|OSD-347|OSD-612,1,-4.29404,cerebral hemisphere,1.0,2,11.0,7.57749,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,False,2,29.867,55,B
51475,CABP2,3,3,3,2,6.70172,0.00115671,1,2,3,OSD-207|OSD-347|OSD-612,1,-6.70172,cerebral hemisphere,1.0,2,18.0,-5.7461,0.6666666666666666,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,29.773,56,B
11010,GLIPR1,3,3,3,2,6.05991,7.49826e-06,2,1,3,OSD-207|OSD-347|OSD-564,1,1.25721,hippocampus,1.0,2,13.0,6.05991,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,False,2,29.698,57,B
51050,PI15,3,3,3,2,6.05991,7.49826e-06,1,2,3,OSD-207|OSD-347|OSD-612,1,-1.48205,cerebral hemisphere,1.0,2,13.0,6.05991,0.6666666666666666,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,29.698,58,B
27122,DKK3,2,2,2,1,6.02261,3.04888e-05,0,2,1,OSD-255|OSD-599,2,-6.02261,heart|retina,1.0,0,,,1.0,DOWN,True,False,True,False,ocular+cardio,False,2,29.693,59,B
9478,CABP1,3,3,3,2,5.7461,0.00115671,2,1,3,OSD-207|OSD-347|OSD-612,1,1.10601,cerebral hemisphere,1.0,2,18.0,-5.7461,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,False,2,29.658,60,B
6518,SLC2A5,3,3,3,2,5.27214,4.35348e-10,2,1,3,OSD-207|OSD-347|OSD-612,1,2.2499,cerebral hemisphere,1.0,2,14.0,5.27214,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,False,2,29.595,61,B
6582,SLC22A2,3,3,3,2,3.2568,0.000153533,2,1,3,OSD-207|OSD-347|OSD-525,1,1.15779,cerebellum,1.0,2,22.0,-3.2568,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,False,2,29.258,62,B
6583,SLC22A4,3,3,3,2,3.2568,0.000153533,1,2,3,OSD-207|OSD-347|OSD-612,1,-2.24516,cerebral hemisphere,1.0,2,22.0,-3.2568,0.6666666666666666,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,29.258,63,B
9390,SLC22A13,3,3,3,2,3.2568,0.000153533,1,2,3,OSD-207|OSD-347|OSD-564,1,-2.03993,hippocampus,1.0,2,22.0,-3.2568,0.6666666666666666,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,29.258,64,B
7038,TG,3,3,3,2,2.99806,0.0001826,1,2,3,OSD-207|OSD-347|OSD-612,1,-2.99806,cerebral hemisphere,1.0,2,12.0,-2.57071,0.6666666666666666,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,29.204,65,B
9022,CLIC3,3,3,3,2,2.70479,0.00173111,2,1,3,OSD-207|OSD-347|OSD-525,1,2.61412,cerebellum,1.0,2,12.0,-2.70479,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,False,2,29.138,66,B
79845,RNF122,2,2,2,1,2.48252,0.00364113,0,2,1,OSD-100|OSD-612,2,-2.48252,cerebral hemisphere|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,29.084,67,B
8110,DPF3,2,2,2,1,1.66299,0.00163043,0,2,1,OSD-255|OSD-612,2,-1.66299,cerebral hemisphere|retina,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.851,68,B
10476,ATP5PD,2,2,2,2,3.54709,0.0196577,0,2,1,OSD-100|OSD-207,1,-0.193468,left eye,1.0,1,1.0,-3.54709,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.815,69,B
3786,KCNQ3,2,2,2,1,1.55031,0.0185785,2,0,1,OSD-100|OSD-612,2,1.55031,cerebral hemisphere|left eye,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.813,70,B
55843,ARHGAP15,2,2,2,1,1.50258,0.026103,2,0,1,OSD-255|OSD-612,2,1.50258,cerebral hemisphere|retina,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.797,71,B
56154,TEX15,2,2,2,1,1.49015,0.00632182,2,0,1,OSD-100|OSD-612,2,1.49015,cerebral hemisphere|left eye,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.792,72,B
79006,METRN,2,2,2,1,1.46828,0.0261012,0,2,1,OSD-397|OSD-612,2,-1.46828,cerebral hemisphere|retina,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.785,73,B
126393,HSPB6,2,2,2,2,3.2867,0.000311151,0,2,1,OSD-207|OSD-255,1,-0.248485,retina,1.0,1,1.0,-3.2867,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.764,74,B
7920,ABHD16A,2,2,2,1,1.38465,0.0286797,0,2,1,OSD-255|OSD-612,2,-1.38465,cerebral hemisphere|retina,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.755,75,B
2258,FGF13,2,2,2,1,1.37044,0.026103,2,0,1,OSD-255|OSD-612,2,1.37044,cerebral hemisphere|retina,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.75,76,B
7695,ZNF136,2,2,2,1,1.30055,0.0159968,2,0,1,OSD-162|OSD-612,2,1.30055,cerebral hemisphere|eye,2.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.724,77,B
84449,ZNF333,2,2,2,1,1.30055,0.0159968,2,0,1,OSD-162|OSD-612,2,1.30055,cerebral hemisphere|eye,2.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.724,78,B
514,ATP5F1E,2,2,2,1,1.23253,0.0116062,0,2,1,OSD-100|OSD-613,2,-1.23253,cerebral hemisphere|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.698,79,B
4665,NAB2,2,2,2,1,1.21766,0.0194986,0,2,1,OSD-397|OSD-612,2,-1.21766,cerebral hemisphere|retina,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.692,80,B
1628,DBP,2,2,2,1,1.20197,1.63119e-06,0,2,1,OSD-100|OSD-613,2,-1.20197,cerebral hemisphere|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.686,81,B
2570,GABRR2,2,2,2,1,1.18747,0.0201235,2,0,1,OSD-100|OSD-525,2,1.18747,cerebellum|left eye,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.68,82,B
11224,RPL35,2,2,2,1,1.09947,0.00181838,0,2,1,OSD-100|OSD-564,2,-1.09947,hippocampus|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.644,83,B
80115,BAIAP2L2,2,2,2,2,2.66278,0.00350745,1,1,2,OSD-347|OSD-564,1,2.66278,hippocampus,1.0,1,3.0,-1.34253,0.5,UP,False,True,True,False,CNS+cardio,True,2,28.628,84,B
83394,PITPNM3,2,2,2,1,1.05408,5.59142e-10,2,0,1,OSD-255|OSD-612,2,1.05408,cerebral hemisphere|retina,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.625,85,B
358,AQP1,2,2,2,1,1.05079,4.79857e-07,2,0,1,OSD-255|OSD-564,2,1.05079,hippocampus|retina,1.0,0,,,1.0,UP,True,True,False,False,ocular+CNS,False,2,28.624,86,B
4707,NDUFB1,2,2,2,1,1.04463,0.00729932,0,2,1,OSD-100|OSD-564,2,-1.04463,hippocampus|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,28.621,87,B
