osd,symbol,entrez,log2fc,adj_p
OSD-100,Snx31,66696,-0.571343,0.0123136
OSD-100,Pccb,66904,-0.257312,0.042466
OSD-100,Ndc80,67052,0.543563,0.0156364
OSD-100,Atp5e,67126,-0.240636,0.0116062
OSD-100,Ndufa13,67184,-0.242997,0.0327724
OSD-100,Coq10b,67876,-0.268693,0.0094094
OSD-100,Dcxr,67880,-0.453275,0.00620225
OSD-100,Zfp706,68036,-0.185389,0.0467559
OSD-100,Anln,68743,0.49885,0.0107257
OSD-100,Rnf122,68867,-0.269154,0.0372066
OSD-100,2610027K06Rik,69909,0.719123,0.0247158
OSD-100,Fars2,69955,-0.278934,0.0138901
OSD-100,Ggnbp1,70772,-0.722917,0.00278437
OSD-100,Atp5pd,71679,-0.193468,0.0196577
OSD-100,Apol9b,71898,1.82503,0.0109721
OSD-100,Acad10,71985,-0.347662,0.00632182
OSD-100,Cracdl,72097,-0.324718,0.0442228
OSD-100,Aldh1b1,72535,-0.658454,0.0133141
OSD-100,Ttf2,74044,0.285322,0.0243603
OSD-100,Lonp1,74142,-0.190982,0.00392963
OSD-100,Capsl,75568,-0.874845,0.0123136
OSD-100,Apol7a,75761,0.464907,0.0236305
OSD-100,Klhl24,75785,-0.210223,0.0125118
OSD-100,Slc38a3,76257,0.200465,0.00392963
OSD-100,Osbp,76303,-0.152842,0.00768482
OSD-100,Rps9,76846,-0.226492,0.0213665
OSD-100,Cacng7,81904,0.233551,0.0213665
OSD-100,Ndst3,83398,0.23299,0.0289794
OSD-100,Nrg4,83961,-0.479752,0.0133141
OSD-100,Lmod2,93677,-0.979559,0.00392963
OSD-397,3830408C21Rik,100040322,0.704276,0.0412288
OSD-397,AA413626,100359413,1.66185,0.0474158
OSD-397,Upk3b,100647,-1.27465,0.00808138
OSD-397,D8Ertd738e,101966,-0.482465,0.0454732
OSD-397,Psme4,103554,0.426428,0.040783
OSD-397,Snrpd2,107686,-0.554948,0.0454732
OSD-397,Msra,110265,-0.410184,0.013331
OSD-397,Cox6b1,110323,-0.764099,0.046323
OSD-397,Agtr2,11609,1.41521,0.0491947
OSD-397,Ect2,13605,0.965323,0.045436
OSD-397,Bloc1s1,14533,-0.612629,0.0454732
OSD-397,Hmgb1,15289,-0.445851,0.0403903
OSD-397,Nr4a1,15370,-0.97425,0.00808138
OSD-397,Hspa8,15481,-0.542688,0.0118057
OSD-397,Htr3a,15561,-1.05915,0.0142951
OSD-397,Nab2,17937,-0.684601,0.0204474
OSD-397,Nr4a3,18124,-1.08812,0.000883504
OSD-397,Nudc,18221,-0.326263,0.0449623
OSD-397,Pld3,18807,-0.40575,0.045436
OSD-397,Sst,20604,1.56375,0.00211199
OSD-397,Pde2a,207728,-23.9991,1.74892e-11
OSD-397,Dhx37,208144,-0.605539,0.00947526
OSD-397,Stc1,20855,-0.821819,0.0454732
OSD-397,Thnsl1,208967,0.427972,0.00947526
OSD-397,Med22,20933,-0.461428,0.0403903
OSD-397,Psmd2,21762,-0.56745,0.0454732
OSD-397,Dclre1c,227525,0.608582,0.0412288
