symbol,pw,pw_label,pw_id
HSP90AA1,https://identifiers.org/reactome/R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2,R-HSA-9634285
HSP90AA1,https://identifiers.org/reactome/R-HSA-9646399,Aggrephagy,R-HSA-9646399
HSP90AA1,https://identifiers.org/reactome/R-HSA-9652282,Drug-mediated inhibition of ERBB2 signaling,R-HSA-9652282
HSP90AA1,https://identifiers.org/reactome/R-HSA-9664565,Signaling by ERBB2 KD Mutants,R-HSA-9664565
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665233,Resistance of ERBB2 KD mutants to trastuzumab,R-HSA-9665233
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665244,Resistance of ERBB2 KD mutants to sapitinib,R-HSA-9665244
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665245,Resistance of ERBB2 KD mutants to tesevatinib,R-HSA-9665245
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665246,Resistance of ERBB2 KD mutants to neratinib,R-HSA-9665246
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665247,Resistance of ERBB2 KD mutants to osimertinib,R-HSA-9665247
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665249,Resistance of ERBB2 KD mutants to afatinib,R-HSA-9665249
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665250,Resistance of ERBB2 KD mutants to AEE788,R-HSA-9665250
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665251,Resistance of ERBB2 KD mutants to lapatinib,R-HSA-9665251
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665348,Signaling by ERBB2 ECD mutants,R-HSA-9665348
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants,R-HSA-9665686
HSP90AA1,https://identifiers.org/reactome/R-HSA-9665737,Drug resistance in ERBB2 TMD/JMD mutants,R-HSA-9665737
HSP90AA1,https://identifiers.org/reactome/R-HSA-9679191,Potential therapeutics for SARS,R-HSA-9679191
HSP90AA1,https://identifiers.org/reactome/R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,R-HSA-9705671
HSP90AA1,https://identifiers.org/reactome/R-HSA-9820962,Assembly and release of respiratory syncytial virus (RSV) virions,R-HSA-9820962
HSP90AA1,https://identifiers.org/reactome/R-HSA-9834752,Respiratory syncytial virus genome replication,R-HSA-9834752
HSP90B1,https://identifiers.org/reactome/R-HSA-1679131,Trafficking and processing of endosomal TLR,R-HSA-1679131
HSP90B1,https://identifiers.org/reactome/R-HSA-3000480,Scavenging by Class A Receptors,R-HSA-3000480
HSP90B1,https://identifiers.org/reactome/R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,R-HSA-381183
HSP90B1,https://identifiers.org/reactome/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-381426
HSP90B1,https://identifiers.org/reactome/R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,R-HSA-6785807
HSP90B1,https://identifiers.org/reactome/R-HSA-8957275,Post-translational protein phosphorylation,R-HSA-8957275
HSPA5,https://identifiers.org/reactome/R-HSA-114608,Platelet degranulation ,R-HSA-114608
HSPA5,https://identifiers.org/reactome/R-HSA-3371453,Regulation of HSF1-mediated heat shock response,R-HSA-3371453
HSPA5,https://identifiers.org/reactome/R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,R-HSA-381033
HSPA5,https://identifiers.org/reactome/R-HSA-381042,PERK regulates gene expression,R-HSA-381042
HSPA5,https://identifiers.org/reactome/R-HSA-381070,IRE1alpha activates chaperones,R-HSA-381070
HSPA5,https://identifiers.org/reactome/R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,R-HSA-381183
HSPA5,https://identifiers.org/reactome/R-HSA-8874177,ATF6B (ATF6-beta) activates chaperones,R-HSA-8874177
HSPA5,https://identifiers.org/reactome/R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",R-HSA-983170
HSPA5,https://identifiers.org/reactome/R-HSA-9909505,Modulation of host responses by IFN-stimulated genes,R-HSA-9909505
INMT,https://identifiers.org/reactome/R-HSA-2408552,Methylation of MeSeH for excretion,R-HSA-2408552
KCNQ3,https://identifiers.org/reactome/R-HSA-1296072,Voltage gated Potassium channels,R-HSA-1296072
KCNQ3,https://identifiers.org/reactome/R-HSA-445095,Interaction between L1 and Ankyrins,R-HSA-445095
MADD,https://identifiers.org/reactome/R-HSA-5357905,Regulation of TNFR1 signaling,R-HSA-5357905
MADD,https://identifiers.org/reactome/R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,R-HSA-8876198
NAB2,https://identifiers.org/reactome/R-HSA-9031628,NGF-stimulated transcription,R-HSA-9031628
NAB2,https://identifiers.org/reactome/R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,R-HSA-9619665
NOL6,https://identifiers.org/reactome/R-HSA-6790901,rRNA modification in the nucleus and cytosol,R-HSA-6790901
NOL6,https://identifiers.org/reactome/R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,R-HSA-6791226
NPEPPS,https://identifiers.org/reactome/R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,R-HSA-983168
NPPA,https://identifiers.org/reactome/R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,R-HSA-2032785
NPPA,https://identifiers.org/reactome/R-HSA-5578768,Physiological factors,R-HSA-5578768
NPPA,https://identifiers.org/reactome/R-HSA-977225,Amyloid fiber formation,R-HSA-977225
NR4A1,https://identifiers.org/reactome/R-HSA-198693,AKT phosphorylates targets in the nucleus,R-HSA-198693
NR4A1,https://identifiers.org/reactome/R-HSA-383280,Nuclear Receptor transcription pathway,R-HSA-383280
NR4A1,https://identifiers.org/reactome/R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,R-HSA-5674400
P4HA1,https://identifiers.org/reactome/R-HSA-1650814,Collagen biosynthesis and modifying enzymes,R-HSA-1650814
PDE2A,https://identifiers.org/reactome/R-HSA-418457,cGMP effects,R-HSA-418457
PDE2A,https://identifiers.org/reactome/R-HSA-418555,G alpha (s) signalling events,R-HSA-418555
PDIA6,https://identifiers.org/reactome/R-HSA-381038,XBP1(S) activates chaperone genes,R-HSA-381038
PDIA6,https://identifiers.org/reactome/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-381426
PDIA6,https://identifiers.org/reactome/R-HSA-8957275,Post-translational protein phosphorylation,R-HSA-8957275
PLD3,https://identifiers.org/reactome/R-HSA-1483148,Synthesis of PG,R-HSA-1483148
PLD3,https://identifiers.org/reactome/R-HSA-2029485,Role of phospholipids in phagocytosis,R-HSA-2029485
PSMD2,https://identifiers.org/reactome/R-HSA-1169091,Activation of NF-kappaB in B cells,R-HSA-1169091
PSMD2,https://identifiers.org/reactome/R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,R-HSA-1234176
PSMD2,https://identifiers.org/reactome/R-HSA-1236974,ER-Phagosome pathway,R-HSA-1236974
PSMD2,https://identifiers.org/reactome/R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),R-HSA-1236978
PSMD2,https://identifiers.org/reactome/R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,R-HSA-174084
PSMD2,https://identifiers.org/reactome/R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,R-HSA-174113
PSMD2,https://identifiers.org/reactome/R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,R-HSA-174154
