symbol,trait,trait_label
ANLN,http://www.orpha.net/ORDO/Orphanet_93626,Rare renal disease
ANLN,http://www.orpha.net/ORDO/Orphanet_98053,Rare genetic disease
ANLN,http://www.orpha.net/ORDO/Orphanet_98056,Rare genetic renal disease
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/01c64ec2557382b43cba,Late-onset myasthenia gravis
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/035f88c137e47d5d4bf1,Mean corpuscular volume
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/0853fcbea24550f376ba,Hip shape mode 6
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/0c58edab8f3e3255423e,Type 1 diabetes with renal manifestations
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/28458f66f377c211ce5d,Coronary heart disease or stroke or peripheral vascular disease in type 2 diabetes (T2D)
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/29a0fba9a07b1fa3f980,erythrocyte measurement
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/471f08c4f0f2b4d304f5,appendicitis
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/5052dfcb1d6fb1145370,Lumbar spine area
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/5b7fcfe935bd50a68f14,Mean sphered cell volume
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/7a7e7c57e8b19c07e884,CCS causative cardio-aortic embolism major
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/7ba74f51440d2ca8276d,Body mass index (BMI) at 2 years
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/86ff4e8e8b661373c88b,Highlight scatter reticulocyte count
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/8c0af503a476143c88c3,Reticulocyte percentage
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/8c1ee123794ec50e1c82,Gestational diabetes or abnormal glucose tolerance in pregnancy
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/8ecdd38f955f72db7c41,reticulocyte measurement
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/8f45d48372ae54a2161f,Young- and early-onset Parkinson's disease
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/aa676ebbb85a33b95eef,Average oxyhemoglobin saturation during sleep
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b41e526ff469508de40c,Clonal haematopoiesis of indeterminate potential (without mosaic chromosomal alteration)
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b827ea1f823feca9bc8e,Red blood cell distribution width
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/c5462d59dd625084b4df,mean corpuscular volume
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d46359db9b043a3282e8,CT visual scoring; emphysema paraseptal
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d47028a98f7a059beb94,Longevity (age >99th survival percentile)
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d8a217822c1c1e92039c,Peptic ulcers (recessive model)
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/eb2be5a7577f9eb24a6c,Diffusing capacity for lung of carbon monoxide (DLco) in idiopathic pulmonary fibrosis
ANLN,https://purl.org/okn/frink/kg/digcfdekg/node/trait/fbe219f417613d352aed,Total saturated fatty acids
APLNR,http://purl.obolibrary.org/obo/HP_0000822,Hypertension
APLNR,http://purl.obolibrary.org/obo/MONDO_0001703,color vision disorder
APLNR,http://purl.obolibrary.org/obo/NBO_0000160,Sleep duration
APLNR,http://purl.obolibrary.org/obo/OBA_2050002,Descending aorta diameter
APLNR,http://purl.obolibrary.org/obo/OBA_2050015,Kidney volume
APLNR,http://www.ebi.ac.uk/efo/EFO_0004327,electrocardiography
APLNR,http://www.ebi.ac.uk/efo/EFO_0004348,hematocrit
APLNR,http://www.ebi.ac.uk/efo/EFO_0004462,PR interval
APLNR,http://www.ebi.ac.uk/efo/EFO_0006335,Systolic blood pressure
APLNR,http://www.ebi.ac.uk/efo/EFO_0006336,diastolic blood pressure
APLNR,http://www.ebi.ac.uk/efo/EFO_0008446,platelet-to-lymphocyte ratio
APLNR,http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density
APLNR,http://www.ebi.ac.uk/efo/EFO_0009718,peak expiratory flow
APLNR,http://www.ebi.ac.uk/efo/EFO_0009927,Antihypertensive use measurement
APLNR,http://www.orpha.net/ORDO/Orphanet_101063,Situs inversus totalis
APLNR,http://www.orpha.net/ORDO/Orphanet_101934,Genetic cardiac rhythm disease
APLNR,http://www.orpha.net/ORDO/Orphanet_108971,Non-syndromic visceral malformation
APLNR,http://www.orpha.net/ORDO/Orphanet_154,Familial isolated dilated cardiomyopathy
APLNR,http://www.orpha.net/ORDO/Orphanet_157769,Situs ambiguus
APLNR,http://www.orpha.net/ORDO/Orphanet_165711,Rare abdominal surgical disease
APLNR,http://www.orpha.net/ORDO/Orphanet_207085,Qualitative or quantitative defects of dystrophin
APLNR,http://www.orpha.net/ORDO/Orphanet_217604,Dilated cardiomyopathy
APLNR,http://www.orpha.net/ORDO/Orphanet_217607,Familial dilated cardiomyopathy
APLNR,http://www.orpha.net/ORDO/Orphanet_218436,Rare cardiac rhythm disease
APLNR,http://www.orpha.net/ORDO/Orphanet_254776,Mitochondrial oxidative phosphorylation disorder due to a point mutation of mitochondrial DNA
APLNR,http://www.orpha.net/ORDO/Orphanet_271853,Genetic cardiac anomaly
APLNR,http://www.orpha.net/ORDO/Orphanet_300755,Laminopathy with striated muscle involvement
APLNR,http://www.orpha.net/ORDO/Orphanet_450,Heterotaxia
APLNR,http://www.orpha.net/ORDO/Orphanet_506216,Rare disorder potentially indicated for bowel transplant
APLNR,http://www.orpha.net/ORDO/Orphanet_768,Familial long QT syndrome
APLNR,http://www.orpha.net/ORDO/Orphanet_88991,Rare congenital non-syndromic heart malformation
APLNR,http://www.orpha.net/ORDO/Orphanet_97929,Rare cardiac disease
APLNR,http://www.orpha.net/ORDO/Orphanet_97965,Rare surgical cardiac disease
APLNR,http://www.orpha.net/ORDO/Orphanet_98054,Rare genetic cardiac disease
APLNR,http://www.orpha.net/ORDO/Orphanet_98301,Laminopathy
APLNR,http://www.orpha.net/ORDO/Orphanet_98716,Heart position anomaly
APLNR,http://www.orpha.net/ORDO/Orphanet_98717,Transposition of the great arteries and conotruncal cardiac anomaly
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/0583334e296aa77ff895,Right atrial minimum area; BSA indexed
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/0d1f6d9e2dfcd4f0b21c,Fasting proinsulin
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/1072bb705e122d0104b1,Urinary albumin-to-creatinine ratio (UACR)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/147bf20520e4add29eb9,Chronic kidney disease (CKD)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/14a289445a84bd98d5ae,Corrected QT interval (QTc)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/14f5b2f044eed6883c89,Idiopathic pulmonary fibrosis survival
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/20bc621e15ba31a51405,Left ventricular end-systolic volume (BSA-indexed)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/2b34c74a96a2933c519a,Waist-hip ratio adj BMI
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/30e2632383eee646e45c,Intraocular pressure
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/3fb1a0bd59ab8cb06c48,QRS interval
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/441d2f7de35ec0549f82,Snoring adj BMI
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/449de16e8049af35333b,Coronary artery disease (CAD)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/4567420af6d923d1710c,Broad vs. Heavy alcohol consumption
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/45cddefcbef3b4dcab6e,brain measurement
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/4930edc17f5d567b9087,Exp/Insp Mean Atten ratio Slicer
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/5052dfcb1d6fb1145370,Lumbar spine area
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/53f4fbe3ff2005a9aaa6,Pulse pressure
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/600adfc720ae77b07b99,Barrett's esophagus
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/60599f4009764cfb914c,Fasting proinsulin adj BMI
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/62186a90c071613fa959,Total hip area
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/63095bd014b217e78cf0,Pulmonary artery to aorta ratio; diastole
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/6e3d1f67139d79663537,Hematocrit percentage
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/7153de2afff9f0479804,Pulse rate
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/778bf57bfbdb7c29b0f5,Myocardial infarction
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/795c8a0335f0bd0adfe3,Atrial fibrillation or flutter
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/7a70574644e8f9cd0e3e,Clonal haematopoiesis of indeterminate potential (SF3B1 mutation)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/82b37f47c49453515ba0,Right ventricular end-systolic volume
