symbol,taxonomy,gene,log2fc,adj_p,osd
Map1a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17754,-0.200692,0.0133245,OSD-255
Map1b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17755,-0.218984,0.0228587,OSD-255
Map4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17758,-0.145645,0.00887309,OSD-255
Mast2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17776,-0.219754,0.0355846,OSD-255
Ncam1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17967,-0.169382,0.000854404,OSD-255
Nin,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18080,0.303808,0.00168851,OSD-255
Nktr,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18087,0.342808,0.0171897,OSD-255
Nr4a3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18124,-1.07983,0.0432703,OSD-255
Nptx1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18164,-0.249271,0.000104884,OSD-255
Mybbp1a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18432,-0.233925,0.037889,OSD-255
P4ha1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18451,0.245031,0.00687983,OSD-255
Per1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18626,-0.311015,0.000273376,OSD-255
Per3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18628,0.242689,0.0259575,OSD-255
Pgk1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18655,0.183536,0.0321477,OSD-255
Pla2r1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18779,-0.289271,0.0182834,OSD-255
Prnp,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19122,0.179539,0.0114905,OSD-255
Pros1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19128,-0.676351,0.0391227,OSD-255
Prox1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19130,-0.155259,0.0147297,OSD-255
Prph,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19132,0.811131,0.0148624,OSD-255
Lgmn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19141,0.199323,0.0203119,OSD-255
Npepps,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19155,0.218946,0.0340948,OSD-255
Prpf8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/192159,-0.227698,0.00443278,OSD-255
Ptp4a1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19243,1.33519,0.026103,OSD-255
Rab11b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19326,-0.186569,0.0147405,OSD-255
Abhd16a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/193742,-0.205026,0.0453729,OSD-255
Ranbp2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19386,-0.186065,0.00687983,OSD-255
Rbm3|Rbm3-ps,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19652,-0.286319,0.0321168,OSD-255
Rbp3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19661,-0.220858,0.00043482,OSD-255
Rcvrn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19674,0.259282,0.00228831,OSD-255
Rlbp1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19771,-0.246562,0.0226509,OSD-255
Rs1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20147,-0.332257,3.70546e-05,OSD-255
Sag,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20215,-0.644363,6.88608e-21,OSD-255
Sema6c,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20360,-0.518518,0.0168167,OSD-255
Slc20a2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20516,-0.308896,0.0286738,OSD-255
Slc7a5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20539,-0.35787,0.00033216,OSD-255
Hltf,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20585,0.259387,0.000108091,OSD-255
Snrnp70,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20637,0.193656,0.0279339,OSD-255
Sntb2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20650,0.190988,0.0479759,OSD-255
Sp4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20688,0.216305,0.000473114,OSD-255
Ubald1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/207740,-0.189254,0.014595,OSD-255
Stc1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20855,-0.451626,0.00887309,OSD-255
Eif4g1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/208643,-0.194529,0.0198281,OSD-255
Stxbp1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20910,-0.35947,9.79759e-06,OSD-255
Syt1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20979,-0.128604,0.0133245,OSD-255
Ddx46,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/212880,-0.230923,0.00443278,OSD-255
Prdm9,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/213389,0.277399,0.0392143,OSD-255
Med16,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/216154,-0.238952,0.0156467,OSD-255
Zfc3h1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/216345,0.17658,0.0163744,OSD-255
Pde8b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/218461,0.323395,0.0214424,OSD-255
Ubb-ps,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/218963,-0.26529,0.00173202,OSD-255
Akap11,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/219181,0.174418,0.0201943,OSD-255
Tnfsf12,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/21944,-0.240838,0.0268552,OSD-255
Tnks,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/21951,-0.202379,0.0127858,OSD-255
Hsp90b1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22027,0.247924,3.13851e-05,OSD-255
Trpc1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22063,-0.318779,0.033785,OSD-255
Zrsr1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22183,0.248803,0.00252713,OSD-255
Ubb,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22187,-0.232415,0.00672629,OSD-255
Ubc,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22190,-0.338544,3.98708e-12,OSD-255
Vldlr,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22359,-0.173406,0.0136538,OSD-255
Them6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/223626,-0.253474,0.00621844,OSD-255
Vtn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22370,-0.230575,0.000515878,OSD-255
Pak2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/224105,-0.178232,0.0163397,OSD-255
Xbp1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22433,0.327615,0.0300094,OSD-255
Pcare,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/225004,-0.360965,1.29423e-05,OSD-255
Fhod3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/225288,-0.187439,0.0480062,OSD-255
Ubtd1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/226122,-0.365552,0.00403508,OSD-255
Zfp207,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22680,0.187324,0.027436,OSD-255
Zdhhc5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/228136,0.222327,0.00201286,OSD-255
Lrp4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/228357,-0.362372,0.0133245,OSD-255
Ddx27,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/228889,-0.218582,0.0432703,OSD-255
Nol6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/230082,-0.292745,0.0110305,OSD-255
Adgrb2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/230775,-0.543818,2.16854e-05,OSD-255
Sesn2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/230784,-0.406478,0.00208533,OSD-255
Gckr,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/231103,0.687456,0.00330094,OSD-255
Sdad1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/231452,-0.491598,0.0434417,OSD-255
Gak,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/231580,-0.151046,0.0479759,OSD-255
Iqsec1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/232227,-0.345552,1.2951e-08,OSD-255
Zscan22,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/232878,0.248289,0.0466764,OSD-255
Itpkc,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/233011,-0.31984,0.037889,OSD-255
Zfp790,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/233056,0.29523,0.0451708,OSD-255
Mtmr10,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/233315,-0.530381,0.0135608,OSD-255
Dchs1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/233651,-0.361509,0.021902,OSD-255
Cbr4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/234309,0.40695,0.0261906,OSD-255
Vac14,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/234729,-0.211298,0.0365342,OSD-255
Klhl36,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/234796,-0.276868,0.00472805,OSD-255
Ntm,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/235106,-0.181958,0.0432703,OSD-255
Sik2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/235344,0.59557,5.86267e-08,OSD-255
Mindy2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/235461,0.144949,0.0338346,OSD-255
Lynx1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/23936,-0.217265,7.5428e-05,OSD-255
