disease,hp,hp_label,disease_label
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001300,Parkinsonism,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001310,Dysmetria,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001324,Muscle weakness,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001332,Dystonia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001336,Myoclonus,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001344,Absent speech,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001347,Hyperreflexia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001355,Megalencephaly,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001371,Flexion contracture,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001382,Joint hypermobility,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001388,Joint laxity,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001392,Abnormality of the liver,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001396,Cholestasis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001397,Hepatic steatosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001399,Hepatic failure,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001410,Decreased liver function,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001417,X-linked inheritance,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001427,Mitochondrial inheritance,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001433,Hepatosplenomegaly,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001488,Bilateral ptosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001508,Failure to thrive,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001510,Growth delay,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001538,Protuberant abdomen,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001548,Overgrowth,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001631,Atrial septal defect,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001634,Mitral valve prolapse,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001635,Congestive heart failure,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001638,Cardiomyopathy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001639,Hypertrophic cardiomyopathy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001653,Mitral regurgitation,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001662,Bradycardia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001677,Coronary artery atherosclerosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001688,Sinus bradycardia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001695,Cardiac arrest,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001733,Pancreatitis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001763,Pes planus,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001788,Premature rupture of membranes,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001873,Thrombocytopenia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001875,Neutropenia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001876,Pancytopenia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001907,Thromboembolism,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001924,Sideroblastic anemia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001928,Abnormality of coagulation,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001941,Acidosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001943,Hypoglycemia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001946,Ketosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001947,Renal tubular acidosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001962,Palpitations,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001974,Leukocytosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001999,Abnormal facial shape,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0002024,Malabsorption,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0002028,Chronic diarrhea,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0002045,Hypothermia,Leber hereditary optic neuropathy
