osd,hEntrez,humanSymbol,log2fc,adj_p,top_fanout,model_symbols,tissue,system,species,dir,strict
OSD-100,8292,COLQ,-1.15416,0.0394277,1,Colq,left eye,OCULAR,mouse,DOWN,True
OSD-100,8458,TTF2,0.285322,0.0243603,1,Ttf2,left eye,OCULAR,mouse,UP,False
OSD-100,8462,KLF11,-0.47399,2.32546e-06,1,Klf11,left eye,OCULAR,mouse,DOWN,False
OSD-100,8477,GPR65,0.810091,0.0467559,1,Gpr65,left eye,OCULAR,mouse,UP,False
OSD-100,8490,RGS5,0.282254,0.0498123,1,Rgs5,left eye,OCULAR,mouse,UP,False
OSD-100,8542,APOL1,1.82503,0.0109721,4,Apol7a|Apol9a|Apol9b,left eye,OCULAR,mouse,UP,True
OSD-100,8553,BHLHE40,-0.2346,0.0314228,1,Bhlhe40,left eye,OCULAR,mouse,DOWN,False
OSD-100,8566,PDXK,-0.265549,2.02753e-05,1,Pdxk,left eye,OCULAR,mouse,DOWN,False
OSD-100,8567,MADD,0.205054,0.00383406,1,Madd,left eye,OCULAR,mouse,UP,False
OSD-100,8660,IRS2,-0.178361,0.0467559,1,Irs2,left eye,OCULAR,mouse,DOWN,False
OSD-100,8789,FBP2,-1.29637,0.0393189,1,Fbp2,left eye,OCULAR,mouse,DOWN,True
OSD-100,8864,PER2,-0.576963,8.56806e-06,1,Per2,left eye,OCULAR,mouse,DOWN,False
OSD-100,9050,PSTPIP2,-0.469964,0.0111742,1,Pstpip2,left eye,OCULAR,mouse,DOWN,False
OSD-100,9348,NDST3,0.23299,0.0289794,1,Ndst3,left eye,OCULAR,mouse,UP,False
OSD-100,9361,LONP1,-0.190982,0.00392963,1,Lonp1,left eye,OCULAR,mouse,DOWN,False
OSD-100,9531,BAG3,-0.268638,0.0236232,1,Bag3,left eye,OCULAR,mouse,DOWN,False
OSD-100,9572,NR1D1,-0.363612,0.0107257,1,Nr1d1,left eye,OCULAR,mouse,DOWN,False
OSD-100,9636,ISG15,0.925441,0.0270044,1,Isg15,left eye,OCULAR,mouse,UP,False
OSD-100,9709,HERPUD1,-0.253368,0.00449946,1,Herpud1,left eye,OCULAR,mouse,DOWN,False
OSD-100,9735,KNTC1,0.830617,0.00276731,1,Kntc1,left eye,OCULAR,mouse,UP,False
OSD-100,9833,MELK,0.334134,0.0443084,1,Melk,left eye,OCULAR,mouse,UP,False
OSD-100,9903,KLHL21,-0.293033,0.00200648,1,Klhl21,left eye,OCULAR,mouse,DOWN,False
