osd,symbol,entrez,log2fc,adj_p,tissue,system,species,dir,strict
OSD-525,0610040B10Rik,67672,1.00808,8.13655e-05,cerebellum,CNS,mouse,UP,True
OSD-525,Avil,11567,-2.01476,0.00110185,cerebellum,CNS,mouse,DOWN,True
OSD-525,Dok3,27261,-1.81816,0.00492633,cerebellum,CNS,mouse,DOWN,True
OSD-525,Serpina3g,20715,-2.11076,0.0222679,cerebellum,CNS,mouse,DOWN,True
OSD-525,Hmga1b,111241,-8.31182,0.000100853,cerebellum,CNS,mouse,DOWN,True
OSD-525,Gm10069,791299,-1.25902,0.000179584,cerebellum,CNS,mouse,DOWN,True
OSD-525,H4c14,97122,-1.07341,1.59395e-07,cerebellum,CNS,mouse,DOWN,True
OSD-525,Sele,20339,-6.00188,0.00806719,cerebellum,CNS,mouse,DOWN,True
OSD-525,Igsf5,72058,1.40535,0.0122909,cerebellum,CNS,mouse,UP,True
OSD-525,Cfap57,68625,-1.10205,0.0359661,cerebellum,CNS,mouse,DOWN,True
OSD-525,Plekhg4,102075,-1.49992,0.000137589,cerebellum,CNS,mouse,DOWN,True
OSD-525,Cnn1,12797,-2.25336,0.00850822,cerebellum,CNS,mouse,DOWN,True
OSD-525,Ccl11,20292,-1.82424,0.028279,cerebellum,CNS,mouse,DOWN,True
OSD-525,Gm8251,102636082,-1.38071,0.000233731,cerebellum,CNS,mouse,DOWN,True
OSD-525,B230319C09Rik,320775,1.0307,0.0161575,cerebellum,CNS,mouse,UP,True
OSD-525,Defb42,619548,1.29043,9.14082e-11,cerebellum,CNS,mouse,UP,True
OSD-525,Spta1,20739,1.52636,0.0191222,cerebellum,CNS,mouse,UP,True
OSD-525,Fbxl22,74165,-2.00015,8.13583e-14,cerebellum,CNS,mouse,DOWN,True
OSD-525,Ctsw,13041,-1.95463,0.00447036,cerebellum,CNS,mouse,DOWN,True
OSD-525,Snord13,115490494,-1.65145,0.0403881,cerebellum,CNS,mouse,DOWN,True
OSD-525,Thap6,381650,1.20857,0.0158301,cerebellum,CNS,mouse,UP,True
OSD-525,Serpinh1,12406,-1.21673,1.22972e-09,cerebellum,CNS,mouse,DOWN,True
OSD-525,Clic3,69454,2.61412,0.0431215,cerebellum,CNS,mouse,UP,True
OSD-525,Serpina3f,238393,-4.21489,0.0317835,cerebellum,CNS,mouse,DOWN,True
OSD-525,Derl3,70377,-1.71095,0.042721,cerebellum,CNS,mouse,DOWN,True
OSD-525,Fgf20,80857,1.115,0.045581,cerebellum,CNS,mouse,UP,True
OSD-525,Ooep,67968,2.19659,0.00528552,cerebellum,CNS,mouse,UP,True
OSD-525,H2bc6,319179,-1.01003,2.98308e-07,cerebellum,CNS,mouse,DOWN,True
OSD-525,Adgre4,52614,-2.55241,0.010837,cerebellum,CNS,mouse,DOWN,True
OSD-525,Gm4767,210583,2.51688,0.00644945,cerebellum,CNS,mouse,UP,True
OSD-561,Col8a1,12837,-1.93343,0.0359363,cerebellum,CNS,mouse,DOWN,True
OSD-561,Snord3b2,19859,22.5253,3.99792e-06,cerebellum,CNS,mouse,UP,True
OSD-561,Gm10222,100142658,-23.8448,0.000511506,cerebellum,CNS,mouse,DOWN,True
OSD-561,Snord3b1,19858,22.5271,0.00079646,cerebellum,CNS,mouse,UP,True
OSD-561,Snord3b3,19860,22.5271,0.00079646,cerebellum,CNS,mouse,UP,True
OSD-562,Gm12671,654475,-20.3619,0.000345304,hippocampus,CNS,mouse,DOWN,True
OSD-563,Chrna3,110834,2.1486,0.000795328,cerebellum,CNS,mouse,UP,True
OSD-563,Tcf7l2,21416,2.32141,0.0454008,cerebellum,CNS,mouse,UP,True
OSD-564,Rps25,75617,-1.13618,0.00271331,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl35,66489,-1.09947,0.00181838,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl32,19951,-1.05634,0.00637846,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl12,269261,-1.12433,0.00105318,hippocampus,CNS,mouse,DOWN,True
