interest,interestLabel,interestClass,nFacilities
Complianceassistance,COMPLIANCE ASSISTANCE,AssistanceSupportProgram,1
Complianceassistance,COMPLIANCE ASSISTANCE,ComplianceInterest,1
Compostingfacility,,,1
Damsite,DAM SITE,SiteInterest,1
Damsite,DAM SITE,WaterResourcesProgram,1
E-Waste,E-WASTE,SolidWasteProgram,1
Electricpowergenerator-Oilbased,ELECTRIC POWER GENERATOR (OIL BASED),AirProgram,1
Electricpowergenerator-Otherfossilfuelbased,ELECTRIC POWER GENERATOR (OTHER FOSSIL FUEL BASED),AirProgram,1
Siteinvestigation,,,1
Hazardouswaste,,,1
Livestockwastecontrol,LIVESTOCK WASTE CONTROL,AnimalOperation,1
Mineoperatingpermit,MINE OPERATING PERMIT,PermitInterest,1
Mineoperatingpermit,MINE OPERATING PERMIT,SolidWasteProgram,1
Multi-Permittedsite,MULTI-PERMITTED SITE,,1
Notinauniverse,NOT IN A UNIVERSE,HazardousWasteProgram,1
Notinauniverse,NOT IN A UNIVERSE,RegistryInterest,1
Oaqstationarysourceid,,,1
Radneshaps,RAD NESHAPS,RadiationProtectionProgram,1
