cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5526484107963400192	44.313384	-69.812375	1	EGAD	1	3	3	0	0		13	0	42	1	23	Maine	23011	Kennebec County	1					1.0	National security / military installation (AFFF)	928110	ME ARMY NATL GUARD CAMP KEYES	0.21670536049560574	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5965307307507056640	46.561806	-96.09155	1	WQP	1	40	40	0	0		12	0	54	1	27	Minnesota	27111	Otter Tail County	1					1.0	Sewage treatment (effluent & biosolids)	221320	PELICAN RAPIDS WWTP	0.21062000772931627	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9797529947953168384	44.834689	-92.997568	1	WQP	1	7	7	0	0		6	0	75	1	27	Minnesota	27163	Washington County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9797530051032383488	44.847331	-92.977743	1	WQP	1	7	7	0	0		6	0	73	1	27	Minnesota	27163	Washington County	1					0.6	Petroleum & coal products manufacturing	324110	MARATHON SAINT PAUL PARK REFINERY	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5573318286784856064	47.963683	-89.683683	1	WQP	1	15	3	0	0		5	0	10	1	27	Minnesota	27031	Cook County	1					1.0	Sewage treatment (effluent & biosolids)	221320	GRAND PORTAGE WASTEWATER STABILIZATION LAGOON	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525963695366078464	44.9096845	-69.26567299999999	2	EGAD	2	70	35	0	0		3	0	7	1	23	Maine	23019	Penobscot County	1					1.0	Fabric mills	313210	EASTLAND WOOLEN MILLS INC	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5960533640336113664	47.532095	-95.350846	1	WQP	1	40	40	0	0		3	0	3	1	27	Minnesota	27029	Clearwater County	1					1.0	Airport operations (AFFF fire training)	488119	BAGLEY MUNI	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9739901657323405312	33.468928	-112.174211	1	WQP	1	38	38	0	0		3	0	89	1	04	Arizona	04013	Maricopa County	1					0.6	Other fabricated metal product manufacturing	332999	SOUTHWEST PRODUCTS	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9767139206043271168	44.013713	-96.32483333333332	3	WQP	3	24	3	0	0		3	0	84	1	27	Minnesota	27117	Pipestone County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9797535479871045632	44.9051415	-93.011116	2	WQP	2	14	7	0	0		3	0	33	1	27	Minnesota	27123	Ramsey County	1					1.0	Other chemical product manufacturing	325998	HAWKINS INDUSTRIAL GROUP - RED ROCK	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526670646983000064	43.361095	-70.559142	1	EGAD	1	28	7	0	0		2	0	4	1	23	Maine	23031	York County	1					1.0	Metal coating & electroplating	332812	NORTHEAST COATING TECHNOLOGIES	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5958421684657586176	47.215072	-93.57234	1	WQP	1	80	53	0	0		2	0	7	1	27	Minnesota	27061	Itasca County	1					1.0	Sewage treatment (effluent & biosolids)	221320	GRAND RAPIDS WWTP	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9797530188471336960	44.824213	-92.983847	1	WQP	1	7	7	0	0		2	0	39	1	27	Minnesota	27163	Washington County	1					0.6	Petroleum & coal products manufacturing	324110	WESTERN REFINING TERMINALS LLC - COTTAGE GROVE	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9797545306756218880	44.962817	-92.799472	1	WQP	1	40	40	0	0		2	0	12	1	27	Minnesota	27163	Washington County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
5525220562944655360	43.8889025	-69.93814649999999	2	EGAD	2	7	4	0	0		1	0	9	1	23	Maine	23005	Cumberland County	1					1.0	National security / military installation (AFFF)	928110	US NAVY NAVAL AIR STATION BRUNSWICK 2	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526635015934312448	43.775147	-70.499297	1	EGAD	1	28	7	0	0		1	0	3	1	23	Maine	23005	Cumberland County	1					1.0	Sewage treatment (effluent & biosolids)	221320	PORTLAND WATER DISTRICT	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526946109005496320	44.002448	-70.965565	1	EGAD	1	34	17	0	0		1	0	13	1	23	Maine	23017	Oxford County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9742149265249009664	36.085303	-112.121498	1	WQP	1	15	3	0	0		1	0	7	1	04	Arizona	04005	Coconino County	1					0.6	Water supply systems	221310	USDOI- NPS -INDIAN GARDENS PUMP STATION	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9767141989182078976	44.015132	-96.319882	4	WQP	4	39	3	0	0		1	0	116	1	27	Minnesota	27117	Pipestone County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9796441156563763200	43.638114	-94.06571	1	WQP	1	40	40	0	0		1	0	8	1	27	Minnesota	27043	Faribault County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9797526271461163008	44.800953	-92.994359	1	WQP	1	7	7	0	0		1	0	4	1	27	Minnesota	27163	Washington County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9797542970294009856	44.842189	-92.79764	1	WQP	1	7	7	0	0		1	0	8	1	27	Minnesota	27163	Washington County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9798178625453817856	43.75086	-92.14643	1	WQP	1	13	13	0	0		1	0	13	1	27	Minnesota	27045	Fillmore County	1					1.0	Sewage treatment (effluent & biosolids)	221320	FOUNTAIN WWTP	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9935712755401097216	43.121017	-70.804833	4	WQP	4	156	13	0	0		1	0	9	1	23	Maine	23031	York County	1					0.6	Petroleum bulk stations & terminals	424710	SAFETY-KLEEN SYSTEMS	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5522795830567763968	46.111214	-67.794627	1	EGAD	1	27	27	0	0		0	0	6	1	23	Maine	23003	Aroostook County	1					0.6	Other fabricated metal product manufacturing	332994	SMITH & WESSON DIVISION	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
