cid,frsId,facName,naicsCode,naicsLabel
5526409203733757952,110039673163,CENTRAL MAINE REGIONAL AIRPORT,221320,Sewage Treatment Facilities 
5526409306812973056,110008437290,"WASTE MANAGEMENT DISPOSALSERVICES OF MAINE, INC. D/B/A CROSSROADS LANDFILL - NOR",22,Utilities
5526409306812973056,110008437290,"WASTE MANAGEMENT DISPOSALSERVICES OF MAINE, INC. D/B/A CROSSROADS LANDFILL - NOR",421930,
5526409306812973056,110008437290,"WASTE MANAGEMENT DISPOSALSERVICES OF MAINE, INC. D/B/A CROSSROADS LANDFILL - NOR",562212,Solid Waste Landfill 
5526409650410356736,110009912835,NORRIDGEWOCK WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322110,Pulp Mills 
5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322120,Paper Mills 
5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322121,
5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322110,Pulp Mills 
5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322120,Paper Mills 
5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322121,
5526416728516460544,110002050752,SKOWHEGAN WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526429338540441600,110000314749,TASMAN LEATHER GROUP LLC - HARTLAND,316110,Leather and Hide Tanning and Finishing
5526429338540441600,110006618623,HARTLAND WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526448339475759104,110000763139,KIMBERLY CLARK TISSUE COMPANY,322121,
5526448339475759104,110038944881,"WINSLOW,TOWN OF",,
5526449645145817088,110000732994,KENNEBEC WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526480328392179712,110008433971,HATCH HILL SOLID WASTE DISPOSAL FACILITY,611691,Exam Preparation and Tutoring 
5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313210,Broadwoven Fabric Mills
5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313230,Nonwoven Fabric Mills
5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313310,Textile and Fabric Finishing Mills 
5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,314999,All Other Miscellaneous Textile Product Mills 
