naicsCode,naicsLabel,nFacilities,nCells
541690,Other Scientific and Technical Consulting Services,2,2
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",2,2
54133,Engineering Services,2,2
532310,General Rental Centers,2,2
53212,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",2,2
424910,Farm Supplies Merchant Wholesalers ,2,2
53131,Real Estate Property Managers ,2,2
52211,Commercial Banking ,2,2
517311,,2,2
513110,Newspaper Publishers ,2,2
511110,,2,2
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",2,1
325212,Synthetic Rubber Manufacturing ,2,2
326191,Plastics Plumbing Fixture Manufacturing ,2,2
325414,Biological Product (except Diagnostic) Manufacturing ,2,2
333111,Farm Machinery and Equipment Manufacturing ,2,2
332510,Hardware Manufacturing,2,2
325314,Fertilizer (Mixing Only) Manufacturing ,2,2
325312,Phosphatic Fertilizer Manufacturing ,2,2
333922,Conveyor and Conveying Equipment Manufacturing ,2,2
221114,Solar Electric Power Generation ,2,2
325311,Nitrogenous Fertilizer Manufacturing ,2,2
23412,,2,1
221110,,2,1
31621,Footwear Manufacturing,2,2
333993,Packaging Machinery Manufacturing ,2,2
332431,Metal Can Manufacturing ,2,2
333210,,2,2
333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,2,1
311511,Fluid Milk Manufacturing ,2,2
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,2,2
332911,Industrial Valve Manufacturing ,2,2
326220,Rubber and Plastics Hoses and Belting Manufacturing,2,2
326291,Rubber Product Manufacturing for Mechanical Use ,2,2
3219,Other Wood Product Manufacturing,2,2
237110,Water and Sewer Line and Related Structures Construction ,2,2
236220,Commercial and Institutional Building Construction ,2,2
326299,All Other Rubber Product Manufacturing ,2,2
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,2,2
236118,Residential Remodelers ,2,2
327120,Clay Building Material and Refractories Manufacturing ,2,2
332321,Metal Window and Door Manufacturing ,2,2
321912,"Cut Stock, Resawing Lumber, and Planing ",2,1
321918,Other Millwork (including Flooring) ,2,2
32591,Printing Ink Manufacturing,2,2
333517,Machine Tool Manufacturing ,2,2
321992,Prefabricated Wood Building Manufacturing ,2,2
23799,Other Heavy and Civil Engineering Construction,2,2
327121,,2,1
333613,Mechanical Power Transmission Equipment Manufacturing ,2,2
324199,All Other Petroleum and Coal Products Manufacturing ,2,2
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",2,2
322221,,2,2
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,2,2
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2,2
312113,Ice Manufacturing ,2,1
334516,Analytical Laboratory Instrument Manufacturing ,2,2
322222,,2,2
331422,,2,2
322230,Stationery Product Manufacturing,2,2
33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2,2
333132,Oil and Gas Field Machinery and Equipment Manufacturing ,2,2
313000,,2,2
313320,Fabric Coating Mills,2,1
323122,,2,2
333131,Mining Machinery and Equipment Manufacturing ,2,2
323120,Support Activities for Printing,2,2
323115,,2,2
316999,,2,2
311911,Roasted Nuts and Peanut Butter Manufacturing ,2,2
327212,Other Pressed and Blown Glass and Glassware Manufacturing ,2,2
311712,,2,2
327215,Glass Product Manufacturing Made of Purchased Glass ,2,2
326121,Unlaminated Plastics Profile Shape Manufacturing ,2,2
334412,Bare Printed Circuit Board Manufacturing  ,2,2
212324,,2,1
334414,,2,2
334613,,2,2
334417,Electronic Connector Manufacturing ,2,1
327910,Abrasive Product Manufacturing,2,2
311513,Cheese Manufacturing ,2,1
314999,All Other Miscellaneous Textile Product Mills ,2,2
327993,Mineral Wool Manufacturing ,2,2
325131,,2,2
114111,Finfish Fishing ,2,1
331521,,2,2
321900,,1,1
56121,Facilities Support Services,1,1
56171,Exterminating and Pest Control Services,1,1
316219,,1,1
316990,Other Leather and Allied Product Manufacturing ,1,1
561422,Telemarketing Bureaus and Other Contact Centers ,1,1
316210,Footwear Manufacturing ,1,1
561720,Janitorial Services ,1,1
56173,Landscaping Services,1,1
56179,Other Services to Buildings and Dwellings,1,1
561790,Other Services to Buildings and Dwellings ,1,1
561910,Packaging and Labeling Services,1,1
56192,Convention and Trade Show Organizers,1,1
561920,Convention and Trade Show Organizers,1,1
315990,Apparel Accessories and Other Apparel Manufacturing ,1,1
315222,,1,1
315000,,1,1
314912,,1,1
314110,Carpet and Rug Mills,1,1
313312,,1,1
313311,,1,1
56292,Materials Recovery Facilities ,1,1
517919,,1,1
53121,Offices of Real Estate Agents and Brokers,1,1
531190,Lessors of Other Real Estate Property ,1,1
32213,Paperboard Mills,1,1
53112,Lessors of Nonresidential Buildings (except Miniwarehouses) ,1,1
322212,Folding Paperboard Box Manufacturing ,1,1
525920,"Trusts, Estates, and Agency Accounts ",1,1
524126,Direct Property and Casualty Insurance Carriers ,1,1
522210,Credit Card Issuing ,1,1
522110,Commercial Banking ,1,1
32222,Paper Bag and Coated and Treated Paper Manufacturing,1,1
519120,,1,1
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",1,1
531210,Offices of Real Estate Agents and Brokers,1,1
517911,,1,1
517210,,1,1
517122,Agents for Wireless Telecommunications Services,1,1
517111,Wired Telecommunications Carriers ,1,1
515120,,1,1
322231,,1,1
51224,Sound Recording Studios,1,1
51221,,1,1
322233,,1,1
323117,Books Printing ,1,1
48621,Pipeline Transportation of Natural Gas,1,1
541511,Custom Computer Programming Services ,1,1
55111,Management of Companies and Enterprises,1,1
54199,"All Other Professional, Scientific, and Technical Services",1,1
541940,Veterinary Services ,1,1
321,Wood Product Manufacturing,1,1
54189,Other Services Related to Advertising,1,1
54185,Indoor and Outdoor Display Advertising,1,1
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",1,1
321214,,1,1
541712,,1,1
54171,"Research and Development in the Physical, Engineering, and Life Sciences",1,1
54169,Other Scientific and Technical Consulting Services,1,1
323118,,1,1
551114,"Corporate, Subsidiary, and Regional Managing Offices ",1,1
54143,Graphic Design Services,1,1
541420,Industrial Design Services,1,1
541330,Engineering Services,1,1
321990,,1,1
53231,General Rental Centers,1,1
53222,,1,1
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",1,1
322,Paper Manufacturing,1,1
532111,Passenger Car Rental ,1,1
