cid,nDet,nDetAnalytes
9740506113840775168,20,10
9742139094766452736,2,2
9742149815004823552,6,3
9742262411867455488,1,1
9766637863100743680,1,1
9766723006532419584,4,4
9766762588951019520,25,5
9766790901375434752,77,9
9766942943217713152,3,3
9767139240403009536,6,3
9773483937891352576,2,2
9774143954105663488,4,4
9779934119776485376,3,3
9780285654259728384,3,3
9780447900944302080,5,5
9781099533382451200,3,3
9781824180264632320,7,3
9781974710278422528,5,4
9785187277096353792,1,1
9785455867171176448,2,2
9785895637462548480,3,2
9785908488004698112,9,3
9785909003400773632,6,3
9785934154729259008,12,3
9787662552648384512,3,3
9787687394739224576,4,4
9787931829917974528,4,4
9790546812166209536,6,6
9791335849198092288,3,3
9791603477200240640,1,1
9792836991807651840,12,8
9795559279518810112,1,1
9795559554396717056,19,13
9796312754221481984,152,12
9796475791180038144,5,5
9796512453020876800,1,1
9796516885427126272,1,1
9796516919786864640,1,1
9796643260544843776,5,4
9796876975485222912,22,5
9796877662679990272,33,13
9796877697039728640,15,8
9797001907493928960,3,3
9797012524653084672,1,1
9797017300656717824,65,6
9797018056570961920,83,8
9797020564831862784,4,1
9797022420257734656,9,1
9797040321681424384,14,5
9797041970948866048,4,3
9797045510001917952,16,2
9797045613081133056,86,10
9797046025397993472,27,13
9797046197196685312,12,6
9797047159269359616,8,6
9797052794266451968,7,7
9797053962497556480,2,2
9797053996857294848,6,6
9797056642557149184,30,4
9797057742068776960,26,16
9797059872372555776,9,7
9797060937524445184,143,18
9797060971884183552,4,4
9797061212402352128,11,7
9797061246762090496,29,10
9797061384201043968,214,17
9797062174475026432,10,5
9797062414993195008,33,5
9797062655511363584,12,1
9797063514504822784,1,1
9797063583224299520,114,21
9797064201699590144,12,11
9797065335570956288,35,11
9797065541729386496,9,9
9797066400722845696,1,1
9797067672033165312,18,12
9797068531026624512,60,6
9797069355660345344,6,6
9797069767977205760,143,20
9797070420812234752,42,12
9797070867488833536,12,6
9797071485964124160,26,5
9797075815291158528,9,9
9797081347209035776,24,4
9797086672968482816,17,12
9797099489150894080,4,4
9797099660949585920,5,5
9797099832748277760,8,8
9797102203570225152,2,2
9797136941265715200,1,1
9797289635943022592,2,2
9797453600614514688,24,8
9797457002228613120,4,4
9797460094605066240,32,8
9797460884879048704,24,8
9797487582395760640,1,1
9797512802443722752,109,12
9797513008602152960,40,8
9797513180400844800,1,1
9797513214760583168,1,1
9797513901955350528,1,1
9797513936315088896,1,1
9797514932747501568,1,1
9797515001466978304,3,3
9797515482503315456,34,13
9797515619942268928,1,1
9797515826100699136,10,10
9797515894820175872,1,1
9797515929179914240,2,1
9797515997899390976,2,1
9797516238417559552,1126,9
9797516307137036288,24,9
9797516478935728128,31,3
9797516547655204864,7,1
9797519674391396352,9,9
9797522320091250688,25,10
9797525446827442176,7,7
9797525996583256064,21,13
9797526030942994432,7,6
9797526134022209536,1,1
9797526237101424640,1,1
9797526546339069952,62,12
9797527061735145472,36,12
9797527164814360576,136,13
9797527680210436096,1,1
9797527714570174464,8,1
9797527748929912832,1,1
9797527989448081408,1,1
9797528195606511616,1,1
9797528264325988352,11,11
9797528539203895296,1,1
9797528573563633664,4,1
9797528848441540608,1,1
9797529123319447552,1,1
9797529192038924288,1,1
9797529329477877760,1,1
9797529432557092864,2,1
9797529535636307968,2,1
9797529673075261440,36,11
9797529707434999808,30,8
9797529741794738176,59,11
9797529844873953280,121,9
9797529879233691648,14,9
9797529913593430016,114,15
9797529982312906752,2,1
9797530119751860224,3,1
9797530222831075328,2,1
9797530291550552064,43,11
9797530360270028800,22,11
9797532593653022720,20,10
9797532696732237824,51,13
9797532765451714560,5,5
9797532799811452928,12,7
9797532834171191296,11,6
9797532868530929664,14,5
9797534414719156224,33,10
9797534586517848064,3,3
9797534620877586432,17,6
9797534998834708480,31,4
9797535376791830528,9,9
9797536441943719936,9,9
9797537026059272192,8,4
9797537129138487296,6,3
9797537232217702400,8,8
9797537369656655872,22,3
9797537507095609344,21,3
9797538091211161600,18,9
9797538194290376704,1,1
9797538537887760384,2,1
9797538744046190592,14,2
9797539259442266112,1,1
9797539362521481216,1,1
9797539465600696320,11,11
9797539843557818368,1,1
9797540152795463680,1,1
9797540255874678784,29,14
9797540358953893888,16,1
9797540393313632256,11,1
9797540462033108992,7,1
9797540565112324096,3,1
9797540771270754304,2,1
9797541973861597184,1,1
9797545822152294400,9,9
9797663504256204800,32,8
9797872961221296128,29,3
9797875950518534144,5,5
9797937282651521024,67,10
9797982190829568000,39,8
9798047886649327616,56,3
9798051666220548096,12,4
9798053074969821184,5,5
9798108565947285504,2,2
9798109218782314496,4,4
9798109253142052864,2,2
9798113616828825600,7,3
9798169588842627072,1,1
9798696186192855040,40,8
9798706700272795648,32,8
