cid,nRingPfasFac
9817847617164410880,2
9817848888474730496,1
9818364834306064384,6
9824668609346011136,4
9827442471024459776,1
9827443364377657344,1
9827491708529541120,1
9827525690310787072,1
9827566681478660096,1
9827598395517173760,1
9829410734277132288,1
9829412143026405376,2
9829448117672476672,1
9829508453373050880,1
9829515290960986112,2
9829733818897006592,1
9829744882732761088,1
9829857342156439552,1
9829974955540873216,3
9830038692855545856,4
9830040926238539776,1
9830046526875893760,7
9830047214070661120,5
9830049310014701568,11
9830049722331561984,1
9830050134648422400,3
9830056319401328640,1
9830072880795222016,2
9830337931816992768,1
9830346693550276608,1
9830386791364952064,1
9830413866838786048,1
9830414863271198720,3
9830415069429628928,4
9830416684337332224,4
9830418402324250624,1
9830505263742844928,4
9830599924822048768,1
9830624629473935360,1
9830624766912888832,3
9830625728985563136,1
9830794607099641856,1
9830808488433942528,1
9830903080793669632,4
9830954070645407744,1
9831072611742777344,4
9831528290593013760,1
9833658250774446080,1
9834176086391390208,4
9838297914965753856,2
9838377457760075776,2
9839470853354422272,2
9840138600509865984,1
9935145201242734592,2
9935228798486183936,2
9935251132316123136,4
9935263501821935616,2
9935264601333563392,2
9935273981542137856,2
9935275081053765632,1
9935575763124224000,2
9935620808741224448,6
9935671248837148672,4
9935671317556625408,2
9935712755401097216,1
9935712892840050688,2
9935713270797172736,1
9935713305156911104,1
9935713751833509888,8
9935713854912724992,6
9935713889272463360,4
9935713992351678464,3
9935714610826969088,6
9935756426628562944,3
9935757182542807040,6
9935789411977396224,8
9935792813591494656,10
9935792882310971392,21
9935793638225215488,15
9935793913103122432,12
9935807485199777792,5
9935928122241187840,5
9935940285588570112,2
9935940354308046848,7
9935943859001360384,1
9935943927720837120,3
9935944202598744064,1
9935945473909063680,24
9935954785398161408,1
9935960523474468864,13
9935961829144526848,2
9935961863504265216,2
9935962138382172160,1
9935962619418509312,4
9935962756857462784,3
9935965539996270592,13
9935965677435224064,13
9935970384719380480,13
9935988251783331840,3
9935988320502808576,1
9936035874380709888,18
9936036389776785408,3
9936038417001349120,5
9936040993981726720,6
9936041028341465088,14
9936041200140156928,9
9936043089925767168,3
9936043605321842688,7
9936047797209923584,1
9936048072087830528,14
9936048243886522368,7
9936048312605999104,19
9936048656203382784,12
9936050820866899968,7
9936054531718643712,7
9936072845459193856,5
9936073017257885696,6
9936078136858902528,3
9936187125949005824,2
9936191833233162240,1
9936201419600166912,1
9936213239350165504,4
9936213273709903872,3
9936213514228072448,9
9936213995264409600,3
9936225333978071040,1
9936226674007867392,1
9936228838671384576,2
9936229250988244992,1
9936240486622691328,7
9936241345616150528,4
9936243578999144448,2
9936271513466437632,1
9936273643770216448,1
9936274262245507072,1
9936276220750594048,2
9936297455068905472,1
9936297626867597312,2
9936297661227335680,1
9936334288708435968,6
9936335525659017216,2
9936841644605177856,1
9936843809268695040,8
9936865799501250560,15
9936870850382790656,4
9936870953462005760,7
9936871228339912704,1
9936871778095726592,21
9936871984254156800,17
9936872465290493952,6
9936872499650232320,9
9936872568369709056,9
9936872877607354368,13
9936873255564476416,14
9936873289924214784,4
9936873702241075200,3
9936873839680028672,4
9936874217637150720,8
9936876657178574848,8
9936877275653865472,11
9937024507132772352,2
9942563812353769472,1
