cid,nPts,nObs,nAnalytes
5525220425505701888,36,824,37
5525220459865440256,4,14,4
5525220494225178624,53,991,37
5525220528584916992,38,7527,33
5525220562944655360,2,7,4
5525220597304393728,17,202,19
5525220631664132096,19,483,39
5525220666023870464,15,376,32
5525220803462823936,5,363,44
5525220872182300672,2,8,4
5525221250139422720,1,220,66
5525221525017329664,2,79,27
5525221628096544768,1,27,27
5525224479954829312,8,647,31
5525224651753521152,8,211,31
5525224686113259520,5,123,30
5525224720472997888,3,89,30
5525224754832736256,2,59,30
5525224926631428096,1,30,30
5525224995350904832,1,35,35
5525225132789858304,2,60,30
5525225304588550144,5,175,35
5525225338948288512,1,8,4
5525229977512968192,1,144,30
5525230114951921664,3,333,37
5525233138608898048,2,347,44
5525233413486804992,2,59,30
5525233482206281728,2,57,31
5525233516566020096,17,518,31
5525235921747705856,1,339,44
5525236334064566272,1,30,30
5525236471503519744,2,60,30
5525236505863258112,6,300,30
5525240457233170432,4,519,44
5525241934701920256,2,59,30
5525242072140873728,1,30,30
5525242106500612096,2,60,30
5525245782992617472,1,21,21
5525247535339274240,1,60,30
5525286258764414976,1,339,44
5525286636721537024,1,119,30
5525289248061652992,2,59,30
5525289454220083200,1,118,30
5525298971867611136,2,344,44
5525299315464994816,6,568,30
5525299349824733184,1,29,29
5525300380616884224,1,340,44
5525300861653221376,2,294,31
5525308764393046016,1,340,44
5525308798752784384,1,150,31
5525309211069644800,1,4,4
5525311238294208512,5,28,5
5525311513172115456,1,28,7
5525312990640865280,29,686,30
5525313025000603648,9,196,27
5525314846066737152,4,224,30
5525315155304382464,3,90,30
5525315464542027776,2,60,30
5525325909902491648,1,30,30
5525326597097259008,2,60,30
5525326631456997376,1,30,30
5525327765328363520,1,52,26
5525328486882869248,5,128,26
5525329792552927232,3,269,30
5525330720265863168,18,539,30
5525330754625601536,5,140,32
5525330823345078272,2,59,30
5525331201302200320,1,30,30
5525331579259322368,1,30,30
5525331613619060736,4,120,30
5525332197734612992,3,208,30
5525332232094351360,2,60,30
5525335736787664896,1,30,30
5525335908586356736,1,30,30
5525336561421385728,6,894,30
5525337282975891456,3,89,30
5525339069682286592,1,30,30
5525340959467896832,1,110,66
5525341921540571136,1,29,29
5525341955900309504,1,30,30
5525342162058739712,5,145,29
5525342196418478080,1,29,29
5525342230778216448,3,87,29
5525344773398855680,2,345,44
5525344945197547520,1,29,29
5525345220075454464,1,36,36
5525345254435192832,1,36,36
5525345598032576512,1,30,30
5525346010349436928,2,60,30
5525347006781849600,1,29,29
5525349789920657408,9,500,38
5525350442755686400,2,108,36
5525353191534755840,1,218,66
5525354050528215040,2,104,26
5525355459277488128,1,601,66
5525355665435918336,5,154,38
5525355699795656704,1,30,30
5525355768515133440,3,107,46
5525357452142313472,7,204,30
5525358070617604096,3,89,30
5525358482934464512,1,29,29
5525358620373417984,2,749,30
5525358723452633088,2,60,30
5525358929611063296,4,1514,30
5525359032690278400,1,35,35
5525359101409755136,1,36,36
5525359341927923712,7,716,30
5525359994762952704,3,1766,30
5525360063482429440,3,87,29
5525360097842167808,2,59,30
5525360235281121280,2,58,29
5525360716317458432,2,60,30
5525362262505684992,1,30,30
5525362434304376832,1,30,30
5525363155858882560,2,65,26
5525363533816004608,1,27,27
5525369203172835328,1,17,17
5525370715001323520,1,31,31
5525371951951904768,1,28,28
5525372673506410496,1,201,66
5525372707866148864,4,174,30
5525372810945363968,5,145,29
5525374254054375424,3,85,29
5525374391493328896,1,30,30
5525376075120508928,3,87,29
5525376521797107712,4,120,30
5525376556156846080,5,148,30
5525376590516584448,2,58,29
5525376624876322816,3,88,30
5525376727955537920,1,30,30
5525376796675014656,1,30,30
5525377655668473856,2,54,27
5525377724387950592,1,29,29
5525377758747688960,12,371,27
5525377827467165696,2,58,29
5525377861826904064,3,449,30
5525377896186642432,1,20,20
5525378308503502848,2,60,30
5525378342863241216,11,221,30
5525378377222979584,1,29,29
5525378583381409792,3,87,29
5525378652100886528,1,29,29
5525378686460624896,1,30,30
5525378789539840000,2,89,30
5525378823899578368,2,58,29
5525378858259316736,4,1438,30
5525378892619055104,4,120,30
5525378926978793472,12,3010,30
5525378961338531840,24,1738,62
5525378995698270208,6,237,31
5525379030058008576,3,87,29
5525379064417746944,3,62,30
5525379098777485312,8,234,30
5525379133137223680,1,30,30
5525379167496962048,6,221,32
5525379201856700416,2,448,30
5525379236216438784,1,29,29
5525379785972252672,1,387,66
5525379820331991040,2,59,30
5525379854691729408,2,443,30
5525379889051467776,6,1424,30
5525380267008589824,5,321,36
5525380370087804928,7,1396,30
5525380404447543296,3,860,30
5525380438807281664,6,857,30
5525380473167020032,3,448,30
5525380541886496768,6,411,38
5525380576246235136,1,65,38
5525380644965711872,4,117,36
5525380782404665344,2,72,36
5525380816764403712,2,331,38
5525380851124142080,2,60,30
5525380919843618816,1,108,66
5525380954203357184,1,385,30
5525380988563095552,4,120,30
5525381057282572288,8,596,30
5525381091642310656,9,270,30
5525381126002049024,1,358,30
5525381229081264128,8,285,36
5525381263441002496,2,72,36
5525381469599432704,4,120,30
5525381538318909440,2,49,32
5525381572678647808,8,1074,30
5525381607038386176,1,29,29
5525381641398124544,1,29,29
5525381675757862912,4,120,30
5525382053714984960,2,72,36
5525382191153938432,1,29,29
5525382466031845376,2,59,30
5525382809629229056,2,58,29
5525382912708444160,5,144,29
5525382981427920896,1,29,29
5525383806061641728,1,80,40
5525383840421380096,5,1367,30
5525383874781118464,2,58,29
5525383943500595200,1,40,40
5525384046579810304,1,110,66
5525384424536932352,5,147,30
5525384458896670720,5,533,30
5525384493256409088,1,30,30
5525384527616147456,2,89,30
5525384561975885824,1,29,29
5525384596335624192,9,264,30
5525384699414839296,2,60,30
5525384802494054400,3,90,30
5525385008652484608,9,2210,30
5525385180451176448,7,3010,30
5525385283530391552,1,29,29
5525385317890129920,6,1012,30
5525385627127775232,1,90,30
5525385695847251968,5,1108,30
5525385730206990336,1,29,29
5525385764566728704,2,59,30
5525385798926467072,1,60,30
5525386417401757696,2,60,30
5525386589200449536,1,30,30
5525387448193908736,3,118,30
5525387482553647104,10,4678,30
5525387929230245888,2,723,39
5525387963589984256,3,691,31
5525388272827629568,1,240,30
5525388307187367936,3,87,30
5525388341547106304,4,143,29
5525388375906844672,10,2677,39
5525388410266583040,9,2011,31
5525388444626321408,1,901,31
5525388547705536512,9,1572,39
5525390643649576960,1,310,66
5525390678009315328,5,145,29
5525391227765129216,16,1019,30
5525391674441728000,22,1459,36
5525391743161204736,1,362,32
5525392842672832512,10,287,30
5525392877032570880,1,29,29
5525393736026030080,3,90,30
5525394938616872960,2,58,29
5525397687395942400,1,110,66
5525399577181552640,1,339,44
5525400264376320000,1,60,30
5525400814132133888,3,376,38
5525400882851610624,4,178,36
5525405349617598464,5,135,27
5525405590135767040,1,87,29
5525405624495505408,6,142,43
5525406449129226240,1,30,30
5525406483488964608,4,118,30
5525406517848702976,7,298,30
5525406552208441344,2,59,30
5525408957390127104,15,1246,40
5525408991749865472,1,30,30
5525410263060185088,7,837,30
5525411809248411648,1,30,30
5525413286717161472,1,30,30
5525414214430097408,1,26,13
5525415932417015808,1,29,29
5525415966776754176,5,149,30
5525416001136492544,1,29,29
5525416035496230912,3,88,30
5525416069855969280,1,29,29
5525420055585619968,4,657,30
5525420089945358336,2,58,30
5525420124305096704,5,657,30
5525420158664835072,1,30,30
5525420811499864064,2,59,30
5525420845859602432,6,1281,30
5525420880219340800,1,28,28
5525420983298555904,1,29,29
5525421601773846528,1,299,30
5525421636133584896,1,29,29
5525422048450445312,4,119,30
5525422082810183680,1,29,29
5525422117169922048,2,270,30
5525422220249137152,2,402,32
5525425072107421696,2,240,30
5525425106467160064,2,60,30
5525425346985328640,5,628,30
5525426171619049472,7,596,30
5525430432226607104,1,8,4
5525432390731694080,5,147,30
5525432425091432448,1,30,30
5525435414388670464,7,358,31
5525435964144484352,1,4,4
5525435998504222720,24,446,29
5525436032863961088,17,246,9
5525436170302914560,4,108,27
5525436788778205184,2,344,44
5525436823137943552,4,357,44
5525437647771664384,2,60,30
5525437750850879488,2,60,30
5525438472405385216,5,146,30
5525438506765123584,1,29,29
5525454312244772864,3,83,31
5525454655842156544,1,33,33
5525455549195354112,2,346,44
5525455686634307584,1,146,30
5525455755353784320,1,294,30
5525457954377039872,1,29,29
5525458332334161920,1,58,29
5525458366693900288,7,292,30
5525458504132853760,2,56,29
5525463383215702016,2,345,44
5525465822757126144,4,156,13
5525465994555817984,4,52,13
5525466028915556352,1,296,30
5525468880773840896,1,8,4
5525470873638666240,4,120,30
5525471801351602176,2,89,30
5525474275252764672,1,27,27
5525474447051456512,2,108,27
5525474481411194880,5,161,27
5525474618850148352,4,134,27
5525474653209886720,9,655,27
5525475134246223872,2,348,44
5525475546563084288,1,30,30
5525475580922822656,6,539,30
5525475615282561024,1,144,30
5525475649642299392,1,29,29
5525475684002037760,1,29,29
5525477779946078208,2,104,26
5525478638939537408,1,58,30
5525479016896659456,1,16,16
5525489256098693120,8,416,30
5525497433716424704,2,59,30
5525497468076163072,1,30,30
5525498086551453696,2,89,30
5525498498868314112,5,239,30
5525507810357411840,1,339,44
5525508188314533888,1,8,4
5525518152638660608,1,116,29
5525518186998398976,2,239,30
5525518290077614080,1,336,44
5525518633674997760,1,337,44
5525526776932990976,1,30,30
5525529182114676736,2,60,30
5525532755527467008,5,168,28
5525532858606682112,4,140,28
5525560999232405504,1,339,44
5525561617707696128,1,340,44
5525561755146649600,1,338,44
5525562030024556544,14,744,39
5525564194688073728,1,338,44
5525564263407550464,1,8,4
5525565019321794560,1,339,44
5525573403097956352,1,335,44
5525583470501298176,1,337,44
5525612779358126080,1,29,29
5525613775790538752,14,654,36
5525613878869753856,3,89,30
5525613913229492224,3,119,30
5525614325546352640,3,105,40
5525619582586322944,2,30,27
5525619823104491520,1,339,44
5525621300573241344,6,180,30
5525622193926438912,1,29,29
5525671190913351680,1,29,29
5525682014230937600,1,60,30
5525691050842128384,3,59,48
5525729877346484224,1,66,33
5525731904571047936,2,322,35
5525829589307228160,2,347,44
5525829761105920000,1,266,30
5525830310861733888,1,340,44
5525832166287605760,1,33,33
5525832750403158016,1,96,59
5525833609396617216,1,30,30
5525834468390076416,1,120,40
5525835980218564608,2,58,29
5525836426895163392,1,29,29
5525837663845744640,1,147,31
5525837766924959744,3,93,31
5525839759789785088,1,338,44
5525840584423505920,2,60,30
5525855874507079680,1,110,66
5525859585358823424,1,216,66
5525864808039055360,1,29,29
5525864911118270464,4,116,29
5525868450171322368,3,79,27
5525869274805043200,1,33,33
5525869755841380352,2,71,36
5525869790201118720,1,333,38
5525869824560857088,1,35,35
5525871164590653440,2,85,29
5525871198950391808,4,115,30
5525871233310130176,1,29,29
5525871473828298752,2,57,29
5525874188247629824,1,60,30
5525874222607368192,1,60,30
5525874978521612288,6,177,30
5525875012881350656,3,89,30
5525875081600827392,3,88,30
5525876765228007424,5,160,32
5525880098122629120,2,60,30
5525880132482367488,2,239,30
5525883671535419392,1,339,44
5525884015132803072,3,59,48
5525896384638615552,1,30,30
5525903119147335680,3,117,30
5525905283810852864,2,344,44
5525906555121172480,1,66,33
5525921776485269504,3,90,30
5525954212078288896,1,298,30
5525954521315934208,4,105,27
5525954555675672576,2,54,27
5525954727474364416,2,47,24
5525961839940206592,1,118,30
5525961874299944960,1,338,44
5525962011738898432,9,252,29
5525962424055758848,3,110,37
5525963042531049472,11,2792,42
5525963076890787840,12,4378,42
5525963179970002944,5,847,40
5525963214329741312,3,404,38
5525963248689479680,8,725,38
5525963626646601728,2,456,44
5525963695366078464,2,70,35
5525963729725816832,11,236,9
5525963798445293568,7,962,38
5525982112185843712,3,81,27
5525983177337733120,1,291,30
5525983486575378432,2,59,30
5525983520935116800,7,203,30
5525986166634971136,2,60,30
5525986200994709504,1,29,29
5525986269714186240,2,60,30
5525986475872616448,1,110,66
5526007916349358080,1,4,4
5526018945825374208,2,65,26
5526025955212001280,1,30,30
5526027398321012736,3,90,30
5526027432680751104,1,60,30
5526027467040489472,1,21,21
5526052206052114432,2,459,44
5526060486749061120,1,80,40
5526097251669114880,1,300,30
5526123021472890880,1,110,66
5526126079489605632,2,57,29
5526208302343520256,1,30,30
5526219641057181696,1,29,29
5526231117209796608,2,399,44
5526231151569534976,1,119,30
5526262590730141696,2,104,26
5526263484083339264,3,87,30
5526263518443077632,1,117,30
5526263552802816000,1,297,30
5526264446156013568,1,26,13
5526289838002667520,1,33,33
5526297225346416640,1,29,29
5526309113815891968,6,511,30
5526311244119670784,1,28,28
5526311278479409152,4,148,30
5526336498527371264,1,320,30
5526336807765016576,1,339,44
5526336979563708416,1,66,33
5526337048283185152,1,149,30
5526337254441615360,9,93,43
5526338834989580288,2,60,31
5526339212946702336,1,30,30
5526344538706149376,1,29,29
5526344573065887744,5,409,44
5526345878735945728,1,66,33
5526347528003387392,5,795,31
5526347562363125760,1,297,30
5526348215198154752,1,216,66
5526349520868212736,1,29,29
5526349761386381312,2,344,44
5526350242422718464,2,57,29
5526352681964142592,1,26,13
5526356942571700224,2,82,42
5526357595406729216,2,60,30
5526360378545537024,1,30,30
5526361237538996224,3,89,30
5526361374977949696,1,30,30
5526361409337688064,2,59,30
5526361512416903168,1,30,30
5526362749367484416,2,58,30
5526367972047716352,1,336,44
5526368006407454720,1,8,6
5526368246925623296,3,88,30
5526369518235942912,1,17,17
5526381544144371712,2,58,30
5526401953828962304,1,330,44
5526402194347130880,1,132,33
5526407863703961600,1,147,32
5526409650410356736,2,263,66
5526409719129833472,2,89,30
5526412193030995968,10,1731,31
5526412364829687808,3,450,30
5526412399189426176,4,539,30
5526412433549164544,1,140,66
5526413842298437632,1,176,66
5526413911017914368,2,60,30
5526414357694513152,1,150,32
5526415044889280512,3,87,29
5526415113608757248,4,1647,30
5526415216687972352,1,29,29
5526415285407449088,1,30,30
5526415766443786240,3,89,30
5526415800803524608,7,1461,30
5526415835163262976,2,58,29
5526416041321693184,1,29,29
5526416350559338496,2,58,30
5526416419278815232,4,116,30
5526416487998291968,1,30,30
5526416728516460544,4,377,45
5526418824460500992,1,28,28
5526420679886372864,3,88,30
5526429304180703232,1,21,21
5526429338540441600,1,339,44
5526429372900179968,7,460,31
5526429579058610176,3,89,31
5526430094454685696,5,146,30
5526430128814424064,1,29,29
5526430197533900800,1,29,29
5526430231893639168,5,148,30
5526430334972854272,3,88,30
5526430678570237952,3,90,30
5526430712929976320,6,744,30
5526430747289714688,1,29,29
5526432637075324928,3,554,38
5526432705794801664,3,106,36
5526432808874016768,3,106,36
5526434389421981696,1,110,66
5526435798171254784,1,335,44
5526439302864568320,1,30,30
5526439337224306688,4,1289,30
5526439990059335680,1,35,35
5526441433168347136,3,593,66
5526441536247562240,1,31,31
5526444078868201472,1,176,30
5526444388105846784,1,297,30
5526444731703230464,1,30,30
5526445796855119872,3,93,31
5526445831214858240,9,726,31
5526445899934334976,5,2500,31
5526445934294073344,24,14708,31
5526446003013550080,1,565,31
5526447858439421952,1,27,27
5526448236396544000,1,80,40
5526448339475759104,1,110,66
5526448408195235840,1,297,30
5526448923591311360,3,725,67
5526449129749741568,1,200,40
5526449645145817088,2,347,44
5526449816944508928,1,30,30
5526450194901630976,1,30,30
5526450366700322816,1,24,24
5526450641578229760,1,30,30
5526450779017183232,1,240,40
5526450847736659968,6,174,31
5526450882096398336,2,71,67
5526450950815875072,6,1371,30
5526450985175613440,2,62,31
5526451019535351808,23,5448,31
5526451053895090176,3,837,31
5526451088254828544,3,93,31
5526451122614566912,6,177,30
5526451156974305280,14,1816,31
5526451191334043648,1,31,31
5526451225693782016,18,2910,30
5526451260053520384,17,1035,30
5526451294413258752,8,246,31
5526451328772997120,13,1108,30
5526451363132735488,17,975,36
5526451397492473856,3,88,36
5526451431852212224,21,4437,67
5526451500571688960,1,29,29
5526451534931427328,1,29,29
5526451569291165696,21,9105,38
5526451603650904064,19,3239,31
5526451638010642432,4,249,69
5526451672370380800,11,340,31
5526451706730119168,5,622,38
5526451741089857536,24,7013,39
5526451775449595904,2,119,31
5526451844169072640,1,1298,66
5526451878528811008,1,60,30
5526451912888549376,4,537,38
5526451947248287744,4,656,30
5526452015967764480,3,1097,67
5526452050327502848,1,31,31
5526452084687241216,18,4069,31
5526452119046979584,26,14720,40
5526452153406717952,8,10949,49
5526452187766456320,6,8498,49
5526452222126194688,15,3572,38
5526452256485933056,2,62,31
5526452290845671424,11,1617,70
5526452325205409792,3,93,31
5526452359565148160,11,5728,31
5526452462644363264,1,30,30
5526452703162531840,11,340,31
5526452771882008576,1,2444,41
5526452806241746944,1,30,30
5526452874961223680,25,23249,38
5526452909320962048,51,2724,38
5526452978040438784,11,2692,31
5526453012400177152,1,630,33
5526453046759915520,4,124,31
5526453115479392256,8,296,35
5526453149839130624,20,1552,33
5526453355997560832,1,29,29
5526453390357299200,1,28,28
5526453459076775936,9,265,30
5526453527796252672,7,2826,33
5526453596515729408,8,242,31
5526453630875467776,4,122,31
5526453699594944512,3,1792,31
5526453733954682880,12,5463,31
5526453768314421248,4,2077,30
5526453802674159616,20,5533,33
5526453837033897984,14,3827,33
5526453871393636352,15,3974,31
5526454283710496768,1,297,30
5526455280142909440,6,751,31
5526457204288258048,1,190,66
5526460227945234432,1,29,29
5526460674621833216,1,188,66
5526461808493199360,1,300,66
5526461980291891200,4,154,27
5526462014651629568,9,450,33
5526462049011367936,1,24,24
5526462083371106304,1,24,24
5526462186450321408,1,268,66
5526462255169798144,3,87,29
5526462323889274880,1,29,29
5526462358249013248,1,29,29
5526464110595670016,3,89,30
5526464213674885120,2,65,26
5526469539434332160,1,30,30
5526469573794070528,1,30,30
5526470089190146048,1,27,27
5526470123549884416,2,52,27
5526470913823866880,5,176,36
5526471016903081984,3,140,35
5526473765682151424,1,80,40
5526473971840581632,1,29,29
5526474006200320000,10,295,30
5526474040560058368,6,207,30
5526474349797703680,3,87,30
5526474384157442048,9,329,31
5526474624675610624,4,52,26
5526475655467761664,1,35,35
5526475689827500032,2,70,35
5526477029857296384,3,101,21
5526477064217034752,4,138,31
5526477613972848640,1,36,36
5526477648332587008,2,72,36
5526478266807877632,7,206,30
5526478301167616000,2,161,58
5526478335527354368,4,1224,55
5526478369887092736,8,2929,30
5526478438606569472,3,565,30
5526478782203953152,9,2809,30
5526480294032441344,4,267,30
5526480328392179712,9,455,34
5526480706349301760,1,25,25
5526480809428516864,5,664,31
5526480843788255232,1,59,30
5526484107963400192,1,3,3
5526487131620376576,2,478,68
5526487165980114944,2,22,7
5526487440858021888,2,747,30
5526487887534620672,6,1016,30
5526487921894359040,1,48,31
5526487956254097408,1,29,29
5526488024973574144,1,29,29
5526488059333312512,5,840,30
5526488093693050880,1,30,30
5526488540369649664,1,264,40
5526489090125463552,1,28,28
5526489674241015808,1,29,29
5526489708600754176,2,60,30
5526489742960492544,1,29,29
5526489846039707648,7,207,30
5526490739392905216,1,30,30
5526490876831858688,2,60,30
5526490945551335424,2,60,30
5526490979911073792,5,147,30
5526497748779532288,1,190,66
5526497954937962496,24,924,25
5526497989297700864,23,982,32
5526498607772991488,4,363,41
5526498710852206592,4,378,39
5526500841155985408,1,110,66
5526506441793339392,1,188,65
5526507644384182272,1,29,29
5526507678743920640,1,29,29
5526508331578949632,1,57,36
5526508846975025152,8,77,9
5526511355235926016,3,108,36
5526511870632001536,2,72,36
5526514585051332608,1,21,21
5526515066087669760,2,149,30
5526515753282437120,1,36,36
5526516852794064896,2,119,30
5526516887153803264,5,239,30
5526517127671971840,1,29,29
5526517162031710208,5,336,31
5526517230751186944,3,90,31
5526517265110925312,5,46,30
5526517333830402048,4,600,31
5526517368190140416,3,89,30
5526517574348570624,1,300,31
5526524033979383808,1,295,30
5526524858613104640,1,30,30
5526526336081854464,6,179,31
5526538877386358784,3,92,31
5526539186624004096,1,79,40
5526541832323858432,1,28,28
5526541866683596800,1,29,29
5526542175921242112,6,177,30
5526547501680689152,1,42,21
5526547639119642624,3,89,30
5526547673479380992,3,90,30
5526548120155979776,5,150,30
5526548154515718144,1,30,30
5526548257594933248,3,120,30
5526548291954671616,2,58,29
5526548360674148352,2,59,30
5526548395033886720,3,87,29
5526549254027345920,5,178,30
5526549425826037760,2,60,30
5526549528905252864,1,29,29
5526550834575310848,8,240,30
5526552758720659456,1,30,30
5526554167469932544,8,236,30
5526554442347839488,2,359,45
5526556710090571776,1,338,44
5526558668595658752,5,150,30
5526559596308594688,1,17,17
5526560798899437568,3,81,27
5526560901978652672,1,29,29
5526560936338391040,2,581,44
5526560970698129408,2,53,27
5526563685117460480,5,711,30
5526563753836937216,4,120,30
5526563788196675584,1,29,29
5526568392401616896,3,119,30
5526568461121093632,1,30,30
5526568495480832000,4,148,30
5526568667279523840,2,88,30
5526572653009174528,2,60,30
5526572687368912896,2,88,30
5526573065326034944,5,145,30
5526573099685773312,1,29,29
5526578872121819136,4,119,30
5526578975201034240,1,30,30
5526583373247545344,3,90,30
5526583407607283712,5,269,30
5526584129161789440,1,30,30
5526584885076033536,1,30,30
5526584919435771904,3,180,30
5526585056874725376,1,29,29
5526586877940858880,1,107,65
5526587324617457664,1,29,29
5526587358977196032,2,52,26
5526587427696672768,1,28,28
5526587599495364608,2,59,30
5526587668214841344,1,30,30
5526588424129085440,2,59,30
5526588458488823808,8,262,30
5526588527208300544,3,88,30
5526588595927777280,3,89,30
5526589317482283008,2,59,30
5526590142116003840,7,203,30
5526590829310771200,4,117,30
5526590863670509568,6,180,30
5526590898030247936,2,59,30
5526591001109463040,7,208,30
5526592031901614080,3,85,29
5526594608881991680,5,150,30
5526594677601468416,5,150,25
5526595089918328832,2,51,27
5526595502235189248,1,339,44
5526595570954665984,1,78,39
5526596051991003136,2,60,30
5526596086350741504,1,30,30
5526596601746817024,1,3,3
5526596636106555392,2,60,30
5526596910984462336,1,160,40
5526597117142892544,1,66,33
5526597288941584384,1,29,29
5526597529459752960,5,149,30
5526598251014258688,1,28,7
5526599556684316672,1,340,44
5526601171592019968,6,140,20
5526601583908880384,10,326,30
5526601618268618752,9,779,33
5526601721347833856,1,25,25
5526601790067310592,1,29,29
5526601824427048960,2,58,29
5526601858786787328,2,272,37
5526601893146525696,27,1213,36
5526601927506264064,1,30,30
5526601961866002432,1,29,29
5526602064945217536,2,60,30
5526602408542601216,2,88,30
5526603095737368576,2,59,30
5526603130097106944,1,30,30
5526603267536060416,2,26,26
5526603301895798784,3,89,30
5526603611133444096,7,530,69
5526603714212659200,2,59,30
5526604023450304512,1,30,30
5526604057810042880,3,89,30
5526604401407426560,4,120,30
5526604848084025344,2,12,6
5526604882443763712,2,12,6
5526608730734460928,3,90,30
5526608765094199296,3,89,30
5526608799453937664,3,87,29
5526608833813676032,1,4,4
5526608868173414400,1,30,30
5526610036404518912,5,239,30
5526610483081117696,2,59,30
5526611513873268736,1,120,30
5526611548233007104,3,89,30
5526612372866727936,2,35,28
5526613712896524288,1,339,44
5526615362163965952,1,19,19
5526616118078210048,1,29,29
5526617320669052928,1,60,30
5526618042223558656,2,54,27
5526618076583297024,2,54,27
5526620309966290944,3,73,32
5526620413045506048,1,24,24
5526620928441581568,2,74,32
5526620962801319936,1,340,44
5526620997161058304,1,8,4
5526621340758441984,4,119,30
5526621821794779136,3,353,44
5526623161824575488,3,90,30
5526623196184313856,1,54,27
5526625463927046144,4,120,30
5526625567006261248,2,356,44
5526626838316580864,2,58,29
5526627010115272704,7,30,6
5526627388072394752,2,60,30
5526627422432133120,9,266,30
5526628075267162112,7,300,31
5526631408161783808,1,30,30
5526631442521522176,1,30,30
5526631545600737280,3,90,30
5526635015934312448,1,28,7
5526635462610911232,1,176,66
5526635634409603072,4,120,30
5526636355964108800,1,30,30
5526639723218468864,2,121,31
5526640376053497856,18,1364,31
5526640410413236224,4,180,31
5526641131967741952,1,84,29
5526641956601462784,11,330,30
5526642231479369728,5,146,30
5526642334558584832,13,412,30
5526642643796230144,2,48,24
5526642712515706880,11,325,30
5526642746875445248,7,199,30
5526642781235183616,1,30,30
5526643296631259136,1,30,30
5526644189984456704,4,93,25
5526644258703933440,7,205,30
5526644293063671808,3,165,36
5526644396142886912,3,89,30
5526644739740270592,2,59,30
5526645804892160000,3,90,30
5526646148489543680,11,309,28
5526648897268613120,4,120,31
5526648931628351488,9,723,31
5526648965988089856,1,31,31
5526649240865996800,1,30,30
5526649412664688640,1,297,30
5526649447024427008,2,353,44
5526650031139979264,1,177,66
5526650409097101312,8,266,30
5526650477816578048,1,13,13
5526650512176316416,2,43,41
5526651371169775616,8,617,69
5526651611687944192,17,851,69
