param,paramLabel,casRaw,cas,dtxsid,dssLabel,nObs
parameter.PFDOS_A,PERFLUORODODECANE SULFONIC ACID,79780395,79780-39-5,DTXSID20873011,Perfluorododecanesulfonic acid,234
characteristic.8084,,,,,,186
characteristic.9361,,,,,,182
characteristic.18826,12-H-Perfluorododecanoate,1696259-75-2,1696259-75-2,DTXSID60892923,,147
characteristic.9388,,,,,,122
characteristic.18755,6-H-Perfluorohexanoate,1696259-63-8,1696259-63-8,DTXSID20880169,,106
characteristic.9410,,,,,,89
characteristic.19926,,,,,,67
characteristic.18191,Potassium 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate,73606-19-6,73606-19-6,,,62
characteristic.64488,2H-Perfluoropentanoic acid,,,DTXSID601035165,,60
parameter.10-2_FTS_A,10:2 FLUOROTELOMER SULFONIC ACID,120226600,120226-60-0,DTXSID50892578,,53
characteristic.16586,Perfluorobutylsulfonamide,30334-69-1,30334-69-1,DTXSID30880251,,41
characteristic.18587,,,,,,39
characteristic.17683,Potassium 11-chloroeicosafluoro-3-oxaundecane-1-sulfonate,83329-89-9,83329-89-9,,,35
characteristic.9450,N-Ethylperfluorooctanesulfonamidoacetate,,,,,30
characteristic.9235,N-Methylperfluorooctanesulfonamidoacetate,,,,,30
characteristic.9007,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonate,756426-58-1,756426-58-1,,,30
characteristic.19594,"1-Propanesulfonic acid, 1,1,2,2,3,3,3-heptafluoro-",423-41-6,423-41-6,DTXSID30870531,,28
characteristic.8168,"Perfluoro[1,2-13C2]hexanoic acid",,,DTXSID901028086,,26
characteristic.8170,"Perfluoro[1,2-13C2]undecanoic acid",960315-51-9,960315-51-9,,,26
characteristic.8169,"Perfluoro[1,2-13C2]tetradecanoic acid",,,DTXSID301028088,,26
characteristic.8173,Sodium perfluoro-1-hexane[18O2]sulfonate,,,,,26
parameter.PFOA_A_BR,PERFLUOROOCTANOIC ACID-BRANCHED,DEP18027,,,,24
parameter.PFOS_A_BR,PERFLUOROOCTANE SULFONIC ACID-BRANCHED,DEP18025,,,,24
