cid,nPts,nObs,nAnalytes
9740458628682350592,7,320,40
9740468180689616896,1,76,37
9740476461386563584,1,76,37
9740477148581330944,1,76,37
9740480275317522432,1,76,37
9740485188760109056,1,76,37
9740493057140195328,7,342,38
9740496390034817024,1,76,37
9740502677866938368,1,76,37
9740506113840775168,1,76,37
9740620016373465088,1,38,38
9740629121704132608,1,12,3
9740631252007911424,2,49,38
9741189357238222848,14,46,1
9742139094766452736,1,13,13
9742149265249009664,1,15,3
9742149815004823552,1,18,3
9742262411867455488,1,13,13
9742532616849981440,1,38,38
9744255895168090112,1,3,3
9766637863100743680,1,13,13
9766723006532419584,1,40,40
9766762588951019520,1,240,40
9766790901375434752,1,529,41
9766795265062207488,1,13,13
9766942943217713152,1,40,40
9766980326613057536,1,13,13
9767139206043271168,3,24,3
9767139240403009536,4,48,3
9767141989182078976,4,39,3
9773483937891352576,1,13,13
9774143954105663488,1,13,13
9779934119776485376,1,13,13
9780285654259728384,1,13,13
9780447900944302080,1,13,13
9781099533382451200,1,13,13
9781824180264632320,3,59,35
9781974710278422528,2,26,13
9785113025701740544,1,13,13
9785187277096353792,1,13,13
9785455867171176448,1,13,13
9785895637462548480,1,30,3
9785908488004698112,1,33,3
9785909003400773632,1,30,3
9785934154729259008,1,44,3
9787662552648384512,1,13,13
9787687394739224576,1,13,13
9787931829917974528,1,13,13
9790546812166209536,1,13,13
9791335849198092288,1,13,13
9791603477200240640,1,13,13
9792836991807651840,2,46,35
9795559279518810112,1,40,40
9795559554396717056,1,80,53
9795560379030437888,2,42,41
9795562406255001600,1,40,40
9796312754221481984,1,1092,40
9796441156563763200,1,40,40
9796475791180038144,1,13,13
9796512453020876800,1,13,13
9796516885427126272,1,26,13
9796516919786864640,1,13,13
9796575778018689024,1,40,40
9796643260544843776,2,46,35
9796876975485222912,1,287,41
9796877662679990272,1,123,41
9796877697039728640,1,123,41
9796962153276637184,1,13,13
9797001907493928960,1,13,13
9797012524653084672,1,221,13
9797013830323142656,1,130,13
9797017300656717824,1,840,40
9797018056570961920,1,799,40
9797020564831862784,1,143,13
9797022420257734656,1,143,13
9797040321681424384,1,160,40
9797041970948866048,1,143,13
9797045510001917952,1,195,13
9797045613081133056,2,559,41
9797046025397993472,1,120,53
9797046197196685312,1,80,40
9797047159269359616,2,26,13
9797052794266451968,1,40,40
9797053962497556480,1,13,13
9797053996857294848,1,13,13
9797056642557149184,1,195,13
9797057742068776960,2,113,51
9797059872372555776,1,26,13
9797060937524445184,1,624,41
9797060971884183552,1,13,13
9797061212402352128,2,26,13
9797061246762090496,3,65,13
9797061384201043968,1,845,41
9797062174475026432,1,39,13
9797062414993195008,1,221,13
9797062655511363584,1,156,13
9797063514504822784,1,13,13
9797063583224299520,2,636,53
9797064201699590144,2,80,40
9797065335570956288,1,200,40
9797065541729386496,1,40,40
9797066400722845696,1,13,13
9797067672033165312,1,80,53
9797068531026624512,1,312,13
9797069355660345344,1,39,39
9797069767977205760,2,400,40
9797070420812234752,1,160,40
9797070867488833536,1,26,13
9797071485964124160,1,169,13
9797075815291158528,1,40,40
9797081347209035776,1,169,13
9797086672968482816,1,80,53
9797099489150894080,1,40,40
9797099660949585920,1,40,40
9797099832748277760,1,40,40
9797102203570225152,1,40,40
9797136941265715200,1,156,13
9797289635943022592,1,40,40
9797453600614514688,1,160,40
9797457002228613120,1,40,40
9797460094605066240,1,240,40
9797460884879048704,1,120,40
9797487582395760640,1,13,13
9797512252687908864,1,7,7
9797512802443722752,1,299,13
9797513008602152960,1,200,40
9797513146041106432,2,14,7
9797513180400844800,2,14,7
9797513214760583168,2,22,8
9797513661437181952,1,7,7
9797513695796920320,1,7,7
9797513833235873792,2,14,7
9797513867595612160,3,21,7
9797513901955350528,2,14,7
9797513936315088896,2,14,7
9797514039394304000,1,7,7
9797514245552734208,3,21,7
9797514348631949312,1,7,7
9797514589150117888,2,14,7
9797514760948809728,4,28,7
9797514795308548096,1,7,7
9797514932747501568,1,7,7
9797515001466978304,1,13,13
9797515448143577088,2,14,7
9797515482503315456,1,200,40
9797515516863053824,1,7,7
9797515619942268928,12,84,7
9797515654302007296,1,7,7
9797515688661745664,5,35,7
9797515723021484032,1,7,7
9797515826100699136,1,40,40
9797515894820175872,2,14,7
9797515929179914240,8,56,7
9797515963539652608,15,112,7
9797515997899390976,2,14,7
9797516066618867712,1,7,7
9797516100978606080,1,7,7
9797516238417559552,2,1378,15
9797516307137036288,1,223,41
9797516478935728128,10,238,7
9797516547655204864,7,133,7
9797516822533111808,1,7,7
9797516856892850176,4,28,7
9797519674391396352,1,40,40
9797520189787471872,1,2,2
9797522320091250688,2,120,40
9797525446827442176,1,40,40
9797525996583256064,1,77,39
9797526030942994432,2,26,13
9797526134022209536,1,7,7
9797526202741686272,1,7,7
9797526237101424640,5,35,7
9797526271461163008,1,7,7
9797526546339069952,1,280,40
9797527061735145472,1,160,40
9797527164814360576,2,751,41
9797527680210436096,7,56,7
9797527714570174464,6,91,7
9797527748929912832,1,21,7
9797527989448081408,1,80,53
9797528195606511616,1,7,7
9797528264325988352,1,40,40
9797528539203895296,1,7,7
9797528573563633664,5,35,7
9797528848441540608,2,14,7
9797528882801278976,1,7,7
9797528917161017344,1,7,7
9797529020240232448,2,14,7
9797529054599970816,1,7,7
9797529088959709184,2,14,7
9797529123319447552,1,7,7
9797529192038924288,2,14,7
9797529295118139392,1,7,7
9797529329477877760,2,14,7
9797529432557092864,4,28,7
9797529501276569600,3,21,7
9797529535636307968,3,21,7
9797529673075261440,2,173,44
9797529707434999808,1,52,13
9797529741794738176,1,280,40
9797529844873953280,1,335,13
9797529879233691648,1,79,40
9797529913593430016,1,587,40
9797529947953168384,1,7,7
9797529982312906752,2,14,7
9797530051032383488,1,7,7
9797530119751860224,4,28,7
9797530188471336960,1,7,7
9797530222831075328,1,14,7
9797530291550552064,1,200,40
9797530360270028800,1,76,38
9797532593653022720,1,80,40
9797532696732237824,1,231,40
9797532765451714560,1,13,13
9797532799811452928,2,26,13
9797532834171191296,2,26,13
9797532868530929664,3,39,13
9797534380359417856,2,14,7
9797534414719156224,1,280,40
9797534586517848064,1,13,13
9797534620877586432,3,39,13
9797534998834708480,1,208,13
9797535376791830528,3,54,43
9797535445511307264,2,14,7
9797535479871045632,2,14,7
9797535651669737472,3,21,7
9797535720389214208,1,7,7
9797535823468429312,1,7,7
9797535857828167680,1,7,7
9797535892187906048,1,7,7
9797536132706074624,1,7,7
9797536235785289728,1,7,7
9797536441943719936,1,40,40
9797537026059272192,1,21,7
9797537129138487296,1,21,7
9797537232217702400,1,33,33
9797537369656655872,1,195,13
9797537507095609344,2,77,7
9797537953772208128,1,7,7
9797538091211161600,1,80,40
9797538194290376704,2,14,7
9797538228650115072,1,7,7
9797538297369591808,3,21,7
9797538331729330176,1,7,7
9797538469168283648,2,14,7
9797538503528022016,2,14,7
9797538537887760384,3,21,7
9797538572247498752,1,7,7
9797538744046190592,1,156,13
9797539225082527744,1,7,7
9797539259442266112,4,28,7
9797539293802004480,1,7,7
9797539362521481216,2,47,43
9797539396881219584,1,7,7
9797539431240957952,10,77,7
9797539465600696320,2,47,43
9797539534320173056,2,14,7
9797539603039649792,1,7,7
9797539637399388160,1,7,7
9797539843557818368,1,7,7
9797540152795463680,3,21,7
9797540255874678784,1,120,53
9797540358953893888,31,217,7
9797540393313632256,29,203,7
9797540427673370624,1,7,7
9797540462033108992,7,56,7
9797540496392847360,3,21,7
9797540565112324096,6,42,7
9797540668191539200,2,14,7
9797540771270754304,4,35,7
9797540908709707776,1,7,7
9797541149227876352,3,21,7
9797541183587614720,1,7,7
9797541321026568192,4,42,7
9797541389746044928,1,7,7
9797541492825260032,1,7,7
9797541527184998400,2,14,7
9797541664623951872,1,7,7
9797541973861597184,1,7,7
9797542008221335552,1,7,7
9797542042581073920,1,7,7
9797542180020027392,3,21,7
9797542248739504128,2,14,7
9797542283099242496,1,7,7
9797542420538195968,2,14,7
9797542764135579648,1,7,7
9797542867214794752,1,7,7
9797542970294009856,1,7,7
9797543485690085376,2,14,7
9797543726208253952,1,7,7
9797544241604329472,1,7,7
9797544275964067840,1,7,7
9797544310323806208,1,7,7
9797544344683544576,1,7,7
9797544413403021312,2,14,7
9797544447762759680,1,7,7
9797545306756218880,1,40,40
9797545822152294400,1,40,40
9797663504256204800,1,200,40
9797872961221296128,1,247,13
9797875950518534144,1,13,13
9797937282651521024,1,399,40
9797982190829568000,1,200,40
9797990505886253056,1,40,40
9798047886649327616,1,351,13
9798051666220548096,1,65,13
9798053074969821184,1,40,40
9798108565947285504,1,40,40
9798109218782314496,1,40,40
9798109253142052864,1,40,40
9798113616828825600,3,120,40
9798169588842627072,1,13,13
9798178625453817856,1,13,13
9798211370284482560,1,13,13
9798696186192855040,1,320,40
9798706700272795648,1,160,40
