cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5959545041943789568	45.434703	-94.051301	1	WQP	1	240	40	41	9	8.28	0	0	7	0	27	Minnesota	27141	Sherburne County	2									0.05599572337168301	0.17083333333333334	0.17083333333333334	0.3224693331811857	0.45	0.0	17.938250314205217	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959561672057159680	45.32221	-93.8161	1	WQP	1	33	33	4	4		1	0	14	0	27	Minnesota	27141	Sherburne County	2									0.07292305501170816	0.12121212121212122	0.12121212121212122		0.2	0.0	9.302065799536281	4	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5959561809496113152	45.32016	-93.81419	1	WQP	1	240	40	42	9	8.67	1	0	77	0	27	Minnesota	27141	Sherburne County	2									0.1	0.175	0.175	0.32842797029917215	0.45	0.0	19.710699257479305	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5959564901872566272	45.1659	-93.7908	1	WQP	1	78	13	0	0		0	0	4	0	27	Minnesota	27171	Wright County	1									0.043339347763417226	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959594691765731328	45.12479	-93.99624	2	WQP	2	46	35	8	5		0	0	3	0	27	Minnesota	27171	Wright County	1									0.03733048224778867	0.17391304347826086	0.17391304347826086		0.25	0.0	9.713103664317094	4	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959631456685785088	45.1924	-94.28959	1	WQP	1	13	13	2	2		0	0	2	0	27	Minnesota	27093	Meeker County	1									0.02958370724829093	0.15384615384615385	0.15384615384615385		0.1	0.0	6.816470440817681	4	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959657879324590080	45.5119	-94.1728	1	WQP	1	80	53	16	11	11.4	12	0	54	2	27	Minnesota	27145	Stearns County	1					0.6	Plastics & rubber products manufacturing	3261	ANTIOCH CO	0.27489414599479567	0.2	0.2	0.36442116604702235	0.55	0.6	34.23182426099341	5	B	1-ring	sawgraph;spatialkg;fiokg	3
5959663651760635904	45.406168	-94.3101875	2	WQP	2	80	40	10	5	5.39	0	0	11	0	27	Minnesota	27145	Stearns County	1									0.0669141894960796	0.125	0.125	0.2684614416974979	0.25	0.0	14.053532674800234	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959663754839851008	45.390892	-94.307802	2	WQP	2	160	40	10	3	13.3	2	0	7	0	27	Minnesota	27145	Stearns County	1									0.09021220167863253	0.0625	0.0625	0.38505629773264877	0.15	0.0	15.53383450206836	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5959676742820954112	45.446248	-94.6186	1	WQP	1	40	40	2	2	1.25	4	0	6	0	27	Minnesota	27145	Stearns County	1									0.13215848670486202	0.05	0.05	0.11737718910566199	0.1	0.0	9.55997676231172	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
