cid,nDet,nDetAnalytes,maxNgL
5525328486882869248,28,14,672.2
5525329792552927232,44,11,45.2
5525330720265863168,178,14,102.0
5525330754625601536,27,10,4.23
5525330823345078272,23,12,34.1
5525331201302200320,11,11,9.28
5525331579259322368,10,10,4.58
5525331613619060736,43,14,17.2
5525332197734612992,63,14,149.0
5525332232094351360,14,14,339.0
5525335736787664896,3,3,0.612
5525335908586356736,8,8,4.27
5525336561421385728,100,11,189.0
5525337282975891456,9,9,4.39
5525339069682286592,10,10,16.4
5525340959467896832,11,11,11.9
5525341955900309504,3,3,0.224
5525342162058739712,3,3,0.381
5525344773398855680,146,17,23.2
5525345220075454464,5,5,7.8
5525345598032576512,10,10,6.51
5525346010349436928,12,7,2.72
5525347006781849600,8,8,1.34
5525349789920657408,57,12,73.7
5525353191534755840,21,11,3.57
5525355459277488128,10,10,9.66
5525355665435918336,24,17,11.9
5525355699795656704,3,3,0.34
5525355768515133440,8,8,3.99
5525357452142313472,12,9,3.23
5525358070617604096,42,17,1160.0
5525358620373417984,109,16,418.0
5525358723452633088,20,11,17.2
5525358929611063296,257,18,http://w3id.org/coso/v1/contaminoso#non-detect
5525359341927923712,90,13,32.9
5525359994762952704,297,19,23900.0
5525360063482429440,2,2,2.65
5525360097842167808,7,7,1.82
5525360716317458432,20,11,13.4
5525362262505684992,11,11,12.0
5525370715001323520,7,7,16.6
5525371951951904768,2,2,0.377
5525372673506410496,9,9,1.59
5525372707866148864,7,6,1.11
5525372810945363968,11,3,1.55
5525374391493328896,3,3,0.598
5525376075120508928,4,2,1.55
5525376521797107712,4,4,1.54
5525376556156846080,16,10,5.76
5525376727955537920,8,8,1.52
5525377655668473856,19,14,17.939
5525377758747688960,109,17,6398.0
5525377827467165696,1,1,1.33
5525377861826904064,105,16,1100.0
5525377896186642432,6,6,4.8
5525378308503502848,17,10,20.3
5525378342863241216,35,14,8.49
5525378377222979584,5,5,1.12
5525378652100886528,2,2,2.1
5525378686460624896,6,6,1.56
5525378789539840000,28,14,57.1
5525378823899578368,4,2,1.5
5525378858259316736,262,19,3130.0
5525378892619055104,37,12,38.6
5525378926978793472,545,19,1120.0
5525378961338531840,197,18,924.0
5525378995698270208,46,19,491.51
5525379030058008576,3,3,0.835
5525379098777485312,25,12,12.7
5525379133137223680,5,5,1.73
5525379167496962048,26,11,115.0
5525379201856700416,76,13,86.9
5525379785972252672,22,11,26.7
5525379820331991040,6,6,1.224
5525379854691729408,87,14,1280.0
5525379889051467776,261,16,1470.0
5525380267008589824,74,13,100.0
5525380370087804928,253,21,8730.0
5525380404447543296,190,14,7290.0
5525380438807281664,129,16,960.0
5525380473167020032,79,13,65.2
5525380541886496768,86,15,97.0
5525380644965711872,39,20,404.0
5525380782404665344,4,4,2.7
5525380816764403712,50,11,59.0
5525380851124142080,14,10,11.2
5525380919843618816,12,12,88.8
5525380954203357184,72,14,281.0
5525380988563095552,40,12,34.4
5525381057282572288,151,18,59.5
5525381091642310656,86,13,19.7
5525381126002049024,84,16,105.0
5525381229081264128,32,13,25.0
5525381263441002496,2,2,22.0
5525381469599432704,33,10,15.5
5525381538318909440,8,8,2.1
5525381572678647808,242,19,9840.0
5525381675757862912,35,13,96.1
5525382053714984960,5,5,2.6
5525382191153938432,3,3,1.64
5525382466031845376,20,11,4.84
5525382912708444160,4,1,16.6
5525383840421380096,203,18,748.0
5525383874781118464,1,1,0.473
5525384046579810304,11,11,37.6
5525384424536932352,40,12,11.7
5525384458896670720,106,15,168.0
5525384493256409088,10,10,11.1
5525384527616147456,27,14,62.1
5525384596335624192,60,17,144.0
5525384699414839296,21,14,13.9
5525384802494054400,16,9,20.9
5525385008652484608,392,15,7860.0
5525385180451176448,530,18,28300.0
5525385283530391552,1,1,1.33
5525385317890129920,142,20,6610.0
5525385627127775232,28,10,4.3
5525385695847251968,207,18,5230.0
5525385764566728704,4,4,8.1
5525385798926467072,25,13,14.1
5525386417401757696,14,10,6.64
5525386589200449536,9,9,3.06
5525387448193908736,37,12,1770.0
5525387482553647104,926,24,23700.0
5525387929230245888,151,21,48800.0
5525387963589984256,193,16,57.9
5525388272827629568,124,17,35.5
5525388307187367936,9,9,4.45
5525388341547106304,1,1,0.378
5525388375906844672,747,27,226000.0
5525388410266583040,385,23,4810.0
5525388444626321408,209,21,36000.0
5525388547705536512,582,27,167000.0
5525390643649576960,12,12,32.3
5525391227765129216,233,16,http://w3id.org/coso/v1/contaminoso#non-detect
5525391674441728000,342,21,888.0
5525391743161204736,37,10,108.0
5525392842672832512,7,4,1.14
5525393736026030080,20,10,13.0
5525397687395942400,12,12,19.7
5525399577181552640,155,18,29.6
5525400264376320000,10,10,7.45
5525400814132133888,44,13,32.1
5525400882851610624,11,7,7.2
5525405349617598464,81,23,1771.4
5525405624495505408,13,9,16.2
5525406449129226240,4,4,1.51
5525406483488964608,25,9,23.0
5525406517848702976,72,11,256.0
5525406552208441344,12,11,19.1
5525408957390127104,297,19,3650.0
5525408991749865472,11,11,9.5
5525410263060185088,179,17,1560.0
5525411809248411648,13,13,135.0
5525413286717161472,4,4,1.35
5525415966776754176,22,7,9.88
5525416035496230912,8,8,14.1
5525416069855969280,1,1,5.15
5525420055585619968,100,12,35.0
5525420089945358336,10,9,9.39
5525420124305096704,116,15,333.0
5525420158664835072,7,7,6.58
5525420811499864064,12,12,159.0
5525420845859602432,209,15,234.0
5525420880219340800,1,1,2.19
5525421601773846528,46,13,115.0
5525421636133584896,1,1,1.47
5525422048450445312,30,14,69.7
5525422117169922048,70,14,84.1
5525422220249137152,73,13,1013.0
5525425072107421696,41,12,23.6
5525425106467160064,10,6,2.04
5525425346985328640,112,13,36.3
5525426171619049472,149,13,44.9
5525432390731694080,9,7,1.62
5525432425091432448,4,4,3.23
5525435414388670464,180,25,2710.0
5525435998504222720,110,22,38891.0
5525436032863961088,36,9,35733.0
5525436170302914560,46,26,53040.8
5525436788778205184,175,19,201.0
5525436823137943552,158,18,49.0
5525437647771664384,31,16,730.0
5525437750850879488,28,15,1500.0
5525438472405385216,57,16,211.0
5525438506765123584,13,13,25.7
5525454312244772864,27,13,28.7
5525455549195354112,137,17,32.9
5525455686634307584,34,9,46.4
5525455755353784320,120,13,284.0
5525457954377039872,1,1,1.46
5525458366693900288,45,12,48.2
5525463383215702016,134,16,49.6
5525466028915556352,108,14,8.07
5525470873638666240,40,12,33.9
5525471801351602176,24,12,21.4
5525474481411194880,5,5,8.06
5525474653209886720,229,19,12620.0
5525475134246223872,141,17,132.0
5525475580922822656,69,13,28.7
5525475615282561024,56,15,79.8
5525478638939537408,4,4,242.0
5525489256098693120,79,12,26.4
5525497468076163072,8,8,0.967
5525498086551453696,14,7,1.36
5525498498868314112,47,13,24.4
5525507810357411840,148,18,67.6
5525518152638660608,4,2,2.58
5525518186998398976,51,12,105.0
5525518290077614080,137,17,113.0
5525518633674997760,125,16,23.8
5525526776932990976,12,12,21.1
5525529182114676736,3,3,0.737
5525532755527467008,59,13,72.09
5525532858606682112,60,16,236.23
5525560999232405504,126,15,43.2
5525561617707696128,147,18,82.0
5525561755146649600,133,14,51.0
5525562030024556544,182,23,333.12
5525564194688073728,130,14,293.0
5525565019321794560,117,14,20.6
5525573403097956352,129,17,81.4
5525583470501298176,152,20,59.2
5525613775790538752,105,16,106.0
5525613878869753856,14,10,10.9
5525613913229492224,31,12,9.96
5525614325546352640,24,12,33.81
5525619823104491520,132,14,131.0
5525621300573241344,67,15,684.7
5525682014230937600,24,12,80.3
5525731904571047936,56,14,686.0
5525829589307228160,134,16,37.0
5525829761105920000,88,13,700.0
5525830310861733888,126,13,85.8
5525832750403158016,8,8,8.45
5525833609396617216,10,10,3.57
5525835980218564608,28,15,419.0
5525837663845744640,76,18,4310.0
5525837766924959744,48,20,116.58
5525839759789785088,122,14,14.9
5525840584423505920,13,13,321.0
5525855874507079680,11,11,9.5
5525859585358823424,10,10,8.93
5525864911118270464,4,1,33.0
5525869755841380352,5,5,6.6
5525869790201118720,65,15,138.0
5525871164590653440,3,1,39.2
5525871198950391808,17,12,25.0
5525874188247629824,10,5,0.788
5525874222607368192,18,9,4.82
5525874978521612288,47,11,19.5
5525875012881350656,22,11,38.9
5525875081600827392,25,11,18.7
5525876765228007424,39,12,409.0
5525880098122629120,18,10,16.6
5525880132482367488,37,11,29.7
5525883671535419392,139,19,15.1
5525896384638615552,8,8,3.37
5525903119147335680,4,4,1.133
5525905283810852864,130,16,16.7
5525921776485269504,12,11,52.1
5525954212078288896,149,17,76.0
5525954521315934208,4,1,0.428
5525954555675672576,23,12,13.2
5525954727474364416,27,15,142.604
5525961839940206592,16,9,3.51
5525961874299944960,169,18,81.0
5525962011738898432,67,17,855.7
5525962424055758848,11,9,14.8
5525963042531049472,812,18,http://w3id.org/coso/v1/contaminoso#non-detect
5525963076890787840,1199,23,http://w3id.org/coso/v1/contaminoso#non-detect
5525963179970002944,177,17,320.0
5525963214329741312,69,13,79.0
5525963248689479680,50,13,21.0
5525963626646601728,139,15,21.3
5525963729725816832,20,6,104.0
5525963798445293568,191,15,184.0
5525982112185843712,28,18,90.754
5525983177337733120,154,19,68.2
5525983486575378432,3,3,4.84
5525983520935116800,43,13,48.09
5525986166634971136,8,8,1.72
5525986200994709504,7,7,0.918
5525986475872616448,5,5,0.688
5526027398321012736,30,12,118.0
5526027432680751104,24,12,218.0
5526052206052114432,174,21,21.4
5526097251669114880,137,17,27.8
5526123021472890880,7,7,2.47
5526126079489605632,1,1,0.708
5526208302343520256,3,3,0.298
5526231117209796608,145,16,26.6
5526231151569534976,35,11,10.2
5526263484083339264,3,3,0.214
5526263518443077632,44,12,21.7
5526263552802816000,148,18,39.9
5526309113815891968,162,16,http://w3id.org/coso/v1/contaminoso#non-detect
5526311244119670784,1,1,0.613
5526311278479409152,11,6,5.07
5526336498527371264,22,7,282.0
5526336807765016576,114,14,19.0
5526337048283185152,42,13,215.0
5526338834989580288,12,9,4.98
5526339212946702336,7,7,2.54
5526344538706149376,11,11,182.5
5526344573065887744,131,18,34.2
5526347528003387392,422,26,24800.0
5526347562363125760,175,25,2530.0
5526348215198154752,10,10,4.62
5526349761386381312,148,17,18.8
5526356942571700224,10,10,6.07
5526357595406729216,20,12,83.3
5526361237538996224,4,4,0.633
5526361512416903168,3,3,6.27
5526362749367484416,11,11,5.75
5526367972047716352,137,19,46.8
5526368246925623296,4,4,0.348
5526381544144371712,9,8,3.48
5526401953828962304,236,31,2450.0
5526407863703961600,16,7,8.29
5526409650410356736,10,10,2.8
5526409719129833472,18,11,14.6
5526412193030995968,326,21,288.0
5526412364829687808,159,15,8570.0
5526412399189426176,188,17,7590.0
5526412433549164544,15,10,1.78
5526413842298437632,8,8,3.44
5526413911017914368,8,8,1.71
5526414357694513152,28,10,67.91
5526415113608757248,294,16,4560.0
5526415285407449088,18,18,8240.0
5526415766443786240,23,12,4.23
5526415800803524608,233,15,516.0
5526415835163262976,3,3,1.64
5526416041321693184,3,3,0.419
5526416350559338496,10,9,1.93
5526416419278815232,8,6,1.62
5526416487998291968,6,6,2.7
5526416728516460544,138,17,31.4
5526420679886372864,30,15,310.0
5526429304180703232,1,1,6.88
5526429338540441600,192,21,1650.0
5526429372900179968,219,27,70800.0
5526429579058610176,20,10,2.29
5526430094454685696,8,7,1.9
5526430231893639168,26,21,1390.0
5526430334972854272,2,2,0.878
5526430678570237952,26,11,9.9
5526430712929976320,148,15,3990.0
5526430747289714688,2,2,2.0
5526432637075324928,96,14,360.0
5526432705794801664,6,6,5.2
5526434389421981696,7,7,1.82
5526435798171254784,158,18,28.8
5526439302864568320,11,11,14.4
5526439337224306688,228,16,http://w3id.org/coso/v1/contaminoso#non-detect
5526441433168347136,64,11,1370.0
5526444078868201472,15,13,424.0
5526444388105846784,154,21,35.7
5526444731703230464,11,11,25.2
5526445796855119872,8,6,0.742
5526445831214858240,121,15,663.0
5526445899934334976,394,19,260.0
5526445934294073344,2101,20,2950.0
5526446003013550080,85,13,100.0
5526447858439421952,6,6,9.84
5526448339475759104,10,10,5.33
5526448408195235840,70,9,42.3
5526448923591311360,145,23,9190.0
5526449645145817088,195,21,217.0
5526449816944508928,3,3,0.291
5526450194901630976,3,3,0.367
5526450366700322816,7,7,0.728
5526450641578229760,11,11,11.4
5526450847736659968,13,8,4.76
5526450882096398336,5,5,0.461
5526450950815875072,225,16,367.0
5526450985175613440,23,12,13.067
5526451019535351808,961,20,419.0
5526451053895090176,157,17,71.8
5526451088254828544,34,13,14.385
5526451122614566912,42,13,21.9
5526451156974305280,261,19,2490.0
5526451191334043648,6,6,0.52
5526451225693782016,562,17,64.0
5526451260053520384,174,18,712.0
5526451294413258752,30,10,1.976
5526451328772997120,226,19,66.0
5526451363132735488,232,15,45.5
5526451397492473856,18,10,10.09
5526451431852212224,762,19,623.0
5526451500571688960,15,15,394.36
5526451534931427328,12,12,13.06
5526451569291165696,1636,23,54100.0
5526451603650904064,551,21,http://w3id.org/coso/v1/contaminoso#non-detect
5526451638010642432,29,19,668.23
5526451672370380800,99,14,27.9
5526451706730119168,140,16,28.0
5526451741089857536,1416,25,1920.0
5526451775449595904,40,13,19.3
5526451844169072640,125,20,1340.0
5526451878528811008,33,17,806.0
5526451912888549376,96,13,39.93
5526451947248287744,114,12,75.5
5526452015967764480,116,14,34.2
5526452050327502848,7,7,9.648
5526452084687241216,874,19,104.0
5526452119046979584,3424,30,http://w3id.org/coso/v1/contaminoso#non-detect
5526452153406717952,2945,38,29000.0
5526452187766456320,2121,33,36221.3
5526452222126194688,626,21,1288.38
5526452256485933056,20,11,5.275
5526452290845671424,262,16,118.0
5526452325205409792,10,10,2.2
5526452359565148160,1080,20,8600.0
5526452462644363264,4,4,0.382
5526452703162531840,53,13,24.3
5526452771882008576,390,23,170.8
5526452806241746944,4,4,0.25
5526452874961223680,5005,33,19298.0
5526452909320962048,427,28,http://w3id.org/coso/v1/contaminoso#non-detect
5526452978040438784,435,19,306.0
5526453012400177152,85,14,60.1
5526453046759915520,31,12,16.289
5526453115479392256,62,15,572.0
5526453149839130624,14,12,13.963
5526453355997560832,9,9,1.98
5526453459076775936,29,11,2.08
5526453527796252672,469,19,706.14
5526453596515729408,62,15,108.0
5526453630875467776,1,1,0.524
5526453699594944512,315,18,451.0
5526453733954682880,1006,22,5720.0
5526453768314421248,319,16,251.0
5526453802674159616,620,20,1950.0
5526453837033897984,785,20,710.0
5526453871393636352,689,19,475.0
5526454283710496768,38,11,29.9
5526455280142909440,127,15,143.0
5526457204288258048,11,11,5.29
5526460674621833216,10,10,4.26
5526461808493199360,22,11,10.6
5526461980291891200,60,20,660.36
5526462014651629568,172,21,763.68
5526462049011367936,12,12,307.88
5526462083371106304,10,10,11.856
5526462186450321408,12,12,8.57
5526464110595670016,9,6,1.2
5526469539434332160,5,5,7.91
5526470089190146048,11,11,7.083
5526470123549884416,23,13,http://w3id.org/coso/v1/contaminoso#non-detect
5526470913823866880,3,3,3.4
5526471016903081984,1,1,3.7
5526473971840581632,9,9,1.92
5526474006200320000,78,13,8.31
5526474040560058368,33,9,5.34
5526474349797703680,20,12,12.4
5526474384157442048,147,20,26100.0
5526477029857296384,24,6,6.96
5526477064217034752,48,16,2590.0
5526477613972848640,3,3,1.9
5526478266807877632,52,11,14.2
5526478301167616000,10,10,4.35
5526478335527354368,191,15,199.0
5526478369887092736,481,15,324.0
5526478438606569472,97,13,90.2
5526478782203953152,524,21,4010.0
5526480294032441344,117,15,117.0
5526480328392179712,271,26,5100.0
5526480706349301760,15,15,116.07
5526480809428516864,383,25,3350.0
5526480843788255232,27,14,106.0
5526487131620376576,192,23,91.4
5526487440858021888,130,16,114.0
5526487887534620672,298,19,262.0
5526488059333312512,224,16,166.0
5526488093693050880,11,11,9.88
5526489090125463552,13,13,24.536
5526489674241015808,8,8,1.21
5526489708600754176,12,11,4.36
5526489742960492544,7,7,3.42
5526489846039707648,41,12,10.9
5526490739392905216,9,9,2.66
5526490876831858688,19,11,3.32
5526490979911073792,19,11,8.06
5526497748779532288,9,9,3.54
5526497954937962496,269,23,820.0
5526497989297700864,341,25,544.0
5526498607772991488,89,17,http://w3id.org/coso/v1/contaminoso#non-detect
5526498710852206592,38,10,http://w3id.org/coso/v1/contaminoso#non-detect
5526500841155985408,9,9,2.41
5526507644384182272,12,12,20.3
5526507678743920640,9,9,3.16
5526508331578949632,21,12,59.05
5526508846975025152,41,7,215.9
5526511355235926016,7,4,9.9
5526514585051332608,4,4,2.06
5526515066087669760,27,12,29.8
5526515753282437120,4,4,11.0
5526516852794064896,35,13,39.6
5526516887153803264,49,12,20.9
5526517127671971840,3,3,1.35
5526517162031710208,119,15,405.0
5526517230751186944,15,9,2.5
5526517265110925312,6,6,1.69
5526517333830402048,164,21,269.0
5526517368190140416,18,9,1.45
5526517574348570624,73,15,382.0
5526524033979383808,155,19,21.1
5526526336081854464,36,13,94.0
5526538877386358784,35,12,37.42
5526541832323858432,1,1,2.18
5526541866683596800,1,1,2.52
5526542175921242112,42,14,15.5
5526547639119642624,11,7,2.47
5526547673479380992,28,17,12.4
5526548120155979776,37,12,15.4
5526548154515718144,7,7,5.61
5526548257594933248,24,12,52.1
5526548291954671616,1,1,0.409
5526548360674148352,16,12,15.0
5526549254027345920,49,13,16.0
5526549425826037760,12,8,0.872
5526550834575310848,8,8,1.52
5526552758720659456,8,8,3.26
5526554167469932544,25,12,15.3
5526554442347839488,137,16,16.5
5526556710090571776,142,16,47.4
5526558668595658752,16,9,8.28
5526560798899437568,24,15,70.963
5526560936338391040,256,20,42.3
5526560970698129408,24,15,11.671
5526563685117460480,214,17,148.0
5526563753836937216,6,6,5.92
5526563788196675584,5,5,4.283
5526568392401616896,17,8,1.671
5526568461121093632,8,8,3.2
5526568495480832000,29,10,4.88
5526568667279523840,5,5,3.58
5526572653009174528,12,9,2.54
5526572687368912896,23,10,13.6
5526573065326034944,9,6,1.83
5526578872121819136,32,11,72.9
5526578975201034240,7,7,13.7
5526583373247545344,21,12,12.8
5526583407607283712,32,10,24.7
5526584885076033536,5,5,10.8
5526584919435771904,47,13,20.2
5526586877940858880,12,12,12.5
5526587324617457664,1,1,0.747
5526587358977196032,26,14,531.59
5526587427696672768,3,3,0.654
5526587599495364608,7,5,0.944
5526587668214841344,5,5,1.961
5526588424129085440,3,3,0.238
5526588458488823808,19,11,7.78
5526588527208300544,5,5,1.123
5526588595927777280,16,10,2.74
5526589317482283008,5,5,0.559
5526590142116003840,26,10,16.1
5526590829310771200,8,7,2.27
5526590863670509568,18,6,8.56
5526591001109463040,14,6,3.09
5526594608881991680,20,9,80.3
5526594677601468416,9,6,0.607
5526595089918328832,9,9,5.7
5526595502235189248,147,18,39.6
5526596051991003136,10,7,1.63
5526596086350741504,9,9,2.51
5526596636106555392,22,11,87.0
5526597529459752960,38,11,7.34
5526599556684316672,140,18,35.9
5526601171592019968,18,7,12.5
5526601583908880384,78,13,14.4
5526601618268618752,366,19,11204.5
5526601721347833856,16,16,182.45
5526601790067310592,11,11,5.45
5526601824427048960,1,1,3.58
5526601858786787328,11,11,2.777
5526601893146525696,246,10,9180.0
5526601927506264064,7,7,2.03
5526602064945217536,11,7,5.57
5526602408542601216,13,10,11.5
5526603095737368576,4,4,1.01
5526603130097106944,4,4,0.959
5526603301895798784,11,7,14.3
5526603611133444096,154,16,38.9
5526603714212659200,13,13,20.4
5526604023450304512,5,5,0.618
5526604057810042880,16,11,5.43
5526604401407426560,9,9,7.15
5526608730734460928,22,10,1.73
5526608765094199296,12,7,0.813
5526608799453937664,7,3,1.12
5526608868173414400,4,4,0.945
5526610036404518912,46,12,24.9
5526610483081117696,11,11,26.4
5526611513873268736,24,12,21.9
5526611548233007104,15,10,4.1
5526612372866727936,1,1,4.99
5526613712896524288,173,23,396.0
5526617320669052928,11,7,1.812
5526618042223558656,23,16,95.705
5526618076583297024,29,16,279.0
5526620309966290944,6,6,0.824
5526620928441581568,16,10,33.3
5526620962801319936,137,16,33.4
5526621340758441984,38,13,170.0
5526621821794779136,139,16,36.1
5526623161824575488,4,4,53.14
5526623196184313856,18,9,49.14
5526625463927046144,36,15,119.0
5526625567006261248,139,16,45.9
5526626838316580864,30,15,842.0
5526627010115272704,7,4,821.3
5526627388072394752,14,10,4.01
5526627422432133120,59,12,10.7
5526628075267162112,86,13,27.221
5526631408161783808,11,11,6.97
5526631442521522176,11,11,12.6
5526631545600737280,29,13,6.72
5526635462610911232,9,9,3.41
5526635634409603072,30,10,9.44
5526636355964108800,7,7,6.51
5526639723218468864,1,1,2.49
5526640376053497856,410,24,http://w3id.org/coso/v1/contaminoso#non-detect
5526640410413236224,30,12,25.1
5526641131967741952,3,2,20.5
5526641956601462784,98,11,6.87
5526642231479369728,21,11,5.69
5526642334558584832,69,12,17.5
5526642712515706880,69,12,29.4
5526642746875445248,28,8,19.3
5526642781235183616,7,7,9.54
5526643296631259136,5,5,3.29
5526644189984456704,17,11,2.54
5526644258703933440,24,10,10.3
5526644293063671808,60,12,620.0
5526644396142886912,22,12,23.2
5526644739740270592,18,12,54.9
5526645804892160000,25,13,5.08
5526646148489543680,95,13,165.19
5526648897268613120,31,18,296.163
5526648931628351488,261,21,2340.0
5526648965988089856,14,14,277.63
5526649240865996800,14,14,31.4
5526649412664688640,137,17,330.0
5526649447024427008,154,20,103.0
5526650031139979264,11,11,5.59
5526650409097101312,106,16,899.0
5526650512176316416,11,11,32.7
5526651371169775616,157,17,46.7
5526651611687944192,142,16,30.5
5526652951717740544,134,17,68.6
5526654119948845056,4,4,721.0
5526654154308583424,48,18,1160.0
5526656593850007552,164,18,87.4
5526658758513524736,31,18,17.3
5526658792873263104,133,19,1559.99
5526658827233001472,9,9,2.8
5526659033391431680,124,19,262.5
5526659273909600256,8,8,148.0
5526660339061489664,138,15,37.7
5526660373421228032,142,16,25.5
5526660407780966400,2,2,http://w3id.org/coso/v1/contaminoso#non-detect
5526660751378350080,20,8,1973.0
5526663019121082368,139,17,24.7
5526665802259890176,27,14,105.0
5526665836619628544,69,14,8.61
5526665870979366912,134,16,http://w3id.org/coso/v1/contaminoso#non-detect
5526665905339105280,31,19,4050.0
5526668344880529408,139,16,43.1
5526669032075296768,14,14,155.0
5526670784421953536,157,19,161.0
5526671024940122112,5,3,18.22
5526673086524424192,11,11,17.68
5526673120884162560,22,13,9.62
5526673498841284608,31,8,725.0
5526673567560761344,13,11,5.49
5526673670639976448,13,5,41.07
5526677690729365504,3,3,0.8
5526679580514975744,241,23,970.0
5526679821033144320,7,7,50.2
5526684631396515840,3,3,0.524
5526684803195207680,3,3,0.761
5526684837554946048,3,3,0.542
5526684974993899520,58,15,158.12
5526685009353637888,34,17,220.748
5526685078073114624,7,7,0.956
5526685352951021568,21,12,15.5
5526685662188666880,37,12,31.6
5526685799627620352,193,15,178.0
5526685937066573824,18,11,3.97
5526685971426312192,18,10,1.49
5526686005786050560,138,16,36.9
5526686349383434240,51,14,19.9
5526686383743172608,12,7,2.82
5526686452462649344,216,15,154.0
5526686486822387712,8,4,1.77
5526687105297678336,74,14,23.7
5526687139657416704,11,7,15.1
5526687208376893440,11,11,32.1
5526698959407415296,10,10,5.44
5526735174571655168,23,13,28.88
5526736514601451520,168,19,25.1
5526738438746800128,9,5,2.43
5526738473106538496,366,16,2180.0
5526740637770055680,19,11,19.2
5526740672129794048,133,20,23600.0
5526746513285316608,14,6,3.16
