pt,cid,lat,lon,layer
samplePoint.84667,5523905924994957312,44.665517,-67.286182,EGAD
samplePoint.84668,5523905924994957312,44.665868,-67.286812,EGAD
samplePoint.84669,5523905924994957312,44.665877,-67.286415,EGAD
samplePoint.89209,5523905924994957312,44.664324,-67.293931,EGAD
samplePoint.89210,5523905924994957312,44.664144,-67.293821,EGAD
samplePoint.89217,5523905924994957312,44.662982,-67.294099,EGAD
samplePoint.89220,5523905924994957312,44.663756,-67.293265,EGAD
samplePoint.89228,5523905924994957312,44.664074,-67.294727,EGAD
samplePoint.89229,5523905924994957312,44.662774,-67.294536,EGAD
samplePoint.89230,5523905924994957312,44.663876,-67.293603,EGAD
samplePoint.89231,5523905924994957312,44.664434,-67.293581,EGAD
samplePoint.89232,5523905924994957312,44.664106,-67.293214,EGAD
samplePoint.89234,5523905924994957312,44.664390,-67.294243,EGAD
samplePoint.89235,5523905924994957312,44.663445,-67.294108,EGAD
samplePoint.89236,5523905924994957312,44.663605,-67.293676,EGAD
samplePoint.89240,5523905924994957312,44.663459,-67.294190,EGAD
samplePoint.89244,5523905924994957312,44.663810,-67.294925,EGAD
samplePoint.89248,5523905924994957312,44.664094,-67.293749,EGAD
samplePoint.142234,5523906165513125888,44.636619,-67.265686,EGAD
samplePoint.142236,5523906165513125888,44.636930,-67.263666,EGAD
samplePoint.142235,5523906268592340992,44.635719,-67.267356,EGAD
samplePoint.142237,5523906268592340992,44.635665,-67.264988,EGAD
samplePoint.143236,5523992717694074880,44.556700,-67.569996,EGAD
samplePoint.143237,5523992855133028352,44.555043,-67.578409,EGAD
samplePoint.143290,5523992855133028352,44.555144,-67.578816,EGAD
samplePoint.143291,5523992855133028352,44.555144,-67.578816,EGAD
samplePoint.143292,5523992855133028352,44.555095,-67.578374,EGAD
samplePoint.143293,5523992855133028352,44.555095,-67.578374,EGAD
samplePoint.143294,5523992855133028352,44.554893,-67.578339,EGAD
samplePoint.143295,5523992855133028352,44.554893,-67.578339,EGAD
samplePoint.143296,5523992855133028352,44.554844,-67.578242,EGAD
samplePoint.143297,5523992855133028352,44.554844,-67.578242,EGAD
samplePoint.143298,5523992855133028352,44.554806,-67.578300,EGAD
samplePoint.132024,5524834771802259456,44.168959,-68.663603,EGAD
samplePoint.147449,5524834840521736192,44.176787,-68.679822,EGAD
samplePoint.147452,5524834840521736192,44.174964,-68.682205,EGAD
samplePoint.148311,5524834840521736192,44.170345,-68.680245,EGAD
samplePoint.148620,5524834840521736192,44.176911,-68.673864,EGAD
samplePoint.148621,5524834840521736192,44.177267,-68.672616,EGAD
samplePoint.150214,5524834840521736192,44.170683,-68.685972,EGAD
samplePoint.150215,5524834840521736192,44.174065,-68.674598,EGAD
samplePoint.150216,5524834840521736192,44.172517,-68.678170,EGAD
samplePoint.150217,5524834840521736192,44.177620,-68.674103,EGAD
samplePoint.150538,5524834840521736192,44.176343,-68.677677,EGAD
samplePoint.153657,5524834840521736192,44.176809,-68.679818,EGAD
samplePoint.153659,5524834840521736192,44.174638,-68.681362,EGAD
samplePoint.153660,5524834840521736192,44.174941,-68.682466,EGAD
samplePoint.61969,5524834840521736192,44.174651,-68.681328,EGAD
samplePoint.132014,5524834874881474560,44.163075,-68.683653,EGAD
samplePoint.148310,5524834874881474560,44.169257,-68.684412,EGAD
samplePoint.148313,5524834874881474560,44.170525,-68.687393,EGAD
samplePoint.148385,5524834874881474560,44.169903,-68.689830,EGAD
samplePoint.150195,5524834943600951296,44.178010,-68.689750,EGAD
samplePoint.150196,5524834943600951296,44.178115,-68.691433,EGAD
samplePoint.151764,5524837383142375424,44.171743,-68.838810,EGAD
samplePoint.150270,5524845595119845376,44.042080,-68.839793,EGAD
samplePoint.149582,5525178059948294144,43.591776,-70.207340,EGAD
samplePoint.152266,5525203864111808512,43.755187,-69.848733,EGAD
samplePoint.152269,5525203864111808512,43.755548,-69.847815,EGAD
samplePoint.40622,5525211869930848256,43.772773,-70.015420,EGAD
samplePoint.40642,5525211869930848256,43.771447,-70.012233,EGAD
samplePoint.116882,5525211938650324992,43.778099,-70.017680,EGAD
samplePoint.116883,5525211938650324992,43.778099,-70.017680,EGAD
samplePoint.116884,5525211938650324992,43.778099,-70.017680,EGAD
samplePoint.116885,5525211938650324992,43.778099,-70.017680,EGAD
MEDEP_WQX-116882,5525211973010063360,43.787028,-70.013583,WQP
MEDEP_WQX-116883,5525211973010063360,43.787028,-70.013583,WQP
MEDEP_WQX-116884,5525211973010063360,43.787028,-70.013583,WQP
MEDEP_WQX-116885,5525211973010063360,43.787028,-70.013583,WQP
samplePoint.108980,5525214343832010752,43.883770,-69.948682,EGAD
samplePoint.117710,5525214343832010752,43.880293,-69.942649,EGAD
samplePoint.117711,5525214343832010752,43.881182,-69.943524,EGAD
samplePoint.132968,5525214481270964224,43.877209,-69.926960,EGAD
samplePoint.132970,5525214481270964224,43.877229,-69.926970,EGAD
samplePoint.64170,5525214481270964224,43.880551,-69.926276,EGAD
samplePoint.64189,5525214481270964224,43.880346,-69.923453,EGAD
samplePoint.64191,5525214481270964224,43.878386,-69.926093,EGAD
samplePoint.64198,5525214481270964224,43.879657,-69.925252,EGAD
samplePoint.64199,5525214481270964224,43.879716,-69.928128,EGAD
samplePoint.64201,5525214481270964224,43.878970,-69.927459,EGAD
samplePoint.80891,5525214481270964224,43.880817,-69.923833,EGAD
samplePoint.127871,5525214653069656064,43.854499,-69.938230,EGAD
samplePoint.127872,5525214653069656064,43.854479,-69.938100,EGAD
samplePoint.127873,5525214687429394432,43.849739,-69.933460,EGAD
MEDEP_WQX-116886,5525214721789132800,43.840354,-69.943387,WQP
MEDEP_WQX-116887,5525214721789132800,43.840354,-69.943387,WQP
MEDEP_WQX-116888,5525214721789132800,43.840354,-69.943387,WQP
MEDEP_WQX-116889,5525214721789132800,43.840354,-69.943387,WQP
samplePoint.116886,5525214721789132800,43.842339,-69.939100,EGAD
samplePoint.116887,5525214721789132800,43.843299,-69.939100,EGAD
samplePoint.116888,5525214721789132800,43.843959,-69.937950,EGAD
samplePoint.116889,5525214721789132800,43.844359,-69.937110,EGAD
samplePoint.127874,5525214721789132800,43.845039,-69.940410,EGAD
samplePoint.146475,5525218432640876544,43.897339,-69.816059,EGAD
samplePoint.150884,5525218570079830016,43.906438,-69.814184,EGAD
samplePoint.151027,5525218604439568384,43.909628,-69.815257,EGAD
samplePoint.130312,5525219085475905536,43.930117,-69.804092,EGAD
samplePoint.142545,5525219085475905536,43.928744,-69.804319,EGAD
samplePoint.142701,5525219085475905536,43.930358,-69.803415,EGAD
samplePoint.150130,5525219085475905536,43.927045,-69.810266,EGAD
samplePoint.63797,5525219085475905536,43.932659,-69.802673,EGAD
samplePoint.63798,5525219085475905536,43.931599,-69.802714,EGAD
samplePoint.63801,5525219085475905536,43.932933,-69.800152,EGAD
samplePoint.63806,5525219085475905536,43.933675,-69.802368,EGAD
samplePoint.63807,5525219085475905536,43.930986,-69.802984,EGAD
samplePoint.121493,5525219360353812480,43.919293,-69.834357,EGAD
samplePoint.110244,5525219875749888000,43.936566,-69.914576,EGAD
samplePoint.110228,5525219978829103104,43.934951,-69.915980,EGAD
samplePoint.110230,5525219978829103104,43.936014,-69.915275,EGAD
samplePoint.124633,5525219978829103104,43.934045,-69.913590,EGAD
samplePoint.125354,5525219978829103104,43.934981,-69.913908,EGAD
samplePoint.134788,5525220288066748416,43.898408,-69.912407,EGAD
samplePoint.109458,5525220425505701888,43.889778,-69.921538,EGAD
samplePoint.120394,5525220425505701888,43.886364,-69.920623,EGAD
samplePoint.121502,5525220425505701888,43.885765,-69.921026,EGAD
samplePoint.121508,5525220425505701888,43.888376,-69.921541,EGAD
samplePoint.121509,5525220425505701888,43.887230,-69.920820,EGAD
samplePoint.121512,5525220425505701888,43.889057,-69.919465,EGAD
samplePoint.121524,5525220425505701888,43.889261,-69.921539,EGAD
samplePoint.121527,5525220425505701888,43.885765,-69.921026,EGAD
samplePoint.121529,5525220425505701888,43.887230,-69.920820,EGAD
samplePoint.121557,5525220425505701888,43.889261,-69.921539,EGAD
samplePoint.121558,5525220425505701888,43.886364,-69.920623,EGAD
samplePoint.127059,5525220425505701888,43.884602,-69.916720,EGAD
samplePoint.129547,5525220425505701888,43.883877,-69.917050,EGAD
samplePoint.129548,5525220425505701888,43.885633,-69.915629,EGAD
samplePoint.129550,5525220425505701888,43.887346,-69.915047,EGAD
samplePoint.64172,5525220425505701888,43.885674,-69.924023,EGAD
samplePoint.64173,5525220425505701888,43.887475,-69.922487,EGAD
samplePoint.64184,5525220425505701888,43.888582,-69.920339,EGAD
samplePoint.64195,5525220425505701888,43.884217,-69.924464,EGAD
samplePoint.68416,5525220425505701888,43.883133,-69.925108,EGAD
samplePoint.68418,5525220425505701888,43.887462,-69.922431,EGAD
samplePoint.68439,5525220425505701888,43.885277,-69.921398,EGAD
samplePoint.69596,5525220425505701888,43.886116,-69.922344,EGAD
samplePoint.75749,5525220425505701888,43.882728,-69.923372,EGAD
samplePoint.75784,5525220425505701888,43.881249,-69.923092,EGAD
samplePoint.76857,5525220425505701888,43.882439,-69.922710,EGAD
samplePoint.80860,5525220425505701888,43.886140,-69.922885,EGAD
samplePoint.80864,5525220425505701888,43.885814,-69.922938,EGAD
samplePoint.80867,5525220425505701888,43.887699,-69.921417,EGAD
samplePoint.80886,5525220425505701888,43.885072,-69.923158,EGAD
samplePoint.80890,5525220425505701888,43.881678,-69.923409,EGAD
samplePoint.80898,5525220425505701888,43.882269,-69.923225,EGAD
samplePoint.83683,5525220425505701888,43.887446,-69.919544,EGAD
samplePoint.84540,5525220425505701888,43.881180,-69.923805,EGAD
samplePoint.84541,5525220425505701888,43.882996,-69.923701,EGAD
samplePoint.90325,5525220425505701888,43.883922,-69.923464,EGAD
samplePoint.121525,5525220459865440256,43.890331,-69.919218,EGAD
samplePoint.121559,5525220459865440256,43.890331,-69.919218,EGAD
samplePoint.64183,5525220459865440256,43.890275,-69.920278,EGAD
samplePoint.83677,5525220459865440256,43.894338,-69.914527,EGAD
samplePoint.105764,5525220494225178624,43.892704,-69.932103,EGAD
samplePoint.105765,5525220494225178624,43.892848,-69.931222,EGAD
samplePoint.105767,5525220494225178624,43.893707,-69.931594,EGAD
samplePoint.105768,5525220494225178624,43.893737,-69.931028,EGAD
samplePoint.105770,5525220494225178624,43.892788,-69.930015,EGAD
samplePoint.105776,5525220494225178624,43.893535,-69.932463,EGAD
samplePoint.116304,5525220494225178624,43.900105,-69.926289,EGAD
samplePoint.117318,5525220494225178624,43.894030,-69.931379,EGAD
samplePoint.120025,5525220494225178624,43.891329,-69.926766,EGAD
samplePoint.120026,5525220494225178624,43.890130,-69.922242,EGAD
samplePoint.121500,5525220494225178624,43.890130,-69.922242,EGAD
samplePoint.121518,5525220494225178624,43.890937,-69.921987,EGAD
samplePoint.121519,5525220494225178624,43.891234,-69.927847,EGAD
samplePoint.121521,5525220494225178624,43.891676,-69.926034,EGAD
samplePoint.121531,5525220494225178624,43.890937,-69.921987,EGAD
samplePoint.121547,5525220494225178624,43.891234,-69.927847,EGAD
samplePoint.121548,5525220494225178624,43.891329,-69.926766,EGAD
samplePoint.121549,5525220494225178624,43.891676,-69.926034,EGAD
samplePoint.121560,5525220494225178624,43.891407,-69.923388,EGAD
samplePoint.122430,5525220494225178624,43.890631,-69.924537,EGAD
samplePoint.125242,5525220494225178624,43.891455,-69.924730,EGAD
samplePoint.125243,5525220494225178624,43.890602,-69.923243,EGAD
samplePoint.132966,5525220494225178624,43.893893,-69.929934,EGAD
samplePoint.132967,5525220494225178624,43.892280,-69.931743,EGAD
samplePoint.132971,5525220494225178624,43.891244,-69.928124,EGAD
samplePoint.132972,5525220494225178624,43.891244,-69.928124,EGAD
samplePoint.134789,5525220494225178624,43.898074,-69.917784,EGAD
samplePoint.137415,5525220494225178624,43.900333,-69.927655,EGAD
samplePoint.139815,5525220494225178624,43.898267,-69.928044,EGAD
samplePoint.139816,5525220494225178624,43.898718,-69.928493,EGAD
samplePoint.139817,5525220494225178624,43.898825,-69.927784,EGAD
samplePoint.64888,5525220494225178624,43.892648,-69.929509,EGAD
samplePoint.64889,5525220494225178624,43.891986,-69.929514,EGAD
samplePoint.64890,5525220494225178624,43.892148,-69.927528,EGAD
samplePoint.64891,5525220494225178624,43.891568,-69.926650,EGAD
samplePoint.68204,5525220494225178624,43.899000,-69.927413,EGAD
samplePoint.68207,5525220494225178624,43.899768,-69.924658,EGAD
samplePoint.68823,5525220494225178624,43.891862,-69.926131,EGAD
samplePoint.68825,5525220494225178624,43.891207,-69.926190,EGAD
samplePoint.68829,5525220494225178624,43.893817,-69.929577,EGAD
samplePoint.69428,5525220494225178624,43.891349,-69.928948,EGAD
samplePoint.77898,5525220494225178624,43.893561,-69.928517,EGAD
samplePoint.79171,5525220494225178624,43.894701,-69.928899,EGAD
