cid,neighborCid
9797069767977205760,9797070180294066176
9797069767977205760,9797070214653804544
9797069767977205760,9797070386452496384
9797069767977205760,9797070420812234752
9797069767977205760,9797070455171973120
9797070420812234752,9797069733617467392
9797070420812234752,9797069767977205760
9797070420812234752,9797070214653804544
9797070420812234752,9797070352092758016
9797070420812234752,9797070386452496384
9797070420812234752,9797070455171973120
9797070420812234752,9797070489531711488
9797070420812234752,9797070523891449856
9797070867488833536,9797070833129095168
9797070867488833536,9797070901848571904
9797070867488833536,9797070936208310272
9797070867488833536,9797071279805693952
9797070867488833536,9797071314165432320
9797070867488833536,9797082481080401920
9797070867488833536,9797082515440140288
9797070867488833536,9797082549799878656
9797071485964124160,9797071382884909056
9797071485964124160,9797071417244647424
9797071485964124160,9797071451604385792
9797071485964124160,9797071520323862528
9797071485964124160,9797071623403077632
9797071485964124160,9797081862605111296
9797071485964124160,9797082309281710080
9797071485964124160,9797082343641448448
9797075815291158528,9797075609132728320
9797075815291158528,9797075643492466688
9797075815291158528,9797075746571681792
9797075815291158528,9797075780931420160
9797075815291158528,9797075849650896896
9797075815291158528,9797075884010635264
9797075815291158528,9797076227608018944
9797075815291158528,9797076261967757312
9797081347209035776,9797081278489559040
9797081347209035776,9797081312849297408
9797081347209035776,9797081381568774144
9797081347209035776,9797081415928512512
9797081347209035776,9797081519007727616
9797081347209035776,9797081553367465984
9797081347209035776,9797081725166157824
9797081347209035776,9797081759525896192
9797086672968482816,9797086260651622400
9797086672968482816,9797086295011360768
9797086672968482816,9797086466810052608
9797086672968482816,9797086501169790976
9797086672968482816,9797086604249006080
9797086672968482816,9797086638608744448
9797086672968482816,9797086707328221184
9797086672968482816,9797086741687959552
9797099489150894080,9797099420431417344
9797099489150894080,9797099454791155712
9797099489150894080,9797099523510632448
9797099489150894080,9797099557870370816
9797099489150894080,9797099660949585920
9797099489150894080,9797099695309324288
9797099489150894080,9797099867108016128
9797099489150894080,9797099901467754496
9797099660949585920,9797099489150894080
9797099660949585920,9797099523510632448
9797099660949585920,9797099557870370816
9797099660949585920,9797099592230109184
9797099660949585920,9797099626589847552
9797099660949585920,9797099695309324288
9797099660949585920,9797099729669062656
9797099660949585920,9797099867108016128
9797099832748277760,9797099695309324288
9797099832748277760,9797099798388539392
9797099832748277760,9797099867108016128
9797099832748277760,9797099901467754496
9797099832748277760,9797099935827492864
9797099832748277760,9797099970187231232
9797099832748277760,9797100004546969600
9797099832748277760,9797100451223568384
9797102203570225152,9797101997411794944
9797102203570225152,9797102031771533312
9797102203570225152,9797102134850748416
9797102203570225152,9797102169210486784
9797102203570225152,9797102237929963520
9797102203570225152,9797102272289701888
9797102203570225152,9797102615887085568
9797102203570225152,9797102650246823936
9797136941265715200,9797136872546238464
9797136941265715200,9797136906905976832
9797136941265715200,9797136975625453568
9797136941265715200,9797137009985191936
9797136941265715200,9797137044344930304
9797136941265715200,9797139552605831168
9797136941265715200,9797139655685046272
9797136941265715200,9797139690044784640
9797289635943022592,9797288880028778496
9797289635943022592,9797289498504069120
9797289635943022592,9797289601583284224
9797289635943022592,9797289670302760960
9797289635943022592,9797289704662499328
9797289635943022592,9797289739022237696
9797289635943022592,9797290323137789952
9797289635943022592,9797290357497528320
9797405084663939072,9797404947224985600
9797405084663939072,9797405050304200704
9797405084663939072,9797405119023677440
9797405084663939072,9797405153383415808
9797405084663939072,9797405187743154176
9797405084663939072,9798108703386238976
9797405084663939072,9798108737745977344
9797405084663939072,9798108772105715712
9797453600614514688,9797453531895037952
9797453600614514688,9797453566254776320
9797453600614514688,9797453634974253056
9797453600614514688,9797453669333991424
9797453600614514688,9797453703693729792
9797453600614514688,9797456211954630656
9797453600614514688,9797456315033845760
9797453600614514688,9797456349393584128
9797457002228613120,9797456830429921280
9797457002228613120,9797456864789659648
9797457002228613120,9797456899149398016
9797457002228613120,9797456933509136384
9797457002228613120,9797456967868874752
9797457002228613120,9797457036588351488
9797457002228613120,9797457070948089856
9797457002228613120,9797457208387043328
9797460094605066240,9797455146802741248
9797460094605066240,9797455593479340032
9797460094605066240,9797455627839078400
9797460094605066240,9797460060245327872
9797460094605066240,9797460128964804608
9797460094605066240,9797460163324542976
9797460094605066240,9797460506921926656
9797460094605066240,9797460541281665024
9797460884879048704,9797460678720618496
9797460884879048704,9797460816159571968
9797460884879048704,9797460850519310336
9797460884879048704,9797460919238787072
9797460884879048704,9797460953598525440
9797460884879048704,9797460987958263808
9797460884879048704,9797461022318002176
9797460884879048704,9797461056677740544
9797487582395760640,9797487548036022272
9797487582395760640,9797487616755499008
9797487582395760640,9797487651115237376
9797487582395760640,9797487994712621056
9797487582395760640,9797488029072359424
9797487582395760640,9797488200871051264
9797487582395760640,9797488235230789632
9797487582395760640,9797488269590528000
9797512252687908864,9797512149608693760
9797512252687908864,9797512183968432128
9797512252687908864,9797512218328170496
9797512252687908864,9797512287047647232
9797512252687908864,9797512390126862336
9797512252687908864,9797513008602152960
9797512252687908864,9797514829668286464
9797512252687908864,9797514864028024832
9797512802443722752,9797512699364507648
9797512802443722752,9797512733724246016
9797512802443722752,9797512768083984384
9797512802443722752,9797512836803461120
9797512802443722752,9797512939882676224
9797512802443722752,9797556782908833792
9797512802443722752,9797556817268572160
9797512802443722752,9797556851628310528
9797513008602152960,9797512252687908864
9797513008602152960,9797512287047647232
9797513008602152960,9797512321407385600
9797513008602152960,9797512974242414592
9797513008602152960,9797513042961891328
9797513008602152960,9797513077321629696
9797513008602152960,9797514795308548096
9797513008602152960,9797514829668286464
9797513146041106432,9797513042961891328
9797513146041106432,9797513077321629696
9797513146041106432,9797513111681368064
9797513146041106432,9797513180400844800
9797513146041106432,9797513214760583168
9797513146041106432,9797514657869594624
9797513146041106432,9797514692229332992
9797513146041106432,9797514795308548096
9797513180400844800,9797513111681368064
9797513180400844800,9797513146041106432
9797513180400844800,9797513214760583168
