cid,neighborCid,frsId,facName,naics
5525436788778205184,5525436823137943552,110000314561,EASTERN FINE PAPER,322120
5525436788778205184,5525436823137943552,110000314561,EASTERN FINE PAPER,322121
5525436788778205184,5525436926217158656,110067559092,HAMPDEN  GH BERLIN WINDWARD,424710
5525436823137943552,5525436788778205184,110000865485,COLDBROOK ENERGY OIL TERMINAL,324199
5525436823137943552,5525436788778205184,110000865485,COLDBROOK ENERGY OIL TERMINAL,42471
5525436823137943552,5525436788778205184,110000865485,COLDBROOK ENERGY OIL TERMINAL,424710
5525436823137943552,5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",324191
5525436823137943552,5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",42471
5525436823137943552,5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",424710
5525436823137943552,5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",454312
5525436823137943552,5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",49319
5525436823137943552,5525436926217158656,110067559092,HAMPDEN  GH BERLIN WINDWARD,424710
5525455686634307584,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,221112
5525455686634307584,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,221117
5525455686634307584,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,32211
5525455686634307584,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,322110
5525455686634307584,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,322121
5525455755353784320,5525455686634307584,110001092969,WEBBER TANKS,42271
5525455755353784320,5525455686634307584,110001092969,WEBBER TANKS,424710
5525455755353784320,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,221112
5525455755353784320,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,221117
5525455755353784320,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,32211
5525455755353784320,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,322110
5525455755353784320,5525455720994045952,110025329963,VERSO PAPER BUCKSPORT MILL,322121
5525465822757126144,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,424710
5525465822757126144,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,54138
5525465822757126144,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,32411
5525465822757126144,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,424710
5525465822757126144,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454310
5525465822757126144,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454311
5525465822757126144,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,484220
5525465822757126144,5525465960196079616,110028276513,SPRAGUE ENERGY - SEARSPORT TERMINAL,424710
5525465994555817984,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,424710
5525465994555817984,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,54138
5525465994555817984,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,32411
5525465994555817984,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,424710
5525465994555817984,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454310
5525465994555817984,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454311
5525465994555817984,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,484220
5525465994555817984,5525465960196079616,110028276513,SPRAGUE ENERGY - SEARSPORT TERMINAL,424710
5525466028915556352,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,424710
5525466028915556352,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,54138
5525466028915556352,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,32411
5525466028915556352,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,424710
5525466028915556352,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454310
5525466028915556352,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454311
5525466028915556352,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,484220
5525466028915556352,5525465960196079616,110028276513,SPRAGUE ENERGY - SEARSPORT TERMINAL,424710
5525466028915556352,5525466200714248192,110000581549,GAC CHEMICAL - NEW ENGLAND,325180
5525466028915556352,5525466200714248192,110000581549,GAC CHEMICAL - NEW ENGLAND,325188
5525468880773840896,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,424710
5525468880773840896,5525465960196079616,110008459916,US DEFENSE LOGISTICS FUEL SUPPORT POINT,54138
5525468880773840896,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,32411
5525468880773840896,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,424710
5525468880773840896,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454310
5525468880773840896,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,454311
5525468880773840896,5525465960196079616,110025246847,IRVING OIL TERMINALS INC. SEARSPORT,484220
5525468880773840896,5525465960196079616,110028276513,SPRAGUE ENERGY - SEARSPORT TERMINAL,424710
5525468880773840896,5525468846414102528,110043630764,DCP SEARSPORT LLC,424710
5525573403097956352,5525573300018741248,110046118287,ELLSWORTH WATER POLLUTION CONTROL FACILITY,221320
5525829589307228160,5525829795465658368,110000581460,RED SHIELD,221117
5525829589307228160,5525829795465658368,110000581460,RED SHIELD,221119
5525829589307228160,5525829795465658368,110000581460,RED SHIELD,32211
5525829589307228160,5525829795465658368,110000581460,RED SHIELD,322110
5525829761105920000,5525829795465658368,110000581460,RED SHIELD,221117
5525829761105920000,5525829795465658368,110000581460,RED SHIELD,221119
5525829761105920000,5525829795465658368,110000581460,RED SHIELD,32211
5525829761105920000,5525829795465658368,110000581460,RED SHIELD,322110
5525830310861733888,5525830276501995520,110007401891,STRIAR TEXTILE MILL,313000
5525830310861733888,5525830276501995520,110038948958,STRIAR TEXTILE MILL LIMITED PARTNERSHIP,313210
5525830310861733888,5525830276501995520,110055618577,ORONO WATER POLLUTION CONTROL FACILITY,221320
5525830310861733888,5525830276501995520,110055618577,ORONO WATER POLLUTION CONTROL FACILITY,562212
5525833025281064960,5525830276501995520,110007401891,STRIAR TEXTILE MILL,313000
5525833025281064960,5525830276501995520,110038948958,STRIAR TEXTILE MILL LIMITED PARTNERSHIP,313210
5525833025281064960,5525830276501995520,110055618577,ORONO WATER POLLUTION CONTROL FACILITY,221320
5525833025281064960,5525830276501995520,110055618577,ORONO WATER POLLUTION CONTROL FACILITY,562212
5525834468390076416,5525436032863961088,110025247800,AIR NATIONAL GUARD 101ST AIR REFUEL WING,488190
5525834468390076416,5525436032863961088,110025247800,AIR NATIONAL GUARD 101ST AIR REFUEL WING,928110
5525836426895163392,5525835980218564608,110039664342,ORONO CDD LANDFILL,562212
5525837663845744640,5525838076162605056,110038020049,JUNIPER RIDGE LANDFILL,221119
5525837663845744640,5525838076162605056,110038020049,JUNIPER RIDGE LANDFILL,562111
5525837663845744640,5525838076162605056,110038020049,JUNIPER RIDGE LANDFILL,562212
5525905283810852864,5525905455609544704,110000314570,LINCOLN PULP & PAPER COMPANY INCORPORATED,322110
5525905283810852864,5525905455609544704,110000314570,LINCOLN PULP & PAPER COMPANY INCORPORATED,32212
5525905283810852864,5525905455609544704,110000314570,LINCOLN PULP & PAPER COMPANY INCORPORATED,322121
5525963626646601728,5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313000
5525963626646601728,5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313210
5525963695366078464,5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313000
5525963695366078464,5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313210
5525963798445293568,5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313000
5525963798445293568,5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313210
5526231117209796608,5526230739252674560,110028004273,CARRABASSETT VALLEY WASTEWATER TREATMENT FACILITY,221320
