cid,nRingFac
5526470123549884416,3
5526471016903081984,2
5526472391292616704,6
5526473765682151424,1
5526473971840581632,4
5526474006200320000,6
5526474040560058368,2
5526474349797703680,3
5526474384157442048,2
5526474624675610624,5
5526475655467761664,3
5526475689827500032,2
5526477029857296384,1
5526477064217034752,2
5526478266807877632,1
5526478335527354368,2
5526478369887092736,2
5526478438606569472,2
5526478782203953152,4
5526480294032441344,3
5526480328392179712,1
5526480706349301760,8
5526480809428516864,9
5526480843788255232,8
5526484107963400192,42
5526487131620376576,85
5526487165980114944,107
5526487200339853312,66
5526487440858021888,3
5526487956254097408,1
5526488024973574144,9
5526488059333312512,3
5526488093693050880,15
5526488540369649664,26
5526488609089126400,46
5526489090125463552,2
5526489674241015808,3
5526489708600754176,2
5526489742960492544,1
5526489846039707648,2
5526490876831858688,6
5526492663538253824,1
5526497954937962496,4
5526497989297700864,2
5526498607772991488,5
5526498710852206592,8
5526507678743920640,1
5526508331578949632,2
5526508846975025152,6
5526514585051332608,1
5526517265110925312,1
5526524033979383808,5
5526526336081854464,1
5526538877386358784,6
5526539186624004096,61
5526541832323858432,1
5526542175921242112,1
5526547432961212416,1
5526547501680689152,3
5526547673479380992,1
5526548120155979776,2
5526548154515718144,2
5526548257594933248,3
5526548291954671616,2
5526548395033886720,2
5526549528905252864,1
5526550834575310848,1
5526552758720659456,2
5526554167469932544,1
5526554442347839488,6
5526556710090571776,3
5526559596308594688,10
5526560764539699200,9
5526560798899437568,22
5526560901978652672,39
5526560936338391040,58
5526560970698129408,53
5526561520453943296,2
5526563753836937216,2
5526563788196675584,2
5526578872121819136,1
5526578975201034240,1
5526583373247545344,1
5526583407607283712,1
5526584129161789440,2
5526584885076033536,1
5526586396904521728,4
5526586877940858880,4
5526587324617457664,12
5526587358977196032,14
5526587427696672768,32
5526587599495364608,12
5526587668214841344,1
5526588424129085440,8
5526588458488823808,4
5526588527208300544,6
5526588595927777280,6
5526589317482283008,1
5526592031901614080,12
5526594608881991680,18
5526594677601468416,10
5526595089918328832,12
5526595502235189248,87
5526595570954665984,145
5526596051991003136,2
5526596086350741504,2
5526596601746817024,43
5526596636106555392,39
5526597117142892544,5
5526597254581846016,14
5526597288941584384,45
5526597529459752960,4
5526598251014258688,244
5526598491532427264,44
5526599556684316672,8
5526601171592019968,11
5526601583908880384,6
5526601618268618752,5
5526601721347833856,3
5526601858786787328,1
5526601893146525696,1
5526603095737368576,5
5526603130097106944,7
5526603233176322048,8
5526603267536060416,9
5526603301895798784,2
5526603611133444096,17
5526603714212659200,18
5526604057810042880,1
5526604848084025344,10
5526604882443763712,8
5526608868173414400,1
5526610036404518912,2
5526610483081117696,1
5526612372866727936,17
5526613712896524288,7
5526616118078210048,1
5526617320669052928,1
5526618042223558656,3
5526618076583297024,2
