cid,nDet,nDetAnalytes
5525390643649576960,62,22
5525391227765129216,235,18
5525391674441728000,342,21
5525391743161204736,37,10
5525392842672832512,7,4
5525393736026030080,20,10
5525397687395942400,23,18
5525399577181552640,155,18
5525400264376320000,10,10
5525400814132133888,44,13
5525400882851610624,11,7
5525405349617598464,81,23
5525405624495505408,13,9
5525406449129226240,4,4
5525406483488964608,25,9
5525406517848702976,72,11
5525406552208441344,12,11
5525408957390127104,297,19
5525408991749865472,11,11
5525410263060185088,179,17
5525411809248411648,13,13
5525413286717161472,4,4
5525414214430097408,2,1
5525415966776754176,22,7
5525416035496230912,8,8
5525416069855969280,1,1
5525420055585619968,100,12
5525420089945358336,10,9
5525420124305096704,116,15
5525420158664835072,7,7
5525420811499864064,12,12
5525420845859602432,209,15
5525420880219340800,1,1
5525421601773846528,46,13
5525421636133584896,1,1
5525422048450445312,30,14
5525422117169922048,70,14
5525422220249137152,73,13
5525425072107421696,41,12
5525425106467160064,10,6
5525425346985328640,112,13
5525426171619049472,149,13
5525430432226607104,5,3
5525432390731694080,9,7
5525432425091432448,4,4
5525435414388670464,180,25
5525435998504222720,219,22
5525436032863961088,179,9
5525436170302914560,48,26
5525436788778205184,178,19
5525436823137943552,164,18
5525437647771664384,31,16
5525437750850879488,28,15
5525438472405385216,57,16
5525438506765123584,13,13
5525454312244772864,27,13
5525454655842156544,5,5
5525455549195354112,144,17
5525455686634307584,34,9
5525455755353784320,120,13
5525457954377039872,1,1
5525458366693900288,45,12
5525463383215702016,138,16
5525466028915556352,108,14
5525468880773840896,6,3
5525470873638666240,40,12
5525471801351602176,24,12
5525474481411194880,5,5
5525474653209886720,229,19
5525475134246223872,147,17
5525475580922822656,69,13
5525475615282561024,56,15
5525477779946078208,12,4
5525478638939537408,4,4
5525489256098693120,79,12
5525497468076163072,8,8
5525498086551453696,14,7
5525498498868314112,47,13
5525507810357411840,148,18
5525508188314533888,7,4
5525518152638660608,4,2
5525518186998398976,51,12
5525518290077614080,137,17
5525518633674997760,125,16
5525526776932990976,12,12
5525529182114676736,3,3
5525532755527467008,59,13
5525532858606682112,60,16
5525560999232405504,126,15
5525561617707696128,147,18
5525561755146649600,133,14
5525562030024556544,182,23
5525564194688073728,130,14
5525564263407550464,6,3
5525565019321794560,117,14
5525573403097956352,129,17
5525583470501298176,152,20
5525613775790538752,105,16
5525613878869753856,14,10
5525613913229492224,31,12
5525614325546352640,24,12
5525619582586322944,4,4
5525619823104491520,132,14
5525621300573241344,67,15
5525682014230937600,24,12
5525691050842128384,13,11
5525729877346484224,14,7
5525731904571047936,56,14
5525829589307228160,139,16
5525829761105920000,88,13
5525830310861733888,126,13
5525832166287605760,6,6
5525832750403158016,23,16
5525833609396617216,10,10
5525834468390076416,21,8
5525835980218564608,28,15
5525837663845744640,76,18
5525837766924959744,48,20
5525839759789785088,122,14
5525840584423505920,13,13
5525855874507079680,24,18
5525859585358823424,44,19
5525864911118270464,4,1
5525868450171322368,45,20
5525869755841380352,5,5
5525869790201118720,65,15
5525871164590653440,3,1
5525871198950391808,17,12
5525874188247629824,10,5
5525874222607368192,18,9
5525874978521612288,47,11
5525875012881350656,22,11
5525875081600827392,25,11
5525876765228007424,39,12
5525880098122629120,18,10
5525880132482367488,37,11
5525883671535419392,139,19
5525884015132803072,16,14
5525896384638615552,8,8
5525903119147335680,4,4
5525905283810852864,132,16
5525906555121172480,12,6
5525921776485269504,12,11
5525954212078288896,149,17
5525954521315934208,4,1
5525954555675672576,23,12
5525954727474364416,27,15
5525961839940206592,16,9
5525961874299944960,169,18
5525962011738898432,67,17
5525962424055758848,11,9
5525963042531049472,812,18
5525963076890787840,1199,23
5525963179970002944,177,17
5525963214329741312,69,13
5525963248689479680,50,13
5525963626646601728,139,15
5525963729725816832,20,6
5525963798445293568,191,15
5525982112185843712,28,18
5525983177337733120,154,19
5525983486575378432,3,3
5525983520935116800,43,13
5525986166634971136,8,8
5525986200994709504,7,7
5525986475872616448,11,9
5526007916349358080,2,2
5526018945825374208,16,7
5526027398321012736,30,12
5526027432680751104,24,12
5526052206052114432,174,21
5526060486749061120,11,6
5526097251669114880,137,17
5526123021472890880,23,15
5526126079489605632,1,1
5526208302343520256,3,3
5526231117209796608,145,16
5526231151569534976,35,11
5526263484083339264,3,3
5526263518443077632,44,12
5526263552802816000,148,18
5526289838002667520,4,4
5526309113815891968,180,17
5526311244119670784,1,1
5526311278479409152,11,6
5526336498527371264,22,7
5526336807765016576,114,14
5526336979563708416,13,7
5526337048283185152,42,13
5526337254441615360,58,11
5526338834989580288,12,9
5526339212946702336,7,7
5526344538706149376,11,11
5526344573065887744,140,18
5526345878735945728,11,6
5526347528003387392,422,26
5526347562363125760,175,25
5526348215198154752,53,19
5526349761386381312,151,17
5526352681964142592,1,1
5526356942571700224,14,11
5526357595406729216,20,12
5526361237538996224,4,4
5526361512416903168,3,3
5526362749367484416,11,11
5526367972047716352,137,19
5526368006407454720,5,4
5526368246925623296,4,4
5526381544144371712,9,8
5526401953828962304,236,31
5526402194347130880,17,7
5526407863703961600,16,7
5526409650410356736,47,16
5526409719129833472,18,11
5526412193030995968,326,21
5526412364829687808,159,15
5526412399189426176,188,17
5526412433549164544,33,19
5526413842298437632,30,15
5526413911017914368,8,8
5526414357694513152,28,10
5526415113608757248,294,16
5526415285407449088,18,18
5526415766443786240,23,12
5526415800803524608,233,15
5526415835163262976,3,3
5526416041321693184,3,3
5526416350559338496,10,9
5526416419278815232,8,6
5526416487998291968,6,6
5526416728516460544,156,17
5526420679886372864,30,15
5526429304180703232,1,1
5526429338540441600,192,21
5526429372900179968,254,27
5526429579058610176,20,10
5526430094454685696,8,7
5526430231893639168,26,21
5526430334972854272,2,2
5526430678570237952,26,11
5526430712929976320,148,15
5526430747289714688,2,2
5526432637075324928,96,14
5526432705794801664,6,6
5526434389421981696,21,15
5526435798171254784,158,18
5526439302864568320,11,11
5526439337224306688,228,16
5526441433168347136,118,25
5526444078868201472,15,13
5526444388105846784,154,21
5526444731703230464,11,11
5526445796855119872,8,6
5526445831214858240,121,15
5526445899934334976,394,19
5526445934294073344,2101,20
5526446003013550080,85,13
5526447858439421952,6,6
5526448236396544000,13,7
5526448339475759104,25,18
5526448408195235840,70,9
5526448923591311360,315,35
5526449129749741568,46,15
5526449645145817088,201,21
5526449816944508928,3,3
5526450194901630976,3,3
5526450366700322816,7,7
5526450641578229760,11,11
5526450779017183232,48,13
5526450847736659968,13,8
5526450882096398336,12,12
5526450950815875072,225,16
5526450985175613440,23,12
5526451019535351808,961,20
5526451053895090176,157,17
5526451088254828544,34,13
5526451122614566912,42,13
5526451156974305280,261,19
5526451191334043648,6,6
5526451225693782016,562,17
5526451260053520384,174,18
5526451294413258752,30,10
5526451328772997120,226,19
5526451363132735488,232,15
5526451397492473856,18,10
5526451431852212224,794,35
5526451500571688960,15,15
5526451534931427328,12,12
5526451569291165696,1712,29
5526451603650904064,551,21
5526451638010642432,88,35
5526451672370380800,99,14
5526451706730119168,140,16
5526451741089857536,1416,25
5526451775449595904,40,13
5526451844169072640,496,41
5526451878528811008,33,17
5526451912888549376,96,13
5526451947248287744,114,12
5526452015967764480,170,24
5526452050327502848,7,7
5526452084687241216,874,19
5526452119046979584,3424,30
5526452153406717952,2945,38
5526452187766456320,2121,33
5526452222126194688,626,21
5526452256485933056,20,11
5526452290845671424,270,24
5526452325205409792,10,10
5526452359565148160,1080,20
5526452462644363264,4,4
5526452703162531840,53,13
5526452771882008576,390,23
5526452806241746944,4,4
5526452874961223680,5060,34
5526452909320962048,1165,31
5526452978040438784,435,19
5526453012400177152,85,14
5526453046759915520,31,12
5526453115479392256,95,15
5526453149839130624,600,25
5526453355997560832,9,9
5526453459076775936,29,11
5526453527796252672,469,19
5526453596515729408,62,15
5526453630875467776,1,1
5526453699594944512,315,18
5526453733954682880,1006,22
5526453768314421248,319,16
5526453802674159616,936,24
5526453837033897984,785,20
5526453871393636352,689,19
5526454283710496768,38,11
5526455280142909440,127,15
5526457204288258048,37,18
5526460674621833216,35,17
5526461808493199360,67,20
5526461980291891200,60,20
5526462014651629568,172,21
5526462049011367936,12,12
5526462083371106304,10,10
5526462186450321408,55,22
5526464110595670016,9,6
5526464213674885120,20,8
5526469539434332160,5,5
5526470089190146048,11,11
5526470123549884416,23,13
5526470913823866880,3,3
5526471016903081984,1,1
5526473765682151424,13,7
5526473971840581632,9,9
5526474006200320000,78,13
5526474040560058368,33,9
5526474349797703680,20,12
5526474384157442048,147,20
5526474624675610624,20,12
5526477029857296384,24,6
5526477064217034752,48,16
5526477613972848640,3,3
5526478266807877632,52,11
5526478301167616000,33,18
5526478335527354368,203,27
5526478369887092736,481,15
5526478438606569472,97,13
5526478782203953152,524,21
5526480294032441344,117,15
5526480328392179712,271,26
5526480706349301760,15,15
5526480809428516864,383,25
5526480843788255232,27,14
5526487131620376576,205,28
5526487165980114944,6,3
5526487440858021888,130,16
5526487887534620672,298,19
5526488059333312512,224,16
5526488093693050880,11,11
5526488540369649664,45,8
5526489090125463552,13,13
5526489674241015808,8,8
5526489708600754176,12,11
5526489742960492544,7,7
5526489846039707648,41,12
5526490739392905216,9,9
5526490876831858688,19,11
5526490979911073792,19,11
5526497748779532288,45,19
5526497954937962496,269,23
5526497989297700864,341,25
5526498607772991488,89,17
5526498710852206592,38,10
5526500841155985408,20,15
5526506441793339392,36,11
5526507644384182272,12,12
5526507678743920640,9,9
5526508331578949632,21,12
5526508846975025152,41,7
5526511355235926016,7,4
5526514585051332608,4,4
5526515066087669760,27,12
5526515753282437120,4,4
5526516852794064896,35,13
5526516887153803264,49,12
5526517127671971840,3,3
5526517162031710208,122,15
5526517230751186944,15,9
5526517265110925312,18,7
5526517333830402048,167,21
5526517368190140416,18,9
5526517574348570624,73,15
5526524033979383808,155,19
5526526336081854464,36,13
5526538877386358784,35,12
5526539186624004096,10,5
5526541832323858432,1,1
5526541866683596800,1,1
5526542175921242112,42,14
5526547639119642624,11,7
5526547673479380992,28,17
5526548120155979776,37,12
5526548154515718144,7,7
5526548257594933248,24,12
5526548291954671616,1,1
5526548360674148352,16,12
5526549254027345920,49,13
5526549425826037760,12,8
5526550834575310848,8,8
5526552758720659456,8,8
5526554167469932544,25,12
5526554442347839488,154,17
5526556710090571776,142,16
5526558668595658752,16,9
5526560798899437568,24,15
5526560936338391040,256,20
5526560970698129408,24,15
5526563685117460480,214,17
5526563753836937216,6,6
5526563788196675584,5,5
5526568392401616896,17,8
5526568461121093632,8,8
5526568495480832000,29,10
5526568667279523840,5,5
5526572653009174528,12,9
5526572687368912896,23,10
5526573065326034944,9,6
5526578872121819136,32,11
5526578975201034240,7,7
5526583373247545344,21,12
5526583407607283712,32,10
5526584885076033536,5,5
5526584919435771904,47,13
5526586877940858880,33,23
5526587324617457664,1,1
5526587358977196032,26,14
5526587427696672768,3,3
5526587599495364608,7,5
5526587668214841344,5,5
5526588424129085440,3,3
5526588458488823808,19,11
5526588527208300544,5,5
5526588595927777280,16,10
5526589317482283008,5,5
5526590142116003840,26,10
5526590829310771200,8,7
5526590863670509568,18,6
5526591001109463040,14,6
5526594608881991680,20,9
5526594677601468416,9,6
5526595089918328832,23,16
5526595502235189248,147,18
5526595570954665984,16,8
5526596051991003136,10,7
5526596086350741504,9,9
5526596636106555392,22,11
5526596910984462336,24,6
5526597117142892544,17,9
5526597529459752960,38,11
5526599556684316672,140,18
5526601171592019968,18,7
5526601583908880384,78,13
5526601618268618752,366,19
5526601721347833856,16,16
5526601790067310592,11,11
5526601824427048960,1,1
5526601858786787328,104,21
5526601893146525696,656,22
5526601927506264064,7,7
5526602064945217536,11,7
5526602408542601216,13,10
5526603095737368576,4,4
5526603130097106944,4,4
5526603267536060416,10,10
5526603301895798784,11,7
5526603611133444096,176,24
5526603714212659200,13,13
5526604023450304512,5,5
5526604057810042880,16,11
5526604401407426560,9,9
5526604848084025344,10,5
5526608730734460928,22,10
5526608765094199296,12,7
5526608799453937664,7,3
5526608833813676032,3,3
5526608868173414400,4,4
5526610036404518912,46,12
5526610483081117696,11,11
5526611513873268736,24,12
5526611548233007104,15,10
5526612372866727936,1,1
5526613712896524288,173,23
5526617320669052928,11,7
5526618042223558656,23,16
5526618076583297024,29,16
5526620309966290944,33,16
5526620413045506048,13,13
5526620928441581568,28,14
5526620962801319936,137,16
5526620997161058304,7,4
5526621340758441984,38,13
5526621821794779136,149,16
5526623161824575488,4,4
5526623196184313856,18,9
5526625463927046144,36,15
5526625567006261248,155,16
5526626838316580864,30,15
5526627010115272704,17,4
5526627388072394752,14,10
5526627422432133120,59,12
5526628075267162112,86,13
5526631408161783808,11,11
5526631442521522176,11,11
5526631545600737280,29,13
5526635462610911232,41,19
5526635634409603072,30,10
5526636355964108800,7,7
5526639723218468864,1,1
5526640376053497856,410,24
5526640410413236224,30,12
5526641131967741952,3,2
5526641956601462784,98,11
5526642231479369728,21,11
5526642334558584832,69,12
5526642712515706880,69,12
5526642746875445248,28,8
5526642781235183616,7,7
5526643296631259136,5,5
5526644189984456704,49,20
5526644258703933440,24,10
5526644293063671808,60,12
5526644396142886912,22,12
5526644739740270592,18,12
5526645804892160000,25,13
5526646148489543680,95,13
5526648897268613120,31,18
5526648931628351488,261,21
5526648965988089856,14,14
5526649240865996800,14,14
5526649412664688640,137,17
5526649447024427008,161,20
5526650031139979264,48,22
5526650409097101312,106,16
5526650512176316416,11,11
5526651371169775616,193,25
5526651611687944192,187,22
5526651646047682560,14,3
5526651886565851136,15,1
5526652951717740544,134,17
5526654085589106688,13,8
5526654119948845056,4,4
5526654154308583424,48,18
5526656593850007552,164,18
5526657487203205120,6,4
5526658758513524736,31,18
5526658792873263104,133,19
5526658827233001472,9,9
5526659033391431680,124,19
5526659273909600256,8,8
5526660132903059456,3,3
5526660339061489664,138,15
5526660373421228032,142,16
5526660407780966400,5,5
5526660751378350080,20,8
5526660957536780288,7,7
5526661026256257024,17,15
5526663019121082368,139,17
5526665802259890176,27,14
5526665836619628544,69,14
5526665870979366912,134,16
5526665905339105280,31,19
5526668344880529408,139,16
5526668722837651456,14,4
5526669032075296768,14,14
5526670784421953536,163,19
5526671024940122112,5,3
5526671437256982528,29,10
5526673086524424192,11,11
5526673120884162560,22,13
5526673498841284608,48,9
5526673567560761344,13,11
5526673601920499712,34,13
5526673636280238080,1,1
5526673670639976448,27,7
5526674220395790336,15,7
5526677690729365504,3,3
5526679580514975744,255,23
5526679821033144320,7,7
5526680473868173312,7,4
5526680576947388416,84,29
5526680611307126784,15,8
5526684631396515840,3,3
5526684803195207680,3,3
5526684837554946048,3,3
5526684974993899520,58,15
5526685009353637888,34,17
5526685078073114624,7,7
5526685352951021568,21,12
5526685662188666880,37,12
5526685799627620352,193,15
5526685937066573824,18,11
5526685971426312192,18,10
5526686005786050560,138,16
5526686074505527296,2,1
5526686349383434240,51,14
5526686383743172608,12,7
5526686452462649344,216,15
5526686486822387712,8,4
5526687105297678336,74,14
5526687139657416704,11,7
5526687208376893440,11,11
5526698959407415296,10,10
5526701708186484736,19,9
5526707858579652608,19,7
5526721361956831232,12,6
5526735174571655168,23,13
5526736514601451520,168,19
5526738438746800128,9,5
5526738473106538496,366,16
5526740637770055680,19,11
5526740672129794048,133,20
5526746513285316608,14,6
5526749330783862784,20,8
5526763212118163456,3,3
5526946658761310208,6,6
5526977582525841408,6,3
5527000672270024704,35,20
5527140894362304512,11,8
5527254247139180544,8,6
5527265139176243200,1,1
5527282834441502720,4,4
5527368493269254144,1,1
5527772254554816512,8,6
5528958009125896192,12,12
5528962338452930560,15,13
5528965946225459200,149,16
5529086480187654144,27,15
5529118675262504960,165,20
5529364690989219840,17,15
5529365549982679040,10,10
5529371562936893440,6,6
5529384550917996544,156,18
5529388055611310080,2,2
5529390598231949312,3,3
5529399566123663360,179,18
5529476497577869312,32,23
5529476669376561152,163,16
5529480517667258368,16,11
5529480552026996736,8,8
5529480723825688576,219,19
5529480792545165312,32,15
5529480826904903680,8,3
5529481239221764096,3,3
5529481307941240832,116,16
5529481342300979200,219,16
5529481514099671040,52,15
5529481548459409408,285,22
5529486083944873984,140,15
5529487252175978496,27,18
5529488042449960960,2,2
5529488935803158528,22,14
5529489038882373632,4,4
5529489829156356096,16,8
5529491066106937344,5,5
5529491306625105920,7,7
5529491444064059392,26,11
5529491478423797760,9,6
5529491512783536128,9,8
5529491547143274496,1,1
5529491581503012864,7,7
5529491650222489600,12,6
5529491822021181440,3,2
5529491856380919808,10,10
5529491925100396544,12,8
5529492887173070848,148,20
5529492921532809216,20,14
5529493505648361472,1,1
5529496254427430912,379,29
5529496323146907648,18,12
5529496529305337856,39,11
5529496563665076224,9,9
5529496598024814592,39,17
5529496701104029696,11,11
5529497079061151744,21,13
5529498693968855040,13,8
5529500343236296704,123,16
5529505016160714752,10,6
5529507043385278464,20,14
5529511647590219776,69,28
5529511681949958144,51,8
5529511991187603456,29,15
5529512025547341824,237,23
5529512059907080192,143,23
5529512094266818560,386,34
5529512128626556928,214,21
5529512162986295296,603,30
5529512197346033664,522,35
5529512231705772032,19,9
5529512266065510400,454,31
5529512300425248768,75,22
5529512334784987136,33,16
5529512369144725504,109,26
5529512403504463872,109,27
5529512437864202240,128,24
5529512575303155712,220,23
5529512609662894080,42,20
5529514327649812480,23,12
5529515014844579840,189,24
5529515049204318208,397,26
5529515083564056576,122,26
5529515152283533312,257,26
5529515186643271680,13,6
5529515598960132096,52,17
5529515908197777408,36,19
5529516801550974976,33,24
5529522264749375488,60,14
5529522333468852224,23,11
5529522402188328960,11,11
5529522436548067328,24,11
5529539169740652544,19,16
5529540544130187264,10,4
5529571261736288256,18,7
5529571433534980096,130,15
5529575247465938944,8,4
5529579370634543104,3,3
5529579886030618624,23,17
5529762851637428224,6,3
5529762954716643328,97,16
5529763676271149056,20,14
5533369215416795136,1,1
5573305573681659904,5,3
5573305917279043584,4,2
5573306398315380736,20,7
5573307566546485248,2,2
5573308631698374656,8,2
5573315915962908672,1,1
5573334092264505344,15,5
