cid,nDet,nDetAnalytes
5964561735544209408,100,8
5964923749747654656,4,4
5965158151882801152,4,4
5965202269786865664,6,6
5965258241800667136,5,5
5965258276160405504,3,3
5965514359290462208,3,1
5965907847014252544,1,1
5965984056913952768,4,4
5965999140839096320,2,2
5966141149637771264,4,4
