cid,nDet,nDetAnalytes
9824668609346011136,12,12
9824670670930313216,4,4
9824735129799491584,10,10
9827683092272250880,4,4
9829448117672476672,45,11
9829508453373050880,65,14
9829728733655728128,5,3
9829744882732761088,9,7
9829749349498748928,13,7
9829749899254562816,7,4
9829761959522729984,33,10
9829799652155719680,34,11
9829828720494379008,7,4
9829845900363563008,18,7
9829967877434769408,12,7
9829972653438402560,30,9
9829974955540873216,44,21
9829975333497995264,14,14
9829975402217472000,19,12
9830034741485633536,8,8
9830038692855545856,10,10
9830040926238539776,16,9
9830041132396969984,14,7
9830046526875893760,17,9
9830047214070661120,17,9
9830048004344643584,12,8
9830049310014701568,16,9
9830049722331561984,10,10
9830050134648422400,23,12
9830055357328654336,16,9
9830056319401328640,8,8
9830062813391880192,10,6
9830070338174582784,16,9
9830072605917315072,14,5
9830072880795222016,15,11
9830076144970366976,4,3
9830124557841727488,5,3
9830130124119343104,33,10
9830130158479081472,5,4
9830177712356982784,28,8
9830178605710180352,44,11
9830203138563375104,42,8
9830212553131687936,26,10
9830213927521222656,8,8
9830215061392588800,44,10
9830216779379507200,38,9
9830237807539388416,44,13
9830253028903485440,9,9
9830253475580084224,8,8
9830254609451450368,31,9
9830256774114967552,6,4
9830256911553921024,6,5
9830257117712351232,6,3
9830281513126592512,4,2
9830284777301737472,3,2
9830298658636038144,7,5
9830298692995776512,60,9
9830326902340976640,8,8
9830332743496499200,7,7
9830333327612051456,6,6
9830337931816992768,8,8
9830339443645480960,6,6
9830346693550276608,9,9
9830348823854055424,9,9
9830350301322805248,35,10
9830350782359142400,21,9
9830350988517572608,26,8
9830386172889661440,17,10
9830386791364952064,9,9
9830390708375126016,17,10
9830403524557537280,19,11
9830409468792274944,12,7
9830413866838786048,8,8
9830414863271198720,10,5
9830415069429628928,15,5
9830416684337332224,7,7
9830418402324250624,20,8
9830501759049531392,9,9
9830505263742844928,16,8
9830548350854758400,10,6
9830556494112751616,6,6
9830578656143998976,13,4
9830585012695597056,9,5
9830588620468125696,14,6
9830599924822048768,16,3
9830603326436147200,5,5
9830603979271176192,14,5
9830604254149083136,9,5
9830621640176697344,17,5
9830624629473935360,12,7
9830624766912888832,34,9
9830625728985563136,16,7
9830634799956492288,20,9
9830647891016810496,14,7
9830649402845298688,13,6
9830665070885994496,21,6
9830665173965209600,3,3
9830665414483378176,18,6
9830672011553144832,20,5
9830678093226835968,7,7
9830709326229012480,17,9
9830732347253719040,16,9
9830745644472467456,38,9
9830794194782781440,5,5
9830794607099641856,13,7
9830808488433942528,8,8
9830810034622169088,6,6
9830903080793669632,18,11
9830908612711546880,7,7
9830914556946284544,8,8
9830929159835090944,24,7
9830929434712997888,55,12
9830931874254422016,7,4
9830937612330729472,8,8
9830954070645407744,13,7
9830968158138138624,35,10
9830973586976800768,27,7
9831072611742777344,37,11
9831444933867732992,22,8
9831450397066133504,8,8
9831843987869138944,26,8
9831889274004307968,16,12
9831902399424364544,17,9
9831918101824798720,10,10
9831923083986862080,5,5
9832059526507921408,8,8
9833001464375541760,3,3
9833094338748350464,5,5
9833562799421259776,14,7
9833658250774446080,8,8
9834120217456803840,5,5
9834184779405197312,7,7
9835682314242228224,4,4
9837314230016016384,4,4
9837317562910638080,6,6
9838297914965753856,2,2
9838377457760075776,9,9
9838421335145971712,11,9
9839338671440920576,8,8
9839470853354422272,4,4
9840264013554909184,4,4
9869686635476549632,4,4
9871705201386192896,14,11
9871886998761897984,5,5
9871945032360001536,3,3
9871953313056948224,4,4
9872026396220456960,7,7
