param	nObs	nDet	nCells	paramLabel	dtxsid	dssLabel	cas	detFreq	iceLabel	nAssayEndpoints	functionalUse	inICE	inToxCast
parameter.PFBS	648	78	18	PERFLUOROBUTANE SULFONATE	DTXSID60873015		45187-15-3	0.12037037037037036	Perfluorobutanesulfonate		Emulsion stabilizer; Flame retardant	True	False
characteristic.19823	2699	72	37					0.02667654686921082				False	False
characteristic.22572	1762	70	41	Perfluoro-3-methoxypropanoic acid	DTXSID70191136	Perfluoro-3-methoxypropanoic acid	377-73-1	0.039727582292849034		470.0		False	True
parameter.PFODA_A	13501	66	18	PERFLUOROOCTADECANOIC ACID	DTXSID1066071		16517-11-6	0.004888526775794386	Perfluorooctadecanoic acid		Emulsion stabilizer	True	False
characteristic.6680	1863	66	49					0.03542673107890499				False	False
characteristic.19579	942	65	31					0.06900212314225053				False	False
parameter.ADONA_A	16394	51	26	4,8-DIOXA-3H-PERFLUORONONANOIC ACID	DTXSID40881350	4,8-Dioxa-3H-perfluorononanoic acid	919005-14-4	0.0031108942295961935				False	False
parameter.PFDS	1001	48	23	PERFLUORODECANE SULFONATE			126105-34-8	0.04795204795204795	Perfluorodecanesulfonate		Emulsion stabilizer; Flame retardant	True	False
parameter.N-EtFOSE	874	47	18	N-ETHYL PERFLUOROOCTANE SULFONAMIDOETHANOL	DTXSID6027426	N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide	1691-99-2	0.05377574370709382		505.0		False	True
characteristic.8095	942	45	19	Perfluoroheptanesulfonate	DTXSID8059920	Perfluoroheptanesulfonic acid	146689-46-5	0.04777070063694268				False	False
characteristic.64488	60	43	14	2H-Perfluoropentanoic acid	DTXSID601035165			0.7166666666666667				False	False
parameter.7-3_FTC_A	643	41	10	7:3 FLUOROTELOMER CARBOXYLIC ACID	DTXSID90382620	3-(Perfluoroheptyl)propanoic acid	812-70-4	0.06376360808709176		472.0		False	True
characteristic.17614	513	41	26	10:2 Fluorotelomer sulfonic acid	DTXSID50892578		120226-60-0	0.07992202729044834				False	False
characteristic.6681	1751	37	16					0.0211307824100514				False	False
characteristic.9368	2284	36	14					0.01576182136602452				False	False
characteristic.8097	975	31	20	Perfluoropentanesulfonate	DTXSID8062600	Perfluoropentanesulfonic acid	175905-36-9	0.031794871794871796				False	False
characteristic.22803	1882	30	17					0.015940488841657812				False	False
parameter.PFBA	504	30	15	PERFLUOROBUTANOATE	DTXSID80892480		45048-62-2	0.05952380952380952				False	False
parameter.PFHPS	327	28	13	PERFLUOROHEPTANE SULFONATE	DTXSID20892505		146689-46-5	0.0856269113149847				False	False
parameter.PFPEA	497	25	12	PERFLUOROPENTANOATE	DTXSID00892487		45167-47-3	0.05030181086519115				False	False
parameter.N-MEFOSA	1709	24	5	N-METHYL PERFLUOROOCTANE SULFONAMIDE	DTXSID1067629	N-Methylperfluorooctanesulfonamide	31506-32-8	0.014043300175541252	N-Methylperfluorooctanesulfonamide	497.0	Emulsion stabilizer; Flame retardant	True	True
characteristic.8173	26	24	1	Sodium perfluoro-1-hexane[18O2]sulfonate				0.9230769230769231				False	False
characteristic.8168	26	24	1	Perfluoro[1,2-13C2]hexanoic acid	DTXSID901028086			0.9230769230769231				False	False
characteristic.8169	26	24	1	Perfluoro[1,2-13C2]tetradecanoic acid	DTXSID301028088			0.9230769230769231				False	False
parameter.PFOS_A_BR	24	24	3	PERFLUOROOCTANE SULFONIC ACID-BRANCHED				1.0				False	False
characteristic.8170	26	24	1	Perfluoro[1,2-13C2]undecanoic acid			960315-51-9	0.9230769230769231				False	False
parameter.HFPO-DA_A	16709	22	6	HEXAFLUOROPROPYLENE OXIDE DIMER ACID	DTXSID70880215	Perfluoro-2-methyl-3-oxahexanoic acid	13252-13-6	0.0013166556945358788		506.0		False	True
characteristic.19256	1321	21	8	Decanoic acid, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-pentadecafluoro-	DTXSID90382620	3-(Perfluoroheptyl)propanoic acid	812-70-4	0.015897047691143074		472.0		False	True
characteristic.16351	1825	19	10	Perfluorododecanesulfonic acid	DTXSID20873011	Perfluorododecanesulfonic acid	79780-39-5	0.010410958904109589	Perfluorododecanesulfonic acid		Emulsion stabilizer; Flame retardant	True	False
