cid,nFac
5959156605101539328,44
5959157910771597312,41
5959159869276684288,36
5959160212874067968,4
5959160384672759808,8
5959160762629881856,5
5959160831349358592,6
5959160900068835328,31
5959161037507788800,2
5959161655983079424,27
5959161724702556160,48
5959162137019416576,103
5959162996012875776,13
5959163133451829248,5
5959163786286858240,31
5959164645280317440,18
5959164851438747648,14
5959165607352991744,2
5959166947382788096,20
5959167497138601984,5
5959171070551392256,15
5959171139270868992,5
5959171242350084096,4
5959174540884967424,8
5959175915274502144,65
5959176636829007872,57
5959179076370432000,3
5959189693529587712,6
5959189934047756288,5
5959190758681477120,2
5959195637764325376,3
5959207560593539072,1
5959222266561560576,2
5959222369640775680,22
5959222678878420992,3
5959224018908217344,3
5959229482106617856,2
5959266796782485504,26
5959280059641495552,10
5959328541232332800,1
5959357918808637440,35
5959406331679997952,2
5959430830173454336,2
5959452682967056384,3
5959480170757750784,3
5959483778530279424,1
5959486664748302336,2
5959491234593505280,8
5959491612550627328,4
5959491715629842432,4
5959492368464871424,2
5959492849501208576,14
5959492918220685312,41
5959493364897284096,37
5959493433616760832,37
5959493605415452672,22
5959494258250481664,20
5959538788471406592,1
5959540850055708672,10
5959544938864574464,1
5959561672057159680,1
5959561809496113152,1
5959657879324590080,12
5959663754839851008,2
5959676742820954112,4
5959912553705373696,49
5959915302484443136,1
5960018209900855296,20
5960115173082529792,2
5960115619759128576,1
5960116066435727360,1
5960154858580344832,12
5960157847877582848,26
5960157950956797952,13
5960157985316536320,92
5960158054036013056,12
5960158088395751424,9
5960159359706071040,2
5960159428425547776,2
5960159737663193088,4
5960159772022931456,6
5960159806382669824,27
5960159840742408192,34
5960159875102146560,30
5960160493577437184,16
5960160527937175552,3
5960160596656652288,16
5960163860831797248,2
5960164479307087872,3
5960167399884849152,4
5960187362892840960,17
5960187706490224640,5
5960194544078159872,20
5960208425412460544,5
5960209250046181376,1
5960435508923334656,5
5960435612002549760,27
5960454990894989312,1
5960533640336113664,3
5960562846113726464,27
5960563567668232192,6
5960564461021429760,90
5960568893427679232,3
5960569099586109440,19
5960570061658783744,3
5961472142229897216,3
5964899766650273792,1
5965258241800667136,2
5965258276160405504,9
5965307307507056640,12
5965498107134214144,10
5965514359290462208,3
5965597784735219712,1
5965907847014252544,1
5965999140839096320,6
9281427195694153728,6
9281428776242118656,25
9282270108795797504,2
9282298249421520896,5
9282461836135890944,8
9282461870495629312,40
9282461904855367680,43
9282461939215106048,19
9282663287281942528,1
9283268912030416896,1
9283272416723730432,3
9283703700159725568,3
9283706242780364800,2
9283706620737486848,15
9283878144551419904,38
9283878178911158272,19
9716064004715053056,20
9716075343428714496,11
9716075377788452864,10
9716075583946883072,18
9716077473732493312,37
9716077508092231680,30
9716077576811708416,34
9716077611171446784,82
9716077748610400256,34
9716077782970138624,40
9716077954768830464,55
9716080806627115008,13
9716080840986853376,49
9716080875346591744,121
9716080909706330112,10
9716081047145283584,3
9716081287663452160,25
9716081803059527680,5
9716081871779004416,30
9716083727204876288,55
9716130078491934720,1
9716511712105988096,3
9739255797321302016,2
9739256243997900800,16
9739891899157708800,15
9739892036596662272,9
9739892139675877376,17
9739892174035615744,23
9739892208395354112,16
9739893548425150464,22
9739893617144627200,34
9739893651504365568,20
9739893685864103936,20
9739893720223842304,24
9739893823303057408,13
9739893857662795776,15
9739893926382272512,25
9739898496227475456,51
9739898908544335872,15
9739899080343027712,32
9739899217781981184,22
9739899252141719552,54
9739899286501457920,13
9739899320861196288,7
9739899423940411392,24
9739899904976748544,35
9739899939336486912,107
9739899973696225280,69
