n,beta,se,ci_lo,ci_hi,rate_elasticity,R2_count,R2_rate,t_vs_1,p_vs_1,classification,series,threshold
4206,1.0132101857834985,0.003964966534512622,1.0054367561553412,1.0209836154116558,0.01321018578349853,0.9395151702757117,0.002633485155235874,3.331726930987159,0.0008705430997083431,superlinear,cerebrovascular disease,8103.083927575384
8115,0.9977271880278308,0.0024804826692330388,0.9928648059231654,1.0025895701324963,-0.0022728119721692197,0.9522491768881224,0.00010347327774551886,-0.9162781100470133,0.3595482806438868,linear (n.s.),cerebrovascular disease,2980.9579870417283
13631,0.9873813946007601,0.0016138409391329182,0.9842180435527182,0.990544745648802,-0.012618605399239868,0.9648695143274865,0.004465740481773546,-7.818989525708507,5.7143081121384385e-15,sublinear,cerebrovascular disease,1096.6331584284585
19827,0.9824045911332596,0.0011407141891685891,0.9801686958991083,0.984640486367411,-0.01759540886674038,0.9739666414970398,0.011859072666021538,-15.42490575975461,2.2736239238202515e-53,sublinear,cerebrovascular disease,403.4287934927351
24639,0.9834876830735292,0.0008950121434668007,0.9817334053226533,0.9852419608244051,-0.016512316926470816,0.9800043362086458,0.013627348866192832,-18.449265797121914,1.7060879634396186e-75,sublinear,cerebrovascular disease,148.4131591025766
26321,0.9848258396485137,0.0008076390401977907,0.9832428234171311,0.9864088558798962,-0.015174160351486332,0.9826073746770392,0.01323485377676062,-18.788294765654445,3.063640565037948e-78,sublinear,cerebrovascular disease,54.598150033144236
26343,0.9849241462699764,0.0008062607719298174,0.9833438315796978,0.9865044609602549,-0.015075853730023625,0.9826548228797444,0.013099475047235935,-18.698483486848758,1.6192378410571316e-77,sublinear,cerebrovascular disease,20.085536923187668
139,0.9766670997044069,0.02902824326470053,0.9192657454347571,1.0340684539740568,-0.023332900295593095,0.8920421261660851,0.004693880725052197,-0.8037999434835523,0.422905014611734,linear (n.s.),chronic obstructive pulmonary disease,162754.79141900392
562,1.0396576792443561,0.016286254073942012,1.0076680691905426,1.0716472892981697,0.03965767924435615,0.8791827697781442,0.010477312779596468,2.435039946221175,0.015201277893184928,superlinear,chronic obstructive pulmonary disease,59874.14171519782
1746,1.0127185666028864,0.009118317520711518,0.9948345810301682,1.0306025521756046,0.012718566602886394,0.876129806913812,0.0011143361360128512,1.3948369942149088,0.1632426199005364,linear (n.s.),chronic obstructive pulmonary disease,22026.465794806718
4206,0.980804297109273,0.005333410386598215,0.9703479943996712,0.9912605998188747,-0.01919570289072703,0.8894339725877707,0.0030718442234144135,-3.5991422934492276,0.00032294847781378223,sublinear,chronic obstructive pulmonary disease,8103.083927575384
8115,0.9619868653434498,0.003289628047377974,0.9555383508075583,0.9684353798793413,-0.03801313465655021,0.9133490070389741,0.016192079052345154,-11.555450679856921,1.2027739273159151e-30,sublinear,chronic obstructive pulmonary disease,2980.9579870417283
13631,0.9502510403477739,0.0020964014063999037,0.9461418041614527,0.954360276534095,-0.04974895965222614,0.9377924763960431,0.0396799509023817,-23.73064600145387,5.110356963366619e-122,sublinear,chronic obstructive pulmonary disease,1096.6331584284585
19827,0.9510612827754947,0.0014504204338691728,0.9482183373940863,0.9539042281569031,-0.04893871722450527,0.955923495332524,0.05430682378497842,-33.7410560977518,1.023119056378113e-242,sublinear,chronic obstructive pulmonary disease,403.4287934927351
24639,0.9585281166762811,0.0011312920580935342,0.9563107160502194,0.9607455173023428,-0.04147188332371887,0.9668202340807354,0.05172545376525505,-36.658865433571364,1.6277787439601764e-286,sublinear,chronic obstructive pulmonary disease,148.4131591025766
26321,0.9628637925757828,0.0010224496816780644,0.9608597358607038,0.9648678492908618,-0.037136207424217194,0.9711781106993062,0.047731098265035354,-36.32081665209042,6.90322178304534e-282,sublinear,chronic obstructive pulmonary disease,54.598150033144236
26343,0.9630708774277109,0.001020841799118809,0.9610699723263298,0.965071782529092,-0.036929122572289086,0.9712547685213309,0.04732946179097135,-36.175167008410426,1.0447434882559612e-279,sublinear,chronic obstructive pulmonary disease,20.085536923187668
139,0.9878221121266759,0.018763059669584917,0.9507194522979248,1.024924771955427,-0.012177887873324078,0.9529003286963565,0.003065368837853207,-0.6490352899673681,0.5174021238916882,linear (n.s.),coronary artery disease,162754.79141900392
562,1.0297355130744223,0.010352955315690216,1.0094001430163446,1.0500708831325,0.02973551307442235,0.9464262435537902,0.01451721171300326,2.8721763175542043,0.00423098102968921,superlinear,coronary artery disease,59874.14171519782
1746,1.014570421656876,0.005833974459796754,1.0031281007644939,1.0260127425492582,0.014570421656876054,0.9454790939964649,0.003563839950913748,2.497512074707242,0.012598351215147902,superlinear,coronary artery disease,22026.465794806718
4206,0.9939991381344073,0.003400698476463695,0.987331972078081,1.0006663041907338,-0.006000861865592677,0.9531007645108075,0.0007401278495138259,-1.764596863592808,0.07770414639597294,linear (n.s.),coronary artery disease,8103.083927575384
8115,0.9801544030748027,0.0021108957869681454,0.9760165060329575,0.9842923001166479,-0.019845596925197273,0.9637353201646863,0.010777235488400138,-9.401504824499778,6.867940083156159e-21,sublinear,coronary artery disease,2980.9579870417283
13631,0.972389034346903,0.0013555408136669835,0.9697319872057636,0.9750460814880425,-0.027610965653096953,0.9741978295273004,0.029542716533299023,-20.36896666977093,7.067646010347966e-91,sublinear,coronary artery disease,1096.6331584284585
19827,0.9706163541620694,0.0009489628249132683,0.9687563076423037,0.972476400681835,-0.029383645837930628,0.9814021226687469,0.046130557462545546,-30.963958825906786,1.2733936053028543e-205,sublinear,coronary artery disease,403.4287934927351
24639,0.9730408673537863,0.0007441413939519989,0.9715823053661699,0.9744994293414027,-0.026959132646213746,0.9857955816065318,0.05057918527279201,-36.228508271847,4.77994095450834e-280,sublinear,coronary artery disease,148.4131591025766
26321,0.974769983329788,0.0006733938163374473,0.9734500950030501,0.9760898716565259,-0.025230016670211963,0.9875954103937061,0.050636089750373155,-37.46695627149751,2.3180173688006357e-299,sublinear,coronary artery disease,54.598150033144236
26343,0.9748573452790541,0.0006722394560986711,0.9735397196114741,0.9761749709466341,-0.0251426547209459,0.9876293615913155,0.050427797341537656,-37.401337414588575,2.357241238663746e-298,sublinear,coronary artery disease,20.085536923187668
139,0.9788088642475672,0.019813105416221485,0.9396298111850815,1.017987917310053,-0.02119113575243281,0.9468490967518794,0.008280785354149424,-1.0695514563347095,0.2867020615833417,linear (n.s.),depressive disorder,162754.79141900392
562,0.9967961385042163,0.010552086888292522,0.9760696323796111,1.0175226446288217,-0.0032038614957836664,0.9409501669455379,0.00016459295191609554,-0.30362349454668836,0.7615275222245848,linear (n.s.),depressive disorder,59874.14171519782
1746,0.9906196622967911,0.005724471627357628,0.9793921120647928,1.0018472125287894,-0.009380337703208896,0.9449673757938107,0.001537274803259844,-1.6386381685219022,0.10146901293611782,linear (n.s.),depressive disorder,22026.465794806718
4206,0.9760010648967975,0.0031988957242137656,0.9697295388741836,0.9822725909194114,-0.0239989351032025,0.9567905090591489,0.013211290439419333,-7.502256144689128,7.610663087076619e-14,sublinear,depressive disorder,8103.083927575384
8115,0.9685441175214851,0.0018585471989911039,0.964900888422108,0.9721873466208621,-0.03145588247851494,0.970992796745292,0.03410400983186074,-16.924984469369672,3.543631492444946e-63,sublinear,depressive disorder,2980.9579870417283
13631,0.9667354388197028,0.0011519088464974536,0.9644775384477032,0.9689933391917024,-0.03326456118029719,0.9810171446936402,0.057659545446942614,-28.8777721270593,4.932213614630143e-178,sublinear,depressive disorder,1096.6331584284585
19827,0.9728034318698437,0.0007980912433333779,0.9712391062707315,0.974367757468956,-0.02719656813015625,0.9868322541645004,0.05533353556225261,-34.07701607721528,2.135867143930333e-247,sublinear,depressive disorder,403.4287934927351
24639,0.9802346080764955,0.0006287048518362746,0.9790023086697278,0.9814669074832633,-0.01976539192350446,0.98996674180038,0.03856978175017182,-31.438268474905463,9.662874099506674e-213,sublinear,depressive disorder,148.4131591025766
26321,0.984476544416679,0.0005754350321922939,0.9833486606087795,0.9856044282245785,-0.015523455583321022,0.991088238491418,0.026907234909955596,-26.976903933324532,3.908775674059575e-158,sublinear,depressive disorder,54.598150033144236
26343,0.9846452605805627,0.0005748221840360488,0.9835185780314962,0.9857719431296291,-0.015354739419437324,0.9911026972706014,0.026374104236949594,-26.71215524708139,3.970028782440555e-155,sublinear,depressive disorder,20.085536923187668
139,1.012226723820527,0.02748159635975196,0.9578837574151187,1.0665696902259352,0.012226723820526919,0.9082791199890979,0.0014427420742215793,0.4449058803015355,0.6570898905664571,linear (n.s.),diabetes mellitus,162754.79141900392
562,1.0752906435637806,0.014761110188376234,1.0462967351583448,1.1042845519692164,0.07529064356378057,0.9045438403343583,0.04439502936050033,5.1006084639263,4.641435811623961e-07,superlinear,diabetes mellitus,59874.14171519782
1746,1.0552711254126539,0.008194011209824657,1.039200005063276,1.0713422457620319,0.05527112541265389,0.904854108309038,0.025425646560865534,6.745307517566434,2.070470702221944e-11,superlinear,diabetes mellitus,22026.465794806718
4206,1.0327242792777862,0.004748366120478014,1.0234149724866761,1.0420335860688963,0.032724279277786206,0.9183785924957543,0.01117146345987142,6.891692520645792,6.333573611512138e-12,superlinear,diabetes mellitus,8103.083927575384
8115,1.016178137456941,0.002959173910575874,1.0103773977679087,1.0219788771459732,0.016178137456940966,0.9356295298747311,0.003670603982289682,5.467112763843136,4.7101461377125046e-08,superlinear,diabetes mellitus,2980.9579870417283
13631,1.0042966847400336,0.0019225895489899311,1.0005281437907507,1.0080652256893166,0.0042966847400336405,0.9524286434719753,0.0003663285014099095,2.2348424510530527,0.025443833999008784,superlinear,diabetes mellitus,1096.6331584284585
19827,0.9969971262841261,0.0013507541689046214,0.9943495351193619,0.9996447174488903,-0.0030028737158739327,0.9648880504272124,0.00024922984955734684,-2.2231089749729063,0.02621968346979822,sublinear,diabetes mellitus,403.4287934927351
24639,0.9959439718461618,0.0010582559775899766,0.9938697263403673,0.9980182173519563,-0.004056028153838209,0.9729364997197298,0.0005959005197730717,-3.832747690284936,0.00012703461583364178,sublinear,diabetes mellitus,148.4131591025766
26321,0.9962680160880749,0.000957393943911386,0.9943914721400905,0.9981445600360593,-0.0037319839119250853,0.9762715700860382,0.0005770030757163354,-3.898065091866205,9.720461484267806e-05,sublinear,diabetes mellitus,54.598150033144236
26343,0.9963694720922427,0.0009557371189532552,0.9944961756828054,0.99824276850168,-0.0036305279077573083,0.9763370912732964,0.0005475106202772943,-3.7986678928339037,0.00014580258183923052,sublinear,diabetes mellitus,20.085536923187668
139,0.9835855620829258,0.018837404095946267,0.9463358912650277,1.020835232900824,-0.0164144379170742,0.9521540057009554,0.005511743703893965,-0.8713747304813894,0.3850740087426947,linear (n.s.),hypertension,162754.79141900392
562,1.0341270108682694,0.009142103005892988,1.0161700080545752,1.0520840136819636,0.034127010868269414,0.9580695501914055,0.02427960608647791,3.732949721335582,0.00020858731823797855,superlinear,hypertension,59874.14171519782
1746,1.0097043764778584,0.005089268757966105,0.9997226656154745,1.0196860873402422,0.009704376477858379,0.9575731549731662,0.002080527771861207,1.9068312049090277,0.05670662492807089,linear (n.s.),hypertension,22026.465794806718
4206,0.9963920451624494,0.0029274463044807984,0.9906527034454359,1.002131386879463,-0.0036079548375506088,0.964981381103609,0.0003611808492680155,-1.232458075158616,0.21784693843516917,linear (n.s.),hypertension,8103.083927575384
8115,0.9918148919611426,0.0018156168740773204,0.9882558173072682,0.995373966615017,-0.008185108038857414,0.9735321333580412,0.0024988049662949684,-4.508169182453214,6.630705739900178e-06,sublinear,hypertension,2980.9579870417283
13631,0.9886787669357453,0.0011757158026727407,0.986374201642847,0.9909833322286437,-0.011321233064254699,0.9810910419472296,0.00675731454045443,-9.629225905204535,7.064899081542003e-22,sublinear,hypertension,1096.6331584284585
19827,0.9873599484057419,0.000820118045103257,0.9857524484325678,0.988967448378916,-0.012640051594258073,0.9865067986390771,0.01184019745178964,-15.41247832519845,2.7497473296985275e-53,sublinear,hypertension,403.4287934927351
24639,0.9887444029458515,0.0006397595153095522,0.9874904357323214,0.9899983701593816,-0.01125559705414847,0.9897906846783489,0.01240776076641818,-17.59348127663622,7.293101829160369e-69,sublinear,hypertension,148.4131591025766
26321,0.9897221399923217,0.0005778164717021868,0.98858958843409,0.9908546915505535,-0.010277860007678274,0.9911091327223782,0.011878633044553957,-17.78741263190503,2.285988218043419e-70,sublinear,hypertension,54.598150033144236
26343,0.9897848776204338,0.000576837912137137,0.9886542441353419,0.9909155111055257,-0.010215122379566233,0.9911327278152524,0.011765417548177148,-17.708826283140866,9.103305359450686e-70,sublinear,hypertension,20.085536923187668
139,0.9580057950057835,0.023843327666249487,0.9108572546736151,1.005154335337952,-0.041994204994216466,0.9217754345918608,0.022141171084686103,-1.7612560453824473,0.08042600942673163,linear (n.s.),obesity,162754.79141900392
562,1.015883472385617,0.01234201432954282,0.991641174317066,1.0401257704541678,0.015883472385616937,0.9236547538119214,0.0029488198197901226,1.2869432785859762,0.1986457589911312,linear (n.s.),obesity,59874.14171519782
1746,0.9919229900572173,0.006416373178259325,0.9793383959050045,1.0045075842094302,-0.008077009942782709,0.9319887922041533,0.0009077810271308502,-1.258812372408472,0.20826658307588017,linear (n.s.),obesity,22026.465794806718
4206,0.9827147573046071,0.0035114755706271697,0.9758304096054103,0.9895991050038039,-0.01728524269539289,0.9490575750484915,0.00573076965739385,-4.922501195788084,8.871993441015877e-07,sublinear,obesity,8103.083927575384
8115,0.9782890926952195,0.0020838781864210916,0.9742041570786003,0.9823740283118386,-0.021710907304780536,0.9644948285898528,0.013202550322196816,-10.418510758571465,2.944772846052376e-25,sublinear,obesity,2980.9579870417283
13631,0.9735051289708693,0.0012872014285384085,0.9709820364595368,0.9760282214822017,-0.02649487102913073,0.9767269291583341,0.030148913019131838,-20.583313879021347,9.90046100511525e-93,sublinear,obesity,1096.6331584284585
19827,0.9728483484867708,0.0008663348544777771,0.9711502597010796,0.974546437272462,-0.02715165151322918,0.9845218223967418,0.04720698830078082,-31.340827825282496,1.7343667408570142e-210,sublinear,obesity,403.4287934927351
24639,0.9757252696982683,0.0006635740895514523,0.9744246244837255,0.9770259149128112,-0.024274730301731662,0.9887334541904923,0.05151937969486932,-36.58179347861569,2.3710320906265853e-285,sublinear,obesity,148.4131591025766
26321,0.9769516899043732,0.0005967717627086183,0.9757819849498341,0.9781213948589123,-0.0230483100956268,0.9902748682034899,0.05363530934040287,-38.62164991020268,0.0,sublinear,obesity,54.598150033144236
26343,0.9769796900555318,0.0005956165359343593,0.9758122494528383,0.9781471306582252,-0.023020309944468242,0.990304649846991,0.053666210435562585,-38.649548082736956,0.0,sublinear,obesity,20.085536923187668
