assayName,sym,dir,log2fc,adjp,region
'Pick disease' vs 'normal',Z95115.1,down,-1.1,0.000743133,
'Pick disease' vs 'normal',CPB2-AS1,down,-1.7,0.000253842,
'progressive supranuclear palsy' vs 'normal',SMC4,down,-1.2,0.00981457,
'Pick disease' vs 'normal',FARSB,down,-1.2,0.000364261,
'Pick disease' vs 'normal',ABCC5,down,-1.0,0.00709351,
'Pick disease' vs 'normal',DNM1L,down,-1.1,0.00309076,
'Pick disease' vs 'normal',MIR499B,up,1.0,0.000644458,
'Pick disease' vs 'normal',TIMM23B,down,-1.4,1.35999e-05,
'Pick disease' vs 'normal',RNU6-82P,up,1.6,8.30428e-05,
'progressive supranuclear palsy' vs 'normal',THRB-IT1,up,1.3,0.0048395,
'Pick disease' vs 'normal',ACTR1B,down,-1.1,2.6445e-05,
'Pick disease' vs 'normal',NAMPT,up,1.9,0.0073721,
'Pick disease' vs 'normal',YAF2,down,-1.3,0.000148159,
'Pick disease' vs 'normal',TOB1,up,1.2,9.67357e-05,
'Pick disease' vs 'normal',FAM13A,up,1.8,4.6116e-05,
'Pick disease' vs 'normal',ATP6AP2,down,-1.0,0.000442256,
'Pick disease' vs 'normal',WASF2,up,1.0,0.00899127,
'Pick disease' vs 'normal',TENM1,down,-1.1,0.000502947,
'Pick disease' vs 'normal',RBM5,down,-1.5,7.63504e-07,
'Pick disease' vs 'normal',AP001258.1,up,1.2,0.00174215,
'Pick disease' vs 'normal',FAM111A-DT,up,1.2,0.00174215,
'Pick disease' vs 'normal',ITGA9-AS1,up,1.0,0.000457194,
'Pick disease' vs 'normal',ADGRB3-DT,down,-3.0,4.77952e-06,
'Pick disease' vs 'normal',AL391807.1,down,-3.0,4.77952e-06,
'progressive supranuclear palsy' vs 'normal',ADGRB3-DT,down,-2.6,0.00755108,
'progressive supranuclear palsy' vs 'normal',AL391807.1,down,-2.6,0.00755108,
'Pick disease' vs 'normal',NME6,up,1.1,0.000389573,
'Pick disease' vs 'normal',TRIM13,up,2.5,9.2652e-07,
'progressive supranuclear palsy' vs 'normal',AK6,down,-1.2,0.00755108,
'Pick disease' vs 'normal',CTDSPL,up,1.0,0.000130681,
'Pick disease' vs 'normal',RCAN2,down,-1.6,0.00819437,
'Pick disease' vs 'normal',MRPS31,up,1.0,0.00119525,
'Pick disease' vs 'normal',GPHN,down,-1.1,0.00417738,
'Pick disease' vs 'normal',HRSP12,down,-1.6,0.000715772,
'Pick disease' vs 'normal',RIDA,down,-1.6,0.000715772,
'Pick disease' vs 'normal',APBB3,down,-1.3,7.11183e-07,
'Pick disease' vs 'normal',RTN3,down,-1.1,0.00174302,
'Pick disease' vs 'normal',LANCL1,down,-1.2,0.00318517,
'Pick disease' vs 'normal',CDO1,down,-1.1,0.000667339,
'Pick disease' vs 'normal',KLF2,up,1.0,0.00417738,
'Pick disease' vs 'normal',MICU1,down,-1.0,0.000180827,
'Pick disease' vs 'normal',CORO2B,down,-1.2,0.00275427,
'Pick disease' vs 'normal',ATP8A1,down,-2.0,0.0029349,
'Pick disease' vs 'normal',CDS1,up,1.0,0.00654314,
'Pick disease' vs 'normal',ST3GAL6,down,-1.1,6.60637e-05,
'Pick disease' vs 'normal',LYPLA1,up,1.8,5.28091e-08,
'Pick disease' vs 'normal',OLFM1,down,-1.2,0.00926375,
'Pick disease' vs 'normal',N4BP2L2,up,1.4,1.51954e-05,
'Pick disease' vs 'normal',SLC30A9,down,-1.0,0.000325919,
'Pick disease' vs 'normal',C1orf61,down,-1.0,0.00127613,
'Pick disease' vs 'normal',MIR9-1HG,down,-1.0,0.00127613,
'Pick disease' vs 'normal',SEMA4D,down,-1.6,0.00656655,
'Pick disease' vs 'normal',DDX17,down,-1.2,4.45337e-05,
'progressive supranuclear palsy' vs 'normal',DDX17,down,-1.1,0.00979606,
'Pick disease' vs 'normal',PITRM1,down,-1.2,0.00128272,
