assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',KIAA0930,up,1.2,0.00597268
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SATB2,down,-1.9,0.000878884
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CUX2,down,-1.1,0.00759758
'Alzheimer's disease' vs 'normal',CUX2,up,1.2,0.00357638
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FMR1,up,2.1,0.000143487
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RPGRIP1L,down,-1.5,0.0018249
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MAN2B2,down,-1.0,0.00986695
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KIAA1033,up,1.4,0.000289041
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',WASHC4,up,1.4,0.000289041
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',KIAA1033,up,1.0,0.00959397
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',WASHC4,up,1.0,0.00959397
'Alzheimers disease' vs 'normal' in 'hippocampus',KIAA1033,up,1.0,0.00102978
'Alzheimers disease' vs 'normal' in 'hippocampus',WASHC4,up,1.0,0.00102978
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NEDD4L,down,-1.0,0.00321815
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',NEDD4L,down,-1.5,0.000195365
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SASH1,up,2.0,0.00103298
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SASH1,up,2.3,2.05494e-06
'Pick disease' vs 'normal',SASH1,up,1.1,0.000148394
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SASH1,up,2.1,0.000373908
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',TTC28,up,1.0,2.55946e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TTC28,up,1.2,1.51481e-05
'Pick disease' vs 'normal',DPY19L1,down,-1.1,0.00124079
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DPY19L1,down,-1.3,0.00074413
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',WDR7,down,-2.0,0.00013749
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',WDR7,down,-2.0,7.74634e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',WDR7,down,-1.4,0.00226707
'Alzheimers disease' vs 'normal' in 'hippocampus',VPS39,down,-1.2,3.90195e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ESYT1,down,-1.0,0.00168336
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SYNE1,down,-1.2,0.000256363
'Pick disease' vs 'normal',SMCHD1,down,-1.2,0.000445476
'Alzheimers disease' vs 'normal' in 'hippocampus',SMCHD1,up,1.8,6.88835e-06
'progressive supranuclear palsy' vs 'normal',SMCHD1,down,-1.5,0.00755108
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DOCK9,down,-1.1,0.00404043
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PHF24,down,-1.1,0.00119954
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PHF24,down,-2.1,1.58303e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',PHF24,down,-1.0,0.00541161
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FN1,up,1.0,0.00327847
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',FN1,up,1.6,0.00205323
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FN1,up,1.4,0.00164083
'progressive supranuclear palsy' vs 'normal',U2SURP,down,-1.6,0.00787302
'Pick disease' vs 'normal',U2SURP,down,-1.1,0.00104436
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KHNYN,up,1.0,0.000122166
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SUN1,up,1.2,0.00535585
'Alzheimers disease' vs 'normal' in 'hippocampus',VPS8,down,-1.0,0.00238359
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',VPS8,down,-1.4,0.00212178
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',VPS8,down,-1.2,0.00252159
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',USP24,down,-1.3,0.00024788
'progressive supranuclear palsy' vs 'normal',FNBP4,down,-2.1,0.00897737
'Pick disease' vs 'normal',FNBP4,down,-2.5,9.68793e-08
'Alzheimers disease' vs 'normal' in 'hippocampus',FNBP4,down,-1.1,0.00191596
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FNBP4,down,-1.0,0.00506863
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',OBSL1,down,-1.5,1.41323e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',OBSL1,up,1.2,9.38753e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PUM2,down,-1.7,9.94989e-07
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PUM2,down,-1.0,8.67375e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TNS2,up,1.1,0.00477386
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UFL1,down,-1.3,0.00140935
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',UFL1,up,1.7,0.00122423
'Alzheimers disease' vs 'normal' in 'hippocampus',ICE1,down,-1.0,0.00224917
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ICE1,down,-1.0,0.00182617
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AHCYL2,up,1.3,0.0001009
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MED13L,up,1.6,3.85009e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MED13L,up,1.0,0.00207166
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',MED13L,up,1.0,0.000740416
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MED13L,up,1.2,1.45549e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',ZDHHC17,down,-1.3,0.0010895
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZDHHC17,down,-1.5,0.000174322
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LARS2,up,1.3,0.00045559
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PIP5K1C,down,-2.1,1.2996e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PPWD1,down,-1.0,0.00147959
'Pick disease' vs 'normal',PPWD1,down,-1.4,2.92635e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',PPWD1,down,-1.1,0.00115937
'progressive supranuclear palsy' vs 'normal',PPWD1,down,-1.9,0.0048395
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ATP13A2,down,-2.4,2.63058e-06
'Pick disease' vs 'normal',ATP13A2,down,-1.0,0.00309989
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FBXO46,up,1.0,0.000456273
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DICER1,up,1.5,0.0004376
'Pick disease' vs 'normal',DICER1,up,1.8,8.73374e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',COTL1,down,-1.1,0.000722038
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',COTL1,up,1.3,0.0013818
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SIRT1,up,1.0,0.000395238
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',COMMD3,down,-1.0,2.44065e-07
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZFPM2,down,-1.7,0.00154372
'Alzheimers disease' vs 'normal' in 'hippocampus',ZFPM2,down,-1.6,0.00691374
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',KCNH3,down,-1.8,6.38356e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CRB1,up,2.0,5.84791e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CRB1,down,-1.1,0.00358222
'Alzheimers disease' vs 'normal' in 'hippocampus',TMED3,down,-1.4,0.000226438
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TMED3,down,-1.2,0.000539327
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TDRD7,down,-1.4,0.000380487
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TDRD7,down,-1.4,9.83895e-06
'Pick disease' vs 'normal',RYBP,up,1.2,0.00140128
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RHOQ,up,1.3,0.000134425
'Alzheimers disease' vs 'normal' in 'hippocampus',TARDBP,down,-1.1,0.00451129
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TARDBP,down,-1.2,0.000191824
'Alzheimers disease' vs 'normal' in 'hippocampus',HARS2,down,-1.2,7.71813e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SLC44A1,up,1.6,0.000415489
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SF3B3,down,-1.3,3.88337e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SF3B1,down,-1.4,5.6631e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SF3B1,down,-1.2,2.01651e-05
'progressive supranuclear palsy' vs 'normal',SF3B1,down,-1.3,0.0048395
'Pick disease' vs 'normal',SF3B1,down,-1.1,2.14562e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',SF3B1,down,-1.5,0.00106634
'Pick disease' vs 'normal',ABCB10,down,-1.0,0.00059051
'Pick disease' vs 'normal',ABCA5,down,-1.4,0.00012859
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ICMT,down,-1.3,1.25431e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GCAT,down,-1.2,0.000135543
'Pick disease' vs 'normal',NPTXR,down,-1.7,0.00807702
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NPTXR,down,-1.5,0.000257333
'Pick disease' vs 'normal',CBX5,up,1.6,5.03513e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CBX5,up,1.0,4.30166e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',CBX5,up,1.1,0.00333519
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PHF3,up,1.1,0.000480161
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ISCU,down,-1.0,0.00290317
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SEC61G,down,-1.7,0.00172811
'Alzheimers disease' vs 'normal' in 'hippocampus',SEC61G,down,-1.8,0.000893408
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LEPROTL1,down,-1.3,0.00399066
'Alzheimers disease' vs 'normal' in 'hippocampus',LEPROTL1,down,-1.6,0.00207051
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CES3,down,-1.0,0.000627469
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CBX7,down,-1.0,0.0070108
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HEY2,up,1.2,0.00183948
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HEY2,up,1.3,0.00263394
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HEY2,up,1.8,5.246e-06
'progressive supranuclear palsy' vs 'normal',MACF1,down,-1.1,0.00755108
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MACF1,up,1.7,0.00142095
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DAAM2,up,1.8,9.40961e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DAAM2,up,1.5,2.00839e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',RIMBP2,down,-1.4,0.00123421
'Pick disease' vs 'normal',RIMBP2,down,-1.7,0.00720327
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RIMBP2,down,-1.9,0.000828185
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RIMBP2,down,-1.7,0.000225325
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BICRAL,up,1.5,6.54938e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GLTSCR1L,up,1.5,6.54938e-05
'Pick disease' vs 'normal',LRRC8B,down,-1.9,0.00261882
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TTC9,down,-1.0,0.00924523
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SUZ12,up,1.2,0.000321284
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SUZ12,up,1.4,0.00432468
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SCRIB,up,1.7,2.24345e-07
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SCRIB,up,1.1,3.86583e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SCRIB,up,1.3,0.00044921
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',R3HDM1,down,-1.2,0.00140434
'Pick disease' vs 'normal',R3HDM1,down,-1.5,0.00275427
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',R3HDM1,down,-1.9,8.93529e-05
'severe Alzheimer's disease' vs 'normal',R3HDM1,down,-1.0,0.00990707
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KAT6B,up,1.1,4.39111e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',KAT6B,up,1.3,3.11086e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CABIN1,down,-1.0,3.46596e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',SRRM2,up,2.4,3.30486e-05
'Pick disease' vs 'normal',SRRM2,up,2.2,1.25004e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SRRM2,up,2.1,1.22601e-06
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SRRM2,up,2.2,0.000136866
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SRRM2,up,1.1,0.000599464
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ACAP2,up,1.1,0.00615476
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF281,up,1.4,0.000390435
'Pick disease' vs 'normal',NNT,down,-1.0,0.00100283
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MMD,down,-1.0,0.000677945
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RBFOX2,down,-1.4,0.00335146
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SEZ6L,down,-1.6,0.000345384
'Pick disease' vs 'normal',SEZ6L,down,-1.7,0.00109757
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SEZ6L,down,-1.6,5.01551e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RASD2,down,-1.5,5.47161e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CDK20,down,-1.1,0.000290855
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CDK20,down,-1.0,0.0012925
'Pick disease' vs 'normal',PIGN,down,-1.1,1.51954e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',WBP2,down,-1.2,0.00250702
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GTPBP4,down,-1.4,0.00142095
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF346,up,1.1,2.73129e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CDC42EP4,up,1.3,0.000307886
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CDC42EP4,up,1.8,5.22252e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CCNDBP1,down,-2.3,4.16439e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CCNDBP1,down,-1.4,0.000749833
'Pick disease' vs 'normal',CCNDBP1,down,-1.0,0.000420302
'Alzheimers disease' vs 'normal' in 'hippocampus',SMUG1,down,-1.0,0.0020213
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TMEM50A,down,-1.3,0.000490179
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TMEM50A,down,-1.0,0.00594588
'Alzheimers disease' vs 'normal' in 'hippocampus',TMEM50A,down,-1.4,0.00102234
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KLHDC2,down,-1.2,0.00220377
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',KLHDC2,down,-1.6,0.00100781
'Pick disease' vs 'normal',KLHDC2,down,-1.1,0.000498527
'Alzheimers disease' vs 'normal' in 'hippocampus',KLHDC2,down,-1.1,0.00470728
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ORC3,down,-1.5,1.05834e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ORC3,down,-1.6,0.000195365
'Alzheimers disease' vs 'normal' in 'hippocampus',ORC3,down,-1.3,0.000727138
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',OPN3,down,-2.0,3.8544e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',OPN3,down,-1.4,0.00389415
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',OPN3,down,-2.0,0.000556217
'Alzheimers disease' vs 'normal' in 'hippocampus',CORO1C,down,-1.6,3.08084e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MKRN1,down,-1.1,0.00698051
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MKRN1,down,-2.2,0.000110468
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZMYND8,down,-1.0,0.000399364
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NTSR2,down,-1.0,0.000828249
'Pick disease' vs 'normal',BACE1,down,-1.0,0.000889403
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',BACE1,down,-1.1,0.000465574
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RUSC1,down,-1.1,0.000625837
'Pick disease' vs 'normal',CA14,down,-1.0,0.00322472
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',KPNA6,down,-1.8,7.91387e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',KPNA6,down,-1.0,0.00285585
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DNAAF11,down,-1.1,0.00368839
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LRRC6,down,-1.1,0.00368839
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DNAAF11,down,-1.1,0.000213454
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LRRC6,down,-1.1,0.000213454
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DNAAF11,down,-1.1,0.00346576
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LRRC6,down,-1.1,0.00346576
'Pick disease' vs 'normal',DNAAF11,down,-1.0,8.55357e-05
'Pick disease' vs 'normal',LRRC6,down,-1.0,8.55357e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HSPBP1,down,-1.9,8.84656e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LDOC1,down,-1.2,0.000266921
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LDOC1,down,-2.8,8.91351e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',PLD3,down,-1.1,0.00738747
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PLD3,down,-1.5,0.00119124
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PLD3,down,-2.2,0.000479589
'Pick disease' vs 'normal',PLD3,down,-1.0,0.00790231
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ARFIP2,down,-1.2,0.000203633
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',PLXNB2,up,1.2,0.000126345
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SLC7A11,up,1.9,0.000420994
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SLC7A11,up,1.7,0.000133802
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SLC7A11,up,1.7,0.000422255
'Alzheimers disease' vs 'normal' in 'hippocampus',CEMIP2,down,-1.0,0.00722888
'Alzheimers disease' vs 'normal' in 'hippocampus',TMEM2,down,-1.0,0.00722888
'Pick disease' vs 'normal',TMEFF2,down,-1.7,0.00587136
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TMEFF2,down,-1.2,0.00800749
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TMEFF2,down,-1.5,0.00776202
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TMEFF2,down,-1.6,8.17261e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',STX12,down,-1.0,0.000113776
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SH3BP4,up,1.1,0.00536288
'Pick disease' vs 'normal',SGK3,down,-1.1,0.00256413
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SGK3,up,1.0,0.000970921
'Alzheimers disease' vs 'normal' in 'hippocampus',KCNE4,up,1.3,0.00882875
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KCNE4,up,1.5,0.000849206
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GSPT2,down,-2.0,0.000200079
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GABARAPL1,down,-1.2,0.00537367
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GABARAPL1,down,-1.0,0.00115412
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FRRS1L,down,-1.5,0.00498015
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PITPNB,down,-1.0,0.000772768
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PITPNB,down,-1.0,2.22174e-05
'Pick disease' vs 'normal',PISD,down,-1.0,0.000206519
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',MAFF,up,1.9,0.0051057
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MAFF,up,4.1,2.90393e-07
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MAFF,up,2.1,0.00129994
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MAFF,up,2.3,0.000758019
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IL17RA,up,1.0,6.70773e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FLRT3,down,-1.5,0.00265871
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FLRT3,down,-1.6,0.00153916
'Alzheimers disease' vs 'normal' in 'hippocampus',AP006333.1,up,1.2,0.00125007
'Alzheimers disease' vs 'normal' in 'hippocampus',FLRT1,up,1.2,0.00125007
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BRD1,up,1.0,0.000137451
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',APOL2,down,-1.0,0.00128686
'Alzheimers disease' vs 'normal' in 'hippocampus',MTCH2,down,-1.0,0.00137841
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MTCH2,down,-1.3,0.00093669
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FTSJ1,down,-1.1,3.39994e-05
'Pick disease' vs 'normal',FTSJ1,down,-1.1,0.000539031
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',LAMP5,down,-2.3,0.000598383
'Pick disease' vs 'normal',LAMP5,down,-1.9,0.00165522
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LAMP5,down,-1.8,0.00345382
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NAA80,down,-1.5,0.000197226
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NAT6,down,-1.5,0.000197226
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PRPF6,down,-1.1,0.00193642
'Alzheimers disease' vs 'normal' in 'hippocampus',PRPF6,down,-1.2,0.000231466
'Alzheimers disease' vs 'normal' in 'hippocampus',ZNF318,down,-1.3,0.000924234
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ALOX12B,down,-1.4,0.00153124
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',STH,up,1.0,8.16144e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',MTOR,down,-1.0,0.00444293
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MTOR,down,-1.0,0.000400422
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FTH1,down,-1.1,0.000126414
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ABL1,up,1.2,2.21076e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FUCA1,down,-1.1,0.00256982
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FUCA1,down,-1.0,0.00095615
'Alzheimers disease' vs 'normal' in 'hippocampus',FUCA1,down,-1.1,0.00192883
'Alzheimers disease' vs 'normal' in 'hippocampus',FUS,down,-1.1,0.00224917
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FUT1,down,-1.0,0.000836937
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FUT7,down,-1.0,0.00389162
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KDSR,up,1.6,1.25828e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',EPHX4,down,-1.4,0.00688266
'Pick disease' vs 'normal',RICTOR,up,1.1,0.00023512
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',FYN,up,1.0,0.00359302
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZBTB38,up,1.1,0.00666975
'Pick disease' vs 'normal',ZBTB38,up,1.7,1.25004e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LCLAT1,down,-1.2,0.00470443
'Pick disease' vs 'normal',WDR27,down,-1.0,1.25004e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MSRB3,up,2.3,4.96073e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',G6PD,down,-2.1,7.07376e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',YTHDF3,up,1.2,0.000570719
'Alzheimers disease' vs 'normal' in 'hippocampus',KCTD13,up,1.0,0.00274735
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',KCTD13,down,-2.4,6.59269e-06
'Pick disease' vs 'normal',KCTD13,down,-1.1,0.000234175
'Alzheimers disease' vs 'normal' in 'hippocampus',UBN2,down,-1.5,2.16397e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SNX32,up,1.0,0.00522152
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NIFK-AS1,up,2.1,4.70833e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PHYHD1,up,2.0,1.93732e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',PHYHD1,up,1.2,0.00180801
'Pick disease' vs 'normal',LPCAT4,down,-1.9,0.00048171
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LPCAT4,down,-1.6,0.00079276
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',XRCC6,down,-1.6,1.59805e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',XRCC6,down,-2.1,5.49757e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',XRCC6,down,-1.5,0.00299672
'Pick disease' vs 'normal',C8orf46,down,-1.9,4.2756e-05
'Pick disease' vs 'normal',VXN,down,-1.9,4.2756e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TMEM256,down,-1.2,1.67223e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZDHHC23,down,-1.6,0.00146986
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZDHHC23,down,-1.3,0.00866524
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZDHHC23,down,-1.4,0.00038637
'Alzheimers disease' vs 'normal' in 'hippocampus',ZDHHC23,down,-1.5,0.00909995
'Pick disease' vs 'normal',ZDHHC23,down,-1.7,0.00102155
