assayName,sym,dir,log2fc,adjp
'Pick disease' vs 'normal',RP11-88I18.2,up,1.3,0.0094086
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HM13-IT1,up,1.3,0.00132463
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC006978.1,up,1.1,0.00761189
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC006978.6,up,1.1,0.00761189
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC234582.2,down,-1.1,0.001126
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-263K19.6,down,-1.1,0.001126
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PRR34-AS1,up,1.7,4.55875e-07
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP6-109B7.3,up,1.7,4.55875e-07
'Pick disease' vs 'normal',PRR34-AS1,up,1.1,0.00149073
'Pick disease' vs 'normal',RP6-109B7.3,up,1.1,0.00149073
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',PRR34-AS1,up,1.2,0.00117142
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RP6-109B7.3,up,1.2,0.00117142
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PRR34-AS1,up,1.0,0.00186738
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP6-109B7.3,up,1.0,0.00186738
'Pick disease' vs 'normal',AL591895.1,down,-1.0,0.00164173
'Pick disease' vs 'normal',RP11-285F7.2,down,-1.0,0.00164173
'Pick disease' vs 'normal',AC100786.1,up,1.1,0.000151601
'Pick disease' vs 'normal',CTD-2514K5.2,up,1.1,0.000151601
'Pick disease' vs 'normal',MGC16275,up,1.1,0.000151601
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AL645949.1,up,1.1,0.000291586
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-357G3.2,up,1.1,0.000291586
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC096751.1,up,1.2,0.000177691
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-440I14.2,up,1.2,0.000177691
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC020661.1,up,1.0,0.0022059
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-540O11.1,up,1.0,0.0022059
'Pick disease' vs 'normal',AC104825.1,down,-1.3,0.000658073
'Pick disease' vs 'normal',AC104825.2,down,-1.3,0.000658073
'Pick disease' vs 'normal',RP11-774O3.3,down,-1.3,0.000658073
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-60I3.5,up,1.5,0.000219594
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',STX17-AS1,up,1.5,0.000219594
'Alzheimers disease' vs 'normal' in 'hippocampus',AC145124.1,up,1.1,0.0016961
'Alzheimers disease' vs 'normal' in 'hippocampus',AC145124.2,up,1.1,0.0016961
'Alzheimers disease' vs 'normal' in 'hippocampus',FAM85A,up,1.1,0.0016961
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC069503.1,up,1.3,9.76942e-07
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-87C12.5,up,1.3,9.76942e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AC069503.1,up,1.0,0.00662486
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RP11-87C12.5,up,1.0,0.00662486
'Pick disease' vs 'normal',AC069503.1,up,1.2,6.51646e-06
'Pick disease' vs 'normal',RP11-87C12.5,up,1.2,6.51646e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC069503.1,up,1.5,0.00071545
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-87C12.5,up,1.5,0.00071545
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AL583810.1,up,2.1,5.11921e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CTD-3051D23.4,up,2.1,5.11921e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL583810.1,up,2.2,1.39728e-07
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CTD-3051D23.4,up,2.2,1.39728e-07
'Alzheimers disease' vs 'normal' in 'hippocampus',AL583810.1,up,1.5,0.00104371
'Alzheimers disease' vs 'normal' in 'hippocampus',CTD-3051D23.4,up,1.5,0.00104371
'progressive supranuclear palsy' vs 'normal',AL583810.1,up,1.1,0.009918
'progressive supranuclear palsy' vs 'normal',CTD-3051D23.4,up,1.1,0.009918
'Pick disease' vs 'normal',AL583810.1,up,1.6,1.5446e-07
'Pick disease' vs 'normal',CTD-3051D23.4,up,1.6,1.5446e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AL583810.1,up,1.5,0.000221147
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CTD-3051D23.4,up,1.5,0.000221147
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AL137786.1,down,-1.1,0.00507502
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-433J8.1,down,-1.1,0.00507502
'Pick disease' vs 'normal',AC022613.3,up,1.9,1.25004e-05
'Pick disease' vs 'normal',RP11-680F8.4,up,1.9,1.25004e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',AC022613.3,up,1.0,0.000106088
'Alzheimers disease' vs 'normal' in 'hippocampus',RP11-680F8.4,up,1.0,0.000106088
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC022613.3,up,1.1,1.30706e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-680F8.4,up,1.1,1.30706e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL390728.6,up,1.1,1.07829e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-488L18.10,up,1.1,1.07829e-05
'Pick disease' vs 'normal',AL049838.1,down,-1.2,0.000266899
'Pick disease' vs 'normal',RP11-999E24.3,down,-1.2,0.000266899
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AL035071.1,up,1.0,0.00882758
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP5-1085F17.3,up,1.0,0.00882758
'Pick disease' vs 'normal',AL023284.4,down,-1.2,0.00324598
'Pick disease' vs 'normal',RP3-406A7.7,down,-1.2,0.00324598
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AP000223.1,down,-1.0,0.00135525
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AP000223.42,down,-1.0,0.00135525
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',LINC00515,down,-1.0,0.00135525
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AL135818.2,up,1.8,0.00824056
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CTD-2547L24.4,up,1.8,0.00824056
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL135818.2,up,1.1,0.00227639
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CTD-2547L24.4,up,1.1,0.00227639
'Pick disease' vs 'normal',AC027279.1,up,2.0,2.03813e-05
'Pick disease' vs 'normal',RP11-319G9.3,up,2.0,2.03813e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC022893.2,down,-1.4,0.000701671
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-531A24.3,down,-1.4,0.000701671
