go,goLabel,ns,k,K,expected,fold,p,fdr,n,N
http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,Cellular Component,46,1516,34.562605548854044,1.330918177883877,0.021329254411620074,0.039263540993016884,189,8290
http://purl.obolibrary.org/obo/GO_0042734,presynaptic membrane,Cellular Component,4,47,1.0715319662243667,3.732973094675222,0.021768535358529822,0.039525122220948346,189,8290
http://purl.obolibrary.org/obo/GO_0045597,positive regulation of cell differentiation,Biological Process,4,47,1.0715319662243667,3.732973094675222,0.021768535358529822,0.039525122220948346,189,8290
http://purl.obolibrary.org/obo/GO_0000226,microtubule cytoskeleton organization,Biological Process,4,47,1.0715319662243667,3.732973094675222,0.021768535358529822,0.039525122220948346,189,8290
http://purl.obolibrary.org/obo/GO_0043124,negative regulation of canonical NF-kappaB signal transduction,Biological Process,4,47,1.0715319662243667,3.732973094675222,0.021768535358529822,0.039525122220948346,189,8290
http://purl.obolibrary.org/obo/GO_0007166,cell surface receptor signaling pathway,Biological Process,9,181,4.126537997587455,2.1810049986845566,0.02251734941988313,0.040745679902645666,189,8290
http://purl.obolibrary.org/obo/GO_0040029,epigenetic regulation of gene expression,Biological Process,3,27,0.6155609167671894,4.873603762492651,0.022821689049417233,0.040879254458888785,189,8290
http://purl.obolibrary.org/obo/GO_2000781,positive regulation of double-strand break repair,Biological Process,3,27,0.6155609167671894,4.873603762492651,0.022821689049417233,0.040879254458888785,189,8290
http://purl.obolibrary.org/obo/GO_0007612,learning,Biological Process,3,27,0.6155609167671894,4.873603762492651,0.022821689049417233,0.040879254458888785,189,8290
http://purl.obolibrary.org/obo/GO_0001666,response to hypoxia,Biological Process,6,97,2.21145958986731,2.7131402389134345,0.023160968300771155,0.04134776891278609,189,8290
http://purl.obolibrary.org/obo/GO_0043130,ubiquitin binding,Molecular Function,4,48,1.0943305186972256,3.6552028218694885,0.023336636306231156,0.04152204185590293,189,8290
http://purl.obolibrary.org/obo/GO_0008017,microtubule binding,Molecular Function,7,126,2.872617611580217,2.4368018812463257,0.024899038330093198,0.044154294638698605,189,8290
http://purl.obolibrary.org/obo/GO_0097191,extrinsic apoptotic signaling pathway,Biological Process,3,28,0.6383594692400483,4.699546485260771,0.025141393182560746,0.04428881183153085,189,8290
http://purl.obolibrary.org/obo/GO_0006661,phosphatidylinositol biosynthetic process,Biological Process,3,28,0.6383594692400483,4.699546485260771,0.025141393182560746,0.04428881183153085,189,8290
http://purl.obolibrary.org/obo/GO_0015026,coreceptor activity,Molecular Function,4,50,1.1399276236429432,3.508994708994709,0.026674367142420635,0.046834202375471215,189,8290
http://purl.obolibrary.org/obo/GO_0019902,phosphatase binding,Molecular Function,3,29,0.6611580217129072,4.537493158182813,0.027583296131276285,0.0479552730125457,189,8290
http://purl.obolibrary.org/obo/GO_0031334,positive regulation of protein-containing complex assembly,Biological Process,3,29,0.6611580217129072,4.537493158182813,0.027583296131276285,0.0479552730125457,189,8290
