disease,study,title,tech,pmid
http://purl.obolibrary.org/obo/MONDO_0004976,http://purl.org/okn/wobd/study/E-MTAB-7876,"RNA sequencing of corticospinal neurons and control callosal projection neurons purified from the cerebral cortex of adult wild-type and Sod1G86R mice, a model of amyotrophic lateral sclerosis, at four disease-relevant ages.",,
http://purl.obolibrary.org/obo/MONDO_0004976,http://purl.org/okn/wobd/study/E-PROT-58,Protein expression in the dorsolateral prefrontal complex brain samples from the University of Pennsylvania School of Medicine Brain Bank,,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-GEOD-13396,Transcription profiling of human bronchial epithelial cells from normal and asthmatic individuals to investigate rhinovirus-induced modulation of gene expression,,19710636.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-GEOD-61141,Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus,,25706956.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-GEOD-63142,Asthma II,,
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-GEOD-75011,Transcriptional profiling of TH2 cells identifies pathogenic features associated with asthma,,27271570.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-GEOD-8052,Genetic variants regulating ORMDL3 expression are determinants of susceptibility to childhood asthma,,17611496.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-MTAB-10189,Transcriptomic response to ex vivo IL33 stimulation of blood eosinophils from mepolizumab- or omalizumab-treated patients,,34475229.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-MTAB-1425,MRCA expression,,23345460.0
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-MTAB-4660,Transcriptomic profiling of blood human eosinophils in eosinophilic asthmatic compared to healthy individuals,,
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-MTAB-7346,Transcriptional Profiling of cultured human airway smooth cells from subjects with and without asthma,,22108207.0
