traitLabel,entrez,sym,weight,scoreType,method
Maternal history of Alzheimer's disease,2319,FLOT2,1.49,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,406901,MIR107,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,27161,AGO2,1.33,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,401097,C3orf80,2.2,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23621,BACE1,1.46,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23504,RIMBP2,1.07,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,390999,PRAMEF12,1.39,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,2588,GALNS,1.39,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,3981,LIG4,2.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,2995,GYPC,1.16,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,407012,MIR24-1,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,407035,MIR31,1.34,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,407021,MIR29A,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23566,LPAR3,1.87,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,3458,IFNG,1.29,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,259307,IL4I1,1.52,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,26574,AATF,1.96,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,406952,MIR17,1.34,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,390748,PABPN1L,1.37,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23742,NPAP1,1.89,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,406989,MIR206,1.34,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,374,AREG,1.21,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23385,NCSTN,1.59,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,406899,MIR106A,1.34,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23163,GGA3,1.29,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,445815,PALM2-AKAP2,1.66,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,43,ACHE,1.58,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,404550,C16orf74,1.48,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,3752,KCND3,1.01,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,339967,TMPRSS11A,1.47,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,256536,TCERG1L,1.23,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,283953,TMEM114,1.29,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,339145,FAM92B,1.14,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,407026,MIR29C,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,3479,IGF1,1.5,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,2793,GNGT2,1.06,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,23171,GPD1L,1.19,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,29035,C16orf72,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,474,ATOH1,2.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51247,PAIP2,1.16,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5799,PTPRN2,1.53,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54897,CASZ1,1.02,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,57458,TMCC3,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51059,FAM135B,1.08,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6253,RTN2,1.63,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,4887,NPY2R,1.07,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5459,POU4F3,1.41,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5955,RCN2,1.51,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54439,RBM27,1.08,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64168,NECAB1,1.48,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51435,SCARA3,1.33,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55068,ENOX1,1.65,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64098,PARVG,1.12,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,574476,MIR520C,1.34,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51107,APH1A,1.38,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64231,MS4A6A,1.25,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64843,ISL2,1.01,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54928,IMPAD1,2.05,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5336,PLCG2,1.25,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64429,ZDHHC6,2.74,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,494323,MIR361,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64478,CSMD1,1.3,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,57167,SALL4,1.1,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,57190,SELENON,1.07,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5663,PSEN1,2.46,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55238,SLC38A7,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5300,PIN1,2.12,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55851,PSENEN,1.4,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6546,SLC8A1,1.92,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,4899,NRF1,1.47,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55201,MAP1S,1.23,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,57829,ZP4,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5653,KLK6,1.4,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54549,SDK2,1.65,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6239,RREB1,1.96,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,4915,NTRK2,1.89,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,65121,PRAMEF1,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6484,ST3GAL4,1.32,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51776,MAP3K20,1.04,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,65125,WNK1,1.32,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5395,PMS2,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51164,DCTN4,1.43,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51693,TRAPPC2L,1.42,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55617,TASP1,1.18,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5621,PRNP,2.17,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,63948,DMRTB1,1.43,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,57520,HECW2,1.03,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5074,PAWR,2.24,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55799,CACNA2D3,1.2,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,63941,NECAB3,1.4,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5121,PCP4,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5970,RELA,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5962,RDX,2.83,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54550,NECAB2,1.5,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5154,PDGFA,1.01,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5617,PRL,2.01,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64393,ZMAT3,1.3,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51099,ABHD5,3.1,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,642968,FAM163B,1.77,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,4669,NAGLU,1.49,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5161,PDHA2,1.8,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,619556,MIR455,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55191,NADSYN1,1.97,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,642987,TMEM232,1.1,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54329,GPR85,1.24,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51225,ABI3,1.15,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55966,AJAP1,2.17,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5921,RASA1,1.08,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51400,PPME1,1.18,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5079,PAX5,2.08,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54809,SAMD9,1.19,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,59,ACTA2,1.02,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6229,RPS24,1.7,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6252,RTN1,1.95,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,64211,LHX5,1.12,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,56160,NDNL2,1.22,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,57142,RTN4,1.52,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5454,POU3F2,1.1,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51237,MZB1,1.02,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51014,TMED7,1.05,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51168,MYO15A,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54810,GIPC2,1.2,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5664,PSEN2,1.97,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54103,GSAP,1.33,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5308,PITX2,1.3,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51659,GINS2,1.92,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,51649,MRPS23,1.22,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,55696,RBM22,1.51,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5420,PODXL,1.24,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,54971,BANP,1.58,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5069,PAPPA,1.03,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,5901,RAN,1.72,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8614,STC2,1.17,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,93190,C1orf158,1.2,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79090,TRAPPC6A,2.18,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,84700,MYO18B,1.04,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,84246,MED10,1.58,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,693229,MIR644A,1.34,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79890,RIN3,2.28,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8030,CCDC6,2.46,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9465,AKAP7,1.17,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,83988,NCALD,1.03,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9963,SLC23A1,1.07,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9060,PAPSS2,1.07,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8728,ADAM19,1.45,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8909,ENDOU,1.29,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,83449,PMFBP1,1.51,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9452,ITM2A,1.2,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9445,ITM2B,1.28,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9911,TMCC2,1.23,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6942,TCF20,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9482,STX8,1.48,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8301,PICALM,5.73,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79722,ANKRD55,2.11,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79657,RPAP3,2.58,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6667,SP1,1.35,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,7124,TNF,1.63,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79031,PDCL3,1.27,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,80314,EPC1,1.28,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,91977,MYOZ3,1.18,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,80351,TNKS2,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79047,KCTD15,1.33,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,90332,EXOC3L2,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6860,SYT4,1.64,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,90639,COX19,1.02,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8726,EED,1.05,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9674,KIAA0040,1.14,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,91137,SLC25A46,1.53,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9037,SEMA5A,1.16,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,836,CASP3,2.01,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9603,NFE2L3,1.16,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,84811,BUD13,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,7837,PXDN,1.9,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9475,ROCK2,1.54,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,84465,MEGF11,1.28,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79839,CCDC102B,2.06,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79690,GAL3ST4,1.04,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8869,ST3GAL5,1.4,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,83450,LRRC48,1.3,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9782,MATR3,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,81615,TMEM163,1.12,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,94234,FOXQ1,1.74,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,868,CBLB,2.36,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9001,HAP1,1.39,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,89890,KBTBD6,1.06,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,b9b246dee380e0056227,LOC100506422,1.04,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,84945,ABHD13,2.03,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,91647,ATPAF2,1.47,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6646,SOAT1,1.49,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,85352,KIAA1644,1.47,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8110,DPF3,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8440,NCK2,1.97,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8490,RGS5,2.98,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9619,ABCG1,1.56,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,777,CACNA1E,1.24,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9616,RNF7,1.1,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8321,FZD1,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9568,GABBR2,1.88,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,7965,AIMP2,1.08,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79037,PVRIG,1.2,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,92154,MTSS1L,2.13,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,89869,PLCZ1,1.01,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9051,PSTPIP1,1.87,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9019,MPZL1,1.05,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6916,TBXAS1,2.82,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,83941,TM2D1,1.09,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,b4577646c6c854687b47,AIM1,1.1,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,91355,LRP5L,1.31,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,81618,ITM2C,1.45,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,728194,RSPH10B2,1.39,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79648,MCPH1,1.05,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8539,API5,1.46,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6653,SORL1,4.95,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,83540,NUF2,1.32,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,6868,ADAM17,1.23,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,8553,BHLHE40,1.71,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,9804,TOMM20,1.5,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,81832,NETO1,1.17,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,79660,PPP1R3B,1.08,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,65981,CAPRIN2,1.45,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,83464,APH1B,2.3,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,763,CA5A,1.02,PIGEANCombinedScore,PIGEAN
Maternal history of Alzheimer's disease,84504,NKX6-2,1.01,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,10467,ZNHIT1,1.3,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,115207,KCTD12,3.43,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,116984,ARAP2,3.0,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,121441,NEDD1,2.89,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,121391,KRT74,1.23,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,10452,TOMM40,1.65,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,1209,CLPTM1,1.04,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,155185,AMZ1,1.97,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,140807,KRT72,1.57,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,132321,C4orf33,2.63,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,4163,MCC,3.1,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,2891,GRIA2,2.98,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,24146,CLDN15,1.14,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,344,APOC2,1.27,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,319101,KRT73,1.61,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,346606,MOGAT3,1.23,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,375607,NAT16,1.02,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,348,APOE,2.04,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,401409,RAB19,1.9,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,342132,ZNF774,2.31,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,3849,KRT2,1.24,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,346,APOC4,1.35,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,341,APOC1,1.8,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,55304,SPTLC3,2.9,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,51335,NGRN,2.15,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,4774,NFIA,2.92,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,57094,CPA6,3.09,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,4842,NOS1,2.98,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,64761,PARP12,1.35,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,51024,FIS1,1.07,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,5151,PDE8A,2.26,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,6542,SLC7A2,3.44,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,55313,CPPED1,2.87,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,84255,SLC37A3,2.56,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,9108,MTMR7,1.58,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,83942,TSSK1B,1.03,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,81706,PPP1R14C,2.77,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,80059,LRRTM4,3.06,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,84620,ST6GAL2,3.15,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,80727,TTYH3,2.42,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,9154,SLC28A1,2.45,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,83988,NCALD,2.79,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,8985,PLOD3,1.31,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,84869,CBR4,3.28,PIGEANCombinedScore,PIGEAN
cerebral amyloid angiopathy,79465,ULBP3,2.17,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,10418,SPON1,3.25,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,100126296,MIR298,3.52,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,11055,ZPBP,2.01,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,1191,CLU,8.29,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,11336,EXOC3,1.43,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,1859,DYRK1A,3.54,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,118430,MUCL1,1.8,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,146433,IL34,1.24,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,221391,OPN5,2.72,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,100130988,C7orf72,2.33,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,200734,SPRED2,1.86,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,10274,STAG1,1.51,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,100529261,CHURC1-FNTB,1.41,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,2041,EPHA1,2.39,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,146779,EFCAB3,1.23,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,1477,CSTF1,1.95,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,137682,NDUFAF6,1.16,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,132625,ZFP42,1.28,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,10439,OLFM1,1.01,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,1378,CR1,1.48,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,2263,FGFR2,1.19,PIGEANCombinedScore,PIGEAN
Alzheimer's disease or family history of Alzheimer's disease,102,ADAM10,5.06,PIGEANCombinedScore,PIGEAN
