traitLabel,entrez,sym,weight,scoreType,method
amyloid-beta measurement,166815,TIGD2,1.3,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1635,DCTD,3.17,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,153830,RNF145,1.19,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,221150,SKA3,1.22,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,124995,MRPL10,1.56,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2259,FGF14,2.34,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,132321,C4orf33,1.31,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,118427,OLFM3,1.03,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,22903,BTBD3,1.79,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23081,KDM4C,2.01,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,114881,OSBPL7,1.44,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,118924,FRA10AC1,1.02,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,146057,TTBK2,1.26,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,116441,TM4SF18,1.74,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,127670,TEDDM1,1.08,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,147372,CCBE1,1.52,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10124,ARL4A,2.02,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1591,CYP24A1,1.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,131096,KCNH8,1.5,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,11147,HHLA3,1.15,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1087,CEACAM7,1.62,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,11172,INSL6,1.05,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,167838,TXLNB,1.31,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10952,SEC61B,1.41,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10875,FGL2,3.44,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,140733,MACROD2,1.4,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,168667,BMPER,1.26,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1379,CR1L,3.94,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10221,TRIB1,1.25,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1992,SERPINB1,3.89,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1491,CTH,1.24,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,133522,PPARGC1B,1.61,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10562,OLFM4,1.27,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,115677,NOSTRIN,1.28,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10130,PDIA6,1.33,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,116154,PHACTR3,1.53,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,137886,UBXN2B,1.16,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10982,MAPRE2,1.66,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,154141,MBOAT1,2.22,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1280,COL2A1,2.41,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1117,CHI3L2,1.86,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,129852,C2orf73,1.49,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1602,DACH1,3.01,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,127665,ZNF648,1.47,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,152330,CNTN4,1.32,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10452,TOMM40,1.44,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,202151,RANBP3L,2.25,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10744,PTTG2,1.21,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1209,CLPTM1,1.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,197131,UBR1,1.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1501,CTNND2,1.85,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,100130988,C7orf72,1.37,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2072,ERCC4,1.03,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,171019,ADAMTS19,1.47,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,121793,TEX29,1.33,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1007,CDH9,2.95,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,113278,SLC52A3,1.1,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2153,F5,1.63,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10565,ARFGEF1,1.02,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,225,ABCD2,1.22,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,157657,CFAP418,1.52,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,169026,SLC30A8,1.13,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,11136,SLC7A9,1.4,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,140836,BANF2,1.89,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,11055,ZPBP,1.21,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23586,RIGI,1.35,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,388552,BLOC1S3,2.09,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2861,GPR37,1.5,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,388951,TSPYL6,2.58,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23314,SATB2,2.23,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23299,BICD2,1.66,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,286,ANK1,1.07,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,29028,ATAD2,1.58,PIGEANCombinedScore,PIGEAN
