go,K
http://purl.obolibrary.org/obo/GO_0000916,1
http://purl.obolibrary.org/obo/GO_0000921,1
http://purl.obolibrary.org/obo/GO_0000922,91
http://purl.obolibrary.org/obo/GO_0000932,48
http://purl.obolibrary.org/obo/GO_0000956,11
http://purl.obolibrary.org/obo/GO_0000957,4
http://purl.obolibrary.org/obo/GO_0000958,3
http://purl.obolibrary.org/obo/GO_0000962,3
http://purl.obolibrary.org/obo/GO_0000963,1
http://purl.obolibrary.org/obo/GO_0000964,2
http://purl.obolibrary.org/obo/GO_0000965,3
http://purl.obolibrary.org/obo/GO_0000968,1
http://purl.obolibrary.org/obo/GO_0000976,122
http://purl.obolibrary.org/obo/GO_0000977,94
http://purl.obolibrary.org/obo/GO_0000978,215
http://purl.obolibrary.org/obo/GO_0000979,17
http://purl.obolibrary.org/obo/GO_0000981,247
http://purl.obolibrary.org/obo/GO_0000987,30
http://purl.obolibrary.org/obo/GO_0000993,21
http://purl.obolibrary.org/obo/GO_0000995,6
http://purl.obolibrary.org/obo/GO_0001002,1
http://purl.obolibrary.org/obo/GO_0001003,1
http://purl.obolibrary.org/obo/GO_0001006,1
http://purl.obolibrary.org/obo/GO_0001010,1
http://purl.obolibrary.org/obo/GO_0001016,1
http://purl.obolibrary.org/obo/GO_0001018,2
http://purl.obolibrary.org/obo/GO_0001042,1
http://purl.obolibrary.org/obo/GO_0001046,13
http://purl.obolibrary.org/obo/GO_0001067,1
http://purl.obolibrary.org/obo/GO_0001069,1
http://purl.obolibrary.org/obo/GO_0001091,5
http://purl.obolibrary.org/obo/GO_0001093,3
http://purl.obolibrary.org/obo/GO_0001094,8
http://purl.obolibrary.org/obo/GO_0001096,1
http://purl.obolibrary.org/obo/GO_0001097,1
http://purl.obolibrary.org/obo/GO_0001099,1
http://purl.obolibrary.org/obo/GO_0001111,8
http://purl.obolibrary.org/obo/GO_0001147,2
http://purl.obolibrary.org/obo/GO_0001156,1
http://purl.obolibrary.org/obo/GO_0001161,2
http://purl.obolibrary.org/obo/GO_0001162,4
http://purl.obolibrary.org/obo/GO_0001164,3
http://purl.obolibrary.org/obo/GO_0001165,1
http://purl.obolibrary.org/obo/GO_0001172,3
http://purl.obolibrary.org/obo/GO_0001174,1
http://purl.obolibrary.org/obo/GO_0001181,3
http://purl.obolibrary.org/obo/GO_0001188,6
http://purl.obolibrary.org/obo/GO_0001216,7
http://purl.obolibrary.org/obo/GO_0001217,6
http://purl.obolibrary.org/obo/GO_0001221,29
http://purl.obolibrary.org/obo/GO_0001222,32
http://purl.obolibrary.org/obo/GO_0001223,29
http://purl.obolibrary.org/obo/GO_0001227,77
http://purl.obolibrary.org/obo/GO_0001228,168
http://purl.obolibrary.org/obo/GO_0001409,2
http://purl.obolibrary.org/obo/GO_0001501,54
http://purl.obolibrary.org/obo/GO_0001502,4
http://purl.obolibrary.org/obo/GO_0001503,49
http://purl.obolibrary.org/obo/GO_0001504,9
http://purl.obolibrary.org/obo/GO_0001507,1
http://purl.obolibrary.org/obo/GO_0001508,12
http://purl.obolibrary.org/obo/GO_0001510,10
http://purl.obolibrary.org/obo/GO_0001512,1
http://purl.obolibrary.org/obo/GO_0001514,3
http://purl.obolibrary.org/obo/GO_0001516,15
http://purl.obolibrary.org/obo/GO_0001517,4
http://purl.obolibrary.org/obo/GO_0001519,2
http://purl.obolibrary.org/obo/GO_0001520,2
http://purl.obolibrary.org/obo/GO_0001522,9
http://purl.obolibrary.org/obo/GO_0001523,24
http://purl.obolibrary.org/obo/GO_0001525,156
http://purl.obolibrary.org/obo/GO_0001527,28
http://purl.obolibrary.org/obo/GO_0001530,26
http://purl.obolibrary.org/obo/GO_0001532,1
http://purl.obolibrary.org/obo/GO_0001533,26
http://purl.obolibrary.org/obo/GO_0001537,4
http://purl.obolibrary.org/obo/GO_0001540,69
http://purl.obolibrary.org/obo/GO_0001541,17
http://purl.obolibrary.org/obo/GO_0001542,2
http://purl.obolibrary.org/obo/GO_0001543,1
http://purl.obolibrary.org/obo/GO_0001545,1
http://purl.obolibrary.org/obo/GO_0001546,2
http://purl.obolibrary.org/obo/GO_0001549,1
http://purl.obolibrary.org/obo/GO_0001550,1
http://purl.obolibrary.org/obo/GO_0001553,3
http://purl.obolibrary.org/obo/GO_0001554,4
http://purl.obolibrary.org/obo/GO_0001555,1
http://purl.obolibrary.org/obo/GO_0001556,5
http://purl.obolibrary.org/obo/GO_0001558,42
http://purl.obolibrary.org/obo/GO_0001560,1
http://purl.obolibrary.org/obo/GO_0001561,4
http://purl.obolibrary.org/obo/GO_0001568,13
http://purl.obolibrary.org/obo/GO_0001569,8
http://purl.obolibrary.org/obo/GO_0001570,18
http://purl.obolibrary.org/obo/GO_0001572,2
http://purl.obolibrary.org/obo/GO_0001573,1
http://purl.obolibrary.org/obo/GO_0001574,8
http://purl.obolibrary.org/obo/GO_0001576,1
http://purl.obolibrary.org/obo/GO_0001578,16
http://purl.obolibrary.org/obo/GO_0001580,29
http://purl.obolibrary.org/obo/GO_0001581,1
http://purl.obolibrary.org/obo/GO_0001582,1
http://purl.obolibrary.org/obo/GO_0001586,6
http://purl.obolibrary.org/obo/GO_0001587,3
http://purl.obolibrary.org/obo/GO_0001588,2
http://purl.obolibrary.org/obo/GO_0001591,3
http://purl.obolibrary.org/obo/GO_0001594,2
http://purl.obolibrary.org/obo/GO_0001595,1
http://purl.obolibrary.org/obo/GO_0001596,1
http://purl.obolibrary.org/obo/GO_0001601,3
http://purl.obolibrary.org/obo/GO_0001602,3
http://purl.obolibrary.org/obo/GO_0001604,1
http://purl.obolibrary.org/obo/GO_0001605,1
http://purl.obolibrary.org/obo/GO_0001607,2
http://purl.obolibrary.org/obo/GO_0001609,5
http://purl.obolibrary.org/obo/GO_0001614,7
http://purl.obolibrary.org/obo/GO_0001616,1
http://purl.obolibrary.org/obo/GO_0001618,72
http://purl.obolibrary.org/obo/GO_0001621,3
http://purl.obolibrary.org/obo/GO_0001626,1
http://purl.obolibrary.org/obo/GO_0001632,1
http://purl.obolibrary.org/obo/GO_0001634,3
http://purl.obolibrary.org/obo/GO_0001635,2
http://purl.obolibrary.org/obo/GO_0001640,2
http://purl.obolibrary.org/obo/GO_0001641,2
http://purl.obolibrary.org/obo/GO_0001642,2
http://purl.obolibrary.org/obo/GO_0001648,1
http://purl.obolibrary.org/obo/GO_0001649,79
http://purl.obolibrary.org/obo/GO_0001650,61
http://purl.obolibrary.org/obo/GO_0001651,2
http://purl.obolibrary.org/obo/GO_0001652,4
http://purl.obolibrary.org/obo/GO_0001654,22
http://purl.obolibrary.org/obo/GO_0001655,5
http://purl.obolibrary.org/obo/GO_0001656,7
http://purl.obolibrary.org/obo/GO_0001657,17
http://purl.obolibrary.org/obo/GO_0001658,14
http://purl.obolibrary.org/obo/GO_0001659,15
