go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0048468,cell development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0097109,neuroligin family protein binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0097192,extrinsic apoptotic signaling pathway in absence of ligand,Biological Process,2
http://purl.obolibrary.org/obo/GO_0045916,negative regulation of complement activation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0045880,positive regulation of smoothened signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0097157,pre-mRNA intronic binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0045861,negative regulation of proteolysis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0016042,lipid catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0045666,positive regulation of neuron differentiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0048731,system development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0019838,growth factor binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0045055,regulated exocytosis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0050660,flavin adenine dinucleotide binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0017038,protein import,Biological Process,2
http://purl.obolibrary.org/obo/GO_0017046,peptide hormone binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0045088,regulation of innate immune response,Biological Process,2
http://purl.obolibrary.org/obo/GO_0050661,NADP binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0045056,transcytosis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0050679,positive regulation of epithelial cell proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0045109,intermediate filament organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0019082,viral protein processing,Biological Process,2
http://purl.obolibrary.org/obo/GO_0050727,regulation of inflammatory response,Biological Process,2
http://purl.obolibrary.org/obo/GO_0044548,S100 protein binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0019430,removal of superoxide radicals,Biological Process,2
http://purl.obolibrary.org/obo/GO_0044306,neuron projection terminus,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0044304,main axon,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0016874,ligase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0090201,negative regulation of release of cytochrome c from mitochondria,Biological Process,2
http://purl.obolibrary.org/obo/GO_0016363,nuclear matrix,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0045334,clathrin-coated endocytic vesicle,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0045599,negative regulation of fat cell differentiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0048786,presynaptic active zone,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0090556,phosphatidylserine floppase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0045591,positive regulation of regulatory T cell differentiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0090554,phosphatidylcholine floppase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0016528,sarcoplasm,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0045332,phospholipid translocation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0043087,regulation of GTPase activity,Biological Process,2
http://purl.obolibrary.org/obo/GO_0045184,establishment of protein localization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0045177,apical part of cell,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0090307,mitotic spindle assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_0090277,positive regulation of peptide hormone secretion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0016746,acyltransferase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0045111,intermediate filament cytoskeleton,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0043120,tumor necrosis factor binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0032717,negative regulation of interleukin-8 production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030169,low-density lipoprotein particle binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0034186,apolipoprotein A-I binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0034452,dynactin binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0034405,response to fluid shear stress,Biological Process,2
http://purl.obolibrary.org/obo/GO_0070381,endosome to plasma membrane transport vesicle,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0034374,low-density lipoprotein particle remodeling,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060252,positive regulation of glial cell proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034236,protein kinase A catalytic subunit binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0034188,apolipoprotein A-I receptor activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0060291,long-term synaptic potentiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034067,protein localization to Golgi apparatus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031663,lipopolysaccharide-mediated signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031674,I band,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0070328,triglyceride homeostasis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034144,negative regulation of toll-like receptor 4 signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034142,toll-like receptor 4 signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060347,heart trabecula formation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034116,positive regulation of heterotypic cell-cell adhesion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034599,cellular response to oxidative stress,Biological Process,2
http://purl.obolibrary.org/obo/GO_0034612,response to tumor necrosis factor,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060070,canonical Wnt signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0070530,K63-linked polyubiquitin modification-dependent protein binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0035459,vesicle cargo loading,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035418,protein localization to synapse,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031295,T cell costimulation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035313,"wound healing, spreading of epidermal cells",Biological Process,2
http://purl.obolibrary.org/obo/GO_0055088,lipid homeostasis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035235,ionotropic glutamate receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031397,negative regulation of protein ubiquitination,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031398,positive regulation of protein ubiquitination,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035094,response to nicotine,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035022,positive regulation of Rac protein signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0070585,protein localization to mitochondrion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060045,positive regulation of cardiac muscle cell proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060047,heart contraction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031547,brain-derived neurotrophic factor receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0070555,response to interleukin-1,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060391,positive regulation of SMAD protein signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060392,negative regulation of SMAD protein signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035577,azurophil granule membrane,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0032757,positive regulation of interleukin-8 production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032497,detection of lipopolysaccharide,Biological Process,2
http://purl.obolibrary.org/obo/GO_0033081,regulation of T cell differentiation in thymus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032526,response to retinoic acid,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032869,cellular response to insulin stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032868,response to insulin,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032585,multivesicular body membrane,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0061045,negative regulation of wound healing,Biological Process,2
http://purl.obolibrary.org/obo/GO_0061052,negative regulation of cell growth involved in cardiac muscle cell development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0070141,response to UV-A,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032691,negative regulation of interleukin-1 beta production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032700,negative regulation of interleukin-17 production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032732,positive regulation of interleukin-1 production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032729,positive regulation of type II interferon production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0061136,regulation of proteasomal protein catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032728,positive regulation of interferon-beta production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032715,negative regulation of interleukin-6 production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0033130,acetylcholine receptor binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0032489,regulation of Cdc42 protein signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0033138,positive regulation of peptidyl-serine phosphorylation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032469,endoplasmic reticulum calcium ion homeostasis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0060412,ventricular septum morphogenesis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032024,positive regulation of insulin secretion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032050,clathrin heavy chain binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0033691,sialic acid binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0033619,membrane protein proteolysis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0032051,clathrin light chain binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0032092,positive regulation of protein binding,Biological Process,2
http://purl.obolibrary.org/obo/GO_0033572,transferrin transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0033554,cellular response to stress,Biological Process,2
http://purl.obolibrary.org/obo/GO_0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,Biological Process,2
http://purl.obolibrary.org/obo/GO_0033268,node of Ranvier,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0032355,response to estradiol,Biological Process,2
http://purl.obolibrary.org/obo/GO_0014902,myotube differentiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0061630,ubiquitin protein ligase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0033209,tumor necrosis factor-mediated signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031258,lamellipodium membrane,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0070885,negative regulation of calcineurin-NFAT signaling cascade,Biological Process,2
http://purl.obolibrary.org/obo/GO_0043068,positive regulation of programmed cell death,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051241,negative regulation of multicellular organismal process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042391,regulation of membrane potential,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071402,cellular response to lipoprotein particle stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042311,vasodilation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042307,positive regulation of protein import into nucleus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051239,regulation of multicellular organismal process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042277,peptide binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0051240,positive regulation of multicellular organismal process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071396,cellular response to lipid,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042130,negative regulation of T cell proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030334,regulation of cell migration,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051258,protein polymerization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030414,peptidase inhibitor activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0042169,SH2 domain binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0042158,lipoprotein biosynthetic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042147,"retrograde transport, endosome to Golgi",Biological Process,2
http://purl.obolibrary.org/obo/GO_0071364,cellular response to epidermal growth factor stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042393,histone binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0061133,endopeptidase activator activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0030279,negative regulation of ossification,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051131,chaperone-mediated protein complex assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030178,negative regulation of Wnt signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0050966,detection of mechanical stimulus involved in sensory perception of pain,Biological Process,2
http://purl.obolibrary.org/obo/GO_0043001,Golgi to plasma membrane protein transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042985,negative regulation of amyloid precursor protein biosynthetic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051050,positive regulation of transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051056,regulation of small GTPase mediated signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051059,NF-kappaB binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0051082,unfolded protein binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0071625,vocalization behavior,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071560,cellular response to transforming growth factor beta stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030217,T cell differentiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030220,platelet formation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042742,defense response to bacterium,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042626,ATPase-coupled transmembrane transporter activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0051130,positive regulation of cellular component organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030496,midbody,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0030509,BMP signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035615,clathrin-cargo adaptor activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0051649,establishment of localization in cell,Biological Process,2
http://purl.obolibrary.org/obo/GO_0038020,insulin receptor recycling,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071277,cellular response to calcium ion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0036477,somatodendritic compartment,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0071260,cellular response to mechanical stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030838,positive regulation of actin filament polymerization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0036464,cytoplasmic ribonucleoprotein granule,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0036016,cellular response to interleukin-3,Biological Process,2
http://purl.obolibrary.org/obo/GO_0036002,pre-mRNA binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0042127,regulation of cell population proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051721,protein phosphatase 2A binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0051881,regulation of mitochondrial membrane potential,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035865,cellular response to potassium ion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051898,negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0035641,locomotory exploration behavior,Biological Process,2
http://purl.obolibrary.org/obo/GO_0031069,hair follicle morphogenesis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051966,"regulation of synaptic transmission, glutamatergic",Biological Process,2
http://purl.obolibrary.org/obo/GO_0038027,apolipoprotein A-I-mediated signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051496,positive regulation of stress fiber assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_0038084,vascular endothelial growth factor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0038095,Fc-epsilon receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051260,protein homooligomerization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071345,cellular response to cytokine stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042113,B cell activation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030512,negative regulation of transforming growth factor beta receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030516,regulation of axon extension,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042088,T-helper 1 type immune response,Biological Process,2
http://purl.obolibrary.org/obo/GO_0030546,signaling receptor activator activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0030574,collagen catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0042054,histone methyltransferase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0040014,regulation of multicellular organism growth,Biological Process,2
http://purl.obolibrary.org/obo/GO_0039706,co-receptor binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0051384,response to glucocorticoid,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071287,cellular response to manganese ion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071281,cellular response to iron ion,Biological Process,2
http://purl.obolibrary.org/obo/GO_0051402,neuron apoptotic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0071404,cellular response to low-density lipoprotein particle stimulus,Biological Process,2
http://purl.obolibrary.org/obo/GO_2001243,negative regulation of intrinsic apoptotic signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0097431,mitotic spindle pole,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0110076,negative regulation of ferroptosis,Biological Process,2
http://purl.obolibrary.org/obo/GO_1901701,cellular response to oxygen-containing compound,Biological Process,2
http://purl.obolibrary.org/obo/GO_1901631,positive regulation of presynaptic membrane organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006166,purine ribonucleoside salvage,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006260,DNA replication,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006376,mRNA splice site recognition,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006412,translation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006413,translational initiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006457,protein folding,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006511,ubiquitin-dependent protein catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_1901222,regulation of non-canonical NF-kappaB signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_1901143,insulin catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_1901076,positive regulation of engulfment of apoptotic cell,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006606,protein import into nucleus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006622,protein targeting to lysosome,Biological Process,2
http://purl.obolibrary.org/obo/GO_1900227,positive regulation of NLRP3 inflammasome complex assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006809,nitric oxide biosynthetic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006826,iron ion transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006836,neurotransmitter transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_1900221,regulation of amyloid-beta clearance,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006094,gluconeogenesis,Biological Process,2
http://purl.obolibrary.org/obo/GO_1901800,positive regulation of proteasomal protein catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006006,glucose metabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005548,phospholipid transporter activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_1902951,negative regulation of dendritic spine maintenance,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005319,lipid transporter activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0005504,fatty acid binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_1902936,phosphatidylinositol bisphosphate binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0005518,collagen binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_1902894,negative regulation of miRNA transcription,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005539,glycosaminoglycan binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0005546,"phosphatidylinositol-4,5-bisphosphate binding",Molecular Function,2
http://purl.obolibrary.org/obo/GO_0005635,nuclear envelope,Cellular Component,2
http://purl.obolibrary.org/obo/GO_1902003,regulation of amyloid-beta formation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005640,nuclear outer membrane,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0005641,nuclear envelope lumen,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0005776,autophagosome,Cellular Component,2
http://purl.obolibrary.org/obo/GO_1902531,regulation of intracellular signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005798,Golgi-associated vesicle,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0005903,brush border,Cellular Component,2
http://purl.obolibrary.org/obo/GO_1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005930,axoneme,Cellular Component,2
http://purl.obolibrary.org/obo/GO_0006878,intracellular copper ion homeostasis,Biological Process,2
http://purl.obolibrary.org/obo/GO_1900182,positive regulation of protein localization to nucleus,Biological Process,2
http://purl.obolibrary.org/obo/GO_1900181,negative regulation of protein localization to nucleus,Biological Process,2
http://purl.obolibrary.org/obo/GO_0008035,high-density lipoprotein particle binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0140677,molecular function activator activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0007420,brain development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007517,muscle organ development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007584,response to nutrient,Biological Process,2
http://purl.obolibrary.org/obo/GO_0140374,antiviral innate immune response,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007616,long-term memory,Biological Process,2
http://purl.obolibrary.org/obo/GO_0140326,ATPase-coupled intramembrane lipid transporter activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0140318,protein transporter activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0140249,protein catabolic process at postsynapse,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007409,axonogenesis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0008089,anterograde axonal transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0008090,retrograde axonal transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0008238,exopeptidase activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0008283,cell population proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0008324,monoatomic cation transmembrane transporter activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0008333,endosome to lysosome transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0008542,visual learning,Biological Process,2
http://purl.obolibrary.org/obo/GO_0120020,cholesterol transfer activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0007416,synapse assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_0140694,membraneless organelle assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_1900034,regulation of cellular response to heat,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007041,lysosomal transport,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006935,chemotaxis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006952,defense response,Biological Process,2
http://purl.obolibrary.org/obo/GO_0006958,"complement activation, classical pathway",Biological Process,2
http://purl.obolibrary.org/obo/GO_0007005,mitochondrion organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0150107,positive regulation of protein localization to cell-cell junction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007018,microtubule-based movement,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007030,Golgi organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007040,lysosome organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007052,mitotic spindle organization,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007271,"synaptic transmission, cholinergic",Biological Process,2
http://purl.obolibrary.org/obo/GO_0007059,chromosome segregation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0150093,amyloid-beta clearance by transcytosis,Biological Process,2
http://purl.obolibrary.org/obo/GO_0150052,regulation of postsynapse assembly,Biological Process,2
http://purl.obolibrary.org/obo/GO_0150003,regulation of spontaneous synaptic transmission,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007204,positive regulation of cytosolic calcium ion concentration,Biological Process,2
http://purl.obolibrary.org/obo/GO_0007264,small GTPase-mediated signal transduction,Biological Process,2
http://purl.obolibrary.org/obo/GO_0005201,extracellular matrix structural constituent,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0005198,structural molecule activity,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0005159,insulin-like growth factor receptor binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_1990841,promoter-specific chromatin binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0001836,release of cytochrome c from mitochondria,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001837,epithelial to mesenchymal transition,Biological Process,2
http://purl.obolibrary.org/obo/GO_2000060,positive regulation of ubiquitin-dependent protein catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_2000059,negative regulation of ubiquitin-dependent protein catabolic process,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001849,complement component C1q complex binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_2000026,regulation of multicellular organismal development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001878,response to yeast,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001890,placenta development,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001934,positive regulation of protein phosphorylation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001786,phosphatidylserine binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0001937,negative regulation of endothelial cell proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001938,positive regulation of endothelial cell proliferation,Biological Process,2
http://purl.obolibrary.org/obo/GO_1990459,transferrin receptor binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0001975,response to amphetamine,Biological Process,2
http://purl.obolibrary.org/obo/GO_0002039,p53 binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_1990268,response to gold nanoparticle,Biological Process,2
http://purl.obolibrary.org/obo/GO_0002183,cytoplasmic translational initiation,Biological Process,2
http://purl.obolibrary.org/obo/GO_0002224,toll-like receptor signaling pathway,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001818,negative regulation of cytokine production,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001784,phosphotyrosine residue binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0002281,macrophage activation involved in immune response,Biological Process,2
http://purl.obolibrary.org/obo/GO_0001501,skeletal system development,Biological Process,2
http://purl.obolibrary.org/obo/GO_2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,Biological Process,2
http://purl.obolibrary.org/obo/GO_0000149,SNARE binding,Molecular Function,2
http://purl.obolibrary.org/obo/GO_0000165,MAPK cascade,Biological Process,2
