go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0043005,neuron projection,Cellular Component,7
http://purl.obolibrary.org/obo/GO_0030659,cytoplasmic vesicle membrane,Cellular Component,7
http://purl.obolibrary.org/obo/GO_0008285,negative regulation of cell population proliferation,Biological Process,7
http://purl.obolibrary.org/obo/GO_0055037,recycling endosome,Cellular Component,7
http://purl.obolibrary.org/obo/GO_0065003,protein-containing complex assembly,Biological Process,7
http://purl.obolibrary.org/obo/GO_0004222,metalloendopeptidase activity,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0008237,metallopeptidase activity,Molecular Function,7
http://purl.obolibrary.org/obo/GO_1902430,negative regulation of amyloid-beta formation,Biological Process,7
http://purl.obolibrary.org/obo/GO_0032496,response to lipopolysaccharide,Biological Process,7
http://purl.obolibrary.org/obo/GO_0042987,amyloid precursor protein catabolic process,Biological Process,7
http://purl.obolibrary.org/obo/GO_0043410,positive regulation of MAPK cascade,Biological Process,7
http://purl.obolibrary.org/obo/GO_0016491,oxidoreductase activity,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0090090,negative regulation of canonical Wnt signaling pathway,Biological Process,7
http://purl.obolibrary.org/obo/GO_0045471,response to ethanol,Biological Process,7
http://purl.obolibrary.org/obo/GO_0006397,mRNA processing,Biological Process,7
http://purl.obolibrary.org/obo/GO_0001774,microglial cell activation,Biological Process,7
http://purl.obolibrary.org/obo/GO_0045296,cadherin binding,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0006909,phagocytosis,Biological Process,7
http://purl.obolibrary.org/obo/GO_0046982,protein heterodimerization activity,Molecular Function,7
http://purl.obolibrary.org/obo/GO_0019904,protein domain specific binding,Molecular Function,7
http://purl.obolibrary.org/obo/GO_1902004,positive regulation of amyloid-beta formation,Biological Process,7
http://purl.obolibrary.org/obo/GO_0048143,astrocyte activation,Biological Process,6
http://purl.obolibrary.org/obo/GO_0005802,trans-Golgi network,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0005813,centrosome,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0043202,lysosomal lumen,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0032587,ruffle membrane,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0060090,molecular adaptor activity,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0016477,cell migration,Biological Process,6
http://purl.obolibrary.org/obo/GO_0032755,positive regulation of interleukin-6 production,Biological Process,6
http://purl.obolibrary.org/obo/GO_0031902,late endosome membrane,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0051015,actin filament binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0034185,apolipoprotein binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0003779,actin binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0015629,actin cytoskeleton,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0000785,chromatin,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0005905,clathrin-coated pit,Cellular Component,6
http://purl.obolibrary.org/obo/GO_1990837,sequence-specific double-stranded DNA binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0050853,B cell receptor signaling pathway,Biological Process,6
http://purl.obolibrary.org/obo/GO_0140297,DNA-binding transcription factor binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0005770,late endosome,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0016324,apical plasma membrane,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0019900,kinase binding,Molecular Function,6
http://purl.obolibrary.org/obo/GO_0016323,basolateral plasma membrane,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0043525,positive regulation of neuron apoptotic process,Biological Process,6
http://purl.obolibrary.org/obo/GO_0034205,amyloid-beta formation,Biological Process,6
http://purl.obolibrary.org/obo/GO_0006811,monoatomic ion transport,Biological Process,6
http://purl.obolibrary.org/obo/GO_0001666,response to hypoxia,Biological Process,6
http://purl.obolibrary.org/obo/GO_0098793,presynapse,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0150094,amyloid-beta clearance by cellular catabolic process,Biological Process,6
http://purl.obolibrary.org/obo/GO_0007186,G protein-coupled receptor signaling pathway,Biological Process,6
http://purl.obolibrary.org/obo/GO_0050821,protein stabilization,Biological Process,6
http://purl.obolibrary.org/obo/GO_0045429,positive regulation of nitric oxide biosynthetic process,Biological Process,6
http://purl.obolibrary.org/obo/GO_0031965,nuclear membrane,Cellular Component,6
http://purl.obolibrary.org/obo/GO_0016055,Wnt signaling pathway,Biological Process,6
http://purl.obolibrary.org/obo/GO_0005911,cell-cell junction,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0005730,nucleolus,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0031175,neuron projection development,Biological Process,5
http://purl.obolibrary.org/obo/GO_0005543,phospholipid binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0006357,regulation of transcription by RNA polymerase II,Biological Process,5
http://purl.obolibrary.org/obo/GO_0042470,melanosome,Cellular Component,5
