gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
TCF3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TEX30,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
THY1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
THYN1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TIAM2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TJAP1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TLE4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TM2D2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM123,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TMEM126A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM170A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TMEM18,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM200A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM203,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM205,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM25,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM261,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMEM50A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TMSB10,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TNFRSF1A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TNS1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TOB2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TOP1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TPM3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TRIM14,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,1,0,,protein-coding,9.0,C
TRIOBP,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,non-coding RNA,9.0,C
TSG101,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TSPAN7,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TTC17,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
TTC19,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TTC28,1,biomarkerkg,genetic association,1,0,1,0,CSF/imaging endophenotype;DE >=2 regions,2,,0,2,up,0,0,,protein-coding,9.0,C
TTC3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TTL,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TTLL1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TUB,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
TUBA1C,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
UBE2W,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
UBFD1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
UBXN2A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
UQCR10,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
UQCRC1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
UQCRC2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
UQCRQ,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
USO1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
VAPB,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
VCAN,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
VDAC1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
VGLL4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
VPS13B,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
VPS28,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
VPS41,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
VPS50,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
VSIG10,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
VTA1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
WARS,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
WARS1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
WASHC4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
WDR11,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
WDR54,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
XRCC6,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
YES1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
YLPM1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZBED5,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZBTB7A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZDHHC4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZFAND2A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZFHX3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZFP36L1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZFP36L2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZHX3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZIC2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZNF204P,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,non-coding RNA,9.0,C
ZNF248,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZNF365,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZNF37A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZNF385D,1,biomarkerkg,genetic association,1,0,1,0,CSF/imaging endophenotype;DE >=2 regions,2,,0,2,down,0,0,,protein-coding,9.0,C
ZNF415,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZNF540,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ZNF573,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ZNF827,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,1,0,,protein-coding,9.0,C
ZNHIT3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
USP47,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.3,0,2,up,0,0,,protein-coding,8.98,C
FGF14,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.29,0,1,down,0,0,,protein-coding,8.97,C
PILRB,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,2.63,0,0,,0,0,,protein-coding,8.97,C
SIPA1L2,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.29,0,2,down,0,0,,protein-coding,8.97,C
DDX41,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.28,0,2,down,0,0,,protein-coding,8.96,C
ATP5J,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.25,0,2,down,0,0,,protein-coding,8.94,C
ETS1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.26,0,2,up,0,0,,protein-coding,8.94,C
FBXL17,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.25,0,2,up,0,0,,protein-coding,8.94,C
FGD4,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.21,0,2,up,0,0,,protein-coding,8.91,C
GAP43,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.17,0,2,down,0,0,,protein-coding,8.88,C
PROSER1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.17,0,2,down,0,0,,protein-coding,8.88,C
PSMG3,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.18,0,2,down,0,0,,protein-coding,8.88,C
SYPL1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.18,0,2,up,0,0,,protein-coding,8.88,C
FIGNL1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.16,0,2,down,0,0,,protein-coding,8.87,C
NPC2,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.16,0,2,down,0,0,,protein-coding,8.87,C
LLGL1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.14,0,2,up,0,0,,protein-coding,8.86,C
TMEM132B,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.14,0,2,down,0,0,,protein-coding,8.86,C
GHITM,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.1,0,2,down,0,0,,protein-coding,8.82,C
LDB2,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.1,0,2,down,0,0,,protein-coding,8.82,C
EPDR1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.08,0,2,down,0,0,,protein-coding,8.81,C
PLXNC1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.05,0,2,down,0,0,,protein-coding,8.79,C
GSTM3,1,prokn,genetic association,1,0,1,0,DE >=2 regions,1,,1,2,down,0,0,,protein-coding,8.75,C
GSTO1,1,prokn,genetic association,1,0,1,0,DE >=2 regions,1,,1,2,down,0,0,,protein-coding,8.75,C
NKPD1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,2.31,0,0,,0,0,,protein-coding,8.73,C
ACO1,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,2.27,0,1,down,0,0,,protein-coding,8.7,C
APEH,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.53,0,0,,0,0,,protein-coding,8.65,C
MGAT3,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.51,0,0,,0,0,,protein-coding,8.63,C
NAT8B,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.51,0,0,,0,0,,protein-coding,8.63,C
KRAS,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,2.12,0,1,up,0,0,,protein-coding,8.59,C
NBEAL1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.41,0,0,,0,0,,protein-coding,8.56,C
ZFP3,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,2.03,0,1,down,0,0,,protein-coding,8.52,C
CETP,1,prokn,genetic association,1,0,1,0,,0,,2,0,,0,1,OBICETRAPIB,protein-coding,8.5,C
ZNF45,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,1.97,0,1,down,0,0,,protein-coding,8.48,C
ANO3,1,digcfdekg,genetic association,1,0,1,0,,0,3.18,0,1,down,0,0,,protein-coding,8.38,C
BLOC1S3,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.83,0,0,,0,0,,protein-coding,8.37,C
TRIB1,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,3.12,0,0,,0,0,,protein-coding,8.34,C
HS3ST1,1,digcfdekg,genetic association,1,0,1,0,,0,3.1,0,1,up,0,0,,protein-coding,8.32,C
USP6NL,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.02,0,0,,0,0,,protein-coding,8.26,C
AK5,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,1.67,0,1,down,0,0,,protein-coding,8.25,C
CR2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.67,0,0,,0,0,,protein-coding,8.25,C
FAM155A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.63,0,0,,0,0,,protein-coding,8.22,C
RASA1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,2.96,0,0,,0,0,,protein-coding,8.22,C
TMEM121,1,digcfdekg,genetic association,1,0,1,0,,0,4.29,0,0,,0,0,,protein-coding,8.22,C
MAF1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,1.61,0,1,down,0,0,,protein-coding,8.21,C
UBASH3B,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,1.61,0,1,down,0,0,,protein-coding,8.21,C
ALKBH5,1,digcfdekg,genetic association,1,0,1,0,,0,2.92,0,1,down,0,0,,protein-coding,8.19,C
FAM19A5,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,1.59,0,1,down,0,0,,protein-coding,8.19,C
PRDM7,1,digcfdekg,genetic association,1,0,1,0,,0,4.25,0,0,,0,0,,protein-coding,8.19,C
FNDC3A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,1.57,0,1,down,0,0,,protein-coding,8.18,C
CAST,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,1.48,0,1,down,0,0,,protein-coding,8.11,C
GPAA1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,1.45,0,1,down,0,0,,protein-coding,8.09,C
ITGA6,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,1.42,0,1,up,0,0,,protein-coding,8.06,C
MEPCE,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.4,0,0,,0,0,,protein-coding,8.05,C
RCAN1,1,digcfdekg,genetic association,1,0,1,0,,0,2.72,0,1,down,0,0,,protein-coding,8.04,C
SERPINB1,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,1.38,0,1,up,0,0,,protein-coding,8.04,C
NME8,1,digcfdekg,genetic association,1,0,1,0,,0,4.03,0,0,,0,0,,protein-coding,8.02,C
ACTB,1,spoke-okn,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
ADGRB3,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
AKAP6,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
AKR1C3,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
ANKRD11,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,1,0,,protein-coding,8.0,C
ARHGEF10L,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
ATP7B,1,prokn,genetic association,1,0,1,0,,0,,4,0,,0,0,,protein-coding,8.0,C
CABP1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
CAMK4,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
CDK5,1,spoke-okn,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
CHST12,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
CLIC4,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
CLMN,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
COX5A,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
CRH,1,rdkg,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
DLG2,1,biomarkerkg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,,0,1,down,0,0,,protein-coding,8.0,C
DLGAP2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
EML6,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
EPB41L1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
ERBB3,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
FAM107A,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
FAM20B,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
FRMD4B,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
GALNT17,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
GMPR,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
HS6ST3,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
IARS2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
IGF1R,1,rdkg,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
IL1R1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
LARP6,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
LRRC4C,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
LTBP1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
MICALL2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
MOBP,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
MSRB2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
MTOR,1,spoke-okn,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
NDUFA12,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
NRIP3,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
OGA,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
PARN,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
PHACTR4,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
PINK1,1,spoke-okn,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
PLCL1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
PMS1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
RHPN2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
RPL28,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
SEMA3F,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
SLC25A29,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
SMARCC1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
SPATA13,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
SPP1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
ST18,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
SYN1,1,spoke-okn,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
SYP,1,spoke-okn,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
TIAM1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
TJP1,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
TMEM178B,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
TPD52,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
TUBG2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
TULP3,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
VSNL1,1,rdkg,curated knowledge,1,1,0,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
ZCCHC24,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,8.0,C
ZFPM2,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
ZNF627,1,biomarkerkg,genetic association,1,0,1,0,DE >=2 regions,1,,0,2,down,0,0,,protein-coding,8.0,C
ZNF521,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.32,0,0,,0,0,,protein-coding,7.99,C
ACTA2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.3,0,0,,0,0,,protein-coding,7.98,C
APOC2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.27,0,0,,0,0,,protein-coding,7.95,C
PPP1R35,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,1.25,0,0,,0,0,,protein-coding,7.94,C
