gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
NCSTN,3,digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.07,0,0,,0,0,,protein-coding,18.05,A
RIMS1,3,biomarkerkg;digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.03,0,3,down,0,0,,protein-coding,17.77,A
PLAU,4,digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,1.18,1,0,,0,0,,protein-coding,17.64,A
MARK4,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,1.69,0,1,down,0,0,,protein-coding,17.27,A
RASGEF1C,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,CSF/imaging endophenotype,1,4.15,0,0,,0,0,,protein-coding,17.11,A
A2M,3,gene-expression-atlas-okn;rdkg;spoke-okn,curated knowledge;differential molecular activity,2,1,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,17.0,A
BCL2,3,gene-expression-atlas-okn;rdkg;spoke-okn,curated knowledge;differential molecular activity,2,1,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,17.0,A
NCK2,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,3.73,0,0,,0,0,,protein-coding,16.8,A
TMEM106B,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,3.64,0,0,,0,0,,protein-coding,16.73,A
PILRA,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,2.22,0,0,,0,0,,protein-coding,16.66,A
IL34,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,3.36,0,0,,0,0,,protein-coding,16.52,A
APOC1,3,biomarkerkg;digcfdekg;rdkg,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,1.81,0,0,,0,0,,protein-coding,16.36,A
IQCK,3,biomarkerkg;digcfdekg;rdkg,curated knowledge;genetic association,2,1,1,0,,0,3.09,0,1,up,0,0,,protein-coding,16.32,A
CNTNAP2,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,2.75,0,0,,0,0,,protein-coding,16.06,A
INPP5D,3,biomarkerkg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,DE >=2 regions,1,,0,2,up,0,0,,protein-coding,16.0,A
NDUFAF6,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,2.58,0,1,down,0,0,,protein-coding,15.94,A
