sym,pw,pwLabel
AKT1,https://identifiers.org/reactome/R-HSA-450604,KSRP (KHSRP) binds and destabilizes mRNA
AKT1,https://identifiers.org/reactome/R-HSA-5218920,VEGFR2 mediated vascular permeability
AKT1,https://identifiers.org/reactome/R-HSA-5628897,TP53 Regulates Metabolic Genes
AKT1,https://identifiers.org/reactome/R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
AKT1,https://identifiers.org/reactome/R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
AKT1,https://identifiers.org/reactome/R-HSA-6804757,Regulation of TP53 Degradation
AKT1,https://identifiers.org/reactome/R-HSA-6804758,Regulation of TP53 Activity through Acetylation
AKT1,https://identifiers.org/reactome/R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors
AKT1,https://identifiers.org/reactome/R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
AKT1,https://identifiers.org/reactome/R-HSA-69202,Cyclin E associated events during G1/S transition 
AKT1,https://identifiers.org/reactome/R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry
AKT1,https://identifiers.org/reactome/R-HSA-8849469,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
AKT1,https://identifiers.org/reactome/R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs
AKT1,https://identifiers.org/reactome/R-HSA-8941332,RUNX2 regulates genes involved in cell migration
AKT1,https://identifiers.org/reactome/R-HSA-8948751,Regulation of PTEN stability and activity
AKT1,https://identifiers.org/reactome/R-HSA-9009391,Extra-nuclear estrogen signaling
AKT1,https://identifiers.org/reactome/R-HSA-9604323,Negative regulation of NOTCH4 signaling
AKT1,https://identifiers.org/reactome/R-HSA-9607240,FLT3 Signaling
AKT1,https://identifiers.org/reactome/R-HSA-9614399,Regulation of localization of FOXO transcription factors
AKT1,https://identifiers.org/reactome/R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
AKT1,https://identifiers.org/reactome/R-HSA-9755511,KEAP1-NFE2L2 pathway
AKT1,https://identifiers.org/reactome/R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways
AKT1,https://identifiers.org/reactome/R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt)
