gene,n_primary,primary_sources,n_secondary,secondary_sources,n_total
NUP85,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
OPTN,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
OSMR,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PCCA,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PECAM1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PLCG2,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
PLD3,2,prokn_curated_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PON2,2,prokn_curated_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PPARA,2,prokn_curated_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PPP1R37,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
PRKD3,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
PRR11,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PSMC3,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
PTPRO,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
RBFOX3,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
RBP4,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
REN,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
RIN3,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
SCIMP,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
SFT2D2,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SHARPIN,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
SIGLEC11,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
SLC14A1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SLC25A11,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SLC35E1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SMYD3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SOD1,2,spoke-okn_curated_DaG;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SORT1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,gxa_DE_ge2_regions,3
SPI1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_endophenotype,3
SPOCK1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
STAG1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
STMN4,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
SYMPK,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TARDBP,2,spoke-okn_curated_DaG;prokn_curated_variant,1,gxa_DE_ge2_regions,3
TGFBR3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TM2D3,2,spoke-okn_curated_DaG;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TOB1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TP53INP1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TRIL,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TRIM37,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
