fips,lat,lng
17143,40.75,-89.66
17145,38.01,-89.39
17149,39.7,-90.72
17155,41.25,-89.31
17157,38.0,-89.66
17161,41.49,-90.48
17163,38.53,-90.0
17165,37.81,-88.48
17167,39.78,-89.65
17177,42.35,-89.52
17179,40.62,-89.5
17183,40.21,-87.68
17185,38.41,-87.77
17195,41.77,-89.86
17197,41.54,-88.05
17199,37.74,-89.01
17201,42.28,-89.1
17203,40.76,-89.19
18001,40.69,-84.94
18003,41.07,-85.13
18005,39.25,-85.83
18007,40.61,-87.31
18009,40.5,-85.32
18011,40.08,-86.54
18015,40.56,-86.59
18017,40.75,-86.35
18019,38.3,-85.72
18023,40.28,-86.51
18027,38.74,-87.07
18029,39.06,-84.94
18031,39.34,-85.48
18033,41.38,-84.99
18035,40.2,-85.41
18037,38.39,-86.93
18039,41.63,-85.88
18041,39.65,-85.14
18043,38.3,-85.82
18045,40.11,-87.25
18049,41.03,-86.21
18051,38.34,-87.45
18053,40.57,-85.64
18055,39.02,-86.93
18057,40.05,-86.1
18059,39.86,-85.8
18061,38.21,-86.12
18063,39.77,-86.39
18065,39.92,-85.36
18067,40.5,-86.15
18069,40.88,-85.5
18071,38.95,-85.88
18073,40.84,-87.14
18075,40.43,-84.98
18077,38.68,-85.5
18079,39.0,-85.63
18081,39.55,-86.08
18083,38.79,-87.51
18085,41.17,-85.9
18087,41.61,-85.55
18089,41.57,-87.42
18091,41.65,-86.79
18093,38.79,-86.48
18095,40.2,-85.7
18097,39.79,-86.14
18099,41.32,-86.17
18103,40.66,-85.96
18105,39.15,-86.6
18107,40.04,-86.89
18109,39.61,-86.37
18113,41.41,-85.37
18123,38.0,-86.81
18125,38.38,-87.21
18127,41.55,-87.09
18129,38.05,-87.83
18131,41.05,-86.6
18133,39.68,-86.88
18135,40.2,-84.9
18137,39.2,-85.25
18141,41.65,-86.31
18143,38.74,-85.81
18145,39.59,-85.77
18147,38.11,-86.84
18149,41.29,-86.62
18151,41.66,-85.0
18157,40.4,-86.86
18159,40.28,-86.04
18161,39.63,-84.92
18163,37.99,-87.58
18165,39.66,-87.4
18167,39.44,-87.4
18169,40.79,-85.82
18171,40.27,-87.33
18173,37.95,-87.35
18175,38.58,-86.12
18177,39.81,-85.02
18179,40.84,-85.24
18181,40.74,-86.9
18183,41.15,-85.48
19003,40.99,-94.73
19005,43.36,-91.41
19007,40.73,-92.87
19013,42.5,-92.33
19015,42.05,-93.87
19017,42.68,-92.46
19019,42.46,-91.97
19021,42.64,-95.19
19023,42.78,-92.72
19025,42.26,-94.64
19027,41.98,-94.96
19029,41.39,-95.01
19031,41.68,-91.01
19033,43.14,-93.28
19035,42.75,-95.55
19037,43.0,-92.42
19039,41.03,-93.77
19041,43.13,-95.08
19043,42.78,-91.1
19045,41.82,-90.35
19047,42.01,-95.34
19049,41.64,-94.05
19053,40.68,-93.84
19055,42.48,-91.26
19057,40.86,-91.18
19059,43.42,-95.11
19061,42.51,-90.85
19063,43.39,-94.83
