naics,label,firms,placed,empSum,empPerFirm,facilities,facPerFirm,hhiCounty,expHhiCounty,concIndex,effCounties,topCountyFirms,topCountyShare,nCounties,hhiZip3,hhiState,stackPkgs,stackOT,stackCves,stackHubExposed,stackBlast,bridgeFirms,bridgeCves,swFragility,swTier,concTier,jointRisk,jointRank,evidenceTier,shortList
332313,Plate work,270,220,7707,28.544444444444444,766,2.837037037037037,0.0141529,0.010959775409090908,1.2913494548675204,70.65689717301754,10,0.045454545454545456,257,0.0125926,0.0765981,4,1,0,3,2579,0.0,0.0,18.4,low,diffuse,5.2,21.0,C,False
332321,Metal window & door,215,184,6092,28.334883720930232,722,3.358139534883721,0.018047,0.011843372989130435,1.5238057618013978,55.41087161301047,7,0.03804347826086957,204,0.0180002,0.0794322,3,0,0,3,2579,0.0,0.0,12.2,low,moderate,3.8,22.0,A,False
332710,Machine shops,5262,4475,85375,16.22481946028126,2641,0.5019004180919803,0.00567228,0.0066656337743016755,0.8509738446580432,176.29595153976885,160,0.035754189944134075,1081,0.00566763,0.0550832,8,2,12,4,6330,2.0,35.0,81.6,high,diffuse,3.6,23.0,C,False
332322,Sheet metal work,1261,1101,33536,26.594766058683586,1726,1.3687549563838224,0.00867348,0.0073460227066303365,1.1807042186476684,115.29397658148747,44,0.03996366939146231,610,0.00837511,0.0629405,4,1,0,3,2579,0.0,0.0,18.4,low,diffuse,3.1,24.0,C,False
332323,Ornamental & architectural metal work,495,408,6206,12.537373737373738,860,1.7373737373737375,0.0130178,0.008878797230392158,1.4661670564386828,76.81789549693497,18,0.04411764705882353,267,0.0121251,0.0696675,3,0,0,3,2579,0.0,0.0,12.2,low,diffuse,3.1,24.0,B,False
332312,Fabricated structural metal,2331,1960,49073,21.05233805233805,2993,1.283998283998284,0.00618024,0.006950526525510204,0.8891758023391384,161.80601400592857,86,0.04387755102040816,870,0.00618937,0.0574098,5,1,0,4,2579,0.0,0.0,22.4,low,diffuse,1.6,26.0,C,False
332215,Metal kitchen cookware & flatware,64,45,406,6.34375,60,0.9375,0.0345679,0.028522640888888888,1.2119459812526008,28.92857246173473,2,0.044444444444444446,58,0.0309902,0.069287,2,0,12,1,6330,0.0,0.0,40.8,moderate,diffuse,,,C,False
332439,Other metal container,47,44,1460,31.06382978723404,589,12.53191489361702,0.036157,0.029024437045454547,1.2457433694019733,27.65716182205382,3,0.06818181818181818,59,0.0407424,0.1177,3,2,12,1,6330,0.0,0.0,53.1,moderate,diffuse,,,C,False
332992,Small arms ammunition,26,20,289,11.115384615384615,141,5.423076923076923,0.0725,0.0561214295,1.2918416484740467,13.793103448275863,1,0.05,29,0.0621302,0.0976331,4,3,15,2,6330,0.0,0.0,72.4,high,diffuse,,,C,False
332431,Metal can,25,21,808,32.32,424,16.96,0.0521542,0.053755819047619044,0.9702056618986631,19.173911209451973,1,0.047619047619047616,23,0.048,0.0816,4,3,15,2,6330,0.0,0.0,72.4,high,diffuse,,,C,False
332913,Plumbing fixture fitting & trim,25,20,718,28.72,88,3.52,0.115,0.0561214295,2.049128132062281,8.695652173913043,3,0.15,26,0.0752,0.1184,3,1,0,3,165,0.0,0.0,18.4,low,concentrated,,,C,False
332991,Ball & roller bearing,23,21,537,23.347826086956523,252,10.956521739130435,0.0997732,0.053755819047619044,1.8560446434946314,10.022731555167118,3,0.14285714285714285,33,0.121901,0.229339,3,1,12,1,6330,0.0,0.0,46.9,moderate,moderate,,,C,False
332112,Nonferrous forging,18,14,436,24.22222222222222,99,5.5,0.137755,0.07741192357142856,1.7795062264909671,7.259264636492324,4,0.2857142857142857,12,0.110727,0.152249,3,2,0,2,165,0.0,0.0,20.4,low,moderate,,,C,False
332117,Powder metallurgy,16,14,740,46.25,319,19.9375,0.102041,0.07741192357142856,1.3181561094505811,9.799982360031752,2,0.14285714285714285,17,0.102222,0.195556,5,1,12,4,6330,0.0,0.0,59.2,high,diffuse,,,C,False
332993,Ammunition (except small arms),8,5,473,59.125,101,12.625,0.24,0.205154888,1.1698478273644641,4.166666666666667,1,0.2,6,0.163265,0.163265,4,3,15,2,6330,0.0,0.0,72.4,high,diffuse,,,C,False
332114,Custom roll forming,6,6,127,21.166666666666668,118,19.666666666666668,0.222222,0.17203634166666665,1.2917154471383252,4.5000045000045,1,0.16666666666666666,8,0.25,0.277778,3,2,0,2,151,0.0,0.0,20.4,low,diffuse,,,C,False
