iso3,country,prev_pct,per100k,lo,hi,lat,lon,abslat,year
AFG,Afghanistan,0.027611578973949998,27.61157897395,22.8253,33.5479,33.0,66.0,33.0,2019
AGO,Angola,0.0035667707667832713,3.5667707667832715,2.67396,4.47981,-12.35,17.35,12.35,2019
ALB,Albania,0.09735713810934,97.35713810934,88.5403,106.42500000000001,41.0,20.0,41.0,2019
AND,Andorra,0.09189002039274,91.89002039274,79.61110000000001,106.875,42.558333,1.555278,42.558333,2019
ARE,United Arab Emirates,0.034529551728810004,34.529551728810006,28.8217,41.0747,24.4,54.3,24.4,2019
ARG,Argentina,0.028794617111539998,28.79461711154,23.7702,34.357400000000005,-34.0,-64.0,34.0,2019
ARM,Armenia,0.04411056307408,44.11056307408,37.7829,50.505,40.383333,44.95,40.383333,2019
ASM,American Samoa,0.00233145458024232,2.33145458024232,1.7821799999999999,2.9434299999999998,-14.295833,-170.7075,14.295833,2019
ATG,Antigua and Barbuda,0.02142019363288,21.42019363288,17.9147,24.9235,17.116667,-61.85,17.116667,2019
AUS,Australia,0.08353451786514,83.53451786514,70.95700000000001,95.1013,-25.0,133.0,25.0,2019
AUT,Austria,0.11154776852269001,111.54776852269,96.4801,129.143,48.0,14.0,48.0,2019
AZE,Azerbaijan,0.024412106658849998,24.41210665885,19.936,29.0153,40.3,47.7,40.3,2019
BDI,Burundi,0.0025211311415561438,2.5211311415561437,1.88333,3.2654,-3.666667,29.816667,3.666667,2019
BEL,Belgium,0.10266020896642,102.66020896642,87.9898,121.393,50.641111,4.668056,50.641111,2019
BEN,Benin,0.0043200895108675185,4.320089510867518,3.31024,5.47297,8.833333,2.183333,8.833333,2019
BFA,Burkina Faso,0.004691291574713176,4.691291574713175,3.61138,5.9188,12.266667,-2.066667,12.266667,2019
BGD,Bangladesh,0.007468727742849954,7.468727742849954,5.841749999999999,9.27395,24.016667,89.866667,24.016667,2019
BGR,Bulgaria,0.0627059357313,62.705935731299995,56.1028,69.7852,42.75,25.5,42.75,2019
BHR,Bahrain,0.04222526885912,42.22526885912,33.4702,52.4104,26.0675,50.551111,26.0675,2019
BHS,Bahamas,0.01471944653156,14.71944653156,11.5777,17.6653,25.0,-77.4,25.0,2019
BIH,Bosnia and Herzegovina,0.03676313009234,36.76313009234,32.6282,40.893699999999995,44.0,18.0,44.0,2019
BLR,Belarus,0.026689233764790002,26.689233764790004,21.7649,31.804699999999997,53.528333,28.046667,53.528333,2019
BLZ,Belize,0.00752160595584342,7.52160595584342,5.8108200000000005,9.42451,17.066667,-88.7,17.066667,2019
BMU,Bermuda,0.02391636318468,23.91636318468,19.3582,28.4424,32.32,-64.74,32.32,2019
BOL,Bolivia,0.00772371177529707,7.72371177529707,5.9698199999999995,9.52751,-17.05687,-64.991229,17.05687,2019
BRA,Brazil,0.02234446689936,22.34446689936,18.011,26.7346,-14.0,-53.0,14.0,2019
BRB,Barbados,0.02142124658336,21.421246583360002,17.8376,25.0884,13.17,-59.5525,13.17,2019
BRN,Brunei,0.003689159374852396,3.6891593748523963,2.74552,4.5961099999999995,4.4,114.566667,4.4,2019
BTN,Bhutan,0.008404280142079919,8.40428014207992,6.535080000000001,10.4106,27.45,90.5,27.45,2019
BWA,Botswana,0.006318935145284283,6.318935145284283,4.87777,7.986510000000001,-22.2,23.7,22.2,2019
CAF,Central African Republic,0.0029972072593629183,2.997207259362918,2.26333,3.7816,6.7,20.9,6.7,2019
CAN,Canada,0.19546752514729002,195.46752514729002,190.191,201.411,56.0,-109.0,56.0,2019
CHE,Switzerland,0.13253818770450002,132.53818770450002,115.773,151.461,46.798562,8.231973,46.798562,2019
CHL,Chile,0.02704962533067,27.04962533067,21.5533,32.806000000000004,-33.0,-71.0,33.0,2019
CHN,China,0.003123728725380308,3.123728725380308,2.42422,3.9067900000000004,35.844722,103.451944,35.844722,2019
CMR,Cameroon,0.0043539475164101615,4.3539475164101615,3.30655,5.42792,5.133333,12.65,5.133333,2019
COD,Democratic Republic of the Congo,0.0025674790770168726,2.5674790770168725,1.9249,3.23821,-2.88,23.656111,2.88,2019
COK,Cook Islands,0.0034512633848944887,3.4512633848944887,2.68256,4.3277,-21.233333,-159.783333,21.233333,2019
COL,Colombia,0.0054572631107058555,5.457263110705855,4.20261,6.742920000000001,4.0,-73.25,4.0,2019
COM,Comoros,0.005011286684910235,5.011286684910234,3.8789599999999997,6.20658,-12.3,43.7,12.3,2019
CPV,Cabo Verde,0.008151193033149805,8.151193033149806,6.34338,10.1786,15.3,-23.7,15.3,2019
CRI,Costa Rica,0.008675486918622324,8.675486918622324,6.8059899999999995,10.437999999999999,10.0,-84.0,10.0,2019
CUB,Cuba,0.01811013430448,18.11013430448,14.675600000000001,21.456,22.0,-79.5,22.0,2019
CYP,Cyprus,0.05803330515414,58.03330515414,48.5409,69.39529999999999,35.0,33.0,35.0,2019
CZE,Czechia,0.04293781573799,42.93781573799,36.9327,49.4204,50.0,15.0,50.0,2019
DEU,Germany,0.12533587533865,125.33587533865001,109.36500000000001,146.74,51.0,10.0,51.0,2019
DJI,Djibouti,0.004824747812835389,4.82474781283539,3.68303,6.106,11.8,42.433333,11.8,2019
DMA,Dominica,0.0090905297926216,9.0905297926216,7.14222,11.0173,15.416667,-61.333333,15.416667,2019
DNK,Denmark,0.16081292092433,160.81292092433,141.83399999999997,182.982,56.0,10.0,56.0,2019
DOM,Dominican Republic,0.008543098110054376,8.543098110054377,6.606339999999999,10.546899999999999,18.8,-70.2,18.8,2019
DZA,Algeria,0.04447603502858,44.47603502858,36.31,54.0937,28.0,1.0,28.0,2019
ECU,Ecuador,0.005256763529880163,5.256763529880163,4.03534,6.434620000000001,-1.0,-78.0,1.0,2019
EGY,Egypt,0.01890763322712,18.90763322712,14.9396,22.964399999999998,27.0,29.0,27.0,2019
ERI,Eritrea,0.0045953535704223334,4.595353570422334,3.53937,5.86139,15.483333,38.25,15.483333,2019
ESP,Spain,0.11524853805192001,115.24853805192001,105.684,125.23200000000001,40.2,-3.5,40.2,2019
EST,Estonia,0.03043431461817,30.43431461817,25.7638,35.5885,59.0,26.0,59.0,2019
ETH,Ethiopia,0.0032131151501936187,3.2131151501936186,2.43623,4.09558,9.0,40.0,9.0,2019
FIN,Finland,0.11418606153088,114.18606153088,104.134,125.47,65.0,27.0,65.0,2019
FJI,Fiji,0.002613706867099673,2.6137068670996726,1.96785,3.29706,-18.0,178.0,18.0,2019
FRA,France,0.12388732915118,123.88732915118,109.57799999999999,139.304,47.0,2.0,47.0,2019
FSM,Micronesia,0.0017629995230290174,1.7629995230290174,1.32443,2.24953,6.916667,158.183333,6.916667,2019
GAB,Gabon,0.0032697288123204084,3.2697288123204085,2.49034,4.08684,-0.683331,11.5,0.683331,2019
GBR,United Kingdom,0.15875103997535,158.75103997535,137.809,182.01899999999998,54.6,-2.0,54.6,2019
GEO,Georgia,0.03594097541022,35.94097541022,29.6019,41.9026,42.0,44.0,42.0,2019
GHA,Ghana,0.014967281148099998,14.967281148099998,12.9192,17.4221,7.9465,-1.0232,7.9465,2019
GIN,Guinea,0.004556038158036718,4.556038158036718,3.53288,5.7255199999999995,10.0,-11.0,10.0,2019
GMB,Gambia,0.005354818839261189,5.354818839261189,4.11473,6.699120000000001,13.5,-15.5,13.5,2019
