gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
PRR5L,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.37,,,,9,B
ESPN,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.35,,,,9,B
TIMMDC1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.32,,,,9,B
MPV17L2,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.3,,,,9,B
IL17A,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.24,,,,9,B
RPS18,3,3,clinical_biomarker|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn,1.2,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',9,B
TSFM,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.13,,,,9,B
TBX6,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.11,,,,9,B
FPR1,3,3,clinical_biomarker|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn,1.11,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",9,B
MMEL1,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.01,,,,9,B
IFITM3,3,3,curated_disease_gene|differential_expression|pathway_go_membership,gene-expression-atlas-okn|prokn|spoke-okn,,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',9,B
KIF1B,3,3,clinical_biomarker|curated_disease_gene|pathway_go_membership,biomarkerkg|prokn|spoke-okn,,,,,9,B
CLEC16A,3,3,clinical_biomarker|curated_disease_gene|pathway_go_membership,biomarkerkg|prokn|spoke-okn,,,,,9,B
LIMK2,3,3,clinical_biomarker|curated_disease_gene|pathway_go_membership,biomarkerkg|prokn|spoke-okn,,,,,9,B
WWOX,3,3,clinical_biomarker|curated_disease_gene|genetic_association_mri_endpoint,biomarkerkg|digcfdekg|spoke-okn,,,,,9,B
MARCHF1,3,3,clinical_biomarker|curated_disease_gene|pathway_go_membership,biomarkerkg|prokn|spoke-okn,,,,,9,B
NCOA5,3,3,clinical_biomarker|curated_disease_gene|pathway_go_membership,biomarkerkg|prokn|spoke-okn,,,,,9,B
SLC15A2,3,3,clinical_biomarker|curated_disease_gene|pathway_go_membership,biomarkerkg|prokn|spoke-okn,,,,,9,B
LY86,3,2,differential_expression|genetic_association|genetic_association_mri_endpoint,digcfdekg|gene-expression-atlas-okn,1.67,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",8,B
FCRL5,3,2,differential_expression|genetic_association|genetic_association_mri_endpoint,digcfdekg|gene-expression-atlas-okn,1.31,1.0,"{""up"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",8,B
CSMD1,3,2,clinical_biomarker|genetic_association|genetic_association_mri_endpoint,biomarkerkg|digcfdekg,1.05,,,,8,B
RGS1,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,8.11,,,,6,C
CD80,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,7.4,,,,6,C
FCRL3,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,7.2,,,,6,C
SH2B3,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,6.2,,,,6,C
GATA3,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,6.09,,,,6,C
ZFP36L1,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,6.01,,,,6,C
BCL2,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,5.85,,,,6,C
IRF5,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,5.12,,,,6,C
CD83,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,4.87,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",6,C
MAP3K14,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,4.85,,,,6,C
IL12A,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,4.75,,,,6,C
STAT1,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,4.31,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',6,C
CD74,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,4.24,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',6,C
CASP8,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,4.21,,,,6,C
CD79A,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.99,1.0,"{""up"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",6,C
FOXP3,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,3.84,,,,6,C
MS4A1,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.68,1.0,"{""up"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",6,C
HLA-DOA,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,3.56,,,,6,C
HLA-DOB,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,3.52,,,,6,C
L3MBTL3,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,3.47,,,,6,C
HLA-DMB,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.44,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",6,C
LYZ,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.38,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",6,C
FCRL2,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.3,2.0,"{""up"": 1, ""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'; 'relapsing-remitting multiple sclerosis' vs 'normal'",6,C
HLA-C,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.22,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',6,C
B2M,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,3.12,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',6,C
RPS6KB1,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,3.07,,,,6,C
BAD,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,2.93,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',6,C
SIDT1,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,2.69,,,,6,C
TNFSF13B,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,2.67,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",6,C
