gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
CD44,1,1,genetic_association,digcfdekg,2.81,,,,3,C
GPR171,1,1,genetic_association,digcfdekg,2.81,,,,3,C
GRK6,1,1,genetic_association,digcfdekg,2.81,,,,3,C
GPX6,1,1,genetic_association,digcfdekg,2.8,,,,3,C
CCL5,1,1,genetic_association,digcfdekg,2.79,,,,3,C
BCL3,1,1,genetic_association,digcfdekg,2.78,,,,3,C
CD274,1,1,genetic_association,digcfdekg,2.77,,,,3,C
CD70,1,1,genetic_association,digcfdekg,2.77,,,,3,C
CRTAM,1,1,genetic_association,digcfdekg,2.77,,,,3,C
SPIB,1,1,genetic_association,digcfdekg,2.77,,,,3,C
GIMAP1,1,1,genetic_association,digcfdekg,2.76,,,,3,C
IL4I1,1,1,genetic_association,digcfdekg,2.76,,,,3,C
ITPR3,1,1,genetic_association,digcfdekg,2.74,,,,3,C
KEAP1,1,1,genetic_association,digcfdekg,2.73,,,,3,C
MCL1,1,1,genetic_association,digcfdekg,2.72,,,,3,C
SIT1,1,1,genetic_association,digcfdekg,2.71,,,,3,C
FUCA2,1,1,genetic_association,digcfdekg,2.69,,,,3,C
LTBR,1,1,genetic_association,digcfdekg,2.69,,,,3,C
EAF2,1,1,genetic_association,digcfdekg,2.68,,,,3,C
FAM76B,1,1,genetic_association,digcfdekg,2.67,,,,3,C
AGER,1,1,genetic_association,digcfdekg,2.66,,,,3,C
ZBTB1,1,1,genetic_association,digcfdekg,2.65,,,,3,C
CD46,1,1,genetic_association,digcfdekg,2.63,,,,3,C
STK17B,1,1,genetic_association,digcfdekg,2.63,,,,3,C
GPX5,1,1,genetic_association,digcfdekg,2.62,,,,3,C
EGR2,1,1,genetic_association,digcfdekg,2.61,,,,3,C
KPNB1,1,1,genetic_association,digcfdekg,2.61,,,,3,C
TRAF3IP3,1,1,genetic_association,digcfdekg,2.6,,,,3,C
BCL11B,1,1,genetic_association,digcfdekg,2.59,,,,3,C
DUSP2,1,1,genetic_association,digcfdekg,2.59,,,,3,C
LTB,1,1,genetic_association,digcfdekg,2.59,,,,3,C
PPA2,1,1,genetic_association,digcfdekg,2.59,,,,3,C
PRKDC,1,1,genetic_association,digcfdekg,2.58,,,,3,C
MAPK3,1,1,genetic_association,digcfdekg,2.56,,,,3,C
PRKCB,1,1,genetic_association,digcfdekg,2.56,,,,3,C
TOX,1,1,genetic_association,digcfdekg,2.55,,,,3,C
CYLD,1,1,genetic_association,digcfdekg,2.54,,,,3,C
PTRH2,1,1,genetic_association,digcfdekg,2.54,,,,3,C
TRBC1,1,1,genetic_association,digcfdekg,2.54,,,,3,C
PIK3CG,1,1,genetic_association,digcfdekg,2.52,,,,3,C
RASA3,1,1,genetic_association,digcfdekg,2.51,,,,3,C
S1PR1,1,1,genetic_association,digcfdekg,2.5,,,,3,C
MAP3K8,1,1,genetic_association,digcfdekg,2.49,,,,3,C
PTPN1,1,1,genetic_association,digcfdekg,2.49,,,,3,C
RIPK2,1,1,genetic_association,digcfdekg,2.49,,,,3,C
SOX8,1,1,genetic_association,digcfdekg,2.49,,,,3,C
PDCD1LG2,1,1,genetic_association,digcfdekg,2.48,,,,3,C
TLR10,1,1,genetic_association,digcfdekg,2.48,,,,3,C
BTN3A3,1,1,genetic_association,digcfdekg,2.47,,,,3,C
KLHL6,1,1,genetic_association,digcfdekg,2.47,,,,3,C
PEX13,1,1,genetic_association,digcfdekg,2.45,,,,3,C
STK4,1,1,genetic_association,digcfdekg,2.44,,,,3,C
CLECL1,1,1,genetic_association,digcfdekg,2.43,,,,3,C
ICAM1,1,1,genetic_association,digcfdekg,2.43,,,,3,C
GPR25,1,1,genetic_association,digcfdekg,2.42,,,,3,C
ARHGEF1,1,1,genetic_association,digcfdekg,2.41,,,,3,C
IL10RA,1,1,genetic_association,digcfdekg,2.41,,,,3,C
PPP3CA,1,1,genetic_association,digcfdekg,2.4,,,,3,C
FCGR2B,1,1,genetic_association,digcfdekg,2.39,,,,3,C
PTPN2,1,1,genetic_association,digcfdekg,2.39,,,,3,C
TNFRSF9,1,1,genetic_association,digcfdekg,2.39,,,,3,C
GIMAP6,1,1,genetic_association,digcfdekg,2.38,,,,3,C
HLA-DPB1,1,1,genetic_association,digcfdekg,2.38,,,,3,C
IL23A,1,1,genetic_association,digcfdekg,2.38,,,,3,C
MVP,1,1,genetic_association,digcfdekg,2.38,,,,3,C
TRIM27,1,1,genetic_association,digcfdekg,2.38,,,,3,C
BHLHE40,1,1,genetic_association,digcfdekg,2.37,,,,3,C
BTLA,1,1,genetic_association,digcfdekg,2.36,,,,3,C
C7orf72,1,1,genetic_association,digcfdekg,2.36,,,,3,C
LMF1,1,1,genetic_association,digcfdekg,2.33,,,,3,C
MARCH1,1,1,genetic_association,digcfdekg,2.33,,,,3,C
PTEN,1,1,genetic_association,digcfdekg,2.33,,,,3,C
RASAL3,1,1,genetic_association,digcfdekg,2.32,,,,3,C
RPH3A,1,1,genetic_association,digcfdekg,2.32,,,,3,C
SLA,1,1,genetic_association,digcfdekg,2.32,,,,3,C
TIGIT,1,1,genetic_association,digcfdekg,2.32,,,,3,C
TRIP10,1,1,genetic_association,digcfdekg,2.31,,,,3,C
XBP1,1,1,genetic_association,digcfdekg,2.31,,,,3,C
NR3C1,1,1,genetic_association,digcfdekg,2.3,,,,3,C
CD160,1,1,genetic_association,digcfdekg,2.29,,,,3,C
RC3H1,1,1,genetic_association,digcfdekg,2.29,,,,3,C
HLA-G,1,1,genetic_association,digcfdekg,2.26,,,,3,C
HRH1,1,1,genetic_association,digcfdekg,2.25,,,,3,C
TRAT1,1,1,genetic_association,digcfdekg,2.25,,,,3,C
CCL22,1,1,genetic_association,digcfdekg,2.24,,,,3,C
SELL,1,1,genetic_association,digcfdekg,2.24,,,,3,C
CBFB,1,1,genetic_association,digcfdekg,2.22,,,,3,C
CD1D,1,1,genetic_association,digcfdekg,2.22,,,,3,C
SIRPG,1,1,genetic_association,digcfdekg,2.22,,,,3,C
BLNK,1,1,genetic_association,digcfdekg,2.21,,,,3,C
FLI1,1,1,genetic_association,digcfdekg,2.21,,,,3,C
NEDD1,1,1,genetic_association,digcfdekg,2.21,,,,3,C
SH2D2A,1,1,genetic_association,digcfdekg,2.21,,,,3,C
CR1,1,1,genetic_association,digcfdekg,2.2,,,,3,C
GPR18,1,1,genetic_association,digcfdekg,2.2,,,,3,C
ARHGDIB,1,1,genetic_association,digcfdekg,2.19,,,,3,C
CSK,1,1,genetic_association,digcfdekg,2.19,,,,3,C
CLCN6,1,1,genetic_association,digcfdekg,2.18,,,,3,C
GZMK,1,1,genetic_association,digcfdekg,2.18,,,,3,C
LDLR,1,1,genetic_association,digcfdekg,2.17,,,,3,C
TMC8,1,1,genetic_association,digcfdekg,2.17,,,,3,C
STAT5A,1,1,genetic_association,digcfdekg,2.16,,,,3,C
C20orf197,1,1,genetic_association,digcfdekg,2.15,,,,3,C
PARP14,1,1,genetic_association,digcfdekg,2.14,,,,3,C
CADM1,1,1,genetic_association,digcfdekg,2.13,,,,3,C
CSGALNACT2,1,1,genetic_association,digcfdekg,2.13,,,,3,C
HLA-DPA1,1,1,genetic_association,digcfdekg,2.13,,,,3,C
BCL2L11,1,1,genetic_association,digcfdekg,2.12,,,,3,C
NKG7,1,1,genetic_association,digcfdekg,2.12,,,,3,C
P2RX5,1,1,genetic_association,digcfdekg,2.12,,,,3,C
PNP,1,1,genetic_association,digcfdekg,2.12,,,,3,C
KLRC1,1,1,genetic_association,digcfdekg,2.11,,,,3,C
POU5F1,1,1,genetic_association,digcfdekg,2.11,,,,3,C
IRF2,1,1,genetic_association,digcfdekg,2.1,,,,3,C
PLCG2,1,1,genetic_association,digcfdekg,2.1,,,,3,C
TRBC2,1,1,genetic_association,digcfdekg,2.1,,,,3,C
ZNF746,1,1,genetic_association,digcfdekg,2.1,,,,3,C
HIST1H2BJ,1,1,genetic_association,digcfdekg,2.09,,,,3,C
PIM2,1,1,genetic_association,digcfdekg,2.09,,,,3,C
PLCG1,1,1,genetic_association,digcfdekg,2.09,,,,3,C
TRAF1,1,1,genetic_association,digcfdekg,2.09,,,,3,C
CD40LG,1,1,genetic_association,digcfdekg,2.08,,,,3,C
HMGCS2,1,1,genetic_association,digcfdekg,2.08,,,,3,C
IL23R,1,1,genetic_association,digcfdekg,2.08,,,,3,C
APOE,1,1,genetic_association,digcfdekg,2.07,,,,3,C
CD180,1,1,genetic_association,digcfdekg,2.07,,,,3,C
HIST1H2AG,1,1,genetic_association,digcfdekg,2.07,,,,3,C
MAP3K7,1,1,genetic_association,digcfdekg,2.07,,,,3,C
SH3BP2,1,1,genetic_association,digcfdekg,2.07,,,,3,C
CD72,1,1,genetic_association,digcfdekg,2.06,,,,3,C
HMHA1,1,1,genetic_association,digcfdekg,2.06,,,,3,C
TEC,1,1,genetic_association,digcfdekg,2.06,,,,3,C
CST7,1,1,genetic_association,digcfdekg,2.05,,,,3,C
CTSS,1,1,genetic_association,digcfdekg,2.05,,,,3,C
FADD,1,1,genetic_association,digcfdekg,2.05,,,,3,C
TRAC,1,1,genetic_association,digcfdekg,2.05,,,,3,C
ZNF774,1,1,genetic_association,digcfdekg,2.05,,,,3,C
WIPF1,1,1,genetic_association,digcfdekg,2.04,,,,3,C
ZPBP,1,1,genetic_association,digcfdekg,2.04,,,,3,C
PIK3R1,1,1,genetic_association,digcfdekg,2.03,,,,3,C
PTK2B,1,1,genetic_association,digcfdekg,2.03,,,,3,C
TMC6,1,1,genetic_association,digcfdekg,2.03,,,,3,C
ADAM8,1,1,genetic_association,digcfdekg,2.02,,,,3,C
SART1,1,1,genetic_association,digcfdekg,2.02,,,,3,C
CYTIP,1,1,genetic_association,digcfdekg,2.01,,,,3,C
IL18,1,1,genetic_association,digcfdekg,2.01,,,,3,C
PTPRCAP,1,1,genetic_association,digcfdekg,2.01,,,,3,C
TAPBP,1,1,genetic_association,digcfdekg,2.01,,,,3,C
SOS1,1,1,genetic_association,digcfdekg,1.99,,,,3,C
CD81,1,1,genetic_association,digcfdekg,1.98,,,,3,C
PTRHD1,1,1,genetic_association,digcfdekg,1.97,,,,3,C
CD7,1,1,genetic_association,digcfdekg,1.96,,,,3,C
MTPN,1,1,genetic_association,digcfdekg,1.96,,,,3,C
CCR5,1,1,genetic_association,digcfdekg,1.95,,,,3,C
FOXO1,1,1,genetic_association,digcfdekg,1.95,,,,3,C
IL15,1,1,genetic_association,digcfdekg,1.95,,,,3,C
ZEB1,1,1,genetic_association,digcfdekg,1.95,,,,3,C
ZNF311,1,1,genetic_association,digcfdekg,1.95,,,,3,C
EBI3,1,1,genetic_association,digcfdekg,1.93,,,,3,C
LAPTM5,1,1,genetic_association,digcfdekg,1.93,,,,3,C
BTN2A2,1,1,genetic_association,digcfdekg,1.92,,,,3,C
EVL,1,1,genetic_association,digcfdekg,1.92,,,,3,C
FMNL1,1,1,genetic_association,digcfdekg,1.92,,,,3,C
RELB,1,1,genetic_association,digcfdekg,1.92,,,,3,C
TRAF6,1,1,genetic_association,digcfdekg,1.92,,,,3,C
ZBTB7B,1,1,genetic_association,digcfdekg,1.92,,,,3,C
SEMA4D,1,1,genetic_association,digcfdekg,1.91,,,,3,C
ADAMTS18,1,1,genetic_association,digcfdekg,1.9,,,,3,C
FOXN1,1,1,genetic_association,digcfdekg,1.9,,,,3,C
GPR15,1,1,genetic_association,digcfdekg,1.9,,,,3,C
KIF21B,1,1,genetic_association,digcfdekg,1.9,,,,3,C
TSHR,1,1,genetic_association,digcfdekg,1.9,,,,3,C
IL15RA,1,1,genetic_association,digcfdekg,1.89,,,,3,C
GALNT8,1,1,genetic_association,digcfdekg,1.88,,,,3,C
NADSYN1,1,1,genetic_association,digcfdekg,1.88,,,,3,C
TBC1D10C,1,1,genetic_association,digcfdekg,1.86,,,,3,C
ZBP1,1,1,genetic_association,digcfdekg,1.86,,,,3,C
CD8B,1,1,genetic_association,digcfdekg,1.85,,,,3,C
DLL1,1,1,genetic_association,digcfdekg,1.85,,,,3,C
ID2,1,1,genetic_association,digcfdekg,1.85,,,,3,C
S1PR5,1,1,genetic_association,digcfdekg,1.85,,,,3,C
GALM,1,1,genetic_association,digcfdekg,1.84,,,,3,C
KAT5,1,1,genetic_association,digcfdekg,1.84,,,,3,C
KLHL25,1,1,genetic_association,digcfdekg,1.84,,,,3,C
PIK3R2,1,1,genetic_association,digcfdekg,1.84,,,,3,C
LAX1,1,1,genetic_association,digcfdekg,1.83,,,,3,C
MAP4K1,1,1,genetic_association,digcfdekg,1.82,,,,3,C
NPPA,1,1,genetic_association,digcfdekg,1.82,,,,3,C
SH3KBP1,1,1,genetic_association,digcfdekg,1.82,,,,3,C
CASP4,1,1,genetic_association,digcfdekg,1.81,,,,3,C
TNFSF9,1,1,genetic_association,digcfdekg,1.81,,,,3,C
AHR,1,1,genetic_association,digcfdekg,1.8,,,,3,C
GZMA,1,1,genetic_association,digcfdekg,1.8,,,,3,C
LEP,1,1,genetic_association,digcfdekg,1.8,,,,3,C
OR2W1,1,1,genetic_association,digcfdekg,1.8,,,,3,C
TUBD1,1,1,genetic_association,digcfdekg,1.79,,,,3,C
BTN3A1,1,1,genetic_association,digcfdekg,1.78,,,,3,C
HLA-DRB5,1,1,genetic_association,digcfdekg,1.78,,,,3,C
KLF2,1,1,genetic_association,digcfdekg,1.78,,,,3,C
C19orf44,1,1,genetic_association,digcfdekg,1.77,,,,3,C
ITGB7,1,1,genetic_association,digcfdekg,1.77,,,,3,C
ITPKB,1,1,genetic_association,digcfdekg,1.76,,,,3,C
KLRC4-KLRK1,1,1,genetic_association,digcfdekg,1.76,,,,3,C
KLRD1,1,1,genetic_association,digcfdekg,1.76,,,,3,C
RPL5,1,1,genetic_association,digcfdekg,1.76,,,,3,C
GVINP1,1,1,genetic_association,digcfdekg,1.75,,,,3,C
HIVEP2,1,1,genetic_association,digcfdekg,1.75,,,,3,C
CCL3,1,1,genetic_association,digcfdekg,1.74,,,,3,C
DENND2D,1,1,genetic_association,digcfdekg,1.74,,,,3,C
LAG3,1,1,genetic_association,digcfdekg,1.74,,,,3,C
RC3H2,1,1,genetic_association,digcfdekg,1.74,,,,3,C
CCL19,1,1,genetic_association,digcfdekg,1.73,,,,3,C
DUSP10,1,1,genetic_association,digcfdekg,1.73,,,,3,C
BIRC3,1,1,genetic_association,digcfdekg,1.72,,,,3,C
IL13,1,1,genetic_association,digcfdekg,1.72,,,,3,C
OR2B6,1,1,genetic_association,digcfdekg,1.72,,,,3,C
ICOSLG,1,1,genetic_association,digcfdekg,1.71,,,,3,C
RND3,1,1,genetic_association,digcfdekg,1.71,,,,3,C
TP53,1,1,genetic_association,digcfdekg,1.71,,,,3,C
C6orf222,1,1,genetic_association,digcfdekg,1.7,,,,3,C
CHD7,1,1,genetic_association,digcfdekg,1.7,,,,3,C
EVI2B,1,1,genetic_association,digcfdekg,1.7,,,,3,C
WAS,1,1,genetic_association,digcfdekg,1.7,,,,3,C
ACAP1,1,1,genetic_association,digcfdekg,1.69,,,,3,C
CD53,1,1,genetic_association,digcfdekg,1.69,,,,3,C
DGKZ,1,1,genetic_association,digcfdekg,1.69,,,,3,C
ABL1,1,1,genetic_association,digcfdekg,1.68,,,,3,C
CASP3,1,1,genetic_association,digcfdekg,1.68,,,,3,C
NCAPH2,1,1,genetic_association,digcfdekg,1.68,,,,3,C
SPNS2,1,1,genetic_association,digcfdekg,1.68,,,,3,C
TICAM1,1,1,genetic_association,digcfdekg,1.68,,,,3,C
TM9SF2,1,1,genetic_association,digcfdekg,1.68,,,,3,C
FASLG,1,1,genetic_association,digcfdekg,1.67,,,,3,C
CNR2,1,1,genetic_association,digcfdekg,1.66,,,,3,C
PBRM1,1,1,genetic_association,digcfdekg,1.66,,,,3,C
SMAD7,1,1,genetic_association,digcfdekg,1.66,,,,3,C
CD84,1,1,genetic_association,digcfdekg,1.65,,,,3,C
DCLRE1C,1,1,genetic_association,digcfdekg,1.65,,,,3,C
FLT3LG,1,1,genetic_association,digcfdekg,1.65,,,,3,C
OR5V1,1,1,genetic_association,digcfdekg,1.65,,,,3,C
PVR,1,1,genetic_association,digcfdekg,1.65,,,,3,C
TARM1,1,1,genetic_association,digcfdekg,1.65,,,,3,C
HLA-DRB4,1,1,genetic_association,digcfdekg,1.64,,,,3,C
NKAP,1,1,genetic_association,digcfdekg,1.64,,,,3,C
BANK1,1,1,genetic_association,digcfdekg,1.63,,,,3,C
EFNB2,1,1,genetic_association,digcfdekg,1.63,,,,3,C
IFITM1,1,1,genetic_association,digcfdekg,1.63,,,,3,C
SELP,1,1,genetic_association,digcfdekg,1.63,,,,3,C
FAM69A,1,1,genetic_association,digcfdekg,1.62,,,,3,C
RASSF5,1,1,genetic_association,digcfdekg,1.62,,,,3,C
IKBKB,1,1,genetic_association,digcfdekg,1.61,,,,3,C
KLF6,1,1,genetic_association,digcfdekg,1.61,,,,3,C
LPIN3,1,1,genetic_association,digcfdekg,1.61,,,,3,C
LRRC8A,1,1,genetic_association,digcfdekg,1.61,,,,3,C
PFDN4,1,1,genetic_association,digcfdekg,1.61,,,,3,C
NFATC2,1,1,genetic_association,digcfdekg,1.6,,,,3,C
PDCD1,1,1,genetic_association,digcfdekg,1.6,,,,3,C
UBASH3A,1,1,genetic_association,digcfdekg,1.6,,,,3,C
BTG1,1,1,genetic_association,digcfdekg,1.59,,,,3,C
DAPP1,1,1,genetic_association,digcfdekg,1.59,,,,3,C
IL18R1,1,1,genetic_association,digcfdekg,1.59,,,,3,C
LBR,1,1,genetic_association,digcfdekg,1.59,,,,3,C
RPL22,1,1,genetic_association,digcfdekg,1.59,,,,3,C
TCF3,1,1,genetic_association,digcfdekg,1.59,,,,3,C
LRFN5,1,1,genetic_association,digcfdekg,1.58,,,,3,C
SRF,1,1,genetic_association,digcfdekg,1.58,,,,3,C
ODF3B,1,1,genetic_association,digcfdekg,1.57,,,,3,C
PRKCZ,1,1,genetic_association,digcfdekg,1.57,,,,3,C
RASSF2,1,1,genetic_association,digcfdekg,1.57,,,,3,C
SEC24A,1,1,genetic_association,digcfdekg,1.57,,,,3,C
CALR3,1,1,genetic_association,digcfdekg,1.56,,,,3,C
FLT3,1,1,genetic_association,digcfdekg,1.56,,,,3,C
MTCH2,1,1,genetic_association,digcfdekg,1.56,,,,3,C
PDE4A,1,1,genetic_association,digcfdekg,1.56,,,,3,C
FCRLA,1,1,genetic_association,digcfdekg,1.55,,,,3,C
LILRB4,1,1,genetic_association,digcfdekg,1.55,,,,3,C
LIMD2,1,1,genetic_association,digcfdekg,1.55,,,,3,C
SPN,1,1,genetic_association,digcfdekg,1.55,,,,3,C
CARMIL2,1,1,genetic_association,digcfdekg,1.54,,,,3,C
KLF13,1,1,genetic_association,digcfdekg,1.54,,,,3,C
DHCR7,1,1,genetic_association,digcfdekg,1.53,,,,3,C
IKBKG,1,1,genetic_association,digcfdekg,1.53,,,,3,C
NCF2,1,1,genetic_association,digcfdekg,1.53,,,,3,C
CD200R1,1,1,genetic_association,digcfdekg,1.52,,,,3,C
GBP5,1,1,genetic_association,digcfdekg,1.52,,,,3,C
IL16,1,1,genetic_association,digcfdekg,1.52,,,,3,C
ST6GAL1,1,1,genetic_association,digcfdekg,1.52,,,,3,C
CD96,1,1,genetic_association,digcfdekg,1.51,,,,3,C
IFT46,1,1,genetic_association,digcfdekg,1.51,,,,3,C
TNIP1,1,1,genetic_association,digcfdekg,1.51,,,,3,C
TRIM38,1,1,genetic_association,digcfdekg,1.51,,,,3,C
ADA,1,1,genetic_association,digcfdekg,1.5,,,,3,C
FAM213B,1,1,genetic_association,digcfdekg,1.5,,,,3,C
FIGNL1,1,1,genetic_association,digcfdekg,1.5,,,,3,C
IRF9,1,1,genetic_association,digcfdekg,1.5,,,,3,C
RASGRP2,1,1,genetic_association,digcfdekg,1.5,,,,3,C
SLFN12L,1,1,genetic_association,digcfdekg,1.5,,,,3,C
STIM1,1,1,genetic_association,digcfdekg,1.5,,,,3,C
CITED2,1,1,genetic_association,digcfdekg,1.49,,,,3,C
FAM107B,1,1,genetic_association,digcfdekg,1.49,,,,3,C
LCP1,1,1,genetic_association,digcfdekg,1.49,,,,3,C
TNFRSF18,1,1,genetic_association,digcfdekg,1.49,,,,3,C
IL21,1,1,genetic_association,digcfdekg,1.48,,,,3,C
CXCL10,1,1,genetic_association,digcfdekg,1.47,,,,3,C
HAX1,1,1,genetic_association,digcfdekg,1.47,,,,3,C
NOD2,1,1,genetic_association,digcfdekg,1.47,,,,3,C
SELENOK,1,1,genetic_association,digcfdekg,1.47,,,,3,C
UPF2,1,1,genetic_association,digcfdekg,1.47,,,,3,C
ARHGAP9,1,1,genetic_association,digcfdekg,1.46,,,,3,C
CEP57,1,1,genetic_association,digcfdekg,1.46,,,,3,C
IGHD,1,1,genetic_association,digcfdekg,1.46,,,,3,C
NCR3,1,1,genetic_association,digcfdekg,1.46,,,,3,C
SSTR5,1,1,genetic_association,digcfdekg,1.46,,,,3,C
TNFSF11,1,1,genetic_association,digcfdekg,1.46,,,,3,C
ZBTB32,1,1,genetic_association,digcfdekg,1.46,,,,3,C
ZC3H4,1,1,genetic_association,digcfdekg,1.46,,,,3,C
ABCF1,1,1,genetic_association,digcfdekg,1.45,,,,3,C
ADGRG5,1,1,genetic_association,digcfdekg,1.45,,,,3,C
APLF,1,1,genetic_association,digcfdekg,1.45,,,,3,C
CCND3,1,1,genetic_association,digcfdekg,1.45,,,,3,C
CD47,1,1,genetic_association,digcfdekg,1.45,,,,3,C
ICAM3,1,1,genetic_association,digcfdekg,1.45,,,,3,C
LGALS9,1,1,genetic_association,digcfdekg,1.45,,,,3,C
LY75,1,1,genetic_association,digcfdekg,1.45,,,,3,C
NCOA3,1,1,genetic_association,digcfdekg,1.45,,,,3,C
RNFT1,1,1,genetic_association,digcfdekg,1.45,,,,3,C
SMARCD2,1,1,genetic_association,digcfdekg,1.45,,,,3,C
ZBTB16,1,1,genetic_association,digcfdekg,1.45,,,,3,C
ZNF831,1,1,genetic_association,digcfdekg,1.45,,,,3,C
ANXA1,1,1,genetic_association,digcfdekg,1.44,,,,3,C
HLA-DQB2,1,1,genetic_association,digcfdekg,1.44,,,,3,C
TNFRSF13B,1,1,genetic_association,digcfdekg,1.44,,,,3,C
TNFRSF4,1,1,genetic_association,digcfdekg,1.44,,,,3,C
ARHGAP23,1,1,genetic_association,digcfdekg,1.43,,,,3,C
ARID2,1,1,genetic_association,digcfdekg,1.43,,,,3,C
C1orf52,1,1,genetic_association,digcfdekg,1.43,,,,3,C
CHRM3-AS2,1,1,genetic_association,digcfdekg,1.42,,,,3,C
HLA-DRB3,1,1,genetic_association,digcfdekg,1.42,,,,3,C
LINC00861,1,1,genetic_association,digcfdekg,1.42,,,,3,C
MDK,1,1,genetic_association,digcfdekg,1.42,,,,3,C
POM121L2,1,1,genetic_association,digcfdekg,1.42,,,,3,C
SLC9B2,1,1,genetic_association,digcfdekg,1.42,,,,3,C
SMAP2,1,1,genetic_association,digcfdekg,1.42,,,,3,C
C4orf36,1,1,genetic_association,digcfdekg,1.41,,,,3,C
ST3GAL4,1,1,genetic_association,digcfdekg,1.41,,,,3,C
TLR9,1,1,genetic_association,digcfdekg,1.41,,,,3,C
CCR2,1,1,genetic_association,digcfdekg,1.4,,,,3,C
CCR9,1,1,genetic_association,digcfdekg,1.4,,,,3,C
CDK6,1,1,genetic_association,digcfdekg,1.4,,,,3,C
KLRK1,1,1,genetic_association,digcfdekg,1.4,,,,3,C
LILRB1,1,1,genetic_association,digcfdekg,1.4,,,,3,C
LYL1,1,1,genetic_association,digcfdekg,1.4,,,,3,C
NLRP6,1,1,genetic_association,digcfdekg,1.4,,,,3,C
NOTCH1,1,1,genetic_association,digcfdekg,1.4,,,,3,C
IL18RAP,1,1,genetic_association,digcfdekg,1.39,,,,3,C
MCOLN2,1,1,genetic_association,digcfdekg,1.39,,,,3,C
ZC3H12D,1,1,genetic_association,digcfdekg,1.39,,,,3,C
PPP3CB,1,1,genetic_association,digcfdekg,1.38,,,,3,C
TNFSF8,1,1,genetic_association,digcfdekg,1.38,,,,3,C
MSL1,1,1,genetic_association,digcfdekg,1.37,,,,3,C
PDPK1,1,1,genetic_association,digcfdekg,1.37,,,,3,C
PRKCA,1,1,genetic_association,digcfdekg,1.37,,,,3,C
STAP1,1,1,genetic_association,digcfdekg,1.37,,,,3,C
APBB1IP,1,1,genetic_association,digcfdekg,1.36,,,,3,C
BBC3,1,1,genetic_association,digcfdekg,1.36,,,,3,C
CCHCR1,1,1,genetic_association,digcfdekg,1.36,,,,3,C
DICER1,1,1,genetic_association,digcfdekg,1.36,,,,3,C
GNL1,1,1,genetic_association,digcfdekg,1.36,,,,3,C
HSPA1B,1,1,genetic_association,digcfdekg,1.36,,,,3,C
MAPK14,1,1,genetic_association,digcfdekg,1.36,,,,3,C
PDHA2,1,1,genetic_association,digcfdekg,1.36,,,,3,C
PRR7,1,1,genetic_association,digcfdekg,1.36,,,,3,C
CD276,1,1,genetic_association,digcfdekg,1.35,,,,3,C
IFNAR2,1,1,genetic_association,digcfdekg,1.35,,,,3,C
PBXIP1,1,1,genetic_association,digcfdekg,1.35,,,,3,C
PSMB9,1,1,genetic_association,digcfdekg,1.35,,,,3,C
SELE,1,1,genetic_association,digcfdekg,1.35,,,,3,C
DEF6,1,1,genetic_association,digcfdekg,1.34,,,,3,C
LMAN2,1,1,genetic_association,digcfdekg,1.34,,,,3,C
PYHIN1,1,1,genetic_association,digcfdekg,1.34,,,,3,C
TMEM156,1,1,genetic_association,digcfdekg,1.34,,,,3,C
ZNF335,1,1,genetic_association,digcfdekg,1.34,,,,3,C
ASXL1,1,1,genetic_association,digcfdekg,1.33,,,,3,C
FGD3,1,1,genetic_association,digcfdekg,1.33,,,,3,C
GADD45B,1,1,genetic_association,digcfdekg,1.33,,,,3,C
LSP1,1,1,genetic_association,digcfdekg,1.33,,,,3,C
SPTA1,1,1,genetic_association,digcfdekg,1.33,,,,3,C
TCF19,1,1,genetic_association,digcfdekg,1.33,,,,3,C
WDFY4,1,1,genetic_association,digcfdekg,1.33,,,,3,C
ZC2HC1A,1,1,genetic_association,digcfdekg,1.33,,,,3,C
ZNF131,1,1,genetic_association,digcfdekg,1.33,,,,3,C
NCK2,1,1,genetic_association,digcfdekg,1.32,,,,3,C
PPP1R16B,1,1,genetic_association,digcfdekg,1.32,,,,3,C
PPP1R18,1,1,genetic_association,digcfdekg,1.32,,,,3,C
ABLIM1,1,1,genetic_association,digcfdekg,1.31,,,,3,C
BCL2L1,1,1,genetic_association,digcfdekg,1.31,,,,3,C
CSF3,1,1,genetic_association,digcfdekg,1.31,,,,3,C
CTB-133G6.1,1,1,genetic_association,digcfdekg,1.31,,,,3,C
DTX1,1,1,genetic_association,digcfdekg,1.31,,,,3,C
GPR174,1,1,genetic_association,digcfdekg,1.31,,,,3,C
MYO19,1,1,genetic_association,digcfdekg,1.31,,,,3,C
PIGW,1,1,genetic_association,digcfdekg,1.31,,,,3,C
THRA,1,1,genetic_association,digcfdekg,1.31,,,,3,C
TP53BP1,1,1,genetic_association,digcfdekg,1.31,,,,3,C
ARID1B,1,1,genetic_association,digcfdekg,1.3,,,,3,C
ARID5B,1,1,genetic_association,digcfdekg,1.3,,,,3,C
ELL2,1,1,genetic_association,digcfdekg,1.3,,,,3,C
GLI2,1,1,genetic_association,digcfdekg,1.3,,,,3,C
TMEM87B,1,1,genetic_association,digcfdekg,1.3,,,,3,C
TRAF3IP2,1,1,genetic_association,digcfdekg,1.3,,,,3,C
CDK4,1,1,genetic_association,digcfdekg,1.29,,,,3,C
IL1RL2,1,1,genetic_association,digcfdekg,1.29,,,,3,C
