fips,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",adult obesity,air pollution - particulate matter,children in poverty,children in single-parent households,drinking water violations,drug overdose deaths,firearm fatalities,food insecurity,frequent mental distress,homicides,income inequality,life expectancy,limited access to healthy foods,low birthweight,mental health providers,motor vehicle crash deaths,physical inactivity,poor or fair health,premature death,preventable hospital stays,primary care physicians,residential segregation - black/white,rural,severe housing cost burden,severe housing problems,unemployment,uninsured
22107,0.7234,46.6,8.3,47.7,49.072164948,1.0,,,18.0,19.7,,4.5508233958,73.086630472,38.899593482,9.9447513812,809.0,0.040937145736,40.0,27.6,13.990538599999999,2.919,4178.0,29.96929541,100.0,12.873563218,17.039106145,5.9180576631,11.232130701
22109,0.86,41.9,7.5,22.7,26.335003579,0.0,0.036216465816,0.017425765341000002,15.0,18.3,0.010587450427000001,5.3703225189,75.122427098,10.580134111,9.6011004127,437.0,0.016072515106,31.6,19.7,10.113194956,4.165,2197.0,43.087586926,20.628464152,10.490356738,13.772829622,5.7691880484,12.823436541
22111,0.6789,39.9,9.6,29.1,41.063009001,1.0,,0.019701610159,14.6,18.5,0.007020589474200001,7.1120173223,74.465589896,15.407385502,10.383991347,680.0,0.021061768422999998,33.0,20.5,10.568679989,4.31,7390.0,50.596154711,82.910083183,11.618316268,7.981530343,4.8482152785,10.42228212
22113,0.7899,40.1,8.6,27.2,24.319946001,1.0,0.020702891131,0.016384671972,14.6,18.3,0.0064508267810000006,4.9666604582,76.145406446,3.7031698578,10.198773918,1733.0,0.017202204749,32.3,18.4,8.479158458899999,3.184,2828.0,61.658784674,54.621631407,7.1865443425,10.753905366,5.0364841063,11.322559635
22115,0.754,42.2,8.9,19.6,20.437535982,1.0,0.013871260828,0.016294739242999998,15.6,17.4,0.0068883767253,4.5892985936,74.179598889,22.169393756,7.3062164236,495.0,0.020665130176000003,30.0,17.9,9.483468837799998,5.6370000000000005,3193.0,51.254100929,49.896816601,9.0008666584,11.669963266,4.5531197302,10.798552852
22117,0.9736,43.8,8.8,35.4,41.65752924,0.0,0.088055489394,0.019007136316,17.7,19.4,0.0098720033071,5.1213788741,71.004555924,3.899802572,11.99143469,627.0,0.026222508785,34.5,22.6,15.432105568,5.302,5086.0,33.919236457,66.674440299,11.586678486,13.426057337,5.8565500889,9.0195404275
22119,0.9039,41.4,9.9,34.4,31.459091443,1.0,,0.023175687159,17.6,19.5,,4.6889657042,72.893157533,18.633451862,12.351895735,398.0,0.022220360407,36.8,24.4,12.532711207,4.655,1725.0,42.94006701,53.04195889,16.9258508,17.311178248,5.471037783,9.4886423296
22121,0.5423,38.8,9.0,21.2,29.500544578,0.0,0.02635409869,0.018976196259000003,11.7,17.2,0.012066762104,3.9666237962,77.104442055,7.2838966635,11.030256607,1323.0,0.024682013393999995,28.3,17.6,8.813633090699998,3.8120000000000003,5358.0,24.292930486,30.460736506,7.9588115413,10.627268015,4.8637131732,7.659905682
22123,0.5898,39.8,8.5,32.2,44.33713784,0.0,,0.018330797573,16.0,18.8,,5.4714591618,74.36522408,2.162654159,9.4007050529,1599.0,0.029726900259999998,32.8,20.5,10.649045839,7.779,2662.0,18.561698876,100.0,8.5132259045,6.364749082,6.3283922463,10.917958979
22125,0.4389,40.6,8.5,19.2,45.163868905,0.0,0.04086636698,0.016835670901,9.3,15.6,0.009258573438999999,6.5622057835,77.850060521,14.857102689,9.1025641026,1033.0,0.014813717502,27.7,17.0,9.6899595231,2.252,1547.0,44.855702679,100.0,13.35019674,10.465116279,3.6740909956,4.988546704
22127,0.7136,41.6,9.0,34.3,37.725381415,1.0,,0.018422991894,14.9,18.0,,5.9673746814,73.803363232,5.6153335916,11.346863469,2698.0,0.023028785981999998,32.6,20.3,10.68467657,6.109,1730.0,55.811586921,64.892574936,6.5573770492,8.5688240656,4.802259887,9.5389507154
23001,0.5614,35.0,5.3,19.1,19.145284835,1.0,0.033589828137,0.010751233148,12.0,15.2,0.0015912038253,4.4360012457,76.807511561,2.4671419852,8.063566804,198.0,0.012331829645999999,24.3,13.2,8.1328925565,2.181,1248.0,76.47686709,43.366882695,10.537725729,12.535612536,4.8746749295,8.8686161305
23003,0.5757,35.3,6.0,18.9,22.153414252,1.0,0.020401054884,0.013666803335000002,13.5,15.5,,4.7450586782,78.313734456,4.856652675,7.453693372,155.0,0.010744600838,28.2,14.5,7.4543774355,2.9059999999999997,903.0,70.103257824,80.265757618,9.4766468346,12.383533796,5.6718061674,11.576858684
23005,0.1789,26.3,9.2,8.7,18.215106261,1.0,0.028420913731999998,0.007069001612300001,9.2,13.3,0.0009272879366000001,4.3746704871,80.169038122,3.5127265914,6.5538892637,129.0,0.0065886248125,17.4,9.3,5.6651946716,1.82,583.0,72.584029598,36.098468442,12.595115765,13.87956401,3.996109165,7.4716406742
23007,0.4118,31.1,5.3,15.7,18.986626483,1.0,0.025532292800000002,0.01732513277,11.2,15.1,,4.1187444237,78.158969487,5.5417093815,8.4439083233,319.0,0.015212162123999999,21.5,12.3,7.217159114099999,1.744,967.0,,82.998569943,7.5593952484,10.421940928,5.2749476118,9.9561162918
23009,0.2043,29.2,3.4,14.2,19.895789026,1.0,0.018800868478999998,0.011687277668,10.5,14.0,,4.3535895144,79.493681927,1.6490713217,7.581111468,227.0,0.015659377227,17.2,10.8,6.877264234700001,2.03,848.0,62.983473056,90.113565364,10.407628538,13.778529163,5.0148012405,11.232472694
23011,0.3125,34.4,6.1,12.8,21.501304384,1.0,0.03484510263,0.010824463287000001,11.6,14.7,0.0021156011481,4.4143243889,77.901902014,1.9950000078,6.9222180871,185.0,0.0122234733,20.9,11.9,7.8196263059,2.1399999999999997,848.0,76.275217588,62.830431188,10.733972143,12.148546205,4.2992177314,8.8254284111
23013,0.1684,30.1,5.5,13.5,23.832684825,1.0,0.025942725158000002,0.012058604818999999,9.9,14.5,,4.1603649661,79.287422839,1.6617192242,6.4108352144,185.0,0.012564663141,18.2,10.9,7.0392159915,1.229,888.0,,67.930843568,11.659484031,13.102232667,4.3911272069,10.078937926
23015,0.204,25.1,6.3,13.3,15.866975513,1.0,0.027951537816999997,0.012777993971,10.7,14.3,,4.1999052236,80.222855303,0.924400504,9.4665271967,484.0,0.016229037493,18.0,10.4,6.4135814419,2.2089999999999996,869.0,,100.0,11.126874747,13.922399739,4.4292811396,12.194418106
