fips,n_fac
36097,724
36099,1042
36101,2445
36103,30296
36105,2588
36107,912
36109,1512
36111,3911
36113,2315
36115,1476
36117,2108
36119,9430
36121,1164
36123,1245
37001,1303
37003,328
37005,118
37007,260
37009,281
37011,236
37013,570
37015,244
37017,380
37019,1111
37021,1929
37023,889
37025,1283
37027,791
37029,110
37031,758
37033,207
37035,1991
37037,1296
37039,258
37041,175
37043,84
37045,909
37047,724
37049,752
37051,1998
37053,296
37055,387
37057,1453
37059,362
37061,576
37063,2571
37065,562
37067,2819
37069,521
37071,1903
37073,67
37075,102
37077,484
37079,222
37081,4068
37083,635
37085,775
37087,597
37089,829
37091,273
37093,258
37095,85
37097,1562
37099,417
37101,1396
37103,155
37105,639
37107,698
37109,765
37111,465
37113,385
37115,222
37117,334
37119,5980
37121,266
37123,310
37125,873
37127,1042
37129,1694
37131,273
37133,1100
37135,866
37137,151
37139,337
37141,444
37143,128
37145,459
37147,1098
37149,193
37151,1300
37153,428
37155,943
37157,1141
37159,1365
37161,672
37163,818
37165,378
37167,636
37169,376
37171,867
37173,270
37175,326
37177,47
37179,1235
37181,456
37183,5927
37185,223
37187,203
37189,467
37191,921
37193,766
37195,861
37197,372
37199,157
38001,20
38003,355
38005,294
38007,107
38009,229
38011,138
38013,148
38015,957
38017,1837
38019,201
38021,195
38023,120
38025,760
38027,89
38029,131
38031,114
38033,77
38035,843
38037,96
38039,118
38041,82
38043,89
38045,197
38047,90
38049,186
38051,109
38053,1297
38055,365
38057,212
38059,495
38061,628
38063,166
38065,65
38067,287
38069,112
38071,299
38073,169
38075,105
38077,459
38079,231
38081,142
38083,55
38085,169
38087,20
38089,681
38091,90
38093,567
38095,112
38097,205
38099,335
38101,969
38103,937
38105,1048
39001,190
39003,1020
39005,491
39007,1055
39009,413
39011,465
39013,850
39015,209
39017,1945
39019,451
39021,310
39023,1035
39025,810
39027,379
39029,1033
39031,369
39033,427
39035,9421
39037,578
39039,408
39041,642
39043,713
39045,737
39047,276
39049,5745
39051,491
39053,280
39055,907
39057,966
39059,630
39061,5203
39063,746
39065,339
39067,440
39069,362
39071,279
39073,266
39075,568
39077,574
39079,319
39081,757
39083,563
39085,1690
39087,447
39089,1244
39091,478
39093,1844
39095,3510
39097,381
39099,1788
39101,570
39103,1129
39105,226
39107,472
39109,919
39111,342
39113,3441
39115,190
39117,272
39119,766
39121,203
39123,641
39125,230
39127,351
39129,408
39131,218
39133,1567
39135,332
39137,379
39139,1181
39141,468
39143,741
39145,496
39147,618
39149,529
39151,2768
39153,4221
39155,1621
39157,1029
39159,387
39161,313
39163,150
39165,969
39167,808
39169,1133
39171,558
39173,1209
39175,321
40001,90
40003,886
40005,118
40007,479
40009,519
40011,1073
40013,251
40015,524
40017,1442
40019,874
40021,172
40023,75
40025,42
40027,565
40029,260
40031,367
40033,80
40035,109
40037,561
40039,566
40041,163
40043,674
40045,834
40047,729
40049,464
40051,1244
40053,442
40055,32
40057,25
40059,85
40061,203
40063,522
40065,135
40067,56
40069,165
40071,649
40073,1298
40075,112
40077,251
40079,310
40081,352
40083,533
40085,128
40087,718
40089,147
40091,140
40093,416
40095,214
40097,246
40099,107
40101,319
40103,195
40105,98
40107,136
40109,3252
40111,324
40113,3679
40115,211
40117,311
40119,496
40121,734
40123,310
40125,508
40127,76
40129,795
40131,385
40133,386
40135,174
40137,689
40139,434
40141,88
40143,2953
40145,229
40147,385
40149,472
40151,911
40153,333
41001,392
41003,915
41005,5918
41007,746
41009,648
41011,830
41013,323
41015,261
41017,1295
41019,1292
41021,105
41023,244
41025,175
41027,465
41029,2152
41031,292
41033,774
41035,1009
41037,254
41039,3683
41041,707
41043,1404
41045,530
41047,4107
41049,217
41051,23709
41053,803
41055,116
41057,581
41059,1080
41061,412
41063,155
41065,475
41067,6255
41069,62
41071,1183
42001,717
42003,7064
42005,648
42007,1217
42009,533
42011,2952
42013,963
42015,868
42017,4144
42019,1632
42021,1039
42023,103
42025,377
42027,930
42029,3123
42031,447
42033,858
42035,351
42037,581
42039,1114
42041,1468
42043,1658
42045,2582
42047,404
42049,2262
42051,939
42053,139
42055,1158
42057,130
42059,555
42061,309
42063,886
42065,510
42067,167
42069,1315
42071,3521
42073,788
42075,987
42077,2205
42079,2285
42081,1282
42083,552
42085,1318
42087,477
42089,949
42091,5071
42093,176
42095,1683
42097,751
42099,300
42101,5143
42103,309
42105,240
42107,1288
42109,376
42111,964
42113,93
42115,740
42117,558
42119,360
42121,523
42123,715
42125,1895
42127,395
42129,2635
42131,303
42133,2820
44001,699
44003,2601
44005,1250
44007,10206
44009,1936
45001,299
45003,1685
45005,231
45007,2164
45009,238
45011,335
45013,1939
45015,1989
45017,213
45019,5503
45021,711
45023,578
45025,656
45027,540
45029,633
45031,803
45033,422
45035,1176
45037,332
45039,361
45041,1838
45043,886
45045,5190
45047,979
45049,327
45051,3801
45053,582
45055,722
45057,876
45059,944
45061,299
