fips,n_prov
29099,3
29101,2
29105,1
29107,2
29115,1
29117,1
29123,1
29127,1
29131,1
29133,1
29145,1
29147,2
29155,2
29157,2
29161,3
29167,2
29169,1
29173,1
29175,2
29183,4
29187,5
29189,7
29195,3
29201,2
29207,1
29211,1
29213,1
29217,4
29223,1
29225,1
29510,17
30001,1
30009,1
30013,5
30017,2
30021,2
30025,1
30027,1
30029,4
30031,3
30041,2
30043,1
30047,2
30049,9
30053,1
30063,8
30065,1
30073,1
30075,1
30081,3
30083,1
30085,2
30087,1
30089,1
30091,1
30093,5
30097,1
30099,1
30101,1
30105,1
30111,15
31001,5
31013,1
31017,1
31019,3
31023,1
31025,1
31033,1
31043,1
31045,1
31047,1
31053,5
31055,31
31059,2
31067,2
31079,4
31089,1
31095,1
31101,1
31105,1
31109,15
31111,5
31119,8
31127,1
31131,1
31133,1
31137,2
31141,1
31145,1
31147,2
31151,1
31153,5
31155,1
31157,3
31159,1
31175,1
31177,1
31185,1
32001,2
32003,25
32005,3
32007,1
32013,2
32015,1
32017,1
32019,4
32021,1
32023,2
32027,1
32031,7
32033,1
32510,1
33001,3
33003,2
33005,2
33011,12
33013,8
33015,2
33017,2
34001,14
34003,18
34005,1
34007,9
34009,1
34011,1
34013,16
34015,9
34017,10
34019,3
34021,10
34023,5
34025,14
34027,10
34031,13
34033,4
34035,4
34037,1
34039,12
34041,6
35001,10
35005,1
35009,3
35013,5
35015,2
35017,1
35019,1
35023,1
35025,1
35031,2
35033,1
35037,1
35041,1
35043,1
35045,3
35047,2
35049,4
35053,1
35055,1
35061,2
36001,6
36003,3
36005,43
36007,8
36009,8
36011,5
36013,4
36015,7
36017,1
36019,3
36021,1
36023,2
36027,19
36029,30
36033,3
36035,2
36037,1
36043,2
36045,2
36047,50
36049,1
36051,1
36053,1
36055,11
36057,4
36059,18
36063,15
36065,9
36067,8
36069,6
36071,9
36073,1
36075,8
36077,1
36079,4
36081,61
36083,5
36085,8
36087,7
36089,1
36091,1
36093,3
36097,1
36103,25
36109,3
36111,6
36115,1
36117,1
36119,28
36123,2
37001,2
37005,1
37007,1
37009,1
37011,1
37013,1
37017,1
37019,1
37021,14
37023,5
37025,6
37027,5
37031,1
37035,4
37039,1
37043,1
37045,3
37047,1
37049,3
37051,13
37055,1
37057,4
37059,1
37063,7
37067,2
37071,2
37075,1
37077,2
37079,1
37081,14
37083,2
37087,1
37089,3
37091,1
37093,1
37097,7
37101,2
37107,2
37109,2
37111,2
37113,1
37119,24
37125,2
37127,3
37129,6
37133,1
37135,4
37141,2
37145,1
37147,5
37149,1
37151,2
37153,2
37155,9
37157,3
37159,5
37161,1
37165,2
37167,3
37169,1
37171,2
37173,1
37179,2
37183,16
37189,2
37191,1
37193,1
37195,1
37197,1
38015,5
38017,9
38035,4
38079,1
38093,2
38099,1
38101,5
38105,1
39001,2
39003,6
39005,1
39007,7
39009,2
39011,2
39013,1
39015,5
39017,18
39019,1
39021,2
39023,6
39025,2
39027,2
39029,10
39031,2
39033,2
39035,50
39037,3
39039,3
39041,2
39043,3
39045,4
39047,1
39049,55
39051,2
39053,1
39055,6
39057,4
39059,5
39061,29
39063,3
39065,1
39067,2
39069,2
39071,3
39073,2
39075,3
39077,1
39079,2
39081,3
39083,3
39085,8
39087,1
39089,7
39091,4
39093,10
39095,20
39097,1
39099,12
39101,4
39103,6
39105,1
39107,1
39109,2
39111,2
39113,23
39117,2
39119,4
39123,1
39125,1
39127,1
39129,1
39131,1
39133,7
39135,2
39137,1
39139,6
39141,4
39145,3
39147,2
39149,1
39151,17
39153,26
39155,8
39157,1
39161,4
39163,1
39165,13
39167,7
39169,7
39171,1
39173,3
40009,3
40011,1
40013,3
40017,2
40019,1
40021,2
40023,1
40027,5
40031,4
40035,4
40037,1
40041,3
40047,3
40049,1
40051,1
40061,2
40063,1
40065,2
40069,1
40071,3
40075,1
40077,1
40079,2
40089,1
40091,3
40093,1
40101,3
40107,1
40109,15
40115,4
40119,3
40121,2
40123,2
40131,1
40133,1
40135,2
40137,2
40139,1
40143,12
40145,2
40147,2
40153,3
41003,2
41005,4
41007,1
41009,3
41011,3
41017,10
41019,1
41021,2
41023,1
41025,1
41029,5
41031,1
41033,2
41037,1
41039,12
41041,3
41043,2
41045,1
41047,2
41049,3
41051,14
41053,1
41057,1
41059,1
41061,1
41063,1
41067,3
41069,1
41071,1
42001,4
42003,37
42005,4
42007,4
42009,1
42011,13
42013,3
42015,3
42017,7
42019,5
42025,4
42027,4
42029,19
42031,2
42033,2
42039,4
42041,4
42043,8
42045,6
42047,2
42049,15
42051,7
42053,1
42055,3
42057,1
42059,4
42063,2
42065,1
42069,8
42071,10
42073,2
42075,4
42077,7
42079,4
42081,2
42083,2
42085,5
42089,4
42091,22
42093,1
42095,13
42097,1
42101,48
42103,1
42105,1
42107,4
42111,3
42117,4
42119,2
42121,3
42123,4
42125,9
42127,1
42129,12
42131,2
42133,10
44003,1
44007,16
44009,1
45001,1
45003,4
45007,2
45009,1
45011,1
45013,3
45015,2
45017,1
45019,4
45021,1
45023,1
45025,1
45027,1
45029,2
45031,2
45033,1
45035,1
45037,1
45039,1
45041,3
45043,1
45045,7
45047,1
45049,1
45051,1
45053,1
45055,1
45057,2
45059,1
45061,1
45063,5
45065,1
45067,1
45069,1
45071,1
45073,1
45075,2
45077,1
45079,11
45083,1
45085,1
45087,1
45089,1
45091,4
46005,2
46011,2
