fips,n_case
22001,206
22003,120
22005,227
22007,20
22009,125
22011,29
22013,11
22015,140
22017,551
22019,361
22021,45
22023,22
22025,12
22027,153
22029,42
22031,29
22033,4176
22035,27
22037,120
22039,67
22041,35
22043,93
22045,98
22047,95
22049,45
22051,1002
22053,32
22055,548
22057,174
22059,66
22061,36
22063,319
22065,18
22067,42
22069,58
22071,1948
22073,225
22075,124
22077,14
22079,209
22081,10
22083,34
22085,16
22087,91
22089,97
22091,10
22093,41
22095,106
22097,110
22099,70
22101,152
22103,478
22105,225
22107,18
22109,253
22111,15
22113,56
22115,49
22117,135
22119,54
22121,32
22123,9
22125,264
22127,145
23001,113
23003,46
23005,393
23007,13
23009,36
23011,125
23013,50
23015,21
23017,25
23019,160
23021,13
23023,27
23025,42
23027,37
23029,28
23031,204
24001,739
24003,596
24005,733
24009,52
24011,14
24013,101
24015,85
24017,109
24019,30
24021,113
24023,45
24025,211
24027,370
24029,14
24031,927
24033,1285
24035,27
24037,42
24039,190
24041,22
24043,226
24045,84
24047,70
24510,1027
25001,587
25003,66
25005,312
25007,15
25009,469
25011,37
25013,305
25015,56
25017,983
25019,10
25021,410
25023,293
25025,1970
25027,470
26001,6
26003,56
26005,65
26007,17
26009,13
26011,9
26013,108
26015,31
26017,96
26019,11
26021,104
26023,105
26025,122
26027,21
26029,15
26031,17
26033,269
26035,14
26037,22
26039,4
26041,12
26043,12
26045,39
26047,14
26049,669
26051,9
26053,41
26055,41
26057,139
26059,19
26061,9
26063,15
26065,226
26067,344
26069,20
26071,6
26073,85
26075,289
26077,171
26079,5
26081,606
26085,11
26087,80
26089,6
26091,171
26093,106
26095,19
26097,11
26099,845
26101,102
26103,118
26105,14
26107,14
26109,14
26111,59
26113,9
26115,114
26117,157
26119,5
26121,284
26123,27
26125,1642
26127,17
26129,10
26131,7
26133,17
26135,3
26137,21
26139,123
26141,3
26143,12
26145,252
26147,137
26149,22
26151,19
26153,3
26155,40
26157,33
26159,43
26161,482
26163,3730
26165,17
27001,11
27003,188
27005,8
27007,54
27009,18
27013,32
27015,6
27017,105
27019,56
27021,10
27023,4
27025,62
27027,15
27029,4
27031,4
27033,5
27035,29
27037,328
27039,10
27041,10
27043,4
27045,8
27047,18
27049,30
27051,1
27053,1400
27055,3
27057,6
27059,18
27061,27
27063,2
27065,5
27067,15
27069,3
27071,2
27073,3
27075,4
27077,1
27079,14
27083,8
27085,14
27087,5
27089,2
27091,9
27093,7
27095,16
27097,11
27099,21
27101,4
27103,90
27105,7
27107,2
27109,108
27111,28
27113,1
27115,39
27117,2
27119,9
27123,502
27125,1
27127,8
27129,5
27131,40
27133,1
27135,3
27137,189
27139,66
27141,88
27143,3
27145,115
27147,26
27149,4
27151,3
27153,7
27155,1
27157,6
27159,4
27161,15
27163,217
27165,4
27167,2
27169,14
27171,48
27173,1
28001,131
28003,34
28005,6
28007,18
28009,18
28011,73
28013,19
28015,12
28017,29
28019,12
28021,18
28023,16
28025,25
28027,62
28029,37
28031,17
28033,169
28035,133
28037,6
28039,32
28041,136
28043,40
28045,53
28047,400
28049,789
28051,55
28053,10
28055,5
28057,24
28059,169
28061,33
28063,15
28065,18
28067,77
28069,14
28071,79
28073,61
28075,229
28077,11
28079,33
28081,114
28083,55
28085,35
28087,79
28089,165
28091,25
28093,62
28095,49
28097,17
28099,45
28101,19
28103,13
28105,43
28107,62
28109,59
28111,14
28113,52
28115,18
28117,19
28119,15
28121,271
28123,44
28125,6
28127,46
28129,34
28131,14
28133,121
28135,31
28137,39
28139,26
28141,22
28143,33
28145,31
28147,9
28149,72
28151,91
28153,17
28155,13
28157,71
28159,27
28161,28
28163,171
29001,14
29003,271
29007,18
29009,33
29011,13
29013,20
29015,18
29017,14
29019,227
29021,127
29023,72
29025,8
29027,62
29029,60
29031,199
29033,6
29035,15
29037,88
29039,17
29041,2
29043,80
29045,2
29047,177
29049,22
29051,224
29053,14
29055,19
29057,4
29059,15
29061,1
29063,53
29065,10
29067,9
29069,72
29071,84
29073,11
29075,2
29077,638
29079,8
29081,4
29083,25
29085,7
29087,3
29089,10
29091,42
29093,4
29095,2249
29097,180
29099,149
29101,47
29103,1
29105,40
29107,40
29109,22
29111,10
29113,43
29115,8
29117,16
29119,25
29121,9
29123,5
29125,7
29127,32
29129,1
29131,24
29133,97
29135,37
29137,6
29139,25
29141,25
29143,53
29145,44
29147,3
29149,10
29151,6
29153,10
29155,46
29157,14
29159,35
29161,61
29163,51
29165,85
29167,24
29169,34
29171,2
29173,7
29175,35
29177,25
29179,8
29181,16
29183,258
29185,6
29186,30
29187,126
29189,1628
29195,26
29201,80
29203,24
29205,6
29207,22
29209,162
29211,4
29213,66
29215,49
29217,24
29219,22
29221,55
29223,24
29225,21
29227,1
29229,13
29510,2975
30001,24
30003,50
30005,15
30007,6
30009,8
30011,2
30013,169
30015,20
30017,10
30019,3
30021,14
30023,12
30025,3
30027,14
30029,86
30031,107
30033,1
30035,48
30037,3
30039,3
30041,29
30043,18
30047,27
30049,109
30051,1
30053,19
30055,1
30057,9
30059,2
30061,7
30063,205
30065,7
30067,23
30071,4
30073,3
30075,3
30077,118
30079,1
30081,35
30083,22
30085,58
30087,28
30089,4
30091,3
30093,63
30095,15
30097,5
30099,5
30101,10
30103,1
30105,9
30107,1
30109,2
30111,373
31001,173
31003,1
31011,1
31013,3
31019,16
31021,2
31023,3
31025,10
31027,3
31029,2
31031,1
31033,7
31035,2
31037,6
31039,3
31041,5
31043,11
31045,5
31047,21
31049,3
31051,1
31053,18
31055,973
31057,3
31059,1
31065,5
31067,4
31069,1
31071,2
31075,1
31077,1
31079,95
31081,5
31083,3
31087,3
31089,2
31091,2
31097,35
31101,9
31105,4
31107,25
31109,318
31111,61
31119,23
31121,5
31123,1
31127,3
31129,3
31131,6
31133,1
31135,1
31137,2
31139,2
31141,16
31143,2
31145,6
31147,2
31151,4
31153,61
31155,7
31157,19
31159,6
31161,5
31167,1
31169,1
31171,1
31173,80
31175,1
31177,6
31179,4
31181,5
31185,14
32001,4
32003,6530
32005,16
32007,14
32013,1
32015,2
32017,1
32019,19
32023,19
32027,6
32029,3
32031,1386
32033,4
32510,19
33001,128
33003,47
33005,42
33007,97
33009,43
33011,365
33013,213
33015,215
33017,96
33019,17
34001,985
34003,1186
34005,730
34007,3363
34009,195
34011,289
34013,2480
34015,277
34017,772
34019,122
34021,1024
34023,6521
34025,755
34027,1616
34029,568
34031,633
34033,55
34035,342
34037,84
34039,813
34041,68
35001,1679
35003,2
35005,99
35006,104
35007,20
35009,44
35011,6
35013,3986
35015,77
35017,252
35019,25
35023,1502
35025,129
35027,20
35028,10
35029,1293
35031,91
35033,5
35035,154
35037,12
35039,70
35041,10
35043,128
35045,167
35047,28
35049,262
35051,15
35053,19
35055,46
35057,27
35059,22
35061,115
36001,742
36003,29
36005,2131
36007,226
36009,47
36011,142
36013,99
36015,145
36017,20
36019,222
36021,54
36023,45
36025,33
36027,408
36029,1802
36031,61
36033,200
36035,36
36037,192
36039,157
36041,6
36043,40
36045,226
36047,9099
36049,21
36051,83
36053,30
36055,1281
36057,37
36059,2052
36061,8009
36063,256
36065,335
36067,523
36069,63
36071,466
36073,72
36075,95
36077,24
36079,58
36081,2937
36083,125
36085,320
36087,324
36089,116
36091,139
36093,122
36095,13
36097,5
36099,102
36101,50
36103,2208
36105,117
36107,23
36109,53
36111,176
36113,47
36115,117
36117,61
36119,1489
36121,150
36123,8
37001,292
37003,82
37005,5
37007,52
37009,21
37011,11
37013,142
37015,8
37017,31
37019,76
37021,317
37023,52
37025,168
37027,52
37029,3
37031,33
37033,23
37035,111
37037,50
37039,28
37041,6
37043,5
37045,65
37047,50
37049,60
37051,435
37053,11
37055,37
37057,119
37059,28
37061,54
37063,423
37065,63
37067,370
37069,35
37071,182
37073,1
37075,10
37077,61
37079,8
37081,637
37083,32
37085,76
37087,33
37089,74
37091,20
37093,59
37095,4
37097,163
37099,42
37101,124
37103,7
37105,62
37107,53
37109,53
37111,59
37113,31
37115,19
37117,13
37119,1487
37121,33
37123,18
37125,64
37127,113
37129,270
37131,8
37133,111
37135,107
37137,7
37139,39
37141,46
37143,7
37145,27
37147,159
37149,21
37151,66
37153,74
37155,144
37157,81
37159,163
37161,65
37163,54
37165,86
37167,58
37169,20
37171,64
37173,44
37175,31
37177,2
37179,92
37181,71
37183,873
37185,5
37187,18
37189,26
37191,85
37193,42
37195,120
37197,14
37199,9
38001,3
38003,3
38005,21
38007,4
38009,6
38011,5
38013,3
38015,199
38017,228
38019,1
38021,2
38023,4
38025,11
38027,2
38029,5
38031,1
38035,51
38037,3
38039,1
38041,2
38043,1
38045,1
38047,1
38049,3
38053,85
38055,12
38057,6
38059,35
38061,88
38063,2
38065,3
38067,12
38069,4
38071,11
38073,2
38077,8
38079,48
38081,2
38083,1
38085,65
38087,1
38089,38
38093,42
38097,2
38099,8
38101,68
38103,3
38105,95
39001,139
39003,96
39005,26
39007,98
39009,29
39011,15
39013,45
39015,17
39017,237
39019,12
39021,21
39023,87
39025,105
39027,24
39029,170
39031,12
39033,26
39035,2579
39037,23
39039,27
39041,67
39043,112
39045,59
39047,11
39049,1613
39051,21
39053,16
39055,64
39057,106
39059,31
39061,1026
39063,27
39065,10
39067,10
39069,18
39071,13
39073,12
39075,11
39077,40
39079,23
39081,34
39083,20
39085,166
39087,14
39089,76
39091,17
39093,278
39095,545
39097,49
39099,382
39101,149
39103,115
39105,16
39107,10
39109,51
39111,13
39113,889
39115,5
39117,23
39119,70
39121,27
39123,22
39125,8
39127,26
39129,31
39131,11
39133,134
39135,22
39137,13
39139,123
39141,87
39143,40
39145,129
39147,28
39149,17
39151,336
39153,578
39155,175
39157,47
39159,32
39161,13
39163,5
39165,141
39167,37
39169,58
39171,22
39173,90
39175,5
40001,71
40003,53
40005,35
40007,4
40009,57
40011,4
40013,49
40015,33
40017,149
40019,60
40021,52
40023,31
40025,4
40027,249
40029,14
40031,316
40033,5
40035,22
40037,43
40039,19
40041,27
40043,5
40045,2
40047,42
40049,28
40051,45
40053,3
40055,18
40057,5
40059,1
40061,24
40063,79
40065,8
40067,7
40069,6
40071,41
40073,16
40075,9
40077,21
40079,92
40081,38
40083,32
40085,14
40087,38
40089,48
40091,45
40093,1
40095,29
40097,60
40099,17
40101,200
40103,7
40105,14
40107,27
40109,1275
40111,61
40113,60
40115,39
40117,17
40119,99
40121,157
40123,51
40125,49
40127,15
40129,3
40131,59
40133,40
40135,92
40137,32
40139,10
40141,3
40143,959
40145,65
40147,27
40149,4
40151,11
40153,18
41001,9
41003,27
41005,337
41007,25
41009,40
41011,66
41013,13
41015,26
41017,133
41019,93
41021,1
41023,7
41025,17
41027,12
41029,176
41031,59
41033,73
41035,99
41037,18
41039,445
41041,33
41043,93
41045,200
41047,415
41049,5
41051,1745
41053,37
41055,1
41057,28
41059,197
41061,15
41063,5
41065,24
41067,365
41069,2
41071,172
42001,174
42003,2236
42005,42
42007,140
42009,32
42011,470
42013,95
42015,56
42017,819
42019,161
42021,226
42023,6
42025,68
42027,199
42029,586
42031,20
42033,176
42035,45
42037,58
42039,80
42041,263
42043,663
42045,754
42047,15
42049,419
42051,211
42053,123
42055,156
42057,12
42059,167
42061,156
42063,71
42065,22
42067,7
42069,498
42071,367
42073,81
42075,119
42077,442
42079,648
42081,147
42083,79
42085,78
42087,24
42089,268
42091,1166
42093,25
42095,291
42097,129
42099,27
42101,5659
42103,263
42105,14
42107,347
42109,29
42111,127
42113,7
42115,55
42117,34
42119,397
42121,29
42123,25
42125,224
42127,179
42129,298
42131,45
42133,608
44003,37
44005,3
44007,1375
44009,20
45001,59
45003,173
45005,56
45007,308
45009,16
45011,35
45013,193
45015,172
45017,17
45019,1066
45021,73
45023,44
45025,73
45027,38
45029,64
45031,124
45033,64
45035,210
45037,85
45039,28
45041,258
45043,62
45045,1075
45047,117
45049,81
45051,448
45053,82
45055,91
45057,73
45059,70
45061,40
45063,283
45065,33
45067,35
45069,132
45071,49
45073,56
45075,131
45077,92
45079,1040
45081,14
45083,498
45085,113
45087,29
45089,112
45091,198
46003,37
46005,15
46007,4
46009,23
46011,17
46013,20
46015,2
46017,13
46019,1
46021,4
46023,18
46025,4
46027,7
46029,27
46031,41
46033,7
46035,14
46037,13
46039,1
46041,93
46043,1
46045,2
46047,4
46049,2
46051,1
46053,6
46057,1
46059,1
46061,1
