fips,var,val,year
27127,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2002(0.1006,0.4554,0.4147,0.3062)",2020
47177,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7836(0.7097,0.9386,0.4605,0.613)",2020
38013,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.008(0.0048,0.049,0.1983,0.0662)",2020
20161,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5557(0.5353,0.0503,0.6085,0.9427)",2020
48045,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5197(0.7957,0.5987,0.8049,0.0487)",2020
05085,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3046(0.3237,0.6432,0.4443,0.1518)",2020
27049,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1693(0.113,0.1626,0.289,0.4723)",2020
36027,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4561(0.3154,0.1671,0.6763,0.8148)",2020
39103,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0111(0.0197,0.063,0.1983,0.0442)",2020
35061,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8676(0.7546,0.909,0.9564,0.7002)",2020
13113,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1397(0.1292,0.4545,0.789,0.0372)",2020
40151,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4433(0.5423,0.1935,0.507,0.4577)",2020
01033,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3475(0.4647,0.6346,0.577,0.0761)",2020
36051,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2266(0.2142,0.0442,0.3189,0.6636)",2020
48141,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9803(0.9838,0.9118,0.992,0.8781)",2020
42005,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1735(0.2438,0.197,0.0169,0.3036)",2020
27031,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1817(0.0815,0.1432,0.4574,0.5506)",2020
39145,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7511(0.7788,0.4481,0.1945,0.9376)",2020
51171,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.359(0.5124,0.5318,0.4055,0.14)",2020
36107,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1343(0.2428,0.1359,0.1181,0.1941)",2020
21045,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8663(0.9491,0.9147,0.1127,0.7218)",2020
21065,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8361(0.8978,0.9281,0.0169,0.7463)",2020
42089,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3994(0.5417,0.3008,0.7397,0.1766)",2020
37165,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.993(0.987,0.7673,0.9106,0.9965)",2020
47147,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3097(0.3924,0.5165,0.5115,0.1359)",2020
42125,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1859(0.1203,0.1639,0.2562,0.5325)",2020
35029,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9971(0.9704,0.999,0.9675,0.8969)",2020
36089,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6919(0.6108,0.3138,0.2613,0.9822)",2020
06015,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9462(0.8144,0.7788,0.7801,0.9968)",2020
