rank,instr,k,category,tier,riskClass,criticality,footprint_score,footprint_frac_score,rank_gap,corroboration,DB,IR,nPlat,nDs,fracDs,allPubs,nKeywords,nProjects,nDaacs,firstStartYear,lastStartYear,R1_cmMentionPapers,R1b_platMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R4_modelTitlePubs,R5_nModelVars,R5_nSoleVars,R5_soleVars,soleKeyword,nSources
36,OLS,ols,science instrument,B,A: broadly relied on,32.0346,58.6092,79.3799,19.0,3,0.4188,0.0,10,116,94.1667,1649.0,30,11,6,1958,2021,0.0,7.0,0.0,0.0,8.0,91.0,0,0.0,,,2
37,SSM/I,ssm/i,science instrument,B,A: broadly relied on,32.0346,61.6,88.0578,2.0,3,0.4188,0.0,10,143,144.167,1650.0,30,14,6,1958,2021,0.0,7.0,0.0,0.0,8.0,91.0,0,0.0,,,2
38,WINDSAT,windsat,science instrument,A,A: broadly relied on,31.6188,34.5387,49.2804,127.0,5,0.3022,0.0,2,21,21.0,311.0,14,7,3,1988,2014,3.0,1.0,3.0,3.0,1.0,14.0,0,0.0,,,2
39,GMI,gmi,science instrument,A,A: broadly relied on,31.2946,46.9288,53.1051,52.0,5,0.2963,0.0,1,51,25.5,166.0,13,9,3,1982,2022,1.0,7.0,1.0,1.0,1.0,13.0,0,0.0,,,2
40,LIS,lis,science instrument,B,A: broadly relied on,29.531,67.171,51.3558,-12.0,4,0.3187,0.0,2,211,23.3377,546.0,42,20,7,1979,2022,2.0,19.0,0.0,0.0,1.0,14.0,0,0.0,,,2
41,ASCAT,ascat,science instrument,B,A: broadly relied on,29.2988,56.3478,43.813,16.0,4,0.3145,0.0,5,99,15.8611,824.0,38,18,7,1982,2025,5.0,13.0,1.0,1.0,0.0,15.0,0,0.0,,,2
42,VIRS,virs,science instrument,B,A: broadly relied on,29.0019,53.3126,37.5446,16.0,4,0.3091,0.0,1,80,11.4286,200.0,29,11,5,1982,2014,2.0,17.0,0.0,0.0,1.0,12.0,0,0.0,,,2
43,GEDI,gedi,science instrument,B,—,28.9917,60.3467,38.3242,0.0,3,0.1286,0.4307,1,131,11.9091,350.0,37,10,6,1979,2022,2.0,2.0,0.0,0.0,0.0,2.0,0,1.0,TOTVEGC_ABG,,2
44,HIRS,hirs,science instrument,B,A: broadly relied on,28.9734,64.7339,71.0279,-13.0,4,0.3086,0.0,9,178,62.3857,697.0,34,19,7,1970,2021,5.0,4.0,0.0,0.0,1.0,25.0,0,0.0,,,2
45,GLAS,glas,science instrument,B,A: broadly relied on,28.4712,36.3799,24.4478,107.0,4,0.2995,0.0,2,24,5.5714,242.0,22,1,2,1958,2007,2.0,17.0,0.0,0.0,1.0,9.0,0,0.0,,,2
46,DORIS,doris,science instrument,B,A: broadly relied on,28.029,65.4405,70.742,-16.0,3,0.346,0.0,16,187,61.5099,988.0,56,23,8,1950,2022,0.0,62.0,0.0,0.0,2.0,11.0,0,0.0,,,2
47,LIMS,lims,science instrument,B,A: broadly relied on,26.545,52.2041,31.4123,19.0,3,0.319,0.0,1,74,8.2222,1536.0,24,6,5,1966,2005,1.0,0.0,0.0,0.0,5.0,69.0,0,0.0,,,2
48,OMPS,omps,science instrument,B,A: broadly relied on,25.5577,88.1076,88.0274,-41.0,4,0.2465,0.0,3,906,143.952,679.0,54,24,13,1978,2025,2.0,4.0,0.0,0.0,1.0,9.0,0,0.0,,,2
49,ASAR,asar,science instrument,B,A: broadly relied on,24.5466,51.2103,34.7665,25.0,3,0.2827,0.0,1,69,9.8571,657.0,39,8,6,1982,2021,0.0,36.0,0.0,0.0,1.0,8.0,0,0.0,,,2
50,RA-2,ra-2,science instrument,B,A: broadly relied on,24.5466,51.2103,34.7665,25.0,3,0.2827,0.0,1,69,9.8571,657.0,39,8,6,1982,2021,0.0,36.0,0.0,0.0,1.0,8.0,0,0.0,,,2
51,MHS,mhs,science instrument,B,—,24.2826,62.6603,56.2757,-15.0,4,0.2233,0.0,5,154,29.9206,407.0,29,16,6,1970,2025,2.0,0.0,1.0,1.0,1.0,12.0,0,0.0,,,2
52,SRTM,srtm,science instrument,B,—,24.1231,36.3799,38.4684,100.0,4,0.2204,0.0,2,24,12.0,1059.0,7,4,2,1994,2000,1.0,0.0,1.0,6.0,2.0,7.0,0,0.0,,,2
53,SEVIRI,seviri,science instrument,B,—,24.0328,45.4726,63.9112,48.0,4,0.2188,0.0,6,46,43.8333,64.0,18,8,3,1982,2023,8.0,5.0,1.0,1.0,0.0,1.0,0,0.0,,,2
54,MSS,mss,science instrument,B,—,23.7046,48.99,60.2405,34.0,4,0.2128,0.0,5,59,36.5,520.0,29,5,4,1948,2013,1.0,0.0,1.0,1.0,1.0,14.0,0,0.0,,,2
55,CERES-PFM,ceres-pfm,science instrument,B,A: broadly relied on,23.6515,53.3126,37.5446,3.0,3,0.2664,0.0,1,80,11.4286,200.0,29,11,5,1982,2014,0.0,17.0,0.0,0.0,1.0,12.0,0,0.0,,,2
56,PR,pr,science instrument,B,A: broadly relied on,23.6515,53.3126,37.5446,3.0,3,0.2664,0.0,1,80,11.4286,200.0,29,11,5,1982,2014,0.0,17.0,0.0,0.0,1.0,12.0,0,0.0,,,2
57,AVHRR-3,avhrr-3,science instrument,B,A: broadly relied on,23.0864,79.0016,76.5888,-36.0,3,0.2561,0.0,8,481,82.0813,650.0,44,32,13,1970,2025,0.0,4.0,0.0,0.0,2.0,17.0,0,0.0,,,2
58,GOME,gome,science instrument,B,A: broadly relied on,22.8514,36.3799,12.457,94.0,3,0.2518,0.0,1,24,2.6667,744.0,27,9,5,1985,2021,16.0,0.0,2.0,6.0,0.0,10.0,0,0.0,,,2
59,PALSAR,palsar,science instrument,B,—,22.7807,28.0284,39.9914,133.0,4,0.196,0.0,1,13,13.0,978.0,24,1,2,1992,2014,1.0,3.0,0.0,0.0,1.0,4.0,0,0.0,,,2
60,SBUV/2,sbuv/2,science instrument,B,A: broadly relied on,22.5602,65.893,70.9211,-31.0,3,0.2465,0.0,7,193,62.0571,960.0,34,20,7,1970,2022,0.0,4.0,0.0,0.0,1.0,31.0,0,0.0,,,2
61,SAMS,sams,science instrument,B,—,22.0621,52.2041,31.4123,5.0,2,0.292,0.0,1,74,8.2222,1536.0,24,6,5,1966,2005,0.0,0.0,0.0,0.0,5.0,69.0,0,0.0,,,2
62,THIR,thir,science instrument,B,—,22.0621,59.6766,44.1821,-7.0,2,0.292,0.0,4,125,16.1667,1544.0,28,8,5,1966,2005,0.0,0.0,0.0,0.0,5.0,69.0,0,0.0,,,2
63,CZCS,czcs,science instrument,B,—,22.0621,52.2041,31.4123,5.0,2,0.292,0.0,1,74,8.2222,1536.0,24,6,5,1966,2005,0.0,0.0,0.0,0.0,5.0,69.0,0,0.0,,,2
64,ERB-SCANNER,erb-scanner,science instrument,B,A: broadly relied on,22.0241,60.1268,50.7232,-12.0,3,0.2368,0.0,3,129,22.6,644.0,32,15,7,1970,2016,0.0,5.0,0.0,0.0,1.0,19.0,0,0.0,,,2
65,HIRS/2,hirs/2,science instrument,B,A: broadly relied on,21.9783,61.3985,69.2599,-26.0,3,0.236,0.0,9,141,57.1607,679.0,35,15,8,1970,2021,0.0,4.0,0.0,0.0,1.0,23.0,0,0.0,,,2
66,AVHRR-2,avhrr-2,science instrument,B,A: broadly relied on,21.9783,61.1942,67.3156,-24.0,3,0.236,0.0,7,139,51.9107,679.0,35,15,8,1970,2021,0.0,4.0,0.0,0.0,1.0,23.0,0,0.0,,,2
67,DPR,dpr,science instrument,B,A: broadly relied on,21.957,46.9288,53.1051,24.0,3,0.2356,0.0,1,51,25.5,166.0,13,9,3,1982,2022,0.0,7.0,0.0,0.0,1.0,13.0,0,0.0,,,2
68,IASI,iasi,science instrument,B,A: broadly relied on,21.7162,51.8148,35.2417,3.0,3,0.2312,0.0,2,72,10.1111,134.0,23,12,6,1982,2025,9.0,0.0,2.0,2.0,0.0,10.0,0,0.0,,,2
69,OLI,oli,science instrument,B,—,20.8101,46.0729,55.9942,27.0,3,0.2147,0.0,2,48,29.5,1051.0,22,6,3,1972,2023,4.0,0.0,0.0,0.0,1.0,14.0,0,0.0,,,2
70,TIRS,tirs,science instrument,B,—,20.8101,46.0729,51.9075,27.0,3,0.2147,0.0,1,48,24.0,1051.0,22,6,3,1972,2023,4.0,0.0,0.0,0.0,1.0,14.0,0,0.0,,,2
71,SMAP L-BAND RADIOMETER,smap l-band radiometer,science instrument,B,—,20.5762,49.4623,46.5361,12.0,3,0.2105,0.0,2,61,18.25,836.0,16,2,4,2011,2025,0.0,4.0,0.0,0.0,1.0,11.0,0,0.0,,,2
