county,fips5,bridge,county_name,individuals_amphibian,individuals_bird,records_amphibian,records_bird,species_n_amphibian,species_n_bird,sentinel_species,best_tier_w,sentinel_records,best_tier,host_species,frs_facilities,spoke_chemicals_found,spoke_sdoh_measures,adult_asthma_pct,per_capita_income,cm_cities,rcms,climate_papers,lat,lon,total_species,total_records,pfas_samples_in_county,log_facilities,n_sentinel_species,n_best_tier_w,n_host_species,n_log_facilities,n_total_species,n_adult_asthma_pct,priority,rank,conf_tier,evidence,sources_n,sources
Sarasota County,12115,verified L8,Sarasota,47.0,81.0,10.0,53.0,10.0,53.0,3.0,3.0,3.0,I2,1.0,2489,145,1117,8.0,44402,3,3,6,27.32019707772083,-82.60251750242672,63.0,63.0,0,3.3960248966085933,0.2727272727272727,0.6,0.25,0.7290989759024046,0.5688073394495413,0.17241379310344826,0.4218757027100831,11,A,"3 sentinel-capable sp. (best tier I2); 1 pathogen-host sp.; 63 spp. observed (53 bird / 10 amphibian); 2,489 EPA FRS facilities; adult asthma 8.0%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Pasco County,12101,verified L8,Pasco,80.0,19.0,16.0,15.0,16.0,15.0,2.0,3.0,2.0,I2,2.0,2752,143,1107,8.4,29498,6,3,0,28.278183951670663,-82.7176991548576,31.0,31.0,0,3.4396484295634737,0.18181818181818182,0.6,0.5,0.7497696916341406,0.27522935779816515,0.31034482758620696,0.41581487543462325,12,A,"2 sentinel-capable sp. (best tier I2); 2 pathogen-host sp.; 31 spp. observed (15 bird / 16 amphibian); 2,752 EPA FRS facilities; adult asthma 8.4%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Manatee County,12081,verified L8,Manatee,45.0,29.0,8.0,24.0,8.0,24.0,2.0,3.0,2.0,I2,2.0,2059,146,1109,8.6,35146,3,3,0,27.52895944163995,-82.42958379039023,32.0,32.0,0,3.3136563466180315,0.18181818181818182,0.6,0.5,0.6900691961766039,0.28440366972477066,0.379310344827586,0.41329175239224647,13,A,"2 sentinel-capable sp. (best tier I2); 2 pathogen-host sp.; 32 spp. observed (24 bird / 8 amphibian); 2,059 EPA FRS facilities; adult asthma 8.6%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Lee County,12071,verified L8,Lee,73.0,47.0,13.0,34.0,13.0,34.0,1.0,4.0,1.0,I1,1.0,5093,145,1119,8.3,34818,8,3,0,26.746605108105303,-81.95127561002303,47.0,47.0,0,3.7069736761761782,0.09090909090909091,0.8,0.25,0.8764399497804204,0.42201834862385323,0.27586206896551746,0.41110101001575455,14,A,"1 sentinel-capable sp. (best tier I1); 1 pathogen-host sp.; 47 spp. observed (34 bird / 13 amphibian); 5,093 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Collier County,12021,verified L8,Collier,140.0,96.0,18.0,52.0,18.0,52.0,2.0,1.0,3.0,I4,3.0,1900,143,1097,7.6,46785,5,3,1,26.12475077294162,-81.1463161211935,70.0,70.0,0,3.278753600952829,0.18181818181818182,0.2,0.75,0.673530766456831,0.6330275229357798,0.03448275862068953,0.40938686243296013,15,A,"2 sentinel-capable sp. (best tier I4); 3 pathogen-host sp.; 70 spp. observed (52 bird / 18 amphibian); 1,900 EPA FRS facilities; adult asthma 7.6%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Hernando County,12053,verified L8,Hernando,46.0,13.0,18.0,12.0,18.0,12.0,1.0,5.0,1.0,M,1.0,1070,143,1091,8.6,26520,1,3,0,28.58129013344362,-82.65724067139712,30.0,30.0,0,3.0293837776852097,0.09090909090909091,1.0,0.25,0.555368564093037,0.26605504587155965,0.379310344827586,0.3974696281685738,16,A,"1 sentinel-capable sp. (best tier M); 1 pathogen-host sp.; 30 spp. observed (12 bird / 18 amphibian); 1,070 EPA FRS facilities; adult asthma 8.6%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Charlotte County,12015,verified L8,Charlotte,28.0,25.0,7.0,24.0,7.0,24.0,2.0,2.0,2.0,I3,2.0,975,142,1072,8.8,33275,3,3,0,26.952491810959444,-82.00575596076499,31.0,31.0,0,2.989004615698537,0.18181818181818182,0.4,0.5,0.5362351715781409,0.27522935779816515,0.4482758620689657,0.3570872847520412,17,B,2 sentinel-capable sp. (best tier I3); 2 pathogen-host sp.; 31 spp. observed (24 bird / 7 amphibian); 975 EPA FRS facilities; adult asthma 8.8%; contaminant samples in county: 0,6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Clay County,12019,verified L8,Clay,28.0,8.0,16.0,8.0,16.0,8.0,1.0,5.0,1.0,M,0.0,1155,141,1080,8.6,32037,3,3,0,30.06037823345315,-81.82769081121819,24.0,24.0,0,3.062581984228163,0.09090909090909091,1.0,0.0,0.5710993094905411,0.21100917431192662,0.379310344827586,0.34220135431352194,18,B,"1 sentinel-capable sp. (best tier M); 0 pathogen-host sp.; 24 spp. observed (8 bird / 16 amphibian); 1,155 EPA FRS facilities; adult asthma 8.6%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Citrus County,12017,verified L8,Citrus,51.0,31.0,13.0,26.0,13.0,26.0,3.0,3.0,3.0,I2,0.0,619,142,1086,9.2,28174,0,0,0,28.82893634608188,-82.6673803811939,39.0,39.0,0,2.791690649020118,0.2727272727272727,0.6,0.0,0.4427392844080365,0.3486238532110092,0.5862068965517239,0.32957834169216355,19,B,3 sentinel-capable sp. (best tier I2); 0 pathogen-host sp.; 39 spp. observed (26 bird / 13 amphibian); 619 EPA FRS facilities; adult asthma 9.2%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Santa Rosa County,12113,verified L8,Santa Rosa,46.0,9.0,19.0,9.0,19.0,9.0,2.0,4.0,2.0,I1,0.0,1015,144,1105,8.3,32322,3,3,2,30.984546398014903,-86.96393265524841,28.0,28.0,0,3.0064660422492318,0.18181818181818182,0.8,0.0,0.5445091503242759,0.24770642201834864,0.27586206896551746,0.3258814908950289,20,B,"2 sentinel-capable sp. (best tier I1); 0 pathogen-host sp.; 28 spp. observed (9 bird / 19 amphibian); 1,015 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Marion County,12083,verified L8,Marion,69.0,25.0,24.0,20.0,24.0,20.0,1.0,3.0,1.0,I2,0.0,2419,144,1090,9.0,26990,1,3,0,29.363827864455622,-82.16948793283655,44.0,44.0,0,3.3836358683618797,0.09090909090909091,0.6,0.0,0.7232285187492634,0.3944954128440367,0.5172413793103448,0.31120662215788086,21,B,"1 sentinel-capable sp. (best tier I2); 0 pathogen-host sp.; 44 spp. observed (20 bird / 24 amphibian); 2,419 EPA FRS facilities; adult asthma 9.0%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Broward County,12011,verified L8,Broward,22.0,24.0,8.0,20.0,8.0,20.0,1.0,3.0,1.0,I2,0.0,7302,144,1140,7.8,34063,24,3,0,26.11823749256257,-80.55238011597748,28.0,28.0,0,3.8634418286137087,0.09090909090909091,0.6,0.0,0.9505813244244998,0.24770642201834864,0.1034482758620689,0.298716734859156,22,B,"1 sentinel-capable sp. (best tier I2); 0 pathogen-host sp.; 28 spp. observed (20 bird / 8 amphibian); 7,302 EPA FRS facilities; adult asthma 7.8%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Highlands County,12055,verified L8,Highlands,105.0,15.0,18.0,14.0,18.0,14.0,2.0,2.0,2.0,I3,1.0,753,141,1060,8.6,27979,0,0,0,27.339409199368717,-81.3746008289168,32.0,32.0,0,2.8767949762007006,0.18181818181818182,0.4,0.25,0.48306539363238504,0.28440366972477066,0.379310344827586,0.29845129608694027,23,B,2 sentinel-capable sp. (best tier I3); 1 pathogen-host sp.; 32 spp. observed (14 bird / 18 amphibian); 753 EPA FRS facilities; adult asthma 8.6%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Osceola County,12097,verified L8,Osceola,60.0,21.0,13.0,17.0,13.0,17.0,1.0,1.0,1.0,I4,2.0,1787,142,1102,8.1,24146,4,3,0,28.257792992853933,-81.30817852077075,30.0,30.0,0,3.252124552505644,0.09090909090909091,0.2,0.5,0.660912772145648,0.26605504587155965,0.2068965517241378,0.29151424347971466,24,B,"1 sentinel-capable sp. (best tier I4); 2 pathogen-host sp.; 30 spp. observed (17 bird / 13 amphibian); 1,787 EPA FRS facilities; adult asthma 8.1%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Seminole County,12117,verified L8,Seminole,63.0,27.0,14.0,24.0,14.0,24.0,2.0,1.0,2.0,I4,1.0,2790,141,1116,8.0,36016,7,3,0,28.773993732448,-81.4040838957511,38.0,38.0,0,3.4456042032735974,0.18181818181818182,0.2,0.25,0.7525917946823244,0.3394495412844037,0.17241379310344826,0.2876055999294784,25,B,"2 sentinel-capable sp. (best tier I4); 1 pathogen-host sp.; 38 spp. observed (24 bird / 14 amphibian); 2,790 EPA FRS facilities; adult asthma 8.0%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Volusia County,12127,verified L8,Volusia,36.0,16.0,11.0,15.0,11.0,15.0,1.0,3.0,1.0,I2,0.0,3073,145,1119,8.3,29859,8,3,1,28.7402627039306,-80.7785933432176,26.0,26.0,0,3.4875625602563782,0.09090909090909091,0.6,0.0,0.7724734780539765,0.22935779816513763,0.27586206896551746,0.2835791618489482,26,B,"1 sentinel-capable sp. (best tier I2); 0 pathogen-host sp.; 26 spp. observed (15 bird / 11 amphibian); 3,073 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Escambia County,12033,verified L8,Escambia,68.0,16.0,27.0,15.0,27.0,15.0,1.0,2.0,1.0,I3,0.0,2342,151,1114,9.3,29166,9,3,0,30.77900285928655,-87.37585586179792,42.0,42.0,0,3.369586890736344,0.09090909090909091,0.4,0.0,0.7165715058218757,0.3761467889908257,0.6206896551724139,0.27319487329878045,27,B,"1 sentinel-capable sp. (best tier I3); 0 pathogen-host sp.; 42 spp. observed (15 bird / 27 amphibian); 2,342 EPA FRS facilities; adult asthma 9.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Hendry County,12051,verified L8,Hendry,34.0,9.0,15.0,8.0,15.0,8.0,1.0,1.0,1.0,I4,2.0,422,145,998,8.8,20122,0,0,0,26.587124114337936,-81.11355434266586,23.0,23.0,0,2.625312450961674,0.09090909090909091,0.2,0.5,0.3639021017437695,0.2018348623853211,0.4482758620689657,0.25959330469551967,28,B,1 sentinel-capable sp. (best tier I4); 2 pathogen-host sp.; 23 spp. observed (8 bird / 15 amphibian); 422 EPA FRS facilities; adult asthma 8.8%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Saint Johns County,12109,repaired Saint->St.,St. Johns,59.0,13.0,14.0,12.0,14.0,12.0,1.0,1.0,1.0,I4,1.0,1562,141,1079,8.3,43433,4,3,0,29.84898480155067,-81.21699840343739,26.0,26.0,0,3.1936810295412816,0.09090909090909091,0.2,0.25,0.6332197044886331,0.22935779816513763,0.27586206896551746,0.236868709021107,29,B,"1 sentinel-capable sp. (best tier I4); 1 pathogen-host sp.; 26 spp. observed (12 bird / 14 amphibian); 1,562 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Okeechobee County,12093,verified L8,Okeechobee,22.0,17.0,12.0,14.0,12.0,14.0,2.0,2.0,2.0,I3,0.0,406,141,1021,8.9,23133,0,0,0,27.017007824456872,-80.82670027712663,26.0,26.0,0,2.6085260335771943,0.18181818181818182,0.4,0.0,0.3559479715208062,0.22935779816513763,0.48275862068965525,0.23121365592390192,30,B,2 sentinel-capable sp. (best tier I3); 0 pathogen-host sp.; 26 spp. observed (14 bird / 12 amphibian); 406 EPA FRS facilities; adult asthma 8.9%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Dixie County,12029,verified L8,Dixie,6.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,I3,1.0,110,140,900,9.8,19911,0,0,0,29.45565233248205,-83.3660880353189,7.0,7.0,0,2.041392685158225,0.09090909090909091,0.4,0.25,0.08721567422427103,0.05504587155963303,0.7931034482758622,0.2145497438961852,31,B,1 sentinel-capable sp. (best tier I3); 1 pathogen-host sp.; 7 spp. observed (3 bird / 4 amphibian); 110 EPA FRS facilities; adult asthma 9.8%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Lake County,12069,verified L8,Lake,46.0,16.0,15.0,14.0,15.0,14.0,0.0,0.0,0.0,none,1.0,2128,145,1113,8.3,29426,5,3,0,28.62392183557449,-81.79124705895957,29.0,29.0,0,3.3279716236230104,0.0,0.0,0.25,0.6968523932619254,0.25688073394495414,0.27586206896551746,0.18080988605255094,32,B,"0 sentinel-capable sp. (best tier none); 1 pathogen-host sp.; 29 spp. observed (14 bird / 15 amphibian); 2,128 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Putnam County,12107,verified L8,Putnam,32.0,9.0,17.0,9.0,17.0,9.0,0.0,0.0,0.0,none,1.0,543,148,1061,9.7,22257,0,0,0,29.64367220657317,-81.78027808142588,26.0,26.0,0,2.734799829588847,0.0,0.0,0.25,0.4157819548073911,0.22935779816513763,0.758620689655172,0.16764138282111343,33,B,0 sentinel-capable sp. (best tier none); 1 pathogen-host sp.; 26 spp. observed (9 bird / 17 amphibian); 543 EPA FRS facilities; adult asthma 9.7%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Martin County,12085,verified L8,Martin,38.0,17.0,13.0,15.0,13.0,15.0,0.0,0.0,0.0,none,1.0,1184,142,1077,7.9,43758,2,3,0,26.973007001376526,-80.46357061141781,28.0,28.0,0,3.073351702386901,0.0,0.0,0.25,0.5762024675222492,0.24770642201834864,0.13793103448275873,0.15824268268919317,34,B,"0 sentinel-capable sp. (best tier none); 1 pathogen-host sp.; 28 spp. observed (15 bird / 13 amphibian); 1,184 EPA FRS facilities; adult asthma 7.9%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Jackson County,12063,verified L8,Jackson,98.0,1.0,25.0,1.0,25.0,1.0,0.0,0.0,0.0,none,1.0,381,146,1027,9.6,21058,0,0,0,30.85166845762893,-85.11492966299454,26.0,26.0,0,2.5809249756756194,0.0,0.0,0.25,0.34286939711077985,0.22935779816513763,0.7241379310344825,0.1571677379664856,35,B,0 sentinel-capable sp. (best tier none); 1 pathogen-host sp.; 26 spp. observed (1 bird / 25 amphibian); 381 EPA FRS facilities; adult asthma 9.6%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Franklin County,12037,verified L8,Franklin,94.0,14.0,22.0,13.0,22.0,13.0,1.0,1.0,1.0,I4,0.0,142,140,906,8.9,26211,0,0,0,29.96571430542564,-84.70126741314157,35.0,35.0,0,2.1522883443830563,0.09090909090909091,0.2,0.0,0.13976283151414173,0.3119266055045872,0.48275862068965525,0.14873265680450337,36,B,1 sentinel-capable sp. (best tier I4); 0 pathogen-host sp.; 35 spp. observed (13 bird / 22 amphibian); 142 EPA FRS facilities; adult asthma 8.9%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Monroe County,12087,verified L8,Monroe,90.0,74.0,13.0,45.0,13.0,45.0,0.0,0.0,0.0,none,0.0,988,141,1047,7.5,47382,1,3,0,25.13947963570052,-81.6540785876179,58.0,58.0,0,2.9947569445876283,0.0,0.0,0.0,0.5389608736753287,0.5229357798165137,0.0,0.13265695621718623,37,B,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 58 spp. observed (45 bird / 13 amphibian); 988 EPA FRS facilities; adult asthma 7.5%; contaminant samples in county: 0,6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Okaloosa County,12091,verified L8,Okaloosa,65.0,8.0,21.0,8.0,21.0,8.0,0.0,0.0,0.0,none,0.0,1238,141,1106,8.6,34357,3,3,0,30.76545882256282,-86.7600696602539,29.0,29.0,0,3.0927206446840994,0.0,0.0,0.0,0.5853803096897758,0.25688073394495414,0.379310344827586,0.12260564981699644,38,B,"0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 29 spp. observed (8 bird / 21 amphibian); 1,238 EPA FRS facilities; adult asthma 8.6%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Bay County,12005,verified L8,Bay,24.0,4.0,11.0,4.0,11.0,4.0,0.0,0.0,0.0,none,0.0,1617,143,1109,8.9,30774,2,3,0,30.063804323352883,-85.59707056676258,15.0,15.0,0,3.208710019906401,0.0,0.0,0.0,0.6403410898173659,0.12844036697247707,0.48275862068965525,0.11767610951898869,39,C,"0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 15 spp. observed (4 bird / 11 amphibian); 1,617 EPA FRS facilities; adult asthma 8.9%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Indian River County,12061,verified L8,Indian River,14.0,15.0,10.0,14.0,10.0,14.0,0.0,0.0,0.0,none,0.0,1435,143,1056,8.4,38274,4,3,1,27.671410072733128,-80.63046059303447,24.0,24.0,0,3.156851901070011,0.0,0.0,0.0,0.615768471319036,0.21100917431192662,0.31034482758620696,0.11684065059814513,40,C,"0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 24 spp. observed (14 bird / 10 amphibian); 1,435 EPA FRS facilities; adult asthma 8.4%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Jefferson County,12065,verified L8,Jefferson,43.0,1.0,16.0,1.0,16.0,1.0,0.0,0.0,0.0,none,1.0,114,140,910,9.6,25795,0,0,0,30.19800765490457,-84.02905852163313,17.0,17.0,0,2.0569048513364727,0.0,0.0,0.25,0.09456600914064871,0.14678899082568808,0.7241379310344825,0.11663738645594142,41,C,0 sentinel-capable sp. (best tier none); 1 pathogen-host sp.; 17 spp. observed (1 bird / 16 amphibian); 114 EPA FRS facilities; adult asthma 9.6%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Liberty County,12077,verified L8,Liberty,73.0,2.0,27.0,2.0,27.0,2.0,0.0,0.0,0.0,none,1.0,72,145,864,9.3,19585,0,0,0,30.38733255651748,-84.87934954093932,29.0,29.0,0,1.8573324964312685,0.0,0.0,0.25,0.0,0.25688073394495414,0.6206896551724139,0.11442897817146475,42,C,0 sentinel-capable sp. (best tier none); 1 pathogen-host sp.; 29 spp. observed (2 bird / 27 amphibian); 72 EPA FRS facilities; adult asthma 9.3%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
