comid,s2
10264056,9829398639649226752
10264076,9829564356667375616
10264076,9829571572212432896
10264076,9829571606572171264
10264078,9829398536570011648
10264088,9829398192972627968
10264088,9829398227332366336
10264088,9829398261692104704
10264104,9829593734243680256
10264114,9829407092144865280
10264116,9829407092144865280
10264118,9829398261692104704
10264124,9829407092144865280
10264126,9829570713218973696
10264126,9829570747578712064
10264128,9829570713218973696
10264128,9829570747578712064
10264130,9829571262974787584
10264144,9829397437058383872
10264144,9829397540137598976
10264150,9829397299619430400
10264150,9829397437058383872
10264154,9829592359854145536
10264154,9829592394213883904
10264156,9829592394213883904
10264156,9829594215280017408
10264156,9829594249639755776
10264178,9829405580316377088
10264178,9829407126504603648
10264186,9829413483056201728
10264198,9829397162180476928
10264198,9829397265259692032
10264204,9829413036379602944
10264204,9829413483056201728
10264216,9829396852942831616
10264224,9829571812730601472
10264234,9829591741378854912
10264240,9829394379041669120
10264240,9829397162180476928
10264242,9829572912242229248
10264242,9829572946601967616
10264250,9829393794926116864
10264250,9829394172883238912
10264262,9829393863645593600
10264262,9829393966724808704
10264270,9829415888237887488
10264274,9829415888237887488
10264282,9829394104163762176
10264282,9829394172883238912
10264282,9829404583883964416
10264284,9829394104163762176
10264284,9829394172883238912
10264286,9829572534285107200
10264288,9829395959589634048
10264288,9829572534285107200
10264314,9829393176450826240
10264316,9829393176450826240
10264324,9829413483056201728
10264324,9829415888237887488
10264326,9829393966724808704
10264336,9829393142091087872
10264336,9829393176450826240
10264340,9829580093427548160
10264340,9829580127787286528
10264340,9829580677543100416
10264342,9829581296018391040
10264398,9829392489256058880
10264398,9829392661054750720
10264398,9829393107731349504
10264504,9829555182617231360
10264504,9829555629293830144
10264504,9829555835452260352
10264512,9829566040294555648
10264512,9829566074654294016
10264524,9829403106415214592
10264524,9829403587451551744
10264532,9829407092144865280
10264532,9829407126504603648
10264536,9829568308037287936
10264538,9829568308037287936
10264544,9829570713218973696
10264548,9829415888237887488
10264560,9829392661054750720
10264560,9829393107731349504
10264596,9829399120685563904
10264606,9829396852942831616
10264608,9829396818583093248
10264608,9829396852942831616
10264610,9829396852942831616
10264760,9818555221616361472
10264760,9818555255976099840
10264760,9818555324695576576
10264760,9818555359055314944
10265430,9829392111298936832
10265430,9829392557975535616
10265536,9829392042579460096
10265538,9829392042579460096
10265538,9829392111298936832
10265540,9829392042579460096
10265572,9829388537886146560
10265586,9829392042579460096
10265616,9829392042579460096
10265686,9829587686929727488
10265832,9829611429508939776
10265856,9829610123838881792
10265872,9829610192558358528
10265872,9829610329997312000
10265888,9829610192558358528
10265922,9829611395149201408
10265928,9829610123838881792
10265940,9829610123838881792
10265940,9829610879753125888
10265948,9829611395149201408
10265948,9829611429508939776
10265990,9829586553058361344
10265992,9829611395149201408
10266002,9829587686929727488
10266002,9829610329997312000
10266034,9829586553058361344
10266044,9829610879753125888
10266056,9829586553058361344
10266118,9829587068454436864
10266126,9829587068454436864
