s2_l13,n_buildings,max_depth,mean_depth,lat,lng
5959060569632800768,17,0.84,0.6328823529411765,45.034864705882356,-93.10005294117647
5959060638352277504,3,0.32,0.28633333333333333,45.0489,-93.09543333333333
5959060672712015872,8,0.84,0.84,45.04425,-93.10005
5959063490210562048,1,0.251,0.251,45.1752,-93.1135
5959146743856627712,2,0.53,0.3395,45.16765,-93.2419
5959146881295581184,21,0.732,0.29838095238095236,45.170542857142856,-93.2459619047619
5959146915655319552,208,0.998,0.8147403846153847,45.16442932692308,-93.24766826923077
5959146950015057920,4,0.998,0.719,45.162425,-93.251975
5959149973672034304,1,0.171,0.171,45.1761,-93.1277
5959152035256336384,1,0.026,0.026,45.0545,-93.1789
5959158151289765888,1,0.02,0.02,45.0565,-93.2047
5959158254368980992,1,0.026,0.026,45.0602,-93.206
5959158872844271616,1,0.026,0.026,45.0874,-93.2174
5959159422600085504,1,0.834,0.834,45.0923,-93.2588
5959159456959823872,6,0.995,0.7001666666666666,45.09511666666666,-93.26135
5959159628758515712,1,0.603,0.603,45.0898,-93.2776
5959160109794852864,1,0.027,0.027,45.0852,-93.3167
5959160419032498176,1,0.232,0.232,45.0649,-93.344
5959160865709096960,1,0.024,0.024,45.0512,-93.3321
5959161106227265536,5,0.051,0.051000000000000004,45.04412,-93.31006
5959161243666219008,1,0.047,0.047,45.0382,-93.2964
5959161278025957376,5,0.051,0.051000000000000004,45.044079999999994,-93.30825999999999
5959161312385695744,1,0.081,0.081,45.0464,-93.3032
5959164026805026816,1,0.068,0.068,45.0196,-93.3654
5959167909455462400,1,0.233,0.233,45.0782,-93.4039
5959168081254154240,1,0.065,0.065,45.0653,-93.4141
5959170280277409792,51,0.025,0.02331372549019608,45.116482352941176,-93.39443725490196
5959171482868252672,2,0.186,0.131,45.13435,-93.30355
5959171551587729408,7,0.186,0.12971428571428573,45.12885714285714,-93.31832857142857
5959171585947467776,1,0.183,0.183,45.1296,-93.3184
5959185673440198656,1,0.132,0.132,45.1104,-93.4743
5959186566793396224,1,0.087,0.087,45.0938,-93.4927
5959188594017959936,1,0.284,0.284,45.0012,-93.4301
5959220686013595648,1,0.082,0.082,45.2622,-93.6553
5959220789092810752,2,0.082,0.0615,45.26325,-93.64935
5959707219908886528,1,0.041,0.041,45.1881,-94.5319
5959709315852926976,1,0.029,0.029,45.1312,-94.5347
5961018009567887360,1,0.023,0.023,47.6254,-94.7763
5961631227818541056,1,7.313,7.313,48.6413,-94.0791
5961640745466068992,2,0.667,0.552,48.646950000000004,-94.1807
5962291656349712384,1,0.88,0.88,49.3411,-94.9548
5962298974973984768,2,0.08,0.043000000000000003,49.33945,-94.95365000000001
5962299181132414976,2,1.36,1.34,49.29685,-94.9399
5962301277076455424,4,1.81,0.9625,49.332225,-94.881275
5962301311436193792,4,1.26,0.7675,49.3321,-94.88775000000001
5962301483234885632,14,1.64,0.8107142857142857,49.32763571428571,-94.89692142857143
5962301517594624000,2,1.42,1.3399999999999999,49.319,-94.9002
5962301620673839104,1,1.28,1.28,49.3171,-94.9038
5962301758112792576,1,0.13,0.13,49.3113,-94.9313
5962301792472530944,2,0.1,0.1,49.32175,-94.93315
5962302032990699520,1,0.89,0.89,49.3446,-94.928
5962302101710176256,1,0.21,0.21,49.346,-94.9054
5962389925201444864,2,1.406,1.3944999999999999,48.700649999999996,-94.2789
5962390371878043648,1,1.596,1.596,48.7001,-94.2786
5962393807851880448,1,0.246,0.246,48.6925,-94.4392
5962398893093158912,6,4.502,3.1011666666666664,48.694700000000005,-94.49765000000001
5962403256779931648,6,5.081,2.5893333333333337,48.743066666666664,-94.65006666666666
5962405077846065152,3,1.332,0.9800000000000001,48.75026666666667,-94.65123333333334
5962418512503767040,27,1.095,0.8681481481481482,48.85233333333333,-94.78160370370371
5962418546863505408,4,0.845,0.745,48.842925,-94.783075
5962418581223243776,1,1.78,1.78,48.852,-94.7676
5962418615582982144,1,1.433,1.433,48.8381,-94.7627
5962418959180365824,2,0.635,0.61,48.85205,-94.79585
5962418993540104192,12,0.655,0.36525,48.854083333333335,-94.803425
5962421261282836480,2,1.033,0.5529999999999999,48.83085,-94.7462
5962421295642574848,1,1.033,1.033,48.835,-94.7444
5962421673599696896,1,2.003,2.003,48.8429,-94.735
5962422670032109568,4,3.686,2.801,48.788575,-94.7021
5962422944910016512,2,0.404,0.404,48.76605,-94.67175
5962423013629493248,7,1.322,0.45942857142857146,48.758985714285714,-94.6625142857143
5962423047989231616,5,1.402,1.1019999999999999,48.754380000000005,-94.6557
5962423116708708352,1,0.074,0.074,48.7647,-94.6712
5962423288507400192,3,1.559,1.5156666666666665,48.7734,-94.69373333333333
5962424869055365120,1,0.006,0.006,48.7415,-94.6526
5962450535779926016,1,1.572,1.572,48.9756,-94.9793
5962456754892570624,5,0.337,0.1778,48.97772,-94.96488
5962456789252308992,1,0.015,0.015,48.9779,-94.9633
5964754974712791040,2,1.399,1.189,48.123599999999996,-96.17075
5964755009072529408,15,0.67,0.4046666666666667,48.1278,-96.17274666666667
5964755180871221248,4,0.286,0.19599999999999998,48.135324999999995,-96.16885
5967291135721209856,1,0.016,0.016,46.9128,-98.7377
5967291204440686592,24,1.246,0.231,46.90570833333334,-98.72022916666667
5986745447786479616,2,0.035,0.035,48.7491,-109.6425
6000934198666330112,1,0.063,0.063,46.4043,-108.55
6001264464471523328,1,0.006,0.006,45.4667,-109.09
6004437139633209344,1,0.138,0.138,43.8407,-111.822
6004437448870854656,2,0.127,0.127,43.82705,-111.85249999999999
6004536885953691648,1,2.773,2.773,43.5808,-111.874
6004655255252369408,2,0.18,0.1355,42.9559,-111.743
6004664085705129984,2,1.229,0.99,43.045249999999996,-111.881
6004667899636088832,1,0.597,0.597,43.1322,-111.913
