fips,rucc,pop
17175,2,5994
17177,4,47711
17179,2,135394
17181,6,17808
17183,3,81625
17185,7,11947
17187,6,17707
17189,6,14716
17191,7,16760
17193,6,14665
17195,4,58498
17197,1,677560
17199,3,66357
17201,2,295266
17203,2,38664
18001,6,34387
18003,2,355329
18005,3,76794
18007,3,8854
18009,6,12766
18011,1,56640
18013,1,15242
18015,3,20155
18017,4,38966
18019,1,110232
18021,3,26890
18023,6,33224
18025,8,10713
18027,7,31648
18029,1,50047
18031,6,25740
18033,4,42223
18035,3,117671
18037,5,41889
18039,3,197559
18041,6,24277
18043,1,74578
18045,6,17240
18047,6,23087
18049,7,20836
18051,6,33503
18053,4,70061
18055,6,33165
18057,1,274569
18059,1,70002
18061,1,39364
18063,1,145448
18065,4,49462
18067,3,82752
18069,6,37124
18071,4,42376
18073,1,33478
18075,6,21253
18077,6,32428
18079,6,28525
18081,1,139654
18083,5,38440
18085,4,77358
18087,6,37128
18089,1,496005
18091,3,111467
18093,6,46134
18095,1,131636
18097,1,903393
18099,6,47051
18101,7,10334
18103,6,36903
18105,3,137974
18107,6,38124
18109,1,68894
18111,1,14244
18113,6,47536
18115,1,6128
18117,6,19840
18119,3,21575
18121,6,17339
18123,6,19338
18125,8,12845
18127,1,164343
18129,2,25910
18131,6,13402
18133,1,37963
18135,6,26171
18137,6,28818
18139,6,17392
18141,2,266931
18143,1,24181
18145,1,44436
18147,8,20952
18149,6,23363
18151,7,34185
18153,3,21475
18155,8,10613
18157,3,172780
18159,6,15936
18161,1,7516
18163,2,179703
18165,3,16212
18167,3,107848
18169,6,32888
18171,8,8508
18173,2,59689
18175,1,28262
18177,5,68917
18179,2,27636
18181,6,24643
18183,2,33292
19001,8,7682
19003,9,4029
19005,6,14330
19007,7,12887
19009,8,6119
19011,2,26076
19013,3,131090
19015,6,26306
19017,3,24276
19019,6,20958
19021,7,20260
19023,8,14867
19025,9,9670
19027,7,20816
19029,6,13956
19031,6,18499
19033,5,44151
19035,6,12072
19037,6,12439
19039,6,9286
19041,7,16667
19043,8,18129
19045,4,49116
19047,7,17096
19049,2,66135
19051,9,8753
19053,9,8457
19055,6,17764
19057,5,40325
19059,7,16667
19061,3,93653
19063,7,10302
19065,6,20880
19067,7,16303
19069,7,10680
19071,8,7441
19073,6,9336
19075,3,12453
19077,2,10954
19079,6,15673
19081,7,11341
19083,6,17534
19085,2,14928
19087,6,20145
19089,6,9566
19091,7,9815
19093,8,7089
19095,6,16355
19097,6,19848
19099,6,36842
19101,7,16843
19103,3,130882
19105,2,20638
19107,8,10511
19109,7,15543
19111,5,35862
19113,2,211226
19115,8,11387
19117,6,8898
19119,8,11581
19121,2,15679
19123,7,22381
19125,6,33309
19127,4,40648
19129,2,15059
19131,7,10776
19133,6,9243
19135,7,7970
19137,6,10740
19139,4,42745
19141,7,14398
19143,7,6462
19145,6,15932
19147,7,9421
19149,3,24986
19151,9,7310
19153,2,430640
19155,2,93158
19157,7,18914
19159,9,5131
19161,9,10350
19163,2,165224
19165,6,12167
19167,7,33704
19169,3,89542
19171,6,17767
19173,9,6317
19175,6,12534
19177,9,7570
19179,5,35625
19181,2,46225
19183,3,21704
19185,9,6403
19187,5,38013
19189,7,10866
19191,7,21056
19193,3,102172
19195,9,7598
19197,7,13229
20001,7,13371
20003,6,8102
20005,6,16924
20007,9,4861
20009,7,27674
20011,6,15173
20013,6,9984
20015,2,65880
20017,9,2790
20019,8,3669
20021,6,21603
20023,9,2726
20025,9,2215
20027,6,8535
20029,7,9533
