feat,cell,ftype,s2
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020853087371264,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020853087371264,,5529020853087371264
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020887447109632,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020887447109632,,5529020887447109632
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020921806848000,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020921806848000,,5529020921806848000
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020956166586368,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020956166586368,,5529020956166586368
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020990526324736,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020990526324736,,5529020990526324736
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021024886063104,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021024886063104,,5529021024886063104
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021059245801472,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021059245801472,,5529021059245801472
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021093605539840,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021093605539840,,5529021093605539840
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021127965278208,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021127965278208,,5529021127965278208
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021162325016576,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021162325016576,,5529021162325016576
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021196684754944,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021196684754944,,5529021196684754944
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021231044493312,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021231044493312,,5529021231044493312
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021265404231680,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021265404231680,,5529021265404231680
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021299763970048,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021299763970048,,5529021299763970048
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021334123708416,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021334123708416,,5529021334123708416
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021368483446784,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021368483446784,,5529021368483446784
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021402843185152,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021402843185152,,5529021402843185152
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021437202923520,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021437202923520,,5529021437202923520
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021471562661888,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021471562661888,,5529021471562661888
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021505922400256,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021505922400256,,5529021505922400256
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021540282138624,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021540282138624,,5529021540282138624
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021574641876992,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021574641876992,,5529021574641876992
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021609001615360,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021609001615360,,5529021609001615360
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021643361353728,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021643361353728,,5529021643361353728
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021677721092096,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021677721092096,,5529021677721092096
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021712080830464,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021712080830464,,5529021712080830464
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021746440568832,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021746440568832,,5529021746440568832
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021780800307200,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021780800307200,,5529021780800307200
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021815160045568,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021815160045568,,5529021815160045568
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021849519783936,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021849519783936,,5529021849519783936
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021883879522304,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021883879522304,,5529021883879522304
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021918239260672,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021918239260672,,5529021918239260672
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021952598999040,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021952598999040,,5529021952598999040
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021986958737408,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529021986958737408,,5529021986958737408
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022021318475776,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022021318475776,,5529022021318475776
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022055678214144,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022055678214144,,5529022055678214144
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022090037952512,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022090037952512,,5529022090037952512
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022124397690880,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022124397690880,,5529022124397690880
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022158757429248,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022158757429248,,5529022158757429248
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022193117167616,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022193117167616,,5529022193117167616
