fips,lat,lng
18079,39.07254668323806,-85.55606345397656
18081,39.52427085834512,-86.10901194459096
18083,38.79719315851274,-87.36618437862359
18085,41.14279994986742,-85.8742095286338
18089,41.37443204574773,-87.38603447750786
18091,41.500532056883735,-86.66614526577467
18093,38.822086235897416,-86.4339139643604
18095,40.12138063943832,-85.72050652304614
18097,39.80101555962666,-86.06825322426567
18099,41.32999111935085,-86.37315358260238
18101,38.74857247369101,-86.78687684429754
18103,40.72491320080232,-86.01725945352639
18105,39.10809656066094,-86.50470801259432
18107,40.07945516532571,-86.98743256427319
18109,39.4664358424166,-86.4339139643604
18111,41.04744303857265,-87.41579376100015
18113,41.288801483866,-85.47880620884422
18115,38.94212792985442,-84.96614904724181
18117,38.55570942126281,-86.56530866588996
18119,39.311206366713776,-86.81701317601842
18121,39.80886377588213,-87.10736577006638
18123,38.07545679391049,-86.6207940189388
18125,38.40197784135586,-87.24690643326085
18127,41.34541772117649,-87.0524334987315
18129,38.00706379069081,-87.91877109701458
18131,41.00402369478732,-86.7064221927009
18133,39.70534946123914,-86.81701317601842
18135,40.1668552738486,-85.03893505421654
18137,39.09930725001952,-85.34979880777587
18139,39.674323481992545,-85.4427152584801
18141,41.54508730093208,-86.40354296597955
18143,38.67870307912426,-85.75128301518073
18145,39.45335375923199,-85.81278220742078
18147,38.06001407783393,-86.95740226788428
18149,41.30380649338667,-86.57540158639006
18153,39.09384976125261,-87.40587611607891
18155,38.81781860134846,-85.08048456206507
18157,40.377254077562654,-86.99743849108515
18159,40.313320522159,-86.06315586231293
18161,39.63330506816209,-84.91410123450727
18163,38.04410703952591,-87.59394866103916
18165,39.887617579762164,-87.47525514554248
18167,39.537015974059194,-87.37611048525511
18169,40.92294904233782,-85.82814553286133
18171,40.37300480981841,-87.3463258250269
18173,38.11945768417026,-87.29664248853652
18175,38.559393884659045,-86.03766300557717
18177,39.93728663519879,-84.9869546942003
18179,40.693589097369625,-85.23601887259203
18181,40.72546810610051,-86.96741445194131
18183,41.1135349594547,-85.54576893376705
19001,41.4140207490372,-94.34110014144994
19005,43.13290104854593,-91.3613923233103
19007,40.81112983698373,-92.69341662383796
19009,41.82691088672834,-94.77433646996906
