chemical,target,aop_role,disease,doid,mondo,in_oard,aop_structure,assay_activity,expression,disease_assoc,rare_disease,protein_annot,hazard,score
TBBPA,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
TBBPA,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
TBBPA,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
TBBPA,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
TCBPA,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
TCBPA,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
TCBPA,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
TCBPA,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
TCBPA,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
