chemical,disease,doid,mondo,corroboration_score,n_independent_sources,aop_anchored,mediating_targets,sources,ehr_phenotypes_in_oard
BPAF,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
BPAF,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,diabetes mellitus,DOID_9351,MONDO_0005015,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,liver disease,DOID_409,MONDO_0005154,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,major depressive disorder,DOID_1470,MONDO_0002009,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,migraine,DOID_6364,MONDO_0005277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,nervous system disease,DOID_863,MONDO_0005071,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,nutrition disease,DOID_374,MONDO_0005137,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,obesity,DOID_9970,MONDO_0011122,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,ovarian cancer,DOID_2394,MONDO_0008170,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,polycystic ovary syndrome,DOID_11612,MONDO_0008487,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAP,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
BPAP,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
