assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81898	Sf3b1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.314028	0.013282	10.4212	10.1072	OSD-25	81898
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83410	Cstf2t	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.354894	0.00396095	6.99266	6.63777	OSD-25	83410
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83435	Plekha3	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.294756	0.0698568	10.0964	9.80166	OSD-25	83435
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83490	Pik3ap1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.17642	1.21032e-05	10.3432	9.16674	OSD-25	83490
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83493	Sacm1l	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.373653	0.010785	8.9624	8.58874	OSD-25	83493
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83602	Gtf2a1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.242523	0.0724297	9.37149	9.12896	OSD-25	83602
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83669	Wdr6	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.340423	0.0709214	7.17915	6.83873	OSD-25	83669
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83674	Cnnm1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.211173	0.0642753	6.32854	6.11737	OSD-25	83674
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83703	Dbr1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.489838	0.0090141	6.71625	6.22642	OSD-25	83703
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83704	Slc12a9	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.342673	0.083793	7.94719	8.28986	OSD-25	83704
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83767	Wasf1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.37093	0.0100245	6.45436	6.82529	OSD-25	83767
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83797	Smarcd1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.353949	0.0218027	7.52698	7.17303	OSD-25	83797
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83945	Dnaja3	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.515348	0.000505689	10.4091	9.89374	OSD-25	83945
